,date,price
0,2022-05-01,112.93
1,2022-04-30,112.93
2,2022-04-29,112.93
3,2022-04-28,112.93
4,2022-04-27,112.93
5,2022-04-26,112.93
6,2022-04-25,112.93
7,2022-04-24,112.93
8,2022-04-23,112.93
9,2022-04-22,112.93
10,2022-04-21,112.93
11,2022-04-20,112.93
12,2022-04-19,112.93
13,2022-04-18,112.93
14,2022-04-17,112.93
15,2022-04-16,112.93
16,2022-04-15,112.93
17,2022-04-14,112.93
18,2022-04-13,112.93
19,2022-04-12,112.93
20,2022-04-11,112.93
21,2022-04-10,112.93
22,2022-04-09,112.93
23,2022-04-08,112.93
24,2022-04-07,112.93
25,2022-04-06,112.93
26,2022-04-05,112.17
27,2022-04-04,111.41
28,2022-04-03,111.04
29,2022-04-02,110.28
30,2022-04-01,109.52
31,2022-03-31,109.52
32,2022-03-30,108.77
33,2022-03-29,108.01
34,2022-03-28,107.26
35,2022-03-27,106.97
36,2022-03-26,106.5
37,2022-03-25,105.81
38,2022-03-24,105.06
39,2022-03-23,105.06
40,2022-03-22,104.3
41,2022-03-21,103.54
42,2022-03-20,103.54
43,2022-03-19,103.54
44,2022-03-18,103.54
45,2022-03-17,103.54
46,2022-03-16,103.54
47,2022-03-15,103.54
48,2022-03-14,103.54
49,2022-03-13,103.54
50,2022-03-12,103.54
51,2022-03-11,103.54
52,2022-03-10,103.54
53,2022-03-09,103.54
54,2022-03-08,103.54
55,2022-03-07,103.54
56,2022-03-06,103.54
57,2022-03-05,103.54
58,2022-03-04,103.54
59,2022-03-03,103.54
60,2022-03-02,103.54
61,2022-03-01,103.54
62,2022-02-28,103.54
63,2022-02-27,103.54
64,2022-02-26,103.54
65,2022-02-25,103.54
66,2022-02-24,103.54
67,2022-02-23,103.54
68,2022-02-22,103.54
69,2022-02-21,103.54
70,2022-02-20,103.54
71,2022-02-19,103.54
72,2022-02-18,103.54
73,2022-02-17,103.54
74,2022-02-16,103.54
75,2022-02-15,103.54
76,2022-02-14,103.54
77,2022-02-13,103.54
78,2022-02-12,103.54
79,2022-02-11,103.54
80,2022-02-10,103.54
81,2022-02-09,103.54
82,2022-02-08,103.54
83,2022-02-07,103.54
84,2022-02-06,103.54
85,2022-02-05,103.54
86,2022-02-04,103.54
87,2022-02-03,103.54
88,2022-02-02,103.54
89,2022-02-01,103.54
90,2022-01-31,103.54
91,2022-01-30,103.54
92,2022-01-29,103.54
93,2022-01-28,103.54
94,2022-01-27,103.54
95,2022-01-26,103.54
96,2022-01-25,103.54
97,2022-01-24,103.54
98,2022-01-23,103.54
99,2022-01-22,103.54
100,2022-01-21,103.54
101,2022-01-20,103.54
102,2022-01-19,103.54
103,2022-01-18,103.54
104,2022-01-17,103.54
105,2022-01-16,103.54
106,2022-01-15,103.54
107,2022-01-14,103.54
108,2022-01-13,103.54
109,2022-01-12,103.54
110,2022-01-11,103.54
111,2022-01-10,103.54
112,2022-01-09,103.54
113,2022-01-08,103.54
114,2022-01-07,103.54
115,2022-01-06,103.54
116,2022-01-05,103.54
117,2022-01-04,103.54
118,2022-01-03,103.54
119,2022-01-02,103.54
120,2022-01-01,103.54
121,2021-12-31,103.54
122,2021-12-30,103.54
123,2021-12-29,103.54
124,2021-12-28,103.54
125,2021-12-27,103.54
126,2021-12-26,103.54
127,2021-12-25,103.54
128,2021-12-24,103.54
129,2021-12-23,103.54
130,2021-12-22,103.54
131,2021-12-21,103.54
132,2021-12-20,103.54
133,2021-12-19,103.54
134,2021-12-18,103.54
135,2021-12-17,103.54
136,2021-12-16,103.54
137,2021-12-15,103.54
138,2021-12-14,103.54
139,2021-12-13,103.54
140,2021-12-12,103.54
141,2021-12-11,103.54
142,2021-12-10,103.54
143,2021-12-09,103.54
144,2021-12-08,103.54
145,2021-12-07,103.54
146,2021-12-06,103.54
147,2021-12-05,103.54
148,2021-12-04,103.54
149,2021-12-03,103.54
150,2021-12-02,103.54
151,2021-11-30,103.54
152,2021-11-29,103.54
153,2021-11-28,103.54
154,2021-11-27,103.54
155,2021-11-26,103.54
156,2021-11-25,103.54
157,2021-11-24,103.54
158,2021-11-23,103.54
159,2021-11-22,103.54
160,2021-11-21,103.54
161,2021-11-20,103.54
162,2021-11-19,103.54
163,2021-11-18,103.54
164,2021-11-17,103.54
165,2021-11-16,103.54
166,2021-11-15,103.54
