,date,price
0,2022-05-01,111.12
1,2022-04-30,111.12
2,2022-04-29,111.12
3,2022-04-28,111.12
4,2022-04-27,111.12
5,2022-04-26,111.12
6,2022-04-25,111.12
7,2022-04-24,111.12
8,2022-04-23,111.12
9,2022-04-22,111.12
10,2022-04-21,111.12
11,2022-04-20,111.12
12,2022-04-19,111.12
13,2022-04-18,111.12
14,2022-04-17,111.12
15,2022-04-16,111.12
16,2022-04-15,111.12
17,2022-04-14,111.12
18,2022-04-13,111.12
19,2022-04-12,111.12
20,2022-04-11,111.12
21,2022-04-10,111.12
22,2022-04-09,111.12
23,2022-04-08,111.12
24,2022-04-07,111.12
25,2022-04-06,111.12
26,2022-04-05,110.36
27,2022-04-04,109.61
28,2022-04-03,109.23
29,2022-04-02,108.47
30,2022-04-01,107.72
31,2022-03-31,107.72
32,2022-03-30,106.96
33,2022-03-29,106.21
34,2022-03-28,105.45
35,2022-03-27,105.17
36,2022-03-26,104.69
37,2022-03-25,103.94
38,2022-03-24,103.18
39,2022-03-23,103.18
40,2022-03-22,102.43
41,2022-03-21,101.67
42,2022-03-20,101.67
43,2022-03-19,101.67
44,2022-03-18,101.67
45,2022-03-17,101.67
46,2022-03-16,101.67
47,2022-03-15,101.67
48,2022-03-14,101.67
49,2022-03-13,101.67
50,2022-03-12,101.67
51,2022-03-11,101.67
52,2022-03-10,101.67
53,2022-03-09,101.67
54,2022-03-08,101.67
55,2022-03-07,101.67
56,2022-03-06,101.67
57,2022-03-05,101.67
58,2022-03-04,101.67
59,2022-03-03,101.67
60,2022-03-02,101.67
61,2022-03-01,101.67
62,2022-02-28,101.67
63,2022-02-27,101.67
64,2022-02-26,101.67
65,2022-02-25,101.67
66,2022-02-24,101.67
67,2022-02-23,101.67
68,2022-02-22,101.67
69,2022-02-21,101.67
70,2022-02-20,101.67
71,2022-02-19,101.67
72,2022-02-18,101.67
73,2022-02-17,101.67
74,2022-02-16,101.67
75,2022-02-15,101.67
76,2022-02-14,101.67
77,2022-02-13,101.67
78,2022-02-12,101.67
79,2022-02-11,101.67
80,2022-02-10,101.67
81,2022-02-09,101.67
82,2022-02-08,101.67
83,2022-02-07,101.67
84,2022-02-06,101.67
85,2022-02-05,101.67
86,2022-02-04,101.67
87,2022-02-03,101.67
88,2022-02-02,101.67
89,2022-02-01,101.67
90,2022-01-31,101.67
91,2022-01-30,101.67
92,2022-01-29,101.67
93,2022-01-28,101.67
94,2022-01-27,101.67
95,2022-01-26,101.67
96,2022-01-25,101.67
97,2022-01-24,101.67
98,2022-01-23,101.67
99,2022-01-22,101.67
100,2022-01-21,101.67
101,2022-01-20,101.67
102,2022-01-19,101.67
103,2022-01-18,101.67
104,2022-01-17,101.67
105,2022-01-16,101.67
106,2022-01-15,101.67
107,2022-01-14,101.67
108,2022-01-13,101.67
109,2022-01-12,101.67
110,2022-01-11,101.67
111,2022-01-10,101.67
112,2022-01-09,101.67
113,2022-01-08,101.67
114,2022-01-07,101.67
115,2022-01-06,101.67
116,2022-01-05,101.67
117,2022-01-04,101.67
118,2022-01-03,101.67
119,2022-01-02,101.67
120,2022-01-01,101.67
121,2021-12-31,101.67
122,2021-12-30,101.67
123,2021-12-29,101.67
124,2021-12-28,101.67
125,2021-12-27,101.67
126,2021-12-26,101.67
127,2021-12-25,101.67
128,2021-12-24,101.67
129,2021-12-23,101.67
130,2021-12-22,101.67
131,2021-12-21,101.67
132,2021-12-20,101.67
133,2021-12-19,101.67
134,2021-12-18,101.67
135,2021-12-17,101.67
136,2021-12-16,101.67
137,2021-12-15,101.67
138,2021-12-14,101.67
139,2021-12-13,101.67
140,2021-12-12,101.67
141,2021-12-11,101.67
142,2021-12-10,101.67
143,2021-12-09,101.67
144,2021-12-08,101.67
145,2021-12-07,101.67
146,2021-12-06,101.67
147,2021-12-05,101.67
148,2021-12-04,101.67
149,2021-12-03,101.67
150,2021-12-02,101.67
151,2021-11-30,101.67
152,2021-11-29,101.67
153,2021-11-28,101.67
154,2021-11-27,101.67
155,2021-11-26,101.67
156,2021-11-25,101.67
157,2021-11-24,101.67
158,2021-11-23,101.67
159,2021-11-22,101.67
160,2021-11-21,101.67
161,2021-11-20,101.67
162,2021-11-19,101.67
163,2021-11-18,101.67
164,2021-11-17,101.67
165,2021-11-16,101.67
166,2021-11-15,101.67
167,2021-11-14,101.67
168,2021-11-13,101.67
169,2021-11-12,101.67
170,2021-11-11,101.67
171,2021-11-10,101.67
172,2021-11-09,101.67
173,2021-11-08,101.67
174,2021-11-07,101.67
175,2021-11-06,101.67
176,2021-11-05,101.67
177,2021-11-04,101.67
178,2021-11-03,106.93
179,2021-11-02,106.93
180,2021-11-01,106.61
181,2021-10-31,106.29
182,2021-10-30,105.99
183,2021-10-29,105.68
184,2021-10-28,105.38
185,2021-10-27,105.08
186,2021-10-26,104.77
187,2021-10-25,104.77
188,2021-10-24,104.77
189,2021-10-23,104.47
190,2021-10-22,104.17
191,2021-10-21,103.86
192,2021-10-20,103.56
193,2021-10-19,103.26
194,2021-10-18,103.26
195,2021-10-15,102.65
196,2021-10-14,102.35
197,2021-10-13,102.04
198,2021-10-12,102.04
199,2021-10-11,102.04
200,2021-10-10,101.78
