,date,price
0,2022-05-01,112.25
1,2022-04-30,112.25
2,2022-04-29,112.25
3,2022-04-28,112.25
4,2022-04-27,112.25
5,2022-04-26,112.25
6,2022-04-25,112.25
7,2022-04-24,112.25
8,2022-04-23,112.25
9,2022-04-22,112.25
10,2022-04-21,112.25
11,2022-04-20,112.25
12,2022-04-19,112.25
13,2022-04-18,112.25
14,2022-04-17,112.25
15,2022-04-16,112.25
16,2022-04-15,112.25
17,2022-04-14,112.25
18,2022-04-13,112.25
19,2022-04-12,112.25
20,2022-04-11,112.25
21,2022-04-10,112.25
22,2022-04-09,112.25
23,2022-04-08,112.25
24,2022-04-07,112.25
25,2022-04-06,112.25
26,2022-04-05,111.5
27,2022-04-04,110.74
28,2022-04-03,110.36
29,2022-04-02,109.61
30,2022-04-01,108.85
31,2022-03-31,108.85
32,2022-03-30,108.1
33,2022-03-29,107.34
34,2022-03-28,106.58
35,2022-03-27,106.3
36,2022-03-26,105.83
37,2022-03-25,105.11
38,2022-03-24,104.35
39,2022-03-23,104.35
40,2022-03-22,103.59
41,2022-03-21,102.84
42,2022-03-20,102.84
43,2022-03-19,102.84
44,2022-03-18,102.84
45,2022-03-17,102.84
46,2022-03-16,102.84
47,2022-03-15,102.84
48,2022-03-14,102.84
49,2022-03-13,102.84
50,2022-03-12,102.84
51,2022-03-11,102.84
52,2022-03-10,102.84
53,2022-03-09,102.84
54,2022-03-08,102.84
55,2022-03-07,102.84
56,2022-03-06,102.84
57,2022-03-05,102.84
58,2022-03-04,102.84
59,2022-03-03,102.84
60,2022-03-02,102.84
61,2022-03-01,102.84
62,2022-02-28,102.84
63,2022-02-27,102.84
64,2022-02-26,102.84
65,2022-02-25,102.84
66,2022-02-24,102.84
67,2022-02-23,102.84
68,2022-02-22,102.84
69,2022-02-21,102.84
70,2022-02-20,102.84
71,2022-02-19,102.84
72,2022-02-18,102.84
73,2022-02-17,102.84
74,2022-02-16,102.84
75,2022-02-15,102.84
76,2022-02-14,102.84
77,2022-02-13,102.84
78,2022-02-12,102.84
79,2022-02-11,102.84
80,2022-02-10,102.84
81,2022-02-09,102.84
82,2022-02-08,102.84
83,2022-02-07,102.84
84,2022-02-06,102.84
85,2022-02-05,102.84
86,2022-02-04,102.84
87,2022-02-03,102.84
88,2022-02-02,102.84
89,2022-02-01,102.84
90,2022-01-31,102.84
91,2022-01-30,102.84
92,2022-01-29,102.84
93,2022-01-28,102.84
94,2022-01-27,102.84
95,2022-01-26,102.84
96,2022-01-25,102.84
97,2022-01-24,102.84
98,2022-01-23,102.84
99,2022-01-22,102.84
100,2022-01-21,102.84
101,2022-01-20,102.84
102,2022-01-19,102.84
103,2022-01-18,102.84
104,2022-01-17,102.84
105,2022-01-16,102.84
106,2022-01-15,102.84
107,2022-01-14,102.84
108,2022-01-13,102.84
109,2022-01-12,102.84
110,2022-01-11,102.84
111,2022-01-10,102.84
112,2022-01-09,102.84
113,2022-01-08,102.84
114,2022-01-07,102.84
115,2022-01-06,102.84
116,2022-01-05,102.84
117,2022-01-04,102.84
118,2022-01-03,102.84
119,2022-01-02,102.84
120,2022-01-01,102.84
121,2021-12-31,102.84
122,2021-12-30,102.84
123,2021-12-29,102.84
124,2021-12-28,102.84
125,2021-12-27,102.84
126,2021-12-26,102.84
127,2021-12-25,102.84
128,2021-12-24,102.84
129,2021-12-23,102.84
130,2021-12-22,102.84
131,2021-12-21,102.84
132,2021-12-20,102.84
133,2021-12-19,102.84
134,2021-12-18,102.84
135,2021-12-17,102.84
136,2021-12-16,102.84
137,2021-12-15,102.84
138,2021-12-14,102.84
139,2021-12-13,102.84
140,2021-12-12,102.84
141,2021-12-11,102.84
142,2021-12-10,102.84
143,2021-12-09,102.84
144,2021-12-08,102.84
145,2021-12-07,102.84
146,2021-12-06,102.84
147,2021-12-05,102.84
148,2021-12-04,102.84
149,2021-12-03,102.84
150,2021-12-02,102.84
151,2021-11-30,102.84
152,2021-11-29,102.84
153,2021-11-28,102.84
154,2021-11-27,102.84
155,2021-11-26,102.84
156,2021-11-25,102.84
157,2021-11-24,102.84
158,2021-11-23,102.84
159,2021-11-22,102.84
160,2021-11-21,102.84
161,2021-11-20,102.84
162,2021-11-19,102.84
163,2021-11-18,102.84
164,2021-11-17,102.84
165,2021-11-16,102.84
166,2021-11-15,102.84
167,2021-11-14,102.84
168,2021-11-13,102.84
169,2021-11-12,102.84
170,2021-11-11,102.84
171,2021-11-10,102.84
172,2021-11-09,102.84
173,2021-11-08,102.84
174,2021-11-07,102.84
175,2021-11-06,102.84
176,2021-11-05,102.84
177,2021-11-04,102.84
178,2021-11-03,108.1
179,2021-11-02,108.1
180,2021-11-01,107.78
181,2021-10-31,107.4
182,2021-10-30,107.09
183,2021-10-29,106.79
184,2021-10-28,106.49
185,2021-10-27,106.18
186,2021-10-26,105.88
187,2021-10-25,105.88
188,2021-10-24,105.88
189,2021-10-23,105.58
190,2021-10-22,105.27
191,2021-10-21,104.97
192,2021-10-20,104.66
193,2021-10-19,104.36
194,2021-10-18,104.36
195,2021-10-15,103.75
196,2021-10-14,103.45
197,2021-10-13,103.15
198,2021-10-12,103.15
199,2021-10-11,103.15
200,2021-10-10,102.89
201,2021-10-09,102.63
202,2021-10-08,102.37
203,2021-10-07,102.11
204,2021-10-06,101.85
205,2021-10-05,101.59
206,2021-10-04,101.37
207,2021-10-03,101.37
208,2021-10-02,101.15
209,2021-10-01,100.94
210,2021-09-30,100.73
211,2021-09-29,100.53
212,2021-09-28,100.53
213,2021-09-27,100.36
214,2021-09-26,100.36
215,2021-09-25,100.36
216,2021-09-24,100.36
217,2021-09-23,100.36
218,2021-09-22,100.36
219,2021-09-21,100.36
220,2021-09-20,100.36
221,2021-09-19,100.36
222,2021-09-18,100.36
223,2021-09-17,100.36
224,2021-09-16,100.36
225,2021-09-15,100.36
226,2021-09-14,100.36
227,2021-09-13,100.36
228,2021-09-12,100.36
229,2021-09-11,100.36
230,2021-09-10,100.36
231,2021-09-09,100.36
232,2021-09-08,100.36
233,2021-09-07,100.36
234,2021-09-06,100.36
235,2021-09-05,100.36
236,2021-09-03,103.29
237,2021-09-02,103.29
238,2021-09-01,103.29
239,2021-08-31,103.29
240,2021-08-30,103.29
241,2021-08-29,103.29
242,2021-08-28,103.29
243,2021-08-27,103.29
244,2021-08-26,103.29
245,2021-08-25,103.29
246,2021-08-24,103.29
247,2021-08-23,103.29
248,2021-08-22,103.29
249,2021-08-21,103.29
250,2021-08-20,103.29
251,2021-08-19,103.29
252,2021-08-18,103.29
253,2021-08-17,103.29
254,2021-08-16,103.29
255,2021-08-15,103.29
256,2021-08-14,103.29
257,2021-08-13,103.29
258,2021-08-12,103.29
259,2021-08-11,103.29
260,2021-08-10,103.29
261,2021-08-09,103.29
262,2021-08-08,103.29
263,2021-08-07,103.29
264,2021-08-06,103.29
265,2021-08-05,103.29
266,2021-08-04,103.29
267,2021-08-03,103.29
268,2021-08-02,103.29
269,2021-08-01,103.29
270,2021-07-31,103.29
271,2021-07-30,103.29
272,2021-07-29,103.29
273,2021-07-28,103.29
274,2021-07-27,103.29
275,2021-07-26,103.29
276,2021-07-25,103.29
277,2021-07-24,103.29
278,2021-07-23,103.29
279,2021-07-22,103.29
280,2021-07-21,103.29
281,2021-07-20,103.29
282,2021-07-19,103.29
283,2021-07-18,103.29
284,2021-07-17,103.29
285,2021-07-16,103.29
286,2021-07-15,103.29
287,2021-07-14,103.29
288,2021-07-13,103.29
289,2021-07-12,103.29
290,2021-07-11,103.04
291,2021-07-10,103.04
292,2021-07-09,102.73
293,2021-07-08,102.73
294,2021-07-07,102.42
295,2021-07-06,102.12
296,2021-07-05,102.12
297,2021-07-04,101.81
298,2021-07-03,101.5
299,2021-07-02,101.5
300,2021-07-01,101.17
301,2021-06-30,101.17
302,2021-06-29,101.17
303,2021-06-28,100.86
304,2021-06-27,100.86
305,2021-06-26,100.55
306,2021-06-25,100.24
307,2021-06-24,100.24
308,2021-06-23,100.01
309,2021-06-22,100.01
310,2021-06-21,99.77
311,2021-06-20,99.77
312,2021-06-19,99.51
313,2021-06-18,99.51
314,2021-06-17,99.27
315,2021-06-16,99.27
316,2021-06-15,99.05
317,2021-06-14,99.05
318,2021-06-13,98.8
319,2021-06-12,98.8
320,2021-06-11,98.56
321,2021-06-10,98.3
322,2021-06-09,98.3
323,2021-06-08,98.08
324,2021-06-07,98.08
325,2021-06-06,97.84
326,2021-06-05,97.6
327,2021-06-04,97.6
328,2021-06-03,97.36
329,2021-06-02,97.36
330,2021-06-01,97.36
331,2021-05-31,97.13
332,2021-05-30,96.87
333,2021-05-29,96.87
334,2021-05-28,96.64
335,2021-05-27,96.64
336,2021-05-26,96.43
337,2021-05-25,96.43
338,2021-05-24,96.23
339,2021-05-23,96.23
340,2021-05-22,96.08
341,2021-05-21,96.08
342,2021-05-20,95.91
343,2021-05-19,95.91
344,2021-05-18,95.91
345,2021-05-17,95.67
346,2021-05-16,95.67
347,2021-05-15,95.46
348,2021-05-14,95.46
349,2021-05-13,95.21
350,2021-05-12,95.21
351,2021-05-11,94.99
352,2021-05-10,94.75
353,2021-05-09,94.52
354,2021-05-08,94.52
355,2021-05-07,94.52
356,2021-05-06,94.27
357,2021-05-05,94.05
358,2021-05-04,93.88
359,2021-05-03,93.65
360,2021-05-02,93.65
361,2021-05-01,93.65
362,2021-04-30,93.65
363,2021-04-29,93.65
364,2021-04-28,93.65
