,date,price
0,2022-05-01,111.77
1,2022-04-30,111.77
2,2022-04-29,111.77
3,2022-04-28,111.77
4,2022-04-27,111.77
5,2022-04-26,111.77
6,2022-04-25,111.77
7,2022-04-24,111.77
8,2022-04-23,111.77
9,2022-04-22,111.77
10,2022-04-21,111.77
11,2022-04-20,111.77
12,2022-04-19,111.77
13,2022-04-18,111.77
14,2022-04-17,111.77
15,2022-04-16,111.77
16,2022-04-15,111.77
17,2022-04-14,111.77
18,2022-04-13,111.77
19,2022-04-12,111.77
20,2022-04-11,111.77
21,2022-04-10,111.77
22,2022-04-09,111.77
23,2022-04-08,111.77
24,2022-04-07,111.77
25,2022-04-06,111.77
26,2022-04-05,111.01
27,2022-04-04,110.26
28,2022-04-03,109.88
29,2022-04-02,109.12
30,2022-04-01,108.37
31,2022-03-31,108.37
32,2022-03-30,107.61
33,2022-03-29,106.86
34,2022-03-28,106.1
35,2022-03-27,105.82
36,2022-03-26,105.34
37,2022-03-25,104.61
38,2022-03-24,103.85
39,2022-03-23,103.85
40,2022-03-22,103.1
41,2022-03-21,102.34
42,2022-03-20,102.34
43,2022-03-19,102.34
44,2022-03-18,102.34
45,2022-03-17,102.34
46,2022-03-16,102.34
47,2022-03-15,102.34
48,2022-03-14,102.34
49,2022-03-13,102.34
50,2022-03-12,102.34
51,2022-03-11,102.34
52,2022-03-10,102.34
53,2022-03-09,102.34
54,2022-03-08,102.34
55,2022-03-07,102.34
56,2022-03-06,102.34
57,2022-03-05,102.34
58,2022-03-04,102.34
59,2022-03-03,102.34
60,2022-03-02,102.34
61,2022-03-01,102.34
62,2022-02-28,102.34
63,2022-02-27,102.34
64,2022-02-26,102.34
65,2022-02-25,102.34
66,2022-02-24,102.34
67,2022-02-23,102.34
68,2022-02-22,102.34
69,2022-02-21,102.34
70,2022-02-20,102.34
71,2022-02-19,102.34
72,2022-02-18,102.34
73,2022-02-17,102.34
74,2022-02-16,102.34
75,2022-02-15,102.34
76,2022-02-14,102.34
77,2022-02-13,102.34
78,2022-02-12,102.34
79,2022-02-11,102.34
80,2022-02-10,102.34
81,2022-02-09,102.34
82,2022-02-08,102.34
83,2022-02-07,102.34
84,2022-02-06,102.34
85,2022-02-05,102.34
86,2022-02-04,102.34
87,2022-02-03,102.34
88,2022-02-02,102.34
89,2022-02-01,102.34
90,2022-01-31,102.34
91,2022-01-30,102.34
92,2022-01-29,102.34
93,2022-01-28,102.34
94,2022-01-27,102.34
95,2022-01-26,102.34
96,2022-01-25,102.34
97,2022-01-24,102.34
98,2022-01-23,102.34
99,2022-01-22,102.34
100,2022-01-21,102.34
101,2022-01-20,102.34
102,2022-01-19,102.34
103,2022-01-18,102.34
104,2022-01-17,102.34
105,2022-01-16,102.34
106,2022-01-15,102.34
107,2022-01-14,102.34
108,2022-01-13,102.34
109,2022-01-12,102.34
110,2022-01-11,102.34
111,2022-01-10,102.34
112,2022-01-09,102.34
113,2022-01-08,102.34
114,2022-01-07,102.34
115,2022-01-06,102.34
116,2022-01-05,102.34
117,2022-01-04,102.34
118,2022-01-03,102.34
119,2022-01-02,102.34
120,2022-01-01,102.34
121,2021-12-31,102.34
122,2021-12-30,102.34
123,2021-12-29,102.34
124,2021-12-28,102.34
125,2021-12-27,102.34
126,2021-12-26,102.34
127,2021-12-25,102.34
128,2021-12-24,102.34
129,2021-12-23,102.34
130,2021-12-22,102.34
131,2021-12-21,102.34
132,2021-12-20,102.34
133,2021-12-19,102.34
134,2021-12-18,102.34
135,2021-12-17,102.34
136,2021-12-16,102.34
137,2021-12-15,102.34
138,2021-12-14,102.34
139,2021-12-13,102.34
140,2021-12-12,102.34
141,2021-12-11,102.34
142,2021-12-10,102.34
143,2021-12-09,102.34
144,2021-12-08,102.34
145,2021-12-07,102.34
146,2021-12-06,102.34
147,2021-12-05,102.34
148,2021-12-04,102.34
149,2021-12-03,102.34
150,2021-12-02,102.34
151,2021-11-30,102.34
152,2021-11-29,102.34
153,2021-11-28,102.34
154,2021-11-27,102.34
155,2021-11-26,102.34
156,2021-11-25,102.34
157,2021-11-24,102.34
158,2021-11-23,102.34
159,2021-11-22,102.34
160,2021-11-21,102.34
161,2021-11-20,102.34
162,2021-11-19,102.34
163,2021-11-18,102.34
164,2021-11-17,102.34
165,2021-11-16,102.34
166,2021-11-15,102.34
167,2021-11-14,102.34
168,2021-11-13,102.34
169,2021-11-12,102.34
170,2021-11-11,102.34
171,2021-11-10,102.34
172,2021-11-09,102.34
173,2021-11-08,102.34
174,2021-11-07,102.34
175,2021-11-06,102.34
176,2021-11-05,102.34
177,2021-11-04,102.34
178,2021-11-03,107.6
179,2021-11-02,107.6
180,2021-11-01,107.28
181,2021-10-31,106.93
182,2021-10-30,106.62
183,2021-10-29,106.32
184,2021-10-28,106.01
185,2021-10-27,105.71
186,2021-10-26,105.41
187,2021-10-25,105.41
188,2021-10-24,105.41
189,2021-10-23,105.1
190,2021-10-22,104.8
191,2021-10-21,104.5
192,2021-10-20,104.19
193,2021-10-19,103.89
194,2021-10-18,103.89
195,2021-10-15,103.28
196,2021-10-14,102.98
197,2021-10-13,102.68
198,2021-10-12,102.68
199,2021-10-11,102.68
200,2021-10-10,102.42
201,2021-10-09,102.16
202,2021-10-08,101.9
203,2021-10-07,101.64
204,2021-10-06,101.38
205,2021-10-05,101.12
206,2021-10-04,100.9
207,2021-10-03,100.9
208,2021-10-02,100.68
209,2021-10-01,100.47
210,2021-09-30,100.26
211,2021-09-29,100.06
212,2021-09-28,100.06
213,2021-09-27,99.89
214,2021-09-26,99.89
215,2021-09-25,99.89
216,2021-09-24,99.89
217,2021-09-23,99.89
218,2021-09-22,99.89
219,2021-09-21,99.89
220,2021-09-20,99.89
221,2021-09-19,99.89
222,2021-09-18,99.89
223,2021-09-17,99.89
224,2021-09-16,99.89
225,2021-09-15,99.89
226,2021-09-14,99.89
227,2021-09-13,99.89
228,2021-09-12,99.89
229,2021-09-11,99.89
230,2021-09-10,99.89
231,2021-09-09,99.89
232,2021-09-08,99.89
233,2021-09-07,99.89
234,2021-09-06,99.89
235,2021-09-05,99.89
236,2021-09-03,100.03
237,2021-09-02,100.03
238,2021-09-01,100.03
239,2021-08-31,100.17
240,2021-08-30,100.17
241,2021-08-29,100.17
242,2021-08-28,100.17
243,2021-08-27,100.17
244,2021-08-26,100.17
245,2021-08-25,100.17
246,2021-08-24,100.17
247,2021-08-23,100.29
248,2021-08-22,100.29
249,2021-08-21,100.39
250,2021-08-20,100.39
251,2021-08-19,100.39
252,2021-08-18,103.42
253,2021-08-17,103.42
254,2021-08-16,103.42
255,2021-08-15,103.42
256,2021-08-14,103.42
257,2021-08-13,103.42
258,2021-08-12,103.42
259,2021-08-11,103.42
260,2021-08-10,103.42
261,2021-08-09,103.42
262,2021-08-08,103.42
263,2021-08-07,103.42
264,2021-08-06,103.42
265,2021-08-05,103.42
266,2021-08-04,103.42
267,2021-08-03,103.42
268,2021-08-02,103.42
269,2021-08-01,103.42
270,2021-07-31,103.42
271,2021-07-30,103.42
272,2021-07-29,103.42
273,2021-07-28,103.42
274,2021-07-27,103.42
275,2021-07-26,103.42
276,2021-07-25,103.42
277,2021-07-24,103.42
278,2021-07-23,103.42
279,2021-07-22,103.42
280,2021-07-21,103.42
281,2021-07-20,103.42
282,2021-07-19,103.42
283,2021-07-18,103.42
284,2021-07-17,103.42
285,2021-07-16,103.16
286,2021-07-15,103.16
287,2021-07-14,102.85
288,2021-07-13,102.85
289,2021-07-12,102.85
290,2021-07-11,102.6
291,2021-07-10,102.6
292,2021-07-09,102.29
293,2021-07-08,102.29
294,2021-07-07,101.99
295,2021-07-06,101.68
296,2021-07-05,101.68
297,2021-07-04,101.37
298,2021-07-03,101.06
299,2021-07-02,101.06
300,2021-07-01,100.73
301,2021-06-30,100.73
302,2021-06-29,100.73
303,2021-06-28,100.42
304,2021-06-27,100.42
305,2021-06-26,100.11
306,2021-06-25,99.81
307,2021-06-24,99.81
308,2021-06-23,99.58
309,2021-06-22,99.58
310,2021-06-21,99.33
311,2021-06-20,99.33
312,2021-06-19,99.07
313,2021-06-18,99.07
314,2021-06-17,98.83
315,2021-06-16,98.83
316,2021-06-15,98.61
317,2021-06-14,98.61
318,2021-06-13,98.36
319,2021-06-12,98.36
320,2021-06-11,98.12
321,2021-06-10,97.86
322,2021-06-09,97.86
323,2021-06-08,97.64
324,2021-06-07,97.64
325,2021-06-06,97.4
326,2021-06-05,97.16
327,2021-06-04,97.16
328,2021-06-03,96.92
329,2021-06-02,96.92
330,2021-06-01,96.92
331,2021-05-31,96.69
332,2021-05-30,96.43
333,2021-05-29,96.43
334,2021-05-28,96.21
335,2021-05-27,96.21
336,2021-05-26,95.99
337,2021-05-25,95.99
338,2021-05-24,95.79
339,2021-05-23,95.79
340,2021-05-22,95.64
