,date,price
0,2022-05-01,113.05
1,2022-04-30,113.05
2,2022-04-29,113.05
3,2022-04-28,113.05
4,2022-04-27,113.05
5,2022-04-26,113.05
6,2022-04-25,113.05
7,2022-04-24,113.05
8,2022-04-23,113.05
9,2022-04-22,113.05
10,2022-04-21,113.05
11,2022-04-20,113.05
12,2022-04-19,113.05
13,2022-04-18,113.05
14,2022-04-17,113.05
15,2022-04-16,113.05
16,2022-04-15,113.05
17,2022-04-14,113.05
18,2022-04-13,113.05
19,2022-04-12,113.05
20,2022-04-11,113.05
21,2022-04-10,113.05
22,2022-04-09,113.05
23,2022-04-08,113.05
24,2022-04-07,113.05
25,2022-04-06,113.05
26,2022-04-05,112.29
27,2022-04-04,111.54
28,2022-04-03,111.16
29,2022-04-02,110.4
30,2022-04-01,109.65
31,2022-03-31,109.65
32,2022-03-30,108.89
33,2022-03-29,108.13
34,2022-03-28,107.38
35,2022-03-27,107.09
36,2022-03-26,106.62
37,2022-03-25,105.9
38,2022-03-24,105.14
39,2022-03-23,105.14
40,2022-03-22,104.38
41,2022-03-21,103.63
42,2022-03-20,103.63
43,2022-03-19,103.63
44,2022-03-18,103.63
45,2022-03-17,103.63
46,2022-03-16,103.63
47,2022-03-15,103.63
48,2022-03-14,103.63
49,2022-03-13,103.63
50,2022-03-12,103.63
51,2022-03-11,103.63
52,2022-03-10,103.63
53,2022-03-09,103.63
54,2022-03-08,103.63
55,2022-03-07,103.63
56,2022-03-06,103.63
57,2022-03-05,103.63
58,2022-03-04,103.63
59,2022-03-03,103.63
60,2022-03-02,103.63
61,2022-03-01,103.63
62,2022-02-28,103.63
63,2022-02-27,103.63
64,2022-02-26,103.63
65,2022-02-25,103.63
66,2022-02-24,103.63
67,2022-02-23,103.63
68,2022-02-22,103.63
69,2022-02-21,103.63
70,2022-02-20,103.63
71,2022-02-19,103.63
72,2022-02-18,103.63
73,2022-02-17,103.63
74,2022-02-16,103.63
75,2022-02-15,103.63
76,2022-02-14,103.63
77,2022-02-13,103.63
78,2022-02-12,103.63
79,2022-02-11,103.63
80,2022-02-10,103.63
81,2022-02-09,103.63
82,2022-02-08,103.63
83,2022-02-07,103.63
84,2022-02-06,103.63
85,2022-02-05,103.63
86,2022-02-04,103.63
87,2022-02-03,103.63
88,2022-02-02,103.63
89,2022-02-01,103.63
90,2022-01-31,103.63
91,2022-01-30,103.63
92,2022-01-29,103.63
93,2022-01-28,103.63
94,2022-01-27,103.63
95,2022-01-26,103.63
96,2022-01-25,103.63
97,2022-01-24,103.63
98,2022-01-23,103.63
99,2022-01-22,103.63
100,2022-01-21,103.63
101,2022-01-20,103.63
102,2022-01-19,103.63
103,2022-01-18,103.63
104,2022-01-17,103.63
105,2022-01-16,103.63
106,2022-01-15,103.63
107,2022-01-14,103.63
108,2022-01-13,103.63
109,2022-01-12,103.63
110,2022-01-11,103.63
111,2022-01-10,103.63
112,2022-01-09,103.63
113,2022-01-08,103.63
114,2022-01-07,103.63
115,2022-01-06,103.63
116,2022-01-05,103.63
117,2022-01-04,103.63
118,2022-01-03,103.63
119,2022-01-02,103.63
120,2022-01-01,103.63
121,2021-12-31,103.63
122,2021-12-30,103.63
123,2021-12-29,103.63
124,2021-12-28,103.63
125,2021-12-27,103.63
126,2021-12-26,103.63
127,2021-12-25,103.63
128,2021-12-24,103.63
129,2021-12-23,103.63
130,2021-12-22,103.63
131,2021-12-21,103.63
132,2021-12-20,103.63
133,2021-12-19,103.63
134,2021-12-18,103.63
135,2021-12-17,103.63
136,2021-12-16,103.63
137,2021-12-15,103.63
138,2021-12-14,103.63
139,2021-12-13,103.63
140,2021-12-12,103.63
141,2021-12-11,103.63
142,2021-12-10,103.63
143,2021-12-09,103.63
144,2021-12-08,103.63
145,2021-12-07,103.63
146,2021-12-06,103.63
147,2021-12-05,103.63
148,2021-12-04,103.63
149,2021-12-03,103.63
150,2021-12-02,103.63
151,2021-11-30,103.63
152,2021-11-29,103.63
153,2021-11-28,103.63
154,2021-11-27,103.63
155,2021-11-26,103.63
156,2021-11-25,103.63
157,2021-11-24,103.63
158,2021-11-23,103.63
159,2021-11-22,103.63
160,2021-11-21,103.63
161,2021-11-20,103.63
162,2021-11-19,103.63
163,2021-11-18,103.63
164,2021-11-17,103.63
165,2021-11-16,103.63
166,2021-11-15,103.63
167,2021-11-14,103.63
168,2021-11-13,103.63
169,2021-11-12,103.63
170,2021-11-11,103.63
171,2021-11-10,103.63
172,2021-11-09,103.63
173,2021-11-08,103.63
174,2021-11-07,103.63
175,2021-11-06,103.63
176,2021-11-05,103.63
177,2021-11-04,103.63
178,2021-11-03,108.89
179,2021-11-02,108.89
180,2021-11-01,108.57
181,2021-10-31,108.01
182,2021-10-30,107.71
183,2021-10-29,107.41
184,2021-10-28,107.1
185,2021-10-27,106.8
186,2021-10-26,106.5
187,2021-10-25,106.5
188,2021-10-24,106.5
189,2021-10-23,106.19
190,2021-10-22,105.89
191,2021-10-21,105.58
192,2021-10-20,105.28
193,2021-10-19,104.98
194,2021-10-18,104.98
195,2021-10-15,104.37
196,2021-10-14,104.07
197,2021-10-13,103.76
