,date,price
0,2022-05-01,112.31
1,2022-04-30,112.31
2,2022-04-29,112.31
3,2022-04-28,112.31
4,2022-04-27,112.31
5,2022-04-26,112.31
6,2022-04-25,112.31
7,2022-04-24,112.31
8,2022-04-23,112.31
9,2022-04-22,112.31
10,2022-04-21,112.31
11,2022-04-20,112.31
12,2022-04-19,112.31
13,2022-04-18,112.31
14,2022-04-17,112.31
15,2022-04-16,112.31
16,2022-04-15,112.31
17,2022-04-14,112.31
18,2022-04-13,112.31
19,2022-04-12,112.31
20,2022-04-11,112.31
21,2022-04-10,112.31
22,2022-04-09,112.31
23,2022-04-08,112.31
24,2022-04-07,112.31
25,2022-04-06,112.31
26,2022-04-05,111.55
27,2022-04-04,110.8
28,2022-04-03,110.42
29,2022-04-02,109.66
30,2022-04-01,108.91
31,2022-03-31,108.91
32,2022-03-30,108.15
33,2022-03-29,107.4
34,2022-03-28,106.64
35,2022-03-27,106.36
36,2022-03-26,105.89
37,2022-03-25,105.16
38,2022-03-24,104.41
39,2022-03-23,104.41
40,2022-03-22,103.65
41,2022-03-21,102.89
42,2022-03-20,102.89
43,2022-03-19,102.89
44,2022-03-18,102.89
45,2022-03-17,102.89
46,2022-03-16,102.89
47,2022-03-15,102.89
48,2022-03-14,102.89
49,2022-03-13,102.89
50,2022-03-12,102.89
51,2022-03-11,102.89
52,2022-03-10,102.89
53,2022-03-09,102.89
54,2022-03-08,102.89
55,2022-03-07,102.89
56,2022-03-06,102.89
57,2022-03-05,102.89
58,2022-03-04,102.89
59,2022-03-03,102.89
60,2022-03-02,102.89
61,2022-03-01,102.89
62,2022-02-28,102.89
63,2022-02-27,102.89
64,2022-02-26,102.89
65,2022-02-25,102.89
66,2022-02-24,102.89
67,2022-02-23,102.89
68,2022-02-22,102.89
69,2022-02-21,102.89
70,2022-02-20,102.89
71,2022-02-19,102.89
72,2022-02-18,102.89
73,2022-02-17,102.89
74,2022-02-16,102.89
75,2022-02-15,102.89
76,2022-02-14,102.89
77,2022-02-13,102.89
78,2022-02-12,102.89
79,2022-02-11,102.89
80,2022-02-10,102.89
81,2022-02-09,102.89
82,2022-02-08,102.89
83,2022-02-07,102.89
84,2022-02-06,102.89
85,2022-02-05,102.89
86,2022-02-04,102.89
87,2022-02-03,102.89
88,2022-02-02,102.89
89,2022-02-01,102.89
90,2022-01-31,102.89
91,2022-01-30,102.89
92,2022-01-29,102.89
93,2022-01-28,102.89
94,2022-01-27,102.89
95,2022-01-26,102.89
96,2022-01-25,102.89
97,2022-01-24,102.89
98,2022-01-23,102.89
99,2022-01-22,102.89
100,2022-01-21,102.89
101,2022-01-20,102.89
102,2022-01-19,102.89
103,2022-01-18,102.89
104,2022-01-17,102.89
105,2022-01-16,102.89
106,2022-01-15,102.89
107,2022-01-14,102.89
