,date,price
0,2022-05-01,111.64
1,2022-04-30,111.64
2,2022-04-29,111.64
3,2022-04-28,111.64
4,2022-04-27,111.64
5,2022-04-26,111.64
6,2022-04-25,111.64
7,2022-04-24,111.64
8,2022-04-23,111.64
9,2022-04-22,111.64
10,2022-04-21,111.64
11,2022-04-20,111.64
12,2022-04-19,111.64
13,2022-04-18,111.64
14,2022-04-17,111.64
15,2022-04-16,111.64
16,2022-04-15,111.64
17,2022-04-14,111.64
18,2022-04-13,111.64
19,2022-04-12,111.64
20,2022-04-11,111.64
21,2022-04-10,111.64
22,2022-04-09,111.64
23,2022-04-08,111.64
24,2022-04-07,111.64
25,2022-04-06,111.64
26,2022-04-05,110.89
27,2022-04-04,110.13
28,2022-04-03,109.75
29,2022-04-02,109
30,2022-04-01,108.24
31,2022-03-31,108.24
32,2022-03-30,107.48
33,2022-03-29,106.73
34,2022-03-28,105.97
35,2022-03-27,105.69
36,2022-03-26,105.22
37,2022-03-25,104.47
38,2022-03-24,103.72
39,2022-03-23,103.72
40,2022-03-22,102.96
41,2022-03-21,102.21
42,2022-03-20,102.21
43,2022-03-19,102.21
44,2022-03-18,102.21
45,2022-03-17,102.21
46,2022-03-16,102.21
47,2022-03-15,102.21
48,2022-03-14,102.21
49,2022-03-13,102.21
50,2022-03-12,102.21
51,2022-03-11,102.21
52,2022-03-10,102.21
53,2022-03-09,102.21
54,2022-03-08,102.21
55,2022-03-07,102.21
56,2022-03-06,102.21
57,2022-03-05,102.21
58,2022-03-04,102.21
59,2022-03-03,102.21
60,2022-03-02,102.21
61,2022-03-01,102.21
62,2022-02-28,102.21
63,2022-02-27,102.21
64,2022-02-26,102.21
65,2022-02-25,102.21
66,2022-02-24,102.21
67,2022-02-23,102.21
68,2022-02-22,102.21
69,2022-02-21,102.21
70,2022-02-20,102.21
71,2022-02-19,102.21
72,2022-02-18,102.21
73,2022-02-17,102.21
74,2022-02-16,102.21
75,2022-02-15,102.21
76,2022-02-14,102.21
77,2022-02-13,102.21
78,2022-02-12,102.21
79,2022-02-11,102.21
80,2022-02-10,102.21
81,2022-02-09,102.21
82,2022-02-08,102.21
83,2022-02-07,102.21
84,2022-02-06,102.21
85,2022-02-05,102.21
86,2022-02-04,102.21
87,2022-02-03,102.21
88,2022-02-02,102.21
89,2022-02-01,102.21
90,2022-01-31,102.21
91,2022-01-30,102.21
92,2022-01-29,102.21
93,2022-01-28,102.21
94,2022-01-27,102.21
95,2022-01-26,102.21
96,2022-01-25,102.21
97,2022-01-24,102.21
98,2022-01-23,102.21
99,2022-01-22,102.21
100,2022-01-21,102.21
101,2022-01-20,102.21
102,2022-01-19,102.21
103,2022-01-18,102.21
104,2022-01-17,102.21
105,2022-01-16,102.21
106,2022-01-15,102.21
107,2022-01-14,102.21
108,2022-01-13,102.21
109,2022-01-12,102.21
110,2022-01-11,102.21
111,2022-01-10,102.21
112,2022-01-09,102.21
113,2022-01-08,102.21
114,2022-01-07,102.21
115,2022-01-06,102.21
116,2022-01-05,102.21
117,2022-01-04,102.21
118,2022-01-03,102.21
119,2022-01-02,102.21
120,2022-01-01,102.21
121,2021-12-31,102.21
122,2021-12-30,102.21
123,2021-12-29,102.21
124,2021-12-28,102.21
125,2021-12-27,102.21
126,2021-12-26,102.21
127,2021-12-25,102.21
128,2021-12-24,102.21
129,2021-12-23,102.21
130,2021-12-22,102.21
131,2021-12-21,102.21
132,2021-12-20,102.21
133,2021-12-19,102.21
134,2021-12-18,102.21
135,2021-12-17,102.21
136,2021-12-16,102.21
137,2021-12-15,102.21
138,2021-12-14,102.21
139,2021-12-13,102.21
140,2021-12-12,102.21
141,2021-12-11,102.21
142,2021-12-10,102.21
143,2021-12-09,102.21
144,2021-12-08,102.21
145,2021-12-07,102.21
146,2021-12-06,102.21
147,2021-12-05,102.21
148,2021-12-04,102.21
149,2021-12-03,102.21
150,2021-12-02,102.21
151,2021-11-30,102.21
152,2021-11-29,102.21
153,2021-11-28,102.21
154,2021-11-27,102.21
155,2021-11-26,102.21
156,2021-11-25,102.21
157,2021-11-24,102.21
158,2021-11-23,102.21
159,2021-11-22,102.21
160,2021-11-21,102.21
161,2021-11-20,102.21
162,2021-11-19,102.21
163,2021-11-18,102.21
164,2021-11-17,102.21
165,2021-11-16,102.21
166,2021-11-15,102.21
167,2021-11-14,102.21
168,2021-11-13,102.21
169,2021-11-12,102.21
170,2021-11-11,102.21
171,2021-11-10,102.21
172,2021-11-09,102.21
173,2021-11-08,102.21
174,2021-11-07,102.21
175,2021-11-06,102.21
176,2021-11-05,102.21
177,2021-11-04,102.21
178,2021-11-03,107.47
179,2021-11-02,107.47
180,2021-11-01,107.15
181,2021-10-31,106.8
182,2021-10-30,106.5
183,2021-10-29,106.2
184,2021-10-28,105.89
185,2021-10-27,105.59
186,2021-10-26,105.29
187,2021-10-25,105.29
188,2021-10-24,105.29
189,2021-10-23,104.98
190,2021-10-22,104.68
191,2021-10-21,104.38
192,2021-10-20,104.07
193,2021-10-19,103.77
194,2021-10-18,103.77
195,2021-10-15,103.16
196,2021-10-14,102.86
197,2021-10-13,102.56
198,2021-10-12,102.56
199,2021-10-11,102.56
200,2021-10-10,102.3
201,2021-10-09,102.04
202,2021-10-08,101.78
203,2021-10-07,101.52
204,2021-10-06,101.26
205,2021-10-05,101
206,2021-10-04,100.78
207,2021-10-03,100.78
208,2021-10-02,100.56
209,2021-10-01,100.34
210,2021-09-30,100.14
211,2021-09-29,99.93
212,2021-09-28,99.93
213,2021-09-27,99.77
214,2021-09-26,99.77
215,2021-09-25,99.77
216,2021-09-24,99.77
217,2021-09-23,99.77
218,2021-09-22,99.77
219,2021-09-21,99.77
220,2021-09-20,99.77
221,2021-09-19,99.77
222,2021-09-18,99.77
223,2021-09-17,99.77
224,2021-09-16,99.77
225,2021-09-15,99.77
226,2021-09-14,99.77
227,2021-09-13,99.77
228,2021-09-12,99.77
229,2021-09-11,99.77
230,2021-09-10,99.77
231,2021-09-09,99.77
232,2021-09-08,99.77
233,2021-09-07,99.77
234,2021-09-06,99.77
235,2021-09-05,99.77
236,2021-09-03,99.91
237,2021-09-02,99.91
238,2021-09-01,99.91
239,2021-08-31,100.05
240,2021-08-30,100.05
241,2021-08-29,100.05
242,2021-08-28,100.05
243,2021-08-27,100.05
244,2021-08-26,100.05
245,2021-08-25,100.05
246,2021-08-24,100.05
247,2021-08-23,100.17
248,2021-08-22,100.17
249,2021-08-21,100.29
250,2021-08-20,100.29
251,2021-08-19,100.29
252,2021-08-18,103.32
253,2021-08-17,103.32
254,2021-08-16,103.32
255,2021-08-15,103.32
256,2021-08-14,103.32
257,2021-08-13,103.32
258,2021-08-12,103.32
259,2021-08-11,103.32
260,2021-08-10,103.32
261,2021-08-09,103.32
262,2021-08-08,103.32
263,2021-08-07,103.32
264,2021-08-06,103.32
265,2021-08-05,103.32
266,2021-08-04,103.32
267,2021-08-03,103.32
268,2021-08-02,103.32
269,2021-08-01,103.32
270,2021-07-31,103.32
271,2021-07-30,103.32
272,2021-07-29,103.32
273,2021-07-28,103.32
274,2021-07-27,103.32
275,2021-07-26,103.32
276,2021-07-25,103.32
277,2021-07-24,103.32
278,2021-07-23,103.32
279,2021-07-22,103.32
280,2021-07-21,103.32
281,2021-07-20,103.32
282,2021-07-19,103.32
283,2021-07-18,103.32
284,2021-07-17,103.32
285,2021-07-16,103.06
286,2021-07-15,103.06
287,2021-07-14,102.75
288,2021-07-13,102.75
289,2021-07-12,102.75
290,2021-07-11,102.5
291,2021-07-10,102.5
292,2021-07-09,102.19
293,2021-07-08,102.19
294,2021-07-07,101.88
295,2021-07-06,101.57
296,2021-07-05,101.57
297,2021-07-04,101.27
298,2021-07-03,100.96
299,2021-07-02,100.96
300,2021-07-01,100.63
301,2021-06-30,100.63
302,2021-06-29,100.63
303,2021-06-28,100.32
304,2021-06-27,100.32
305,2021-06-26,100.01
306,2021-06-25,99.7
307,2021-06-24,99.7
308,2021-06-23,99.47
309,2021-06-22,99.47
310,2021-06-21,99.23
311,2021-06-20,99.23
312,2021-06-19,98.97
313,2021-06-18,98.97
314,2021-06-17,98.73
315,2021-06-16,98.73
316,2021-06-15,98.51
317,2021-06-14,98.51
318,2021-06-13,98.26
319,2021-06-12,98.26
320,2021-06-11,98.02
321,2021-06-10,97.76
322,2021-06-09,97.76
323,2021-06-08,97.54
324,2021-06-07,97.54
325,2021-06-06,97.29
326,2021-06-05,97.06
327,2021-06-04,97.06
328,2021-06-03,96.82
329,2021-06-02,96.82
330,2021-06-01,96.82
331,2021-05-31,96.59
332,2021-05-30,96.33
333,2021-05-29,96.33
334,2021-05-28,96.1
335,2021-05-27,96.1
336,2021-05-26,95.89
337,2021-05-25,95.89
338,2021-05-24,95.69
339,2021-05-23,95.69
340,2021-05-22,95.54
341,2021-05-21,95.54
342,2021-05-20,95.37
343,2021-05-19,95.37
344,2021-05-18,95.37
345,2021-05-17,95.13
346,2021-05-16,95.13
347,2021-05-15,94.92
348,2021-05-14,94.92
349,2021-05-13,94.66
350,2021-05-12,94.66
351,2021-05-11,94.44
352,2021-05-10,94.21
353,2021-05-09,93.98
354,2021-05-08,93.98
355,2021-05-07,93.98
356,2021-05-06,93.73
357,2021-05-05,93.51
358,2021-05-04,93.34
359,2021-05-03,93.16
360,2021-05-02,93.16
361,2021-05-01,93.16
362,2021-04-30,93.16
363,2021-04-29,93.16
364,2021-04-28,93.16
