,date,price
0,2022-05-01,111.85
1,2022-04-30,111.85
2,2022-04-29,111.85
3,2022-04-28,111.85
4,2022-04-27,111.85
5,2022-04-26,111.85
6,2022-04-25,111.85
7,2022-04-24,111.85
8,2022-04-23,111.85
9,2022-04-22,111.85
10,2022-04-21,111.85
11,2022-04-20,111.85
12,2022-04-19,111.85
13,2022-04-18,111.85
14,2022-04-17,111.85
15,2022-04-16,111.85
16,2022-04-15,111.85
17,2022-04-14,111.85
18,2022-04-13,111.85
19,2022-04-12,111.85
20,2022-04-11,111.85
21,2022-04-10,111.85
22,2022-04-09,111.85
23,2022-04-08,111.85
24,2022-04-07,111.85
25,2022-04-06,111.85
26,2022-04-05,111.09
27,2022-04-04,110.33
28,2022-04-03,109.96
29,2022-04-02,109.2
30,2022-04-01,108.44
31,2022-03-31,108.44
32,2022-03-30,107.69
33,2022-03-29,106.93
34,2022-03-28,106.18
35,2022-03-27,105.89
36,2022-03-26,105.42
37,2022-03-25,104.68
38,2022-03-24,103.93
39,2022-03-23,103.93
40,2022-03-22,103.17
41,2022-03-21,102.42
42,2022-03-20,102.42
43,2022-03-19,102.42
44,2022-03-18,102.42
45,2022-03-17,102.42
46,2022-03-16,102.42
47,2022-03-15,102.42
48,2022-03-14,102.42
49,2022-03-13,102.42
50,2022-03-12,102.42
51,2022-03-11,102.42
52,2022-03-10,102.42
53,2022-03-09,102.42
54,2022-03-08,102.42
55,2022-03-07,102.42
56,2022-03-06,102.42
57,2022-03-05,102.42
58,2022-03-04,102.42
59,2022-03-03,102.42
60,2022-03-02,102.42
61,2022-03-01,102.42
62,2022-02-28,102.42
63,2022-02-27,102.42
64,2022-02-26,102.42
65,2022-02-25,102.42
66,2022-02-24,102.42
67,2022-02-23,102.42
68,2022-02-22,102.42
69,2022-02-21,102.42
70,2022-02-20,102.42
71,2022-02-19,102.42
72,2022-02-18,102.42
73,2022-02-17,102.42
74,2022-02-16,102.42
75,2022-02-15,102.42
76,2022-02-14,102.42
77,2022-02-13,102.42
78,2022-02-12,102.42
79,2022-02-11,102.42
80,2022-02-10,102.42
81,2022-02-09,102.42
82,2022-02-08,102.42
83,2022-02-07,102.42
84,2022-02-06,102.42
85,2022-02-05,102.42
86,2022-02-04,102.42
87,2022-02-03,102.42
88,2022-02-02,102.42
89,2022-02-01,102.42
90,2022-01-31,102.42
91,2022-01-30,102.42
92,2022-01-29,102.42
93,2022-01-28,102.42
94,2022-01-27,102.42
95,2022-01-26,102.42
96,2022-01-25,102.42
