,date,price
0,2022-05-01,112.15
1,2022-04-30,112.15
2,2022-04-29,112.15
3,2022-04-28,112.15
4,2022-04-27,112.15
5,2022-04-26,112.15
6,2022-04-25,112.15
7,2022-04-24,112.15
8,2022-04-23,112.15
9,2022-04-22,112.15
10,2022-04-21,112.15
11,2022-04-20,112.15
12,2022-04-19,112.15
13,2022-04-18,112.15
14,2022-04-17,112.15
15,2022-04-16,112.15
16,2022-04-15,112.15
17,2022-04-14,112.15
18,2022-04-13,112.15
19,2022-04-12,112.15
20,2022-04-11,112.15
21,2022-04-10,112.15
22,2022-04-09,112.15
23,2022-04-08,112.15
24,2022-04-07,112.15
25,2022-04-06,112.15
26,2022-04-05,111.39
27,2022-04-04,110.63
28,2022-04-03,110.26
29,2022-04-02,109.5
30,2022-04-01,108.74
31,2022-03-31,108.74
32,2022-03-30,107.99
33,2022-03-29,107.23
34,2022-03-28,106.48
35,2022-03-27,106.19
36,2022-03-26,105.72
37,2022-03-25,105.01
38,2022-03-24,104.25
39,2022-03-23,104.25
40,2022-03-22,103.5
41,2022-03-21,102.74
42,2022-03-20,102.74
43,2022-03-19,102.74
44,2022-03-18,102.74
45,2022-03-17,102.74
46,2022-03-16,102.74
47,2022-03-15,102.74
48,2022-03-14,102.74
49,2022-03-13,102.74
50,2022-03-12,102.74
51,2022-03-11,102.74
52,2022-03-10,102.74
53,2022-03-09,102.74
54,2022-03-08,102.74
55,2022-03-07,102.74
56,2022-03-06,102.74
57,2022-03-05,102.74
58,2022-03-04,102.74
59,2022-03-03,102.74
60,2022-03-02,102.74
61,2022-03-01,102.74
62,2022-02-28,102.74
63,2022-02-27,102.74
64,2022-02-26,102.74
65,2022-02-25,102.74
66,2022-02-24,102.74
67,2022-02-23,102.74
68,2022-02-22,102.74
69,2022-02-21,102.74
70,2022-02-20,102.74
71,2022-02-19,102.74
72,2022-02-18,102.74
73,2022-02-17,102.74
74,2022-02-16,102.74
75,2022-02-15,102.74
76,2022-02-14,102.74
77,2022-02-13,102.74
78,2022-02-12,102.74
79,2022-02-11,102.74
80,2022-02-10,102.74
81,2022-02-09,102.74
82,2022-02-08,102.74
83,2022-02-07,102.74
84,2022-02-06,102.74
85,2022-02-05,102.74
86,2022-02-04,102.74
87,2022-02-03,102.74
88,2022-02-02,102.74
89,2022-02-01,102.74
90,2022-01-31,102.74
91,2022-01-30,102.74
92,2022-01-29,102.74
93,2022-01-28,102.74
94,2022-01-27,102.74
95,2022-01-26,102.74
96,2022-01-25,102.74
97,2022-01-24,102.74
98,2022-01-23,102.74
99,2022-01-22,102.74
100,2022-01-21,102.74
101,2022-01-20,102.74
102,2022-01-19,102.74
103,2022-01-18,102.74
104,2022-01-17,102.74
105,2022-01-16,102.74
106,2022-01-15,102.74
107,2022-01-14,102.74
108,2022-01-13,102.74
109,2022-01-12,102.74
110,2022-01-11,102.74
111,2022-01-10,102.74
112,2022-01-09,102.74
113,2022-01-08,102.74
114,2022-01-07,102.74
115,2022-01-06,102.74
116,2022-01-05,102.74
117,2022-01-04,102.74
118,2022-01-03,102.74
119,2022-01-02,102.74
120,2022-01-01,102.74
121,2021-12-31,102.74
122,2021-12-30,102.74
123,2021-12-29,102.74
124,2021-12-28,102.74
125,2021-12-27,102.74
126,2021-12-26,102.74
127,2021-12-25,102.74
128,2021-12-24,102.74
129,2021-12-23,102.74
