,date,price
0,2022-05-01,112.5
1,2022-04-30,112.5
2,2022-04-29,112.5
3,2022-04-28,112.5
4,2022-04-27,112.5
5,2022-04-26,112.5
6,2022-04-25,112.5
7,2022-04-24,112.5
8,2022-04-23,112.5
9,2022-04-22,112.5
10,2022-04-21,112.5
11,2022-04-20,112.5
12,2022-04-19,112.5
13,2022-04-18,112.5
14,2022-04-17,112.5
15,2022-04-16,112.5
16,2022-04-15,112.5
17,2022-04-14,112.5
18,2022-04-13,112.5
19,2022-04-12,112.5
20,2022-04-11,112.5
21,2022-04-10,112.5
22,2022-04-09,112.5
23,2022-04-08,112.5
24,2022-04-07,112.5
25,2022-04-06,112.5
26,2022-04-05,111.74
27,2022-04-04,110.99
28,2022-04-03,110.61
29,2022-04-02,109.85
30,2022-04-01,109.1
31,2022-03-31,109.1
32,2022-03-30,108.34
33,2022-03-29,107.59
34,2022-03-28,106.83
35,2022-03-27,106.55
36,2022-03-26,106.07
37,2022-03-25,105.37
38,2022-03-24,104.62
39,2022-03-23,104.62
40,2022-03-22,103.86
41,2022-03-21,103.1
42,2022-03-20,103.1
43,2022-03-19,103.1
44,2022-03-18,103.1
45,2022-03-17,103.1
46,2022-03-16,103.1
47,2022-03-15,103.1
48,2022-03-14,103.1
49,2022-03-13,103.1
50,2022-03-12,103.1
51,2022-03-11,103.1
52,2022-03-10,103.1
53,2022-03-09,103.1
54,2022-03-08,103.1
55,2022-03-07,103.1
56,2022-03-06,103.1
57,2022-03-05,103.1
58,2022-03-04,103.1
59,2022-03-03,103.1
60,2022-03-02,103.1
61,2022-03-01,103.1
62,2022-02-28,103.1
63,2022-02-27,103.1
64,2022-02-26,103.1
65,2022-02-25,103.1
66,2022-02-24,103.1
67,2022-02-23,103.1
68,2022-02-22,103.1
69,2022-02-21,103.1
70,2022-02-20,103.1
71,2022-02-19,103.1
72,2022-02-18,103.1
73,2022-02-17,103.1
74,2022-02-16,103.1
75,2022-02-15,103.1
76,2022-02-14,103.1
77,2022-02-13,103.1
78,2022-02-12,103.1
79,2022-02-11,103.1
80,2022-02-10,103.1
81,2022-02-09,103.1
82,2022-02-08,103.1
83,2022-02-07,103.1
84,2022-02-06,103.1
85,2022-02-05,103.1
86,2022-02-04,103.1
87,2022-02-03,103.1
88,2022-02-02,103.1
89,2022-02-01,103.1
90,2022-01-31,103.1
91,2022-01-30,103.1
92,2022-01-29,103.1
93,2022-01-28,103.1
94,2022-01-27,103.1
95,2022-01-26,103.1
96,2022-01-25,103.1
97,2022-01-24,103.1
98,2022-01-23,103.1
99,2022-01-22,103.1
100,2022-01-21,103.1
101,2022-01-20,103.1
102,2022-01-19,103.1
103,2022-01-18,103.1
104,2022-01-17,103.1
105,2022-01-16,103.1
106,2022-01-15,103.1
107,2022-01-14,103.1
108,2022-01-13,103.1
109,2022-01-12,103.1
110,2022-01-11,103.1
111,2022-01-10,103.1
