,date,price
0,2022-05-01,111.51
1,2022-04-30,111.51
2,2022-04-29,111.51
3,2022-04-28,111.51
4,2022-04-27,111.51
5,2022-04-26,111.51
6,2022-04-25,111.51
7,2022-04-24,111.51
8,2022-04-23,111.51
9,2022-04-22,111.51
10,2022-04-21,111.51
11,2022-04-20,111.51
12,2022-04-19,111.51
13,2022-04-18,111.51
14,2022-04-17,111.51
15,2022-04-16,111.51
16,2022-04-15,111.51
17,2022-04-14,111.51
18,2022-04-13,111.51
19,2022-04-12,111.51
20,2022-04-11,111.51
21,2022-04-10,111.51
22,2022-04-09,111.51
23,2022-04-08,111.51
24,2022-04-07,111.51
25,2022-04-06,111.51
26,2022-04-05,110.75
27,2022-04-04,110
28,2022-04-03,109.62
29,2022-04-02,108.86
30,2022-04-01,108.11
31,2022-03-31,108.11
32,2022-03-30,107.35
33,2022-03-29,106.59
34,2022-03-28,105.84
35,2022-03-27,105.56
36,2022-03-26,105.08
37,2022-03-25,104.33
38,2022-03-24,103.58
39,2022-03-23,103.58
40,2022-03-22,102.82
41,2022-03-21,102.07
42,2022-03-20,102.07
43,2022-03-19,102.07
44,2022-03-18,102.07
45,2022-03-17,102.07
46,2022-03-16,102.07
47,2022-03-15,102.07
48,2022-03-14,102.07
49,2022-03-13,102.07
50,2022-03-12,102.07
51,2022-03-11,102.07
52,2022-03-10,102.07
53,2022-03-09,102.07
54,2022-03-08,102.07
55,2022-03-07,102.07
56,2022-03-06,102.07
57,2022-03-05,102.07
58,2022-03-04,102.07
59,2022-03-03,102.07
60,2022-03-02,102.07
61,2022-03-01,102.07
62,2022-02-28,102.07
63,2022-02-27,102.07
64,2022-02-26,102.07
65,2022-02-25,102.07
66,2022-02-24,102.07
67,2022-02-23,102.07
68,2022-02-22,102.07
69,2022-02-21,102.07
70,2022-02-20,102.07
71,2022-02-19,102.07
72,2022-02-18,102.07
73,2022-02-17,102.07
74,2022-02-16,102.07
75,2022-02-15,102.07
76,2022-02-14,102.07
77,2022-02-13,102.07
78,2022-02-12,102.07
79,2022-02-11,102.07
80,2022-02-10,102.07
81,2022-02-09,102.07
82,2022-02-08,102.07
83,2022-02-07,102.07
84,2022-02-06,102.07
85,2022-02-05,102.07
86,2022-02-04,102.07
87,2022-02-03,102.07
88,2022-02-02,102.07
89,2022-02-01,102.07
90,2022-01-31,102.07
91,2022-01-30,102.07
92,2022-01-29,102.07
93,2022-01-28,102.07
94,2022-01-27,102.07
95,2022-01-26,102.07
96,2022-01-25,102.07
97,2022-01-24,102.07
98,2022-01-23,102.07
99,2022-01-22,102.07
100,2022-01-21,102.07
101,2022-01-20,102.07
102,2022-01-19,102.07
103,2022-01-18,102.07
104,2022-01-17,102.07
105,2022-01-16,102.07
106,2022-01-15,102.07
107,2022-01-14,102.07
108,2022-01-13,102.07
109,2022-01-12,102.07
110,2022-01-11,102.07
