,date,price
0,2022-05-01,120.36
1,2022-04-30,120.36
2,2022-04-29,120.36
3,2022-04-28,120.36
4,2022-04-27,120.36
5,2022-04-26,120.36
6,2022-04-25,120.36
7,2022-04-24,120.36
8,2022-04-23,120.36
9,2022-04-22,120.36
10,2022-04-21,120.36
11,2022-04-20,120.36
12,2022-04-19,120.36
13,2022-04-18,120.36
14,2022-04-17,120.36
15,2022-04-16,120.36
16,2022-04-15,120.36
17,2022-04-14,120.36
18,2022-04-13,120.36
19,2022-04-12,120.36
20,2022-04-11,120.36
21,2022-04-10,120.36
22,2022-04-09,120.36
23,2022-04-08,120.36
24,2022-04-07,120.36
25,2022-04-06,120.36
26,2022-04-05,119.45
27,2022-04-04,118.55
28,2022-04-03,118.1
29,2022-04-02,117.19
30,2022-04-01,116.29
31,2022-03-31,116.29
32,2022-03-30,115.38
33,2022-03-29,114.48
34,2022-03-28,113.58
35,2022-03-27,113.24
36,2022-03-26,112.67
37,2022-03-25,111.81
38,2022-03-24,110.9
39,2022-03-23,110.9
40,2022-03-22,110
41,2022-03-21,109.09
42,2022-03-20,109.09
43,2022-03-19,109.09
44,2022-03-18,109.09
45,2022-03-17,109.09
46,2022-03-16,109.09
47,2022-03-15,109.09
48,2022-03-14,109.09
49,2022-03-13,109.09
50,2022-03-12,109.09
51,2022-03-11,109.09
52,2022-03-10,109.09
53,2022-03-09,109.09
54,2022-03-08,109.09
55,2022-03-07,109.09
56,2022-03-06,109.09
57,2022-03-05,109.09
58,2022-03-04,109.09
59,2022-03-03,109.09
60,2022-03-02,109.09
61,2022-03-01,109.09
62,2022-02-28,109.09
63,2022-02-27,109.09
64,2022-02-26,109.09
65,2022-02-25,109.09
66,2022-02-24,109.09
67,2022-02-23,109.09
68,2022-02-22,109.09
69,2022-02-21,109.09
70,2022-02-20,109.09
71,2022-02-19,109.09
72,2022-02-18,109.09
73,2022-02-17,109.09
74,2022-02-16,109.09
75,2022-02-15,109.09
76,2022-02-14,109.09
77,2022-02-13,109.09
78,2022-02-12,109.09
79,2022-02-11,109.09
80,2022-02-10,109.09
81,2022-02-09,109.09
82,2022-02-08,109.09
83,2022-02-07,109.09
84,2022-02-06,109.09
85,2022-02-05,109.09
86,2022-02-04,109.09
87,2022-02-03,109.09
88,2022-02-02,109.09
89,2022-02-01,109.09
90,2022-01-31,109.09
91,2022-01-30,109.09
92,2022-01-29,109.09
93,2022-01-28,109.09
94,2022-01-27,109.09
95,2022-01-26,109.09
96,2022-01-25,109.09
97,2022-01-24,109.09
98,2022-01-23,109.09
99,2022-01-22,109.09
100,2022-01-21,109.09
101,2022-01-20,109.09
102,2022-01-19,109.09
103,2022-01-18,109.09
104,2022-01-17,109.09
105,2022-01-16,109.09
106,2022-01-15,109.09
107,2022-01-14,109.09
108,2022-01-13,109.09
109,2022-01-12,109.09
110,2022-01-11,109.09
111,2022-01-10,109.09
112,2022-01-09,109.09
113,2022-01-08,109.09
114,2022-01-07,109.09
115,2022-01-06,109.09
116,2022-01-05,109.09
117,2022-01-04,109.09
118,2022-01-03,109.09
119,2022-01-02,109.09
120,2022-01-01,109.09
121,2021-12-31,109.09
122,2021-12-30,109.09
123,2021-12-29,109.09
124,2021-12-28,109.09
125,2021-12-27,109.09
126,2021-12-26,109.09
127,2021-12-25,109.09
128,2021-12-24,109.09
129,2021-12-23,109.09
130,2021-12-22,109.09
131,2021-12-21,109.09
132,2021-12-20,109.09
133,2021-12-19,109.09
134,2021-12-18,109.09
135,2021-12-17,109.09
136,2021-12-16,109.09
137,2021-12-15,109.09
138,2021-12-14,109.09
139,2021-12-13,109.09
140,2021-12-12,109.09
141,2021-12-11,109.09
142,2021-12-10,109.09
143,2021-12-09,109.09
144,2021-12-08,109.09
145,2021-12-07,109.09
146,2021-12-06,109.09
147,2021-12-05,109.09
148,2021-12-04,109.09
149,2021-12-03,109.09
150,2021-12-02,109.09
151,2021-11-30,109.09
152,2021-11-29,109.09
153,2021-11-28,109.09
154,2021-11-27,109.09
155,2021-11-26,109.09
156,2021-11-25,109.09
157,2021-11-24,109.09
158,2021-11-23,109.09
159,2021-11-22,109.09
160,2021-11-21,109.09
161,2021-11-20,109.09
162,2021-11-19,109.09
163,2021-11-18,109.09
164,2021-11-17,109.09
165,2021-11-16,109.09
166,2021-11-15,109.09
167,2021-11-14,109.09
168,2021-11-13,109.09
169,2021-11-12,109.09
170,2021-11-11,109.09
171,2021-11-10,109.09
172,2021-11-09,109.09
173,2021-11-08,109.09
174,2021-11-07,109.09
175,2021-11-06,109.09
176,2021-11-05,109.09
177,2021-11-04,109.09
178,2021-11-03,115.39
179,2021-11-02,115.39
180,2021-11-01,115.01
181,2021-10-31,114.55
182,2021-10-30,114.18
183,2021-10-29,113.82
184,2021-10-28,113.46
185,2021-10-27,113.1
186,2021-10-26,112.73
187,2021-10-25,112.73
188,2021-10-24,112.73
189,2021-10-23,112.37
190,2021-10-22,112.01
191,2021-10-21,111.64
192,2021-10-20,111.28
193,2021-10-19,110.92
194,2021-10-18,110.92
195,2021-10-15,110.19
196,2021-10-14,109.83
197,2021-10-13,109.46
198,2021-10-12,109.46
199,2021-10-11,109.46
200,2021-10-10,109.15
201,2021-10-09,108.84
202,2021-10-08,108.53
203,2021-10-07,108.22
204,2021-10-06,107.91
205,2021-10-05,107.6
206,2021-10-04,107.34
207,2021-10-03,107.34
208,2021-10-02,107.08
209,2021-10-01,106.82
210,2021-09-30,106.57
211,2021-09-29,106.33
212,2021-09-28,106.33
213,2021-09-27,106.13
214,2021-09-26,106.13
215,2021-09-25,106.13
216,2021-09-24,106.13
217,2021-09-23,106.13
218,2021-09-22,106.13
219,2021-09-21,106.13
220,2021-09-20,106.13
221,2021-09-19,106.13
222,2021-09-18,106.13
223,2021-09-17,106.13
224,2021-09-16,106.13
225,2021-09-15,106.13
226,2021-09-14,106.13
227,2021-09-13,106.13
228,2021-09-12,106.13
229,2021-09-11,106.13
230,2021-09-10,106.13
231,2021-09-09,106.13
232,2021-09-08,106.13
233,2021-09-07,106.13
234,2021-09-06,106.13
235,2021-09-05,106.13
236,2021-09-03,106.3
237,2021-09-02,106.3
238,2021-09-01,106.3
239,2021-08-31,106.47
240,2021-08-30,106.47
241,2021-08-29,106.47
242,2021-08-28,106.47
243,2021-08-27,106.47
244,2021-08-26,106.47
245,2021-08-25,106.47
246,2021-08-24,106.47
247,2021-08-23,106.61
248,2021-08-22,106.61
249,2021-08-21,106.68
250,2021-08-20,106.68
251,2021-08-19,106.68
252,2021-07-16,106.36
253,2021-07-15,106.36
254,2021-07-14,106
255,2021-07-13,106
256,2021-07-12,106
257,2021-07-11,105.71
258,2021-07-10,105.71
259,2021-07-09,105.35
260,2021-07-08,105.35
261,2021-07-07,104.98
262,2021-07-06,104.62
