,date,price
0,2022-05-01,119.41
1,2022-04-30,119.41
2,2022-04-29,119.41
3,2022-04-28,119.41
4,2022-04-27,119.41
5,2022-04-26,119.41
6,2022-04-25,119.41
7,2022-04-24,119.41
8,2022-04-23,119.41
9,2022-04-22,119.41
10,2022-04-21,119.41
11,2022-04-20,119.41
12,2022-04-19,119.41
13,2022-04-18,119.41
14,2022-04-17,119.41
15,2022-04-16,119.41
16,2022-04-15,119.41
17,2022-04-14,119.41
18,2022-04-13,119.41
19,2022-04-12,119.41
20,2022-04-11,119.41
21,2022-04-10,119.41
22,2022-04-09,119.41
23,2022-04-08,119.41
24,2022-04-07,119.41
25,2022-04-06,119.41
26,2022-04-05,118.51
27,2022-04-04,117.61
28,2022-04-03,117.15
29,2022-04-02,116.25
30,2022-04-01,115.34
31,2022-03-31,115.34
32,2022-03-30,114.44
33,2022-03-29,113.54
34,2022-03-28,112.63
35,2022-03-27,112.29
36,2022-03-26,111.73
37,2022-03-25,110.84
38,2022-03-24,109.93
39,2022-03-23,109.93
40,2022-03-22,109.03
41,2022-03-21,108.12
42,2022-03-20,108.12
43,2022-03-19,108.12
44,2022-03-18,108.12
45,2022-03-17,108.12
46,2022-03-16,108.12
47,2022-03-15,108.12
48,2022-03-14,108.12
49,2022-03-13,108.12
50,2022-03-12,108.12
51,2022-03-11,108.12
52,2022-03-10,108.12
53,2022-03-09,108.12
54,2022-03-08,108.12
55,2022-03-07,108.12
56,2022-03-06,108.12
57,2022-03-05,108.12
58,2022-03-04,108.12
59,2022-03-03,108.12
60,2022-03-02,108.12
61,2022-03-01,108.12
62,2022-02-28,108.12
63,2022-02-27,108.12
64,2022-02-26,108.12
65,2022-02-25,108.12
66,2022-02-24,108.12
67,2022-02-23,108.12
68,2022-02-22,108.12
69,2022-02-21,108.12
70,2022-02-20,108.12
71,2022-02-19,108.12
72,2022-02-18,108.12
73,2022-02-17,108.12
74,2022-02-16,108.12
75,2022-02-15,108.12
76,2022-02-14,108.12
77,2022-02-13,108.12
78,2022-02-12,108.12
79,2022-02-11,108.12
80,2022-02-10,108.12
81,2022-02-09,108.12
82,2022-02-08,108.12
83,2022-02-07,108.12
84,2022-02-06,108.12
85,2022-02-05,108.12
86,2022-02-04,108.12
87,2022-02-03,108.12
88,2022-02-02,108.12
89,2022-02-01,108.12
90,2022-01-31,108.12
91,2022-01-30,108.12
92,2022-01-29,108.12
93,2022-01-28,108.12
94,2022-01-27,108.12
95,2022-01-26,108.12
96,2022-01-25,108.12
97,2022-01-24,108.12
98,2022-01-23,108.12
99,2022-01-22,108.12
100,2022-01-21,108.12
101,2022-01-20,108.12
102,2022-01-19,108.12
103,2022-01-18,108.12
104,2022-01-17,108.12
105,2022-01-16,108.12
106,2022-01-15,108.12
107,2022-01-14,108.12
108,2022-01-13,108.12
109,2022-01-12,108.12
110,2022-01-11,108.12
111,2022-01-10,108.12
112,2022-01-09,108.12
113,2022-01-08,108.12
114,2022-01-07,108.12
115,2022-01-06,108.12
116,2022-01-05,108.12
117,2022-01-04,108.12
118,2022-01-03,108.12
119,2022-01-02,108.12
120,2022-01-01,108.12
121,2021-12-31,108.12
122,2021-12-30,108.12
123,2021-12-29,108.12
124,2021-12-28,108.12
125,2021-12-27,108.12
126,2021-12-26,108.12
127,2021-12-25,108.12
128,2021-12-24,108.12
129,2021-12-23,108.12
130,2021-12-22,108.12
131,2021-12-21,108.12
132,2021-12-20,108.12
133,2021-12-19,108.12
134,2021-12-18,108.12
135,2021-12-17,108.12
136,2021-12-16,108.12
137,2021-12-15,108.12
138,2021-12-14,108.12
