,date,price
0,2022-05-01,105.01
1,2022-04-30,105.01
2,2022-04-29,105.01
3,2022-04-28,105.01
4,2022-04-27,105.01
5,2022-04-26,105.01
6,2022-04-25,105.01
7,2022-04-24,105.01
8,2022-04-23,105.01
9,2022-04-22,105.01
10,2022-04-21,105.01
11,2022-04-20,105.01
12,2022-04-19,105.01
13,2022-04-18,105.01
14,2022-04-17,105.01
15,2022-04-16,105.01
16,2022-04-15,105.01
17,2022-04-14,105.01
18,2022-04-13,105.01
19,2022-04-12,105.01
20,2022-04-11,105.01
21,2022-04-10,105.01
22,2022-04-09,105.01
23,2022-04-08,105.01
24,2022-04-07,105.01
25,2022-04-06,105.01
26,2022-04-05,104.21
27,2022-04-04,103.41
28,2022-04-03,103.01
29,2022-04-02,102.21
30,2022-04-01,101.41
31,2022-03-31,101.41
32,2022-03-30,100.62
33,2022-03-29,99.82
34,2022-03-28,99.02
35,2022-03-27,98.72
36,2022-03-26,98.22
37,2022-03-25,97.43
38,2022-03-24,96.63
39,2022-03-23,96.63
40,2022-03-22,95.83
41,2022-03-21,95.03
42,2022-03-20,95.03
43,2022-03-19,95.03
44,2022-03-18,95.03
45,2022-03-17,95.03
46,2022-03-16,95.03
47,2022-03-15,95.03
48,2022-03-14,95.03
49,2022-03-13,95.03
50,2022-03-12,95.03
51,2022-03-11,95.03
52,2022-03-10,95.03
53,2022-03-09,95.03
54,2022-03-08,95.03
55,2022-03-07,95.03
56,2022-03-06,95.03
57,2022-03-05,95.03
58,2022-03-04,95.03
59,2022-03-03,95.03
60,2022-03-02,95.03
61,2022-03-01,95.03
62,2022-02-28,95.03
63,2022-02-27,95.03
64,2022-02-26,95.03
65,2022-02-25,95.03
66,2022-02-24,95.03
67,2022-02-23,95.03
68,2022-02-22,95.03
69,2022-02-21,95.03
70,2022-02-20,95.03
71,2022-02-19,95.03
72,2022-02-18,95.03
73,2022-02-17,95.03
74,2022-02-16,95.03
75,2022-02-15,95.03
76,2022-02-14,95.03
77,2022-02-13,95.03
78,2022-02-12,95.03
79,2022-02-11,95.03
80,2022-02-10,95.03
81,2022-02-09,95.03
82,2022-02-08,95.03
83,2022-02-07,95.03
84,2022-02-06,95.03
85,2022-02-05,95.03
86,2022-02-04,95.03
87,2022-02-03,95.03
88,2022-02-02,95.03
89,2022-02-01,95.03
90,2022-01-31,95.03
91,2022-01-30,95.03
92,2022-01-29,95.03
93,2022-01-28,95.03
94,2022-01-27,95.03
95,2022-01-26,95.03
96,2022-01-25,95.03
97,2022-01-24,95.03
98,2022-01-23,95.03
99,2022-01-22,95.03
100,2022-01-21,95.03
101,2022-01-20,95.03
102,2022-01-19,95.03
103,2022-01-18,95.03
104,2022-01-17,95.03
105,2022-01-16,95.03
106,2022-01-15,95.03
107,2022-01-14,95.03
108,2022-01-13,95.03
109,2022-01-12,95.03
110,2022-01-11,95.03
111,2022-01-10,95.03
112,2022-01-09,95.03
113,2022-01-08,95.03
114,2022-01-07,95.03
115,2022-01-06,95.03
116,2022-01-05,95.03
117,2022-01-04,95.03
118,2022-01-03,95.03
119,2022-01-02,95.03
120,2022-01-01,95.03
121,2021-12-31,95.03
122,2021-12-30,95.03
123,2021-12-29,95.03
124,2021-12-28,95.03
125,2021-12-27,95.03
126,2021-12-26,95.03
127,2021-12-25,95.03
128,2021-12-24,95.03
129,2021-12-23,95.03
130,2021-12-22,95.03
131,2021-12-21,95.03
132,2021-12-20,95.03
133,2021-12-19,95.03
134,2021-12-18,95.03
135,2021-12-17,95.03
136,2021-12-16,95.03
137,2021-12-15,95.03
138,2021-12-14,95.03
139,2021-12-13,95.03
140,2021-12-12,95.03
141,2021-12-11,95.03
142,2021-12-10,95.03
143,2021-12-09,95.03
144,2021-12-08,95.03
145,2021-12-07,95.03
146,2021-12-06,95.03
147,2021-12-05,95.03
148,2021-12-04,95.03
149,2021-12-03,95.03
150,2021-12-02,95.03
151,2021-11-30,95.03
152,2021-11-29,95.03
153,2021-11-28,95.03
154,2021-11-27,95.03
155,2021-11-26,95.03
156,2021-11-25,95.03
157,2021-11-24,95.03
158,2021-11-23,95.03
159,2021-11-22,95.03
160,2021-11-21,95.03
161,2021-11-20,95.03
162,2021-11-19,95.03
163,2021-11-18,95.03
164,2021-11-17,95.03
165,2021-11-16,95.03
166,2021-11-15,95.03
167,2021-11-14,95.03
168,2021-11-13,95.03
169,2021-11-12,95.03
170,2021-11-11,95.03
171,2021-11-10,95.03
172,2021-11-09,95.03
173,2021-11-08,95.03
174,2021-11-07,95.03
175,2021-11-06,95.03
176,2021-11-05,95.03
177,2021-11-04,100.79
178,2021-11-03,106.7
179,2021-11-02,106.7
180,2021-11-01,106.34
181,2021-10-31,105.96
182,2021-10-30,105.62
183,2021-10-29,105.28
184,2021-10-28,104.94
185,2021-10-27,104.6
186,2021-10-26,104.26
187,2021-10-25,104.26
188,2021-10-24,104.26
189,2021-10-23,103.92
190,2021-10-22,103.58
191,2021-10-21,103.24
192,2021-10-20,102.9
193,2021-10-19,102.56
194,2021-10-18,102.56
195,2021-10-15,101.88
196,2021-10-14,101.54
197,2021-10-13,101.2
198,2021-10-12,101.2
199,2021-10-11,101.2
200,2021-10-10,100.91
201,2021-10-09,100.61
202,2021-10-08,100.32
203,2021-10-07,100.03
204,2021-10-06,99.74
205,2021-10-05,99.45
206,2021-10-04,99.2
207,2021-10-03,99.2
208,2021-10-02,98.96
209,2021-10-01,98.72
210,2021-09-30,98.49
211,2021-09-29,98.26
212,2021-09-28,98.26
213,2021-09-27,98.07
214,2021-09-26,98.07
215,2021-09-25,98.07
216,2021-09-24,98.07
217,2021-09-23,98.07
218,2021-09-22,98.07
219,2021-09-21,98.07
220,2021-09-20,98.07
221,2021-09-19,98.07
222,2021-09-18,98.07
223,2021-09-17,98.07
224,2021-09-16,98.07
225,2021-09-15,98.07
226,2021-09-14,98.07
227,2021-09-13,98.07
228,2021-09-12,98.07
229,2021-09-11,98.07
230,2021-09-10,98.07
231,2021-09-09,98.07
232,2021-09-08,98.07
233,2021-09-07,98.07
234,2021-09-06,98.07
235,2021-09-05,98.07
236,2021-09-03,98.23
237,2021-09-02,98.23
238,2021-09-01,98.23
239,2021-08-31,98.38
240,2021-08-30,98.38
241,2021-08-29,98.38
242,2021-08-28,98.38
243,2021-08-27,98.38
244,2021-08-26,98.38
245,2021-08-25,98.38
246,2021-08-24,98.38
247,2021-08-23,98.52
248,2021-08-22,98.52
249,2021-08-21,98.67
250,2021-08-20,98.67
251,2021-08-19,98.67
252,2021-08-18,98.67
253,2021-08-17,98.67
254,2021-08-16,98.67
255,2021-08-15,98.67
256,2021-08-14,98.67
257,2021-08-13,98.67
258,2021-08-12,98.67
259,2021-08-11,98.67
260,2021-08-10,98.67
261,2021-08-09,98.67
262,2021-08-08,98.67
263,2021-08-07,98.67
264,2021-08-06,98.67
265,2021-08-05,98.67
266,2021-08-04,98.67
267,2021-08-03,98.67
268,2021-08-02,98.67
269,2021-08-01,98.67
270,2021-07-31,98.67
271,2021-07-30,98.67
272,2021-07-29,98.67
273,2021-07-28,98.67
274,2021-07-27,98.67
275,2021-07-26,98.67
276,2021-07-25,98.67
277,2021-07-24,98.67
278,2021-07-23,98.67
279,2021-07-22,98.67
280,2021-07-21,98.67
281,2021-07-20,98.67
282,2021-07-19,98.67
283,2021-07-18,98.67
284,2021-07-17,98.67
285,2021-07-16,98.38
286,2021-07-15,98.38
287,2021-07-14,98.04
288,2021-07-13,98.04
289,2021-07-12,98.04
290,2021-07-11,97.77
291,2021-07-10,97.77
292,2021-07-09,97.43
293,2021-07-08,97.43
294,2021-07-07,97.09
295,2021-07-06,96.75
296,2021-07-05,96.75
297,2021-07-04,96.41
298,2021-07-03,96.06
299,2021-07-02,96.06
300,2021-07-01,95.72
301,2021-06-30,95.72
302,2021-06-29,95.72
303,2021-06-28,95.38
304,2021-06-27,95.38
305,2021-06-26,95.04
306,2021-06-25,94.7
307,2021-06-24,94.7
308,2021-06-23,94.45
309,2021-06-22,94.45
310,2021-06-21,94.18
311,2021-06-20,94.18
312,2021-06-19,93.9
313,2021-06-18,93.9
314,2021-06-17,93.63
315,2021-06-16,93.63
316,2021-06-15,93.39
317,2021-06-14,93.39
318,2021-06-13,93.11
319,2021-06-12,93.11
320,2021-06-11,92.84
321,2021-06-10,92.56
322,2021-06-09,92.56
323,2021-06-08,92.32
324,2021-06-07,92.32
325,2021-06-06,92.05
326,2021-06-05,91.84
327,2021-06-04,91.84
328,2021-06-03,91.64
329,2021-06-02,91.64
330,2021-06-01,91.64
331,2021-05-31,91.44
332,2021-05-30,91.22
333,2021-05-29,91.22
334,2021-05-28,91.02
335,2021-05-27,91.02
336,2021-05-26,90.83
337,2021-05-25,90.83
338,2021-05-24,90.66
339,2021-05-23,90.66
340,2021-05-22,90.52
341,2021-05-21,90.52
342,2021-05-20,90.38
343,2021-05-19,90.38
344,2021-05-18,90.38
345,2021-05-17,90.17
346,2021-05-16,90.17
347,2021-05-15,89.99
348,2021-05-14,89.99
349,2021-05-13,89.77
350,2021-05-12,89.77
351,2021-05-11,89.57
352,2021-05-10,89.37
353,2021-05-09,89.17
354,2021-05-08,89.17
355,2021-05-07,89.17
356,2021-05-06,88.95
357,2021-05-05,88.76
358,2021-05-04,88.61
359,2021-05-03,88.47
360,2021-05-02,88.47
361,2021-05-01,88.47
362,2021-04-30,88.47
363,2021-04-29,88.47
364,2021-04-28,88.47
