,date,price
0,2022-05-01,106.43
1,2022-04-30,106.43
2,2022-04-29,106.43
3,2022-04-28,106.43
4,2022-04-27,106.43
5,2022-04-26,106.43
6,2022-04-25,106.43
7,2022-04-24,106.43
8,2022-04-23,106.43
9,2022-04-22,106.43
10,2022-04-21,106.43
11,2022-04-20,106.43
12,2022-04-19,106.43
13,2022-04-18,106.43
14,2022-04-17,106.43
15,2022-04-16,106.43
16,2022-04-15,106.43
17,2022-04-14,106.43
18,2022-04-13,106.43
19,2022-04-12,106.43
20,2022-04-11,106.43
21,2022-04-10,106.43
22,2022-04-09,106.43
23,2022-04-08,106.43
24,2022-04-07,106.43
25,2022-04-06,106.43
26,2022-04-05,105.63
27,2022-04-04,104.84
28,2022-04-03,104.44
29,2022-04-02,103.64
30,2022-04-01,102.84
31,2022-03-31,102.84
32,2022-03-30,102.04
33,2022-03-29,101.24
34,2022-03-28,100.45
35,2022-03-27,100.15
36,2022-03-26,99.65
37,2022-03-25,98.89
38,2022-03-24,98.1
39,2022-03-23,98.1
40,2022-03-22,97.3
41,2022-03-21,96.07
42,2022-03-20,96.07
43,2022-03-19,96.07
44,2022-03-18,96.07
45,2022-03-17,96.07
46,2022-03-16,96.07
47,2022-03-15,96.07
48,2022-03-14,96.07
49,2022-03-13,96.07
50,2022-03-12,96.07
51,2022-03-11,96.07
52,2022-03-10,96.07
53,2022-03-09,96.07
54,2022-03-08,96.07
55,2022-03-07,96.07
56,2022-03-06,96.07
57,2022-03-05,96.07
58,2022-03-04,96.07
59,2022-03-03,96.07
60,2022-03-02,96.07
61,2022-03-01,96.07
62,2022-02-28,96.07
63,2022-02-27,96.07
64,2022-02-26,96.07
65,2022-02-25,96.07
66,2022-02-24,96.07
67,2022-02-23,96.07
68,2022-02-22,96.07
69,2022-02-21,96.07
70,2022-02-20,96.07
71,2022-02-19,96.07
72,2022-02-18,96.07
73,2022-02-17,96.07
74,2022-02-16,96.07
75,2022-02-15,96.07
76,2022-02-14,96.07
77,2022-02-13,96.07
78,2022-02-12,96.07
79,2022-02-11,96.07
80,2022-02-10,96.07
81,2022-02-09,96.07
82,2022-02-08,96.07
