,date,price
0,2022-05-01,105.35
1,2022-04-30,105.35
2,2022-04-29,105.35
3,2022-04-28,105.35
4,2022-04-27,105.35
5,2022-04-26,105.35
6,2022-04-25,105.35
7,2022-04-24,105.35
8,2022-04-23,105.35
9,2022-04-22,105.35
10,2022-04-21,105.35
11,2022-04-20,105.35
12,2022-04-19,105.35
13,2022-04-18,105.35
14,2022-04-17,105.35
15,2022-04-16,105.35
16,2022-04-15,105.35
17,2022-04-14,105.35
18,2022-04-13,105.35
19,2022-04-12,105.35
20,2022-04-11,105.35
21,2022-04-10,105.35
22,2022-04-09,105.35
23,2022-04-08,105.35
24,2022-04-07,105.35
25,2022-04-06,105.35
26,2022-04-05,104.55
27,2022-04-04,103.75
28,2022-04-03,103.35
29,2022-04-02,102.55
30,2022-04-01,101.76
31,2022-03-31,101.76
32,2022-03-30,100.96
33,2022-03-29,100.16
34,2022-03-28,99.36
35,2022-03-27,99.06
36,2022-03-26,98.56
37,2022-03-25,97.78
38,2022-03-24,96.98
39,2022-03-23,96.98
40,2022-03-22,96.18
41,2022-03-21,95.38
42,2022-03-20,95.38
43,2022-03-19,95.38
44,2022-03-18,95.38
45,2022-03-17,95.38
46,2022-03-16,95.38
47,2022-03-15,95.38
48,2022-03-14,95.38
49,2022-03-13,95.38
50,2022-03-12,95.38
51,2022-03-11,95.38
52,2022-03-10,95.38
53,2022-03-09,95.38
54,2022-03-08,95.38
55,2022-03-07,95.38
56,2022-03-06,95.38
57,2022-03-05,95.38
58,2022-03-04,95.38
59,2022-03-03,95.38
60,2022-03-02,95.38
61,2022-03-01,95.38
62,2022-02-28,95.38
63,2022-02-27,95.38
64,2022-02-26,95.38
65,2022-02-25,95.38
66,2022-02-24,95.38
67,2022-02-23,95.38
68,2022-02-22,95.38
69,2022-02-21,95.38
70,2022-02-20,95.38
71,2022-02-19,95.38
72,2022-02-18,95.38
73,2022-02-17,95.38
74,2022-02-16,95.38
75,2022-02-15,95.38
76,2022-02-14,95.38
77,2022-02-13,95.38
78,2022-02-12,95.38
79,2022-02-11,95.38
80,2022-02-10,95.38
81,2022-02-09,95.38
82,2022-02-08,95.38
83,2022-02-07,95.38
84,2022-02-06,95.38
85,2022-02-05,95.38
86,2022-02-04,95.38
87,2022-02-03,95.38
88,2022-02-02,95.38
89,2022-02-01,95.38
90,2022-01-31,95.38
91,2022-01-30,95.38
92,2022-01-29,95.38
93,2022-01-28,95.38
94,2022-01-27,95.38
95,2022-01-26,95.38
96,2022-01-25,95.38
97,2022-01-24,95.38
98,2022-01-23,95.38
99,2022-01-22,95.38
100,2022-01-21,95.38
101,2022-01-20,95.38
102,2022-01-19,95.38
103,2022-01-18,95.38
104,2022-01-17,95.38
105,2022-01-16,95.38
106,2022-01-15,95.38
107,2022-01-14,95.38
108,2022-01-13,95.38
109,2022-01-12,95.38
110,2022-01-11,95.38
111,2022-01-10,95.38
112,2022-01-09,95.38
113,2022-01-08,95.38
114,2022-01-07,95.38
115,2022-01-06,95.38
116,2022-01-05,95.38
117,2022-01-04,95.38
118,2022-01-03,95.38
119,2022-01-02,95.38
120,2022-01-01,95.38
121,2021-12-31,95.38
122,2021-12-30,95.38
123,2021-12-29,95.38
124,2021-12-28,95.38
125,2021-12-27,95.38
126,2021-12-26,95.38
127,2021-12-25,95.38
128,2021-12-24,95.38
129,2021-12-23,95.38
130,2021-12-22,95.38
131,2021-12-21,95.38
132,2021-12-20,95.38
133,2021-12-19,95.38
134,2021-12-18,95.38
135,2021-12-17,95.38
136,2021-12-16,95.38
137,2021-12-15,95.38
138,2021-12-14,95.38
139,2021-12-13,95.38
140,2021-12-12,95.38
141,2021-12-11,95.38
142,2021-12-10,95.38
143,2021-12-09,95.38
144,2021-12-08,95.38
145,2021-12-07,95.38
146,2021-12-06,95.38
147,2021-12-05,95.38
148,2021-12-04,95.38
149,2021-12-03,95.38
150,2021-12-02,95.38
151,2021-11-30,95.38
152,2021-11-29,95.38
153,2021-11-28,95.38
154,2021-11-27,95.38
155,2021-11-26,95.38
156,2021-11-25,95.38
157,2021-11-24,95.38
158,2021-11-23,95.38
159,2021-11-22,95.38
160,2021-11-21,95.38
161,2021-11-20,95.38
162,2021-11-19,95.38
163,2021-11-18,95.38
164,2021-11-17,95.38
165,2021-11-16,95.38
166,2021-11-15,95.38
167,2021-11-14,95.38
168,2021-11-13,95.38
169,2021-11-12,95.38
170,2021-11-11,95.38
171,2021-11-10,95.38
172,2021-11-09,95.38
173,2021-11-08,95.38
174,2021-11-07,95.38
175,2021-11-06,95.38
176,2021-11-05,95.38
177,2021-11-04,101.16
178,2021-11-03,107.07
179,2021-11-02,107.07
180,2021-11-01,106.71
181,2021-10-31,106.32
182,2021-10-30,105.98
183,2021-10-29,105.64
184,2021-10-28,105.3
185,2021-10-27,104.96
186,2021-10-26,104.62
187,2021-10-25,104.62
188,2021-10-24,104.62
189,2021-10-23,104.28
190,2021-10-22,103.94
191,2021-10-21,103.6
192,2021-10-20,103.26
193,2021-10-19,102.92
194,2021-10-18,102.92
195,2021-10-15,102.23
196,2021-10-14,101.89
197,2021-10-13,101.55
198,2021-10-12,101.55
199,2021-10-11,101.55
200,2021-10-10,101.26
201,2021-10-09,100.97
202,2021-10-08,100.68
203,2021-10-07,100.39
204,2021-10-06,100.09
205,2021-10-05,99.8
206,2021-10-04,99.56
207,2021-10-03,99.56
208,2021-10-02,99.32
209,2021-10-01,99.07
210,2021-09-30,98.84
211,2021-09-29,98.61
212,2021-09-28,98.61
213,2021-09-27,98.43
214,2021-09-26,98.43
215,2021-09-25,98.43
216,2021-09-24,98.43
217,2021-09-23,98.43
218,2021-09-22,98.43
219,2021-09-21,98.43
220,2021-09-20,98.43
221,2021-09-19,98.43
222,2021-09-18,98.43
223,2021-09-17,98.43
224,2021-09-16,98.43
225,2021-09-15,98.43
226,2021-09-14,98.43
227,2021-09-13,98.43
228,2021-09-12,98.43
229,2021-09-11,98.43
230,2021-09-10,98.43
231,2021-09-09,98.43
232,2021-09-08,98.43
233,2021-09-07,98.43
234,2021-09-06,98.43
235,2021-09-05,98.43
236,2021-09-03,98.58
237,2021-09-02,98.58
238,2021-09-01,98.58
239,2021-08-31,98.74
240,2021-08-30,98.74
241,2021-08-29,98.74
242,2021-08-28,98.74
243,2021-08-27,98.74
244,2021-08-26,98.74
245,2021-08-25,98.74
246,2021-08-24,98.74
247,2021-08-23,98.88
248,2021-08-22,98.88
249,2021-08-21,99.01
250,2021-08-20,99.01
251,2021-08-19,99.01
252,2021-08-18,99.02
253,2021-08-17,99.02
254,2021-08-16,99.02
255,2021-08-15,99.02
256,2021-08-14,99.02
257,2021-08-13,99.02
258,2021-08-12,99.02
259,2021-08-11,99.02
260,2021-08-10,99.02
261,2021-08-09,99.02
262,2021-08-08,99.02
263,2021-08-07,99.02
264,2021-08-06,99.02
265,2021-08-05,99.02
266,2021-08-04,99.02
267,2021-08-03,99.02
268,2021-08-02,99.02
269,2021-08-01,99.02
270,2021-07-31,99.02
271,2021-07-30,99.02
272,2021-07-29,99.02
273,2021-07-28,99.02
274,2021-07-27,99.02
275,2021-07-26,99.02
276,2021-07-25,99.02
277,2021-07-24,99.02
278,2021-07-23,99.02
279,2021-07-22,99.02
280,2021-07-21,99.02
281,2021-07-20,99.02
282,2021-07-19,99.02
283,2021-07-18,99.02
284,2021-07-17,99.02
285,2021-07-16,98.73
286,2021-07-15,98.73
287,2021-07-14,98.39
288,2021-07-13,98.39
289,2021-07-12,98.39
290,2021-07-11,98.11
291,2021-07-10,98.11
292,2021-07-09,97.77
293,2021-07-08,97.77
294,2021-07-07,97.43
295,2021-07-06,97.09
296,2021-07-05,97.09
297,2021-07-04,96.75
298,2021-07-03,96.41
299,2021-07-02,96.41
300,2021-07-01,96.07
301,2021-06-30,96.07
302,2021-06-29,96.07
303,2021-06-28,95.73
304,2021-06-27,95.73
305,2021-06-26,95.39
306,2021-06-25,95.05
307,2021-06-24,95.05
308,2021-06-23,94.8
309,2021-06-22,94.8
