,date,price
0,2022-05-01,105.06
1,2022-04-30,105.06
2,2022-04-29,105.06
3,2022-04-28,105.06
4,2022-04-27,105.06
5,2022-04-26,105.06
6,2022-04-25,105.06
7,2022-04-24,105.06
8,2022-04-23,105.06
9,2022-04-22,105.06
10,2022-04-21,105.06
11,2022-04-20,105.06
12,2022-04-19,105.06
13,2022-04-18,105.06
14,2022-04-17,105.06
15,2022-04-16,105.06
16,2022-04-15,105.06
17,2022-04-14,105.06
18,2022-04-13,105.06
19,2022-04-12,105.06
20,2022-04-11,105.06
21,2022-04-10,105.06
22,2022-04-09,105.06
23,2022-04-08,105.06
24,2022-04-07,105.06
25,2022-04-06,105.06
26,2022-04-05,104.26
27,2022-04-04,103.46
28,2022-04-03,103.06
29,2022-04-02,102.26
30,2022-04-01,101.47
31,2022-03-31,101.47
32,2022-03-30,100.67
33,2022-03-29,99.87
34,2022-03-28,99.07
35,2022-03-27,98.77
36,2022-03-26,98.27
37,2022-03-25,97.48
38,2022-03-24,96.68
39,2022-03-23,96.68
40,2022-03-22,95.88
41,2022-03-21,95.08
42,2022-03-20,95.08
43,2022-03-19,95.08
44,2022-03-18,95.08
45,2022-03-17,95.08
46,2022-03-16,95.08
47,2022-03-15,95.08
48,2022-03-14,95.08
49,2022-03-13,95.08
50,2022-03-12,95.08
51,2022-03-11,95.08
52,2022-03-10,95.08
53,2022-03-09,95.08
54,2022-03-08,95.08
55,2022-03-07,95.08
56,2022-03-06,95.08
57,2022-03-05,95.08
58,2022-03-04,95.08
59,2022-03-03,95.08
60,2022-03-02,95.08
61,2022-03-01,95.08
62,2022-02-28,95.08
63,2022-02-27,95.08
64,2022-02-26,95.08
65,2022-02-25,95.08
66,2022-02-24,95.08
67,2022-02-23,95.08
68,2022-02-22,95.08
69,2022-02-21,95.08
70,2022-02-20,95.08
71,2022-02-19,95.08
72,2022-02-18,95.08
73,2022-02-17,95.08
74,2022-02-16,95.08
75,2022-02-15,95.08
76,2022-02-14,95.08
77,2022-02-13,95.08
78,2022-02-12,95.08
79,2022-02-11,95.08
80,2022-02-10,95.08
81,2022-02-09,95.08
82,2022-02-08,95.08
83,2022-02-07,95.08
84,2022-02-06,95.08
85,2022-02-05,95.08
86,2022-02-04,95.08
87,2022-02-03,95.08
88,2022-02-02,95.08
89,2022-02-01,95.08
90,2022-01-31,95.08
91,2022-01-30,95.08
92,2022-01-29,95.08
93,2022-01-28,95.08
94,2022-01-27,95.08
95,2022-01-26,95.08
96,2022-01-25,95.08
97,2022-01-24,95.08
98,2022-01-23,95.08
99,2022-01-22,95.08
100,2022-01-21,95.08
101,2022-01-20,95.08
102,2022-01-19,95.08
103,2022-01-18,95.08
104,2022-01-17,95.08
105,2022-01-16,95.08
106,2022-01-15,95.08
107,2022-01-14,95.08
108,2022-01-13,95.08
109,2022-01-12,95.08
110,2022-01-11,95.08
111,2022-01-10,95.08
112,2022-01-09,95.08
113,2022-01-08,95.08
114,2022-01-07,95.08
115,2022-01-06,95.08
116,2022-01-05,95.08
117,2022-01-04,95.08
118,2022-01-03,95.08
119,2022-01-02,95.08
120,2022-01-01,95.08
121,2021-12-31,95.08
122,2021-12-30,95.08
123,2021-12-29,95.08
124,2021-12-28,95.08
125,2021-12-27,95.08
126,2021-12-26,95.08
127,2021-12-25,95.08
128,2021-12-24,95.08
129,2021-12-23,95.08
130,2021-12-22,95.08
131,2021-12-21,95.08
132,2021-12-20,95.08
133,2021-12-19,95.08
134,2021-12-18,95.08
135,2021-12-17,95.08
136,2021-12-16,95.08
137,2021-12-15,95.08
138,2021-12-14,95.08
139,2021-12-13,95.08
140,2021-12-12,95.08
141,2021-12-11,95.08
142,2021-12-10,95.08
143,2021-12-09,95.08
144,2021-12-08,95.08
145,2021-12-07,95.08
146,2021-12-06,95.08
147,2021-12-05,95.08
148,2021-12-04,95.08
149,2021-12-03,95.08
150,2021-12-02,95.08
151,2021-11-30,95.08
152,2021-11-29,95.08
153,2021-11-28,95.08
154,2021-11-27,95.08
155,2021-11-26,95.08
156,2021-11-25,95.08
157,2021-11-24,95.08
158,2021-11-23,95.08
159,2021-11-22,95.08
160,2021-11-21,95.08
161,2021-11-20,95.08
162,2021-11-19,95.08
163,2021-11-18,95.08
164,2021-11-17,95.08
165,2021-11-16,95.08
166,2021-11-15,95.08
167,2021-11-14,95.08
168,2021-11-13,95.08
169,2021-11-12,95.08
170,2021-11-11,95.08
171,2021-11-10,95.08
172,2021-11-09,95.08
173,2021-11-08,95.08
174,2021-11-07,95.08
175,2021-11-06,95.08
176,2021-11-05,95.08
177,2021-11-04,100.84
178,2021-11-03,106.75
179,2021-11-02,106.75
180,2021-11-01,106.39
181,2021-10-31,106.02
182,2021-10-30,105.68
183,2021-10-29,105.34
184,2021-10-28,105
185,2021-10-27,104.66
186,2021-10-26,104.32
187,2021-10-25,104.32
188,2021-10-24,104.32
189,2021-10-23,103.98
190,2021-10-22,103.64
191,2021-10-21,103.3
192,2021-10-20,102.96
193,2021-10-19,102.61
194,2021-10-18,102.61
195,2021-10-15,101.93
196,2021-10-14,101.59
197,2021-10-13,101.25
198,2021-10-12,101.25
199,2021-10-11,101.25
200,2021-10-10,100.96
201,2021-10-09,100.67
202,2021-10-08,100.38
203,2021-10-07,100.09
204,2021-10-06,99.79
205,2021-10-05,99.5
206,2021-10-04,99.26
207,2021-10-03,99.26
208,2021-10-02,99.02
209,2021-10-01,98.77
210,2021-09-30,98.54
211,2021-09-29,98.31
212,2021-09-28,98.31
213,2021-09-27,98.13
214,2021-09-26,98.13
215,2021-09-25,98.13
216,2021-09-24,98.13
217,2021-09-23,98.13
218,2021-09-22,98.13
219,2021-09-21,98.13
220,2021-09-20,98.13
221,2021-09-19,98.13
222,2021-09-18,98.13
223,2021-09-17,98.13
224,2021-09-16,98.13
225,2021-09-15,98.13
226,2021-09-14,98.13
227,2021-09-13,98.13
228,2021-09-12,98.13
229,2021-09-11,98.13
230,2021-09-10,98.13
231,2021-09-09,98.13
232,2021-09-08,98.13
233,2021-09-07,98.13
234,2021-09-06,98.13
235,2021-09-05,98.13
236,2021-09-03,98.28
237,2021-09-02,98.28
238,2021-09-01,98.28
239,2021-08-31,98.44
240,2021-08-30,98.44
241,2021-08-29,98.44
242,2021-08-28,98.44
243,2021-08-27,98.44
244,2021-08-26,98.44
245,2021-08-25,98.44
246,2021-08-24,98.44
247,2021-08-23,98.58
248,2021-08-22,98.58
249,2021-08-21,98.73
250,2021-08-20,98.73
251,2021-08-19,98.73
252,2021-08-18,98.75
253,2021-08-17,98.75
254,2021-08-16,98.75
255,2021-08-15,98.75
256,2021-08-14,98.75
257,2021-08-13,98.75
258,2021-08-12,98.75
259,2021-08-11,98.75
260,2021-08-10,98.75
261,2021-08-09,98.75
262,2021-08-08,98.75
263,2021-08-07,98.75
264,2021-08-06,98.75
265,2021-08-05,98.75
266,2021-08-04,98.75
267,2021-08-03,98.75
268,2021-08-02,98.75
269,2021-08-01,98.75
270,2021-07-31,98.75
271,2021-07-30,98.75
272,2021-07-29,98.75
273,2021-07-28,98.75
274,2021-07-27,98.75
275,2021-07-26,98.75
276,2021-07-25,98.75
277,2021-07-24,98.75
278,2021-07-23,98.75
279,2021-07-22,98.75
280,2021-07-21,98.75
281,2021-07-20,98.75
282,2021-07-19,98.75
283,2021-07-18,98.75
284,2021-07-17,98.75
285,2021-07-16,98.46
286,2021-07-15,98.46
287,2021-07-14,98.12
288,2021-07-13,98.12
289,2021-07-12,98.12
290,2021-07-11,97.84
291,2021-07-10,97.84
292,2021-07-09,97.5
293,2021-07-08,97.5
294,2021-07-07,97.16
295,2021-07-06,96.82
296,2021-07-05,96.82
297,2021-07-04,96.48
298,2021-07-03,96.14
299,2021-07-02,96.14
300,2021-07-01,95.8
301,2021-06-30,95.8
302,2021-06-29,95.8
303,2021-06-28,95.46
304,2021-06-27,95.46
305,2021-06-26,95.12
306,2021-06-25,94.78
307,2021-06-24,94.78
308,2021-06-23,94.53
309,2021-06-22,94.53
310,2021-06-21,94.25
311,2021-06-20,94.25
312,2021-06-19,93.97
313,2021-06-18,93.97
314,2021-06-17,93.71
315,2021-06-16,93.71
316,2021-06-15,93.47
317,2021-06-14,93.47
318,2021-06-13,93.18
319,2021-06-12,93.18
320,2021-06-11,92.92
321,2021-06-10,92.64
322,2021-06-09,92.64
323,2021-06-08,92.4
324,2021-06-07,92.4
325,2021-06-06,92.12
326,2021-06-05,91.91
327,2021-06-04,91.91
328,2021-06-03,91.7
329,2021-06-02,91.7
330,2021-06-01,91.7
331,2021-05-31,91.5
332,2021-05-30,91.28
333,2021-05-29,91.28
334,2021-05-28,91.08
