,date,price
0,2022-05-01,105.23
1,2022-04-30,105.23
2,2022-04-29,105.23
3,2022-04-28,105.23
4,2022-04-27,105.23
5,2022-04-26,105.23
6,2022-04-25,105.23
7,2022-04-24,105.23
8,2022-04-23,105.23
9,2022-04-22,105.23
10,2022-04-21,105.23
11,2022-04-20,105.23
12,2022-04-19,105.23
13,2022-04-18,105.23
14,2022-04-17,105.23
15,2022-04-16,105.23
16,2022-04-15,105.23
17,2022-04-14,105.23
18,2022-04-13,105.23
19,2022-04-12,105.23
20,2022-04-11,105.23
21,2022-04-10,105.23
22,2022-04-09,105.23
23,2022-04-08,105.23
24,2022-04-07,105.23
25,2022-04-06,105.23
26,2022-04-05,104.44
27,2022-04-04,103.64
28,2022-04-03,103.24
29,2022-04-02,102.44
30,2022-04-01,101.64
31,2022-03-31,101.64
32,2022-03-30,100.84
33,2022-03-29,100.04
34,2022-03-28,99.25
35,2022-03-27,98.95
36,2022-03-26,98.45
37,2022-03-25,97.66
38,2022-03-24,96.86
39,2022-03-23,96.86
40,2022-03-22,96.06
41,2022-03-21,95.27
42,2022-03-20,95.27
43,2022-03-19,95.27
44,2022-03-18,95.27
45,2022-03-17,95.27
46,2022-03-16,95.27
47,2022-03-15,95.27
48,2022-03-14,95.27
49,2022-03-13,95.27
50,2022-03-12,95.27
51,2022-03-11,95.27
52,2022-03-10,95.27
53,2022-03-09,95.27
54,2022-03-08,95.27
55,2022-03-07,95.27
56,2022-03-06,95.27
57,2022-03-05,95.27
58,2022-03-04,95.27
59,2022-03-03,95.27
60,2022-03-02,95.27
61,2022-03-01,95.27
62,2022-02-28,95.27
63,2022-02-27,95.27
64,2022-02-26,95.27
65,2022-02-25,95.27
66,2022-02-24,95.27
67,2022-02-23,95.27
68,2022-02-22,95.27
69,2022-02-21,95.27
70,2022-02-20,95.27
71,2022-02-19,95.27
72,2022-02-18,95.27
73,2022-02-17,95.27
74,2022-02-16,95.27
75,2022-02-15,95.27
76,2022-02-14,95.27
77,2022-02-13,95.27
78,2022-02-12,95.27
79,2022-02-11,95.27
80,2022-02-10,95.27
81,2022-02-09,95.27
82,2022-02-08,95.27
83,2022-02-07,95.27
84,2022-02-06,95.27
85,2022-02-05,95.27
86,2022-02-04,95.27
87,2022-02-03,95.27
88,2022-02-02,95.27
89,2022-02-01,95.27
90,2022-01-31,95.27
91,2022-01-30,95.27
92,2022-01-29,95.27
93,2022-01-28,95.27
94,2022-01-27,95.27
95,2022-01-26,95.27
96,2022-01-25,95.27
97,2022-01-24,95.27
98,2022-01-23,95.27
99,2022-01-22,95.27
100,2022-01-21,95.27
101,2022-01-20,95.27
102,2022-01-19,95.27
103,2022-01-18,95.27
104,2022-01-17,95.27
105,2022-01-16,95.27
106,2022-01-15,95.27
107,2022-01-14,95.27
108,2022-01-13,95.27
109,2022-01-12,95.27
110,2022-01-11,95.27
111,2022-01-10,95.27
112,2022-01-09,95.27
113,2022-01-08,95.27
114,2022-01-07,95.27
115,2022-01-06,95.27
116,2022-01-05,95.27
117,2022-01-04,95.27
118,2022-01-03,95.27
119,2022-01-02,95.27
120,2022-01-01,95.27
121,2021-12-31,95.27
122,2021-12-30,95.27
123,2021-12-29,95.27
124,2021-12-28,95.27
125,2021-12-27,95.27
126,2021-12-26,95.27
127,2021-12-25,95.27
128,2021-12-24,95.27
129,2021-12-23,95.27
130,2021-12-22,95.27
131,2021-12-21,95.27
132,2021-12-20,95.27
133,2021-12-19,95.27
134,2021-12-18,95.27
135,2021-12-17,95.27
136,2021-12-16,95.27
137,2021-12-15,95.27
138,2021-12-14,95.27
139,2021-12-13,95.27
140,2021-12-12,95.27
141,2021-12-11,95.27
142,2021-12-10,95.27
143,2021-12-09,95.27
144,2021-12-08,95.27
145,2021-12-07,95.27
146,2021-12-06,95.27
147,2021-12-05,95.27
148,2021-12-04,95.27
149,2021-12-03,95.27
150,2021-12-02,95.27
151,2021-11-30,95.27
152,2021-11-29,95.27
153,2021-11-28,95.27
154,2021-11-27,95.27
155,2021-11-26,95.27
156,2021-11-25,95.27
157,2021-11-24,95.27
158,2021-11-23,95.27
159,2021-11-22,95.27
160,2021-11-21,95.27
161,2021-11-20,95.27
162,2021-11-19,95.27
163,2021-11-18,95.27
164,2021-11-17,95.27
165,2021-11-16,95.27
166,2021-11-15,95.27
167,2021-11-14,95.27
168,2021-11-13,95.27
169,2021-11-12,95.27
170,2021-11-11,95.27
171,2021-11-10,95.27
172,2021-11-09,95.27
173,2021-11-08,95.27
174,2021-11-07,95.27
175,2021-11-06,95.27
176,2021-11-05,95.27
177,2021-11-04,101.04
178,2021-11-03,106.94
179,2021-11-02,106.94
180,2021-11-01,106.58
181,2021-10-31,106.2
182,2021-10-30,105.86
183,2021-10-29,105.52
184,2021-10-28,105.18
185,2021-10-27,104.84
186,2021-10-26,104.5
187,2021-10-25,104.5
188,2021-10-24,104.5
189,2021-10-23,104.16
190,2021-10-22,103.82
191,2021-10-21,103.48
192,2021-10-20,103.14
193,2021-10-19,102.8
194,2021-10-18,102.8
195,2021-10-15,102.11
196,2021-10-14,101.77
197,2021-10-13,101.43
198,2021-10-12,101.43
199,2021-10-11,101.43
200,2021-10-10,101.14
201,2021-10-09,100.85
202,2021-10-08,100.56
203,2021-10-07,100.27
204,2021-10-06,99.97
205,2021-10-05,99.68
206,2021-10-04,99.44
207,2021-10-03,99.44
208,2021-10-02,99.2
209,2021-10-01,98.95
210,2021-09-30,98.72
211,2021-09-29,98.49
212,2021-09-28,98.49
213,2021-09-27,98.31
214,2021-09-26,98.31
215,2021-09-25,98.31
216,2021-09-24,98.31
217,2021-09-23,98.31
218,2021-09-22,98.31
219,2021-09-21,98.31
220,2021-09-20,98.31
221,2021-09-19,98.31
222,2021-09-18,98.31
