,date,price
0,2022-05-01,105.12
1,2022-04-30,105.12
2,2022-04-29,105.12
3,2022-04-28,105.12
4,2022-04-27,105.12
5,2022-04-26,105.12
6,2022-04-25,105.12
7,2022-04-24,105.12
8,2022-04-23,105.12
9,2022-04-22,105.12
10,2022-04-21,105.12
11,2022-04-20,105.12
12,2022-04-19,105.12
13,2022-04-18,105.12
14,2022-04-17,105.12
15,2022-04-16,105.12
16,2022-04-15,105.12
17,2022-04-14,105.12
18,2022-04-13,105.12
19,2022-04-12,105.12
20,2022-04-11,105.12
21,2022-04-10,105.12
22,2022-04-09,105.12
23,2022-04-08,105.12
24,2022-04-07,105.12
25,2022-04-06,105.12
26,2022-04-05,104.32
27,2022-04-04,103.52
28,2022-04-03,103.12
29,2022-04-02,102.32
30,2022-04-01,101.52
31,2022-03-31,101.52
32,2022-03-30,100.72
33,2022-03-29,99.93
34,2022-03-28,99.13
35,2022-03-27,98.83
36,2022-03-26,98.33
37,2022-03-25,97.53
38,2022-03-24,96.73
39,2022-03-23,96.73
40,2022-03-22,95.93
41,2022-03-21,95.13
42,2022-03-20,95.13
43,2022-03-19,95.13
44,2022-03-18,95.13
45,2022-03-17,95.13
46,2022-03-16,95.13
47,2022-03-15,95.13
48,2022-03-14,95.13
49,2022-03-13,95.13
50,2022-03-12,95.13
51,2022-03-11,95.13
52,2022-03-10,95.13
53,2022-03-09,95.13
54,2022-03-08,95.13
55,2022-03-07,95.13
56,2022-03-06,95.13
57,2022-03-05,95.13
58,2022-03-04,95.13
59,2022-03-03,95.13
60,2022-03-02,95.13
61,2022-03-01,95.13
62,2022-02-28,95.13
63,2022-02-27,95.13
64,2022-02-26,95.13
65,2022-02-25,95.13
66,2022-02-24,95.13
67,2022-02-23,95.13
68,2022-02-22,95.13
69,2022-02-21,95.13
70,2022-02-20,95.13
71,2022-02-19,95.13
72,2022-02-18,95.13
73,2022-02-17,95.13
74,2022-02-16,95.13
75,2022-02-15,95.13
76,2022-02-14,95.13
77,2022-02-13,95.13
78,2022-02-12,95.13
79,2022-02-11,95.13
80,2022-02-10,95.13
81,2022-02-09,95.13
82,2022-02-08,95.13
83,2022-02-07,95.13
84,2022-02-06,95.13
85,2022-02-05,95.13
86,2022-02-04,95.13
87,2022-02-03,95.13
88,2022-02-02,95.13
89,2022-02-01,95.13
90,2022-01-31,95.13
91,2022-01-30,95.13
92,2022-01-29,95.13
93,2022-01-28,95.13
94,2022-01-27,95.13
95,2022-01-26,95.13
96,2022-01-25,95.13
97,2022-01-24,95.13
98,2022-01-23,95.13
99,2022-01-22,95.13
100,2022-01-21,95.13
101,2022-01-20,95.13
102,2022-01-19,95.13
103,2022-01-18,95.13
104,2022-01-17,95.13
105,2022-01-16,95.13
106,2022-01-15,95.13
107,2022-01-14,95.13
108,2022-01-13,95.13
109,2022-01-12,95.13
110,2022-01-11,95.13
111,2022-01-10,95.13
112,2022-01-09,95.13
113,2022-01-08,95.13
114,2022-01-07,95.13
115,2022-01-06,95.13
116,2022-01-05,95.13
117,2022-01-04,95.13
118,2022-01-03,95.13
119,2022-01-02,95.13
120,2022-01-01,95.13
121,2021-12-31,95.13
122,2021-12-30,95.13
123,2021-12-29,95.13
124,2021-12-28,95.13
125,2021-12-27,95.13
126,2021-12-26,95.13
127,2021-12-25,95.13
128,2021-12-24,95.13
