,date,price
0,2022-05-01,105.49
1,2022-04-30,105.49
2,2022-04-29,105.49
3,2022-04-28,105.49
4,2022-04-27,105.49
5,2022-04-26,105.49
6,2022-04-25,105.49
7,2022-04-24,105.49
8,2022-04-23,105.49
9,2022-04-22,105.49
10,2022-04-21,105.49
11,2022-04-20,105.49
12,2022-04-19,105.49
13,2022-04-18,105.49
14,2022-04-17,105.49
15,2022-04-16,105.49
16,2022-04-15,105.49
17,2022-04-14,105.49
18,2022-04-13,105.49
19,2022-04-12,105.49
20,2022-04-11,105.49
21,2022-04-10,105.49
22,2022-04-09,105.49
23,2022-04-08,105.49
24,2022-04-07,105.49
25,2022-04-06,105.49
26,2022-04-05,104.69
27,2022-04-04,103.89
28,2022-04-03,103.5
29,2022-04-02,102.7
30,2022-04-01,101.9
31,2022-03-31,101.9
32,2022-03-30,101.1
33,2022-03-29,100.3
34,2022-03-28,99.5
35,2022-03-27,99.2
36,2022-03-26,98.7
37,2022-03-25,97.92
38,2022-03-24,97.12
39,2022-03-23,97.12
40,2022-03-22,96.33
41,2022-03-21,95.53
42,2022-03-20,95.53
43,2022-03-19,95.53
44,2022-03-18,95.53
45,2022-03-17,95.53
46,2022-03-16,95.53
47,2022-03-15,95.53
48,2022-03-14,95.53
49,2022-03-13,95.53
50,2022-03-12,95.53
51,2022-03-11,95.53
52,2022-03-10,95.53
53,2022-03-09,95.53
54,2022-03-08,95.53
55,2022-03-07,95.53
56,2022-03-06,95.53
57,2022-03-05,95.53
58,2022-03-04,95.53
59,2022-03-03,95.53
60,2022-03-02,95.53
61,2022-03-01,95.53
62,2022-02-28,95.53
63,2022-02-27,95.53
64,2022-02-26,95.53
65,2022-02-25,95.53
66,2022-02-24,95.53
67,2022-02-23,95.53
68,2022-02-22,95.53
69,2022-02-21,95.53
70,2022-02-20,95.53
71,2022-02-19,95.53
72,2022-02-18,95.53
73,2022-02-17,95.53
74,2022-02-16,95.53
75,2022-02-15,95.53
76,2022-02-14,95.53
77,2022-02-13,95.53
78,2022-02-12,95.53
79,2022-02-11,95.53
80,2022-02-10,95.53
81,2022-02-09,95.53
82,2022-02-08,95.53
83,2022-02-07,95.53
84,2022-02-06,95.53
85,2022-02-05,95.53
86,2022-02-04,95.53
87,2022-02-03,95.53
88,2022-02-02,95.53
89,2022-02-01,95.53
90,2022-01-31,95.53
91,2022-01-30,95.53
92,2022-01-29,95.53
93,2022-01-28,95.53
94,2022-01-27,95.53
95,2022-01-26,95.53
96,2022-01-25,95.53
97,2022-01-24,95.53
98,2022-01-23,95.53
99,2022-01-22,95.53
100,2022-01-21,95.53
101,2022-01-20,95.53
102,2022-01-19,95.53
103,2022-01-18,95.53
104,2022-01-17,95.53
105,2022-01-16,95.53
106,2022-01-15,95.53
107,2022-01-14,95.53
108,2022-01-13,95.53
109,2022-01-12,95.53
110,2022-01-11,95.53
111,2022-01-10,95.53
112,2022-01-09,95.53
113,2022-01-08,95.53
114,2022-01-07,95.53
115,2022-01-06,95.53
116,2022-01-05,95.53
117,2022-01-04,95.53
118,2022-01-03,95.53
119,2022-01-02,95.53
120,2022-01-01,95.53
121,2021-12-31,95.53
122,2021-12-30,95.53
123,2021-12-29,95.53
124,2021-12-28,95.53
125,2021-12-27,95.53
126,2021-12-26,95.53
127,2021-12-25,95.53
128,2021-12-24,95.53
129,2021-12-23,95.53
130,2021-12-22,95.53
131,2021-12-21,95.53
132,2021-12-20,95.53
133,2021-12-19,95.53
134,2021-12-18,95.53
135,2021-12-17,95.53
136,2021-12-16,95.53
137,2021-12-15,95.53
138,2021-12-14,95.53
139,2021-12-13,95.53
140,2021-12-12,95.53
141,2021-12-11,95.53
142,2021-12-10,95.53
143,2021-12-09,95.53
144,2021-12-08,95.53
145,2021-12-07,95.53
146,2021-12-06,95.53
147,2021-12-05,95.53
148,2021-12-04,95.53
149,2021-12-03,95.53
150,2021-12-02,95.53
151,2021-11-30,95.53
152,2021-11-29,95.53
153,2021-11-28,95.53
154,2021-11-27,95.53
155,2021-11-26,95.53
156,2021-11-25,95.53
157,2021-11-24,95.53
158,2021-11-23,95.53
159,2021-11-22,95.53
160,2021-11-21,95.53
161,2021-11-20,95.53
162,2021-11-19,95.53
163,2021-11-18,95.53
164,2021-11-17,95.53
165,2021-11-16,95.53
166,2021-11-15,95.53
167,2021-11-14,95.53
168,2021-11-13,95.53
169,2021-11-12,95.53
170,2021-11-11,95.53
171,2021-11-10,95.53
172,2021-11-09,95.53
173,2021-11-08,95.53
174,2021-11-07,95.53
175,2021-11-06,95.53
176,2021-11-05,95.53
177,2021-11-04,101.32
178,2021-11-03,107.22
179,2021-11-02,107.22
180,2021-11-01,106.86
181,2021-10-31,106.47
182,2021-10-30,106.13
183,2021-10-29,105.79
184,2021-10-28,105.45
185,2021-10-27,105.11
186,2021-10-26,104.77
187,2021-10-25,104.77
188,2021-10-24,104.77
189,2021-10-23,104.43
190,2021-10-22,104.09
191,2021-10-21,103.75
192,2021-10-20,103.41
193,2021-10-19,103.06
194,2021-10-18,103.06
195,2021-10-15,102.38
196,2021-10-14,102.04
197,2021-10-13,101.7
198,2021-10-12,101.7
199,2021-10-11,101.7
200,2021-10-10,101.41
201,2021-10-09,101.12
202,2021-10-08,100.83
203,2021-10-07,100.54
204,2021-10-06,100.24
205,2021-10-05,99.95
206,2021-10-04,99.71
207,2021-10-03,99.71
208,2021-10-02,99.47
209,2021-10-01,99.22
210,2021-09-30,98.99
211,2021-09-29,98.76
212,2021-09-28,98.76
213,2021-09-27,98.58
214,2021-09-26,98.58
215,2021-09-25,98.58
216,2021-09-24,98.58
217,2021-09-23,98.58
218,2021-09-22,98.58
219,2021-09-21,98.58
220,2021-09-20,98.58
221,2021-09-19,98.58
222,2021-09-18,98.58
223,2021-09-17,98.58
224,2021-09-16,98.58
225,2021-09-15,98.58
226,2021-09-14,98.58
227,2021-09-13,98.58
228,2021-09-12,98.58
229,2021-09-11,98.58
230,2021-09-10,98.58
231,2021-09-09,98.58
232,2021-09-08,98.58
233,2021-09-07,98.58
234,2021-09-06,98.58
235,2021-09-05,98.58
236,2021-09-03,98.73
237,2021-09-02,98.73
238,2021-09-01,98.73
239,2021-08-31,98.89
240,2021-08-30,98.89
241,2021-08-29,98.89
242,2021-08-28,98.89
243,2021-08-27,98.89
244,2021-08-26,98.89
245,2021-08-25,98.89
246,2021-08-24,98.89
247,2021-08-23,99.03
248,2021-08-22,99.03
249,2021-08-21,99.15
250,2021-08-20,99.15
251,2021-08-19,99.15
252,2021-08-18,99.16
253,2021-08-17,99.16
254,2021-08-16,99.16
255,2021-08-15,99.16
256,2021-08-14,99.16
257,2021-08-13,99.16
258,2021-08-12,99.16
259,2021-08-11,99.16
260,2021-08-10,99.16
261,2021-08-09,99.16
262,2021-08-08,99.16
263,2021-08-07,99.16
264,2021-08-06,99.16
265,2021-08-05,99.16
266,2021-08-04,99.16
267,2021-08-03,99.16
268,2021-08-02,99.16
269,2021-08-01,99.16
270,2021-07-31,99.16
271,2021-07-30,99.16
272,2021-07-29,99.16
273,2021-07-28,99.16
274,2021-07-27,99.16
275,2021-07-26,99.16
276,2021-07-25,99.16
277,2021-07-24,99.16
278,2021-07-23,99.16
279,2021-07-22,99.16
280,2021-07-21,99.16
281,2021-07-20,99.16
282,2021-07-19,99.16
283,2021-07-18,99.16
284,2021-07-17,99.16
285,2021-07-16,98.86
286,2021-07-15,98.86
287,2021-07-14,98.52
288,2021-07-13,98.52
289,2021-07-12,98.52
290,2021-07-11,98.25
291,2021-07-10,98.25
292,2021-07-09,97.91
293,2021-07-08,97.91
294,2021-07-07,97.57
295,2021-07-06,97.23
296,2021-07-05,97.23
297,2021-07-04,96.89
298,2021-07-03,96.55
299,2021-07-02,96.55
300,2021-07-01,96.21
301,2021-06-30,96.21
302,2021-06-29,96.21
303,2021-06-28,95.87
304,2021-06-27,95.87
305,2021-06-26,95.53
306,2021-06-25,95.19
307,2021-06-24,95.19
308,2021-06-23,94.93
309,2021-06-22,94.93
310,2021-06-21,94.66
311,2021-06-20,94.66
312,2021-06-19,94.38
313,2021-06-18,94.38
314,2021-06-17,94.12
315,2021-06-16,94.12
316,2021-06-15,93.87
317,2021-06-14,93.87
318,2021-06-13,93.59
319,2021-06-12,93.59
320,2021-06-11,93.33
321,2021-06-10,93.05
322,2021-06-09,93.05
323,2021-06-08,92.8
324,2021-06-07,92.8
325,2021-06-06,92.53
326,2021-06-05,92.27
327,2021-06-04,92.27
328,2021-06-03,92.02
329,2021-06-02,92.02
330,2021-06-01,92.02
331,2021-05-31,91.82
332,2021-05-30,91.6
333,2021-05-29,91.6
334,2021-05-28,91.4
335,2021-05-27,91.4
336,2021-05-26,91.21
337,2021-05-25,91.21
338,2021-05-24,91.04
339,2021-05-23,91.04
340,2021-05-22,90.91
341,2021-05-21,90.91
342,2021-05-20,90.76
343,2021-05-19,90.76
344,2021-05-18,90.76
345,2021-05-17,90.55
346,2021-05-16,90.55
347,2021-05-15,90.37
348,2021-05-14,90.37
349,2021-05-13,90.15
350,2021-05-12,90.15
351,2021-05-11,89.95
352,2021-05-10,89.75
353,2021-05-09,89.55
354,2021-05-08,89.55
355,2021-05-07,89.55
356,2021-05-06,89.33
357,2021-05-05,89.14
358,2021-05-04,89
359,2021-05-03,88.83
360,2021-05-02,88.83
361,2021-05-01,88.83
362,2021-04-30,88.83
363,2021-04-29,88.83
364,2021-04-28,88.83
