,date,price
0,2022-05-01,104.93
1,2022-04-30,104.93
2,2022-04-29,104.93
3,2022-04-28,104.93
4,2022-04-27,104.93
5,2022-04-26,104.93
6,2022-04-25,104.93
7,2022-04-24,104.93
8,2022-04-23,104.93
9,2022-04-22,104.93
10,2022-04-21,104.93
11,2022-04-20,104.93
12,2022-04-19,104.93
13,2022-04-18,104.93
14,2022-04-17,104.93
15,2022-04-16,104.93
16,2022-04-15,104.93
17,2022-04-14,104.93
18,2022-04-13,104.93
19,2022-04-12,104.93
20,2022-04-11,104.93
21,2022-04-10,104.93
22,2022-04-09,104.93
23,2022-04-08,104.93
24,2022-04-07,104.93
25,2022-04-06,104.93
26,2022-04-05,104.13
27,2022-04-04,103.33
28,2022-04-03,102.93
29,2022-04-02,102.13
30,2022-04-01,101.33
31,2022-03-31,101.33
32,2022-03-30,100.53
33,2022-03-29,99.74
34,2022-03-28,98.94
35,2022-03-27,98.64
36,2022-03-26,98.14
37,2022-03-25,97.34
38,2022-03-24,96.54
39,2022-03-23,96.54
40,2022-03-22,95.74
41,2022-03-21,94.95
42,2022-03-20,94.95
43,2022-03-19,94.95
44,2022-03-18,94.95
45,2022-03-17,94.95
46,2022-03-16,94.95
47,2022-03-15,94.95
48,2022-03-14,94.95
49,2022-03-13,94.95
50,2022-03-12,94.95
51,2022-03-11,94.95
52,2022-03-10,94.95
53,2022-03-09,94.95
54,2022-03-08,94.95
55,2022-03-07,94.95
56,2022-03-06,94.95
57,2022-03-05,94.95
58,2022-03-04,94.95
59,2022-03-03,94.95
60,2022-03-02,94.95
61,2022-03-01,94.95
62,2022-02-28,94.95
63,2022-02-27,94.95
64,2022-02-26,94.95
65,2022-02-25,94.95
66,2022-02-24,94.95
67,2022-02-23,94.95
68,2022-02-22,94.95
69,2022-02-21,94.95
70,2022-02-20,94.95
71,2022-02-19,94.95
72,2022-02-18,94.95
73,2022-02-17,94.95
74,2022-02-16,94.95
75,2022-02-15,94.95
76,2022-02-14,94.95
77,2022-02-13,94.95
78,2022-02-12,94.95
79,2022-02-11,94.95
80,2022-02-10,94.95
81,2022-02-09,94.95
82,2022-02-08,94.95
83,2022-02-07,94.95
84,2022-02-06,94.95
85,2022-02-05,94.95
86,2022-02-04,94.95
87,2022-02-03,94.95
88,2022-02-02,94.95
89,2022-02-01,94.95
90,2022-01-31,94.95
91,2022-01-30,94.95
92,2022-01-29,94.95
93,2022-01-28,94.95
94,2022-01-27,94.95
95,2022-01-26,94.95
96,2022-01-25,94.95
97,2022-01-24,94.95
98,2022-01-23,94.95
99,2022-01-22,94.95
