,date,price
0,2022-05-01,105.94
1,2022-04-30,105.94
2,2022-04-29,105.94
3,2022-04-28,105.94
4,2022-04-27,105.94
5,2022-04-26,105.94
6,2022-04-25,105.94
7,2022-04-24,105.94
8,2022-04-23,105.94
9,2022-04-22,105.94
10,2022-04-21,105.94
11,2022-04-20,105.94
12,2022-04-19,105.94
13,2022-04-18,105.94
14,2022-04-17,105.94
15,2022-04-16,105.94
16,2022-04-15,105.94
17,2022-04-14,105.94
18,2022-04-13,105.94
19,2022-04-12,105.94
20,2022-04-11,105.94
21,2022-04-10,105.94
22,2022-04-09,105.94
23,2022-04-08,105.94
24,2022-04-07,105.94
25,2022-04-06,105.94
26,2022-04-05,105.14
27,2022-04-04,104.34
28,2022-04-03,103.94
29,2022-04-02,103.14
30,2022-04-01,102.34
31,2022-03-31,102.34
32,2022-03-30,101.55
33,2022-03-29,100.75
34,2022-03-28,99.95
35,2022-03-27,99.65
36,2022-03-26,99.15
37,2022-03-25,98.39
38,2022-03-24,97.59
39,2022-03-23,97.59
40,2022-03-22,96.79
41,2022-03-21,95.99
42,2022-03-20,95.99
43,2022-03-19,95.99
44,2022-03-18,95.99
45,2022-03-17,95.99
46,2022-03-16,95.99
47,2022-03-15,95.99
48,2022-03-14,95.99
49,2022-03-13,95.99
50,2022-03-12,95.99
51,2022-03-11,95.99
52,2022-03-10,95.99
53,2022-03-09,95.99
54,2022-03-08,95.99
55,2022-03-07,95.99
56,2022-03-06,95.99
57,2022-03-05,95.99
58,2022-03-04,95.99
59,2022-03-03,95.99
60,2022-03-02,95.99
61,2022-03-01,95.99
62,2022-02-28,95.99
63,2022-02-27,95.99
64,2022-02-26,95.99
65,2022-02-25,95.99
66,2022-02-24,95.99
67,2022-02-23,95.99
68,2022-02-22,95.99
69,2022-02-21,95.99
70,2022-02-20,95.99
71,2022-02-19,95.99
72,2022-02-18,95.99
73,2022-02-17,95.99
74,2022-02-16,95.99
75,2022-02-15,95.99
76,2022-02-14,95.99
77,2022-02-13,95.99
78,2022-02-12,95.99
79,2022-02-11,95.99
80,2022-02-10,95.99
81,2022-02-09,95.99
82,2022-02-08,95.99
83,2022-02-07,95.99
84,2022-02-06,95.99
85,2022-02-05,95.99
86,2022-02-04,95.99
87,2022-02-03,95.99
88,2022-02-02,95.99
89,2022-02-01,95.99
90,2022-01-31,95.99
91,2022-01-30,95.99
92,2022-01-29,95.99
93,2022-01-28,95.99
94,2022-01-27,95.99
95,2022-01-26,95.99
96,2022-01-25,95.99
97,2022-01-24,95.99
98,2022-01-23,95.99
99,2022-01-22,95.99
100,2022-01-21,95.99
101,2022-01-20,95.99
102,2022-01-19,95.99
103,2022-01-18,95.99
104,2022-01-17,95.99
105,2022-01-16,95.99
106,2022-01-15,95.99
107,2022-01-14,95.99
108,2022-01-13,95.99
109,2022-01-12,95.99
110,2022-01-11,95.99
111,2022-01-10,95.99
112,2022-01-09,95.99
113,2022-01-08,95.99
114,2022-01-07,95.99
115,2022-01-06,95.99
116,2022-01-05,95.99
117,2022-01-04,95.99
118,2022-01-03,95.99
119,2022-01-02,95.99
120,2022-01-01,95.99
121,2021-12-31,95.99
122,2021-12-30,95.99
123,2021-12-29,95.99
124,2021-12-28,95.99
125,2021-12-27,95.99
126,2021-12-26,95.99
127,2021-12-25,95.99
128,2021-12-24,95.99
129,2021-12-23,95.99
130,2021-12-22,95.99
131,2021-12-21,95.99
132,2021-12-20,95.99
133,2021-12-19,95.99
134,2021-12-18,95.99
135,2021-12-17,95.99
136,2021-12-16,95.99
137,2021-12-15,95.99
138,2021-12-14,95.99
139,2021-12-13,95.99
140,2021-12-12,95.99
141,2021-12-11,95.99
142,2021-12-10,95.99
143,2021-12-09,95.99
144,2021-12-08,95.99
145,2021-12-07,95.99
146,2021-12-06,95.99
147,2021-12-05,95.99
148,2021-12-04,95.99
149,2021-12-03,95.99
150,2021-12-02,95.99
151,2021-11-30,95.99
152,2021-11-29,95.99
153,2021-11-28,95.99
154,2021-11-27,95.99
155,2021-11-26,95.99
156,2021-11-25,95.99
157,2021-11-24,95.99
158,2021-11-23,95.99
159,2021-11-22,95.99
160,2021-11-21,95.99
161,2021-11-20,95.99
162,2021-11-19,95.99
163,2021-11-18,95.99
164,2021-11-17,95.99
165,2021-11-16,95.99
166,2021-11-15,95.99
167,2021-11-14,95.99
168,2021-11-13,95.99
169,2021-11-12,95.99
170,2021-11-11,95.99
171,2021-11-10,95.99
172,2021-11-09,95.99
173,2021-11-08,95.99
174,2021-11-07,95.99
175,2021-11-06,95.99
176,2021-11-05,95.99
177,2021-11-04,101.81
178,2021-11-03,107.72
179,2021-11-02,107.72
180,2021-11-01,107.36
181,2021-10-31,106.93
182,2021-10-30,106.58
183,2021-10-29,106.24
184,2021-10-28,105.9
185,2021-10-27,105.56
186,2021-10-26,105.22
187,2021-10-25,105.22
188,2021-10-24,105.22
189,2021-10-23,104.88
190,2021-10-22,104.54
191,2021-10-21,104.2
192,2021-10-20,103.86
193,2021-10-19,103.52
194,2021-10-18,103.52
195,2021-10-15,102.84
196,2021-10-14,102.5
197,2021-10-13,102.16
198,2021-10-12,102.16
199,2021-10-11,102.16
200,2021-10-10,101.87
201,2021-10-09,101.57
202,2021-10-08,101.28
203,2021-10-07,100.99
204,2021-10-06,100.7
205,2021-10-05,100.41
206,2021-10-04,100.16
207,2021-10-03,100.16
208,2021-10-02,99.92
209,2021-10-01,99.68
210,2021-09-30,99.45
211,2021-09-29,99.22
212,2021-09-28,99.22
213,2021-09-27,98.91
214,2021-09-26,98.91
215,2021-09-25,98.91
216,2021-09-24,98.91
217,2021-09-23,98.91
218,2021-09-22,98.91
219,2021-09-21,98.91
220,2021-09-20,98.91
221,2021-09-19,98.91
222,2021-09-18,98.91
223,2021-09-17,98.91
224,2021-09-16,98.91
225,2021-09-15,98.91
226,2021-09-14,98.91
227,2021-09-13,98.91
228,2021-09-12,98.91
229,2021-09-11,98.91
230,2021-09-10,98.91
231,2021-09-09,98.91
232,2021-09-08,98.91
233,2021-09-07,98.91
234,2021-09-06,98.91
235,2021-09-05,98.91
236,2021-09-03,99.06
237,2021-09-02,99.06
238,2021-09-01,99.06
239,2021-08-31,99.22
240,2021-08-30,99.22
241,2021-08-29,99.22
242,2021-08-28,99.22
243,2021-08-27,99.22
244,2021-08-26,99.22
245,2021-08-25,99.22
246,2021-08-24,99.22
247,2021-08-23,99.36
248,2021-08-22,99.36
249,2021-08-21,99.43
250,2021-08-20,99.43
251,2021-08-19,99.43
252,2021-08-18,99.45
253,2021-08-17,99.45
254,2021-08-16,99.45
255,2021-08-15,99.45
256,2021-08-14,99.45
257,2021-08-13,99.45
258,2021-08-12,99.45
259,2021-08-11,99.45
260,2021-08-10,99.45
261,2021-08-09,99.45
262,2021-08-08,99.45
263,2021-08-07,99.45
264,2021-08-06,99.45
265,2021-08-05,99.45
266,2021-08-04,99.45
267,2021-08-03,99.45
268,2021-08-02,99.45
269,2021-08-01,99.45
270,2021-07-31,99.45
271,2021-07-30,99.45
272,2021-07-29,99.45
273,2021-07-28,99.45
274,2021-07-27,99.45
275,2021-07-26,99.45
276,2021-07-25,99.45
277,2021-07-24,99.45
278,2021-07-23,99.45
279,2021-07-22,99.45
280,2021-07-21,99.45
281,2021-07-20,99.45
282,2021-07-19,99.45
283,2021-07-18,99.45
284,2021-07-17,99.45
285,2021-07-16,99.15
286,2021-07-15,99.15
287,2021-07-14,98.81
288,2021-07-13,98.81
289,2021-07-12,98.81
290,2021-07-11,98.54
291,2021-07-10,98.54
292,2021-07-09,98.2
293,2021-07-08,98.2
294,2021-07-07,97.86
295,2021-07-06,97.52
296,2021-07-05,97.52
297,2021-07-04,97.18
298,2021-07-03,96.84
299,2021-07-02,96.84
300,2021-07-01,96.5
301,2021-06-30,96.5
302,2021-06-29,96.5
303,2021-06-28,96.16
304,2021-06-27,96.16
305,2021-06-26,95.82
306,2021-06-25,95.48
307,2021-06-24,95.48
308,2021-06-23,95.22
309,2021-06-22,95.22
310,2021-06-21,94.95
311,2021-06-20,94.95
312,2021-06-19,94.67
313,2021-06-18,94.67
314,2021-06-17,94.41
315,2021-06-16,94.41
316,2021-06-15,94.16
317,2021-06-14,94.16
318,2021-06-13,93.88
319,2021-06-12,93.88
320,2021-06-11,93.62
321,2021-06-10,93.34
322,2021-06-09,93.34
323,2021-06-08,93.09
324,2021-06-07,93.09
325,2021-06-06,92.82
326,2021-06-05,92.56
327,2021-06-04,92.56
328,2021-06-03,92.29
329,2021-06-02,92.29
330,2021-06-01,92.29
331,2021-05-31,92.05
332,2021-05-30,91.82
333,2021-05-29,91.82
334,2021-05-28,91.63
335,2021-05-27,91.63
336,2021-05-26,91.44
337,2021-05-25,91.44
338,2021-05-24,91.26
339,2021-05-23,91.26
340,2021-05-22,91.13
341,2021-05-21,91.13
342,2021-05-20,90.99
343,2021-05-19,90.99
344,2021-05-18,90.99
345,2021-05-17,90.78
346,2021-05-16,90.78
347,2021-05-15,90.6
348,2021-05-14,90.6
349,2021-05-13,90.37
350,2021-05-12,90.37
351,2021-05-11,90.18
352,2021-05-10,89.98
353,2021-05-09,89.78
354,2021-05-08,89.78
355,2021-05-07,89.78
356,2021-05-06,89.56
357,2021-05-05,89.37
358,2021-05-04,89.22
359,2021-05-03,89.03
360,2021-05-02,89.03
361,2021-05-01,89.03
362,2021-04-30,89.03
363,2021-04-29,89.03
364,2021-04-28,89.03
