,date,price
0,2022-05-01,105.14
1,2022-04-30,105.14
2,2022-04-29,105.14
3,2022-04-28,105.14
4,2022-04-27,105.14
5,2022-04-26,105.14
6,2022-04-25,105.14
7,2022-04-24,105.14
8,2022-04-23,105.14
9,2022-04-22,105.14
10,2022-04-21,105.14
11,2022-04-20,105.14
12,2022-04-19,105.14
13,2022-04-18,105.14
14,2022-04-17,105.14
15,2022-04-16,105.14
16,2022-04-15,105.14
17,2022-04-14,105.14
18,2022-04-13,105.14
19,2022-04-12,105.14
20,2022-04-11,105.14
21,2022-04-10,105.14
22,2022-04-09,105.14
23,2022-04-08,105.14
24,2022-04-07,105.14
25,2022-04-06,105.14
26,2022-04-05,104.34
27,2022-04-04,103.54
28,2022-04-03,103.14
29,2022-04-02,102.34
30,2022-04-01,101.54
31,2022-03-31,101.54
32,2022-03-30,100.74
33,2022-03-29,99.95
34,2022-03-28,99.15
35,2022-03-27,98.85
36,2022-03-26,98.35
37,2022-03-25,97.57
38,2022-03-24,96.77
39,2022-03-23,96.77
40,2022-03-22,95.97
41,2022-03-21,95.17
42,2022-03-20,95.17
43,2022-03-19,95.17
44,2022-03-18,95.17
45,2022-03-17,95.17
46,2022-03-16,95.17
47,2022-03-15,95.17
48,2022-03-14,95.17
49,2022-03-13,95.17
50,2022-03-12,95.17
51,2022-03-11,95.17
52,2022-03-10,95.17
53,2022-03-09,95.17
54,2022-03-08,95.17
55,2022-03-07,95.17
56,2022-03-06,95.17
57,2022-03-05,95.17
58,2022-03-04,95.17
59,2022-03-03,95.17
60,2022-03-02,95.17
61,2022-03-01,95.17
62,2022-02-28,95.17
63,2022-02-27,95.17
64,2022-02-26,95.17
65,2022-02-25,95.17
66,2022-02-24,95.17
67,2022-02-23,95.17
68,2022-02-22,95.17
69,2022-02-21,95.17
70,2022-02-20,95.17
71,2022-02-19,95.17
72,2022-02-18,95.17
73,2022-02-17,95.17
74,2022-02-16,95.17
75,2022-02-15,95.17
76,2022-02-14,95.17
77,2022-02-13,95.17
78,2022-02-12,95.17
79,2022-02-11,95.17
80,2022-02-10,95.17
81,2022-02-09,95.17
82,2022-02-08,95.17
83,2022-02-07,95.17
84,2022-02-06,95.17
85,2022-02-05,95.17
86,2022-02-04,95.17
87,2022-02-03,95.17
88,2022-02-02,95.17
89,2022-02-01,95.17
90,2022-01-31,95.17
91,2022-01-30,95.17
92,2022-01-29,95.17
93,2022-01-28,95.17
94,2022-01-27,95.17
95,2022-01-26,95.17
96,2022-01-25,95.17
97,2022-01-24,95.17
98,2022-01-23,95.17
99,2022-01-22,95.17
100,2022-01-21,95.17
101,2022-01-20,95.17
102,2022-01-19,95.17
103,2022-01-18,95.17
104,2022-01-17,95.17
105,2022-01-16,95.17
106,2022-01-15,95.17
107,2022-01-14,95.17
108,2022-01-13,95.17
109,2022-01-12,95.17
110,2022-01-11,95.17
111,2022-01-10,95.17
112,2022-01-09,95.17
113,2022-01-08,95.17
114,2022-01-07,95.17
115,2022-01-06,95.17
116,2022-01-05,95.17
117,2022-01-04,95.17
118,2022-01-03,95.17
119,2022-01-02,95.17
120,2022-01-01,95.17
121,2021-12-31,95.17
122,2021-12-30,95.17
123,2021-12-29,95.17
124,2021-12-28,95.17
125,2021-12-27,95.17
126,2021-12-26,95.17
127,2021-12-25,95.17
128,2021-12-24,95.17
129,2021-12-23,95.17
130,2021-12-22,95.17
131,2021-12-21,95.17
132,2021-12-20,95.17
133,2021-12-19,95.17
134,2021-12-18,95.17
135,2021-12-17,95.17
136,2021-12-16,95.17
137,2021-12-15,95.17
138,2021-12-14,95.17
139,2021-12-13,95.17
140,2021-12-12,95.17
141,2021-12-11,95.17
142,2021-12-10,95.17
143,2021-12-09,95.17
144,2021-12-08,95.17
145,2021-12-07,95.17
146,2021-12-06,95.17
147,2021-12-05,95.17
148,2021-12-04,95.17
149,2021-12-03,95.17
150,2021-12-02,95.17
151,2021-11-30,95.17
152,2021-11-29,95.17
153,2021-11-28,95.17
154,2021-11-27,95.17
155,2021-11-26,95.17
156,2021-11-25,95.17
157,2021-11-24,95.17
158,2021-11-23,95.17
159,2021-11-22,95.17
160,2021-11-21,95.17
161,2021-11-20,95.17
162,2021-11-19,95.17
163,2021-11-18,95.17
164,2021-11-17,95.17
165,2021-11-16,95.17
166,2021-11-15,95.17
167,2021-11-14,95.17
168,2021-11-13,95.17
169,2021-11-12,95.17
170,2021-11-11,95.17
171,2021-11-10,95.17
172,2021-11-09,95.17
173,2021-11-08,95.17
174,2021-11-07,95.17
175,2021-11-06,95.17
176,2021-11-05,95.17
177,2021-11-04,100.94
178,2021-11-03,106.84
179,2021-11-02,106.84
180,2021-11-01,106.48
181,2021-10-31,106.09
182,2021-10-30,105.75
183,2021-10-29,105.41
184,2021-10-28,105.07
185,2021-10-27,104.73
186,2021-10-26,104.39
187,2021-10-25,104.39
188,2021-10-24,104.39
189,2021-10-23,104.05
190,2021-10-22,103.71
191,2021-10-21,103.37
192,2021-10-20,103.03
193,2021-10-19,102.69
194,2021-10-18,102.69
195,2021-10-15,102.01
196,2021-10-14,101.67
197,2021-10-13,101.33
198,2021-10-12,101.33
199,2021-10-11,101.33
200,2021-10-10,101.03
201,2021-10-09,100.74
202,2021-10-08,100.45
203,2021-10-07,100.16
204,2021-10-06,99.87
205,2021-10-05,99.57
206,2021-10-04,99.33
207,2021-10-03,99.33
208,2021-10-02,99.09
209,2021-10-01,98.84
210,2021-09-30,98.61
211,2021-09-29,98.38
212,2021-09-28,98.38
213,2021-09-27,98.2
214,2021-09-26,98.2
215,2021-09-25,98.2
216,2021-09-24,98.2
217,2021-09-23,98.2
218,2021-09-22,98.2
219,2021-09-21,98.2
220,2021-09-20,98.2
221,2021-09-19,98.2
222,2021-09-18,98.2
223,2021-09-17,98.2
224,2021-09-16,98.2
225,2021-09-15,98.2
226,2021-09-14,98.2
227,2021-09-13,98.2
228,2021-09-12,98.2
229,2021-09-11,98.2
230,2021-09-10,98.2
231,2021-09-09,98.2
232,2021-09-08,98.2
233,2021-09-07,98.2
234,2021-09-06,98.2
235,2021-09-05,98.2
236,2021-09-03,98.36
237,2021-09-02,98.36
238,2021-09-01,98.36
239,2021-08-31,98.51
240,2021-08-30,98.51
241,2021-08-29,98.51
242,2021-08-28,98.51
243,2021-08-27,98.51
244,2021-08-26,98.51
245,2021-08-25,98.51
246,2021-08-24,98.51
247,2021-08-23,98.65
248,2021-08-22,98.65
249,2021-08-21,98.77
250,2021-08-20,98.77
251,2021-08-19,98.77
252,2021-08-18,98.77
253,2021-08-17,98.77
254,2021-08-16,98.77
255,2021-08-15,98.77
256,2021-08-14,98.77
257,2021-08-13,98.77
258,2021-08-12,98.77
259,2021-08-11,98.77
260,2021-08-10,98.77
261,2021-08-09,98.77
262,2021-08-08,98.77
263,2021-08-07,98.77
264,2021-08-06,98.77
265,2021-08-05,98.77
266,2021-08-04,98.77
267,2021-08-03,98.77
268,2021-08-02,98.77
269,2021-08-01,98.77
270,2021-07-31,98.77
271,2021-07-30,98.77
272,2021-07-29,98.77
273,2021-07-28,98.77
274,2021-07-27,98.77
275,2021-07-26,98.77
276,2021-07-25,98.77
277,2021-07-24,98.77
278,2021-07-23,98.77
279,2021-07-22,98.77
280,2021-07-21,98.77
281,2021-07-20,98.77
282,2021-07-19,98.77
283,2021-07-18,98.77
284,2021-07-17,98.77
285,2021-07-16,98.48
286,2021-07-15,98.48
287,2021-07-14,98.14
288,2021-07-13,98.14
289,2021-07-12,98.14
290,2021-07-11,97.87
291,2021-07-10,97.87
292,2021-07-09,97.53
293,2021-07-08,97.53
294,2021-07-07,97.19
295,2021-07-06,96.84
296,2021-07-05,96.84
297,2021-07-04,96.5
298,2021-07-03,96.16
299,2021-07-02,96.16
300,2021-07-01,95.82
301,2021-06-30,95.82
302,2021-06-29,95.82
303,2021-06-28,95.48
304,2021-06-27,95.48
305,2021-06-26,95.14
306,2021-06-25,94.8
307,2021-06-24,94.8
308,2021-06-23,94.55
309,2021-06-22,94.55
310,2021-06-21,94.28
311,2021-06-20,94.28
312,2021-06-19,93.99
313,2021-06-18,93.99
314,2021-06-17,93.73
