,date,price
0,2022-05-01,105.6
1,2022-04-30,105.6
2,2022-04-29,105.6
3,2022-04-28,105.6
4,2022-04-27,105.6
5,2022-04-26,105.6
6,2022-04-25,105.6
7,2022-04-24,105.6
8,2022-04-23,105.6
9,2022-04-22,105.6
10,2022-04-21,105.6
11,2022-04-20,105.6
12,2022-04-19,105.6
13,2022-04-18,105.6
14,2022-04-17,105.6
15,2022-04-16,105.6
16,2022-04-15,105.6
17,2022-04-14,105.6
18,2022-04-13,105.6
19,2022-04-12,105.6
20,2022-04-11,105.6
21,2022-04-10,105.6
22,2022-04-09,105.6
23,2022-04-08,105.6
24,2022-04-07,105.6
25,2022-04-06,105.6
26,2022-04-05,104.8
27,2022-04-04,104.01
28,2022-04-03,103.61
29,2022-04-02,102.81
30,2022-04-01,102.01
31,2022-03-31,102.01
32,2022-03-30,101.21
33,2022-03-29,100.41
34,2022-03-28,99.62
35,2022-03-27,99.32
36,2022-03-26,98.82
37,2022-03-25,98.04
38,2022-03-24,97.24
39,2022-03-23,97.24
40,2022-03-22,96.44
41,2022-03-21,95.64
42,2022-03-20,95.64
43,2022-03-19,95.64
44,2022-03-18,95.64
45,2022-03-17,95.64
46,2022-03-16,95.64
47,2022-03-15,95.64
48,2022-03-14,95.64
49,2022-03-13,95.64
50,2022-03-12,95.64
51,2022-03-11,95.64
52,2022-03-10,95.64
53,2022-03-09,95.64
54,2022-03-08,95.64
55,2022-03-07,95.64
56,2022-03-06,95.64
57,2022-03-05,95.64
58,2022-03-04,95.64
59,2022-03-03,95.64
60,2022-03-02,95.64
61,2022-03-01,95.64
62,2022-02-28,95.64
63,2022-02-27,95.64
64,2022-02-26,95.64
65,2022-02-25,95.64
66,2022-02-24,95.64
67,2022-02-23,95.64
68,2022-02-22,95.64
69,2022-02-21,95.64
70,2022-02-20,95.64
71,2022-02-19,95.64
72,2022-02-18,95.64
73,2022-02-17,95.64
74,2022-02-16,95.64
75,2022-02-15,95.64
76,2022-02-14,95.64
77,2022-02-13,95.64
78,2022-02-12,95.64
79,2022-02-11,95.64
80,2022-02-10,95.64
81,2022-02-09,95.64
82,2022-02-08,95.64
83,2022-02-07,95.64
84,2022-02-06,95.64
85,2022-02-05,95.64
86,2022-02-04,95.64
87,2022-02-03,95.64
88,2022-02-02,95.64
89,2022-02-01,95.64
90,2022-01-31,95.64
91,2022-01-30,95.64
92,2022-01-29,95.64
93,2022-01-28,95.64
94,2022-01-27,95.64
95,2022-01-26,95.64
96,2022-01-25,95.64
97,2022-01-24,95.64
98,2022-01-23,95.64
99,2022-01-22,95.64
100,2022-01-21,95.64
101,2022-01-20,95.64
102,2022-01-19,95.64
103,2022-01-18,95.64
104,2022-01-17,95.64
105,2022-01-16,95.64
106,2022-01-15,95.64
107,2022-01-14,95.64
108,2022-01-13,95.64
109,2022-01-12,95.64
110,2022-01-11,95.64
111,2022-01-10,95.64
112,2022-01-09,95.64
113,2022-01-08,95.64
114,2022-01-07,95.64
115,2022-01-06,95.64
116,2022-01-05,95.64
117,2022-01-04,95.64
118,2022-01-03,95.64
119,2022-01-02,95.64
120,2022-01-01,95.64
121,2021-12-31,95.64
122,2021-12-30,95.64
123,2021-12-29,95.64
124,2021-12-28,95.64
125,2021-12-27,95.64
126,2021-12-26,95.64
127,2021-12-25,95.64
128,2021-12-24,95.64
129,2021-12-23,95.64
130,2021-12-22,95.64
131,2021-12-21,95.64
132,2021-12-20,95.64
133,2021-12-19,95.64
134,2021-12-18,95.64
135,2021-12-17,95.64
136,2021-12-16,95.64
137,2021-12-15,95.64
138,2021-12-14,95.64
139,2021-12-13,95.64
140,2021-12-12,95.64
141,2021-12-11,95.64
142,2021-12-10,95.64
143,2021-12-09,95.64
144,2021-12-08,95.64
145,2021-12-07,95.64
146,2021-12-06,95.64
147,2021-12-05,95.64
148,2021-12-04,95.64
149,2021-12-03,95.64
150,2021-12-02,95.64
151,2021-11-30,95.64
152,2021-11-29,95.64
153,2021-11-28,95.64
154,2021-11-27,95.64
155,2021-11-26,95.64
156,2021-11-25,95.64
157,2021-11-24,95.64
158,2021-11-23,95.64
159,2021-11-22,95.64
160,2021-11-21,95.64
161,2021-11-20,95.64
162,2021-11-19,95.64
163,2021-11-18,95.64
164,2021-11-17,95.64
165,2021-11-16,95.64
166,2021-11-15,95.64
167,2021-11-14,95.64
168,2021-11-13,95.64
169,2021-11-12,95.64
170,2021-11-11,95.64
171,2021-11-10,95.64
172,2021-11-09,95.64
173,2021-11-08,95.64
174,2021-11-07,95.64
175,2021-11-06,95.64
176,2021-11-05,95.64
177,2021-11-04,101.44
178,2021-11-03,107.34
179,2021-11-02,107.34
180,2021-11-01,106.98
181,2021-10-31,106.59
182,2021-10-30,106.25
183,2021-10-29,105.91
184,2021-10-28,105.56
185,2021-10-27,105.22
186,2021-10-26,104.88
187,2021-10-25,104.88
188,2021-10-24,104.88
189,2021-10-23,104.54
190,2021-10-22,104.2
191,2021-10-21,103.86
192,2021-10-20,103.52
193,2021-10-19,103.18
194,2021-10-18,103.18
195,2021-10-15,102.5
196,2021-10-14,102.16
197,2021-10-13,101.82
198,2021-10-12,101.82
199,2021-10-11,101.82
200,2021-10-10,101.53
201,2021-10-09,101.24
202,2021-10-08,100.94
203,2021-10-07,100.65
204,2021-10-06,100.36
205,2021-10-05,100.07
206,2021-10-04,99.82
207,2021-10-03,99.82
208,2021-10-02,99.58
209,2021-10-01,99.34
210,2021-09-30,99.11
211,2021-09-29,98.88
212,2021-09-28,98.88
213,2021-09-27,98.7
214,2021-09-26,98.7
215,2021-09-25,98.7
216,2021-09-24,98.7
217,2021-09-23,98.7
218,2021-09-22,98.7
219,2021-09-21,98.7
220,2021-09-20,98.7
221,2021-09-19,98.7
222,2021-09-18,98.7
223,2021-09-17,98.7
224,2021-09-16,98.7
225,2021-09-15,98.7
226,2021-09-14,98.7
227,2021-09-13,98.7
228,2021-09-12,98.7
229,2021-09-11,98.7
230,2021-09-10,98.7
231,2021-09-09,98.7
232,2021-09-08,98.7
233,2021-09-07,98.7
234,2021-09-06,98.7
235,2021-09-05,98.7
236,2021-09-03,98.85
237,2021-09-02,98.85
238,2021-09-01,98.85
239,2021-08-31,99.01
240,2021-08-30,99.01
241,2021-08-29,99.01
242,2021-08-28,99.01
243,2021-08-27,99.01
244,2021-08-26,99.01
245,2021-08-25,99.01
246,2021-08-24,99.01
247,2021-08-23,99.14
248,2021-08-22,99.14
249,2021-08-21,99.33
250,2021-08-20,99.33
251,2021-08-19,99.33
252,2021-08-18,99.33
253,2021-08-17,99.33
254,2021-08-16,99.33
255,2021-08-15,99.33
256,2021-08-14,99.33
