,date,price
0,2022-05-01,106.35
1,2022-04-30,106.35
2,2022-04-29,106.35
3,2022-04-28,106.35
4,2022-04-27,106.35
5,2022-04-26,106.35
6,2022-04-25,106.35
7,2022-04-24,106.35
8,2022-04-23,106.35
9,2022-04-22,106.35
10,2022-04-21,106.35
11,2022-04-20,106.35
12,2022-04-19,106.35
13,2022-04-18,106.35
14,2022-04-17,106.35
15,2022-04-16,106.35
16,2022-04-15,106.35
17,2022-04-14,106.35
18,2022-04-13,106.35
19,2022-04-12,106.35
20,2022-04-11,106.35
21,2022-04-10,106.35
22,2022-04-09,106.35
23,2022-04-08,106.35
24,2022-04-07,106.35
25,2022-04-06,106.35
26,2022-04-05,105.55
27,2022-04-04,104.76
28,2022-04-03,104.36
29,2022-04-02,103.56
30,2022-04-01,102.76
31,2022-03-31,102.76
32,2022-03-30,101.96
33,2022-03-29,101.16
34,2022-03-28,100.37
35,2022-03-27,100.07
36,2022-03-26,99.57
37,2022-03-25,98.82
38,2022-03-24,98.02
39,2022-03-23,98.02
40,2022-03-22,97.22
41,2022-03-21,96.42
42,2022-03-20,96.42
43,2022-03-19,96.42
44,2022-03-18,96.42
45,2022-03-17,96.42
46,2022-03-16,96.42
47,2022-03-15,96.42
48,2022-03-14,96.42
49,2022-03-13,96.42
50,2022-03-12,96.42
51,2022-03-11,96.42
52,2022-03-10,96.42
53,2022-03-09,96.42
54,2022-03-08,96.42
55,2022-03-07,96.42
56,2022-03-06,96.42
57,2022-03-05,96.42
58,2022-03-04,96.42
59,2022-03-03,96.42
60,2022-03-02,96.42
61,2022-03-01,96.42
62,2022-02-28,96.42
63,2022-02-27,96.42
64,2022-02-26,96.42
65,2022-02-25,96.42
66,2022-02-24,96.42
67,2022-02-23,96.42
68,2022-02-22,96.42
69,2022-02-21,96.42
70,2022-02-20,96.42
71,2022-02-19,96.42
72,2022-02-18,96.42
73,2022-02-17,96.42
74,2022-02-16,96.42
75,2022-02-15,96.42
76,2022-02-14,96.42
77,2022-02-13,96.42
78,2022-02-12,96.42
79,2022-02-11,96.42
80,2022-02-10,96.42
81,2022-02-09,96.42
82,2022-02-08,96.42
83,2022-02-07,96.42
84,2022-02-06,96.42
85,2022-02-05,96.42
86,2022-02-04,96.42
87,2022-02-03,96.42
88,2022-02-02,96.42
89,2022-02-01,96.42
90,2022-01-31,96.42
91,2022-01-30,96.42
92,2022-01-29,96.42
93,2022-01-28,96.42
94,2022-01-27,96.42
95,2022-01-26,96.42
96,2022-01-25,96.42
97,2022-01-24,96.42
98,2022-01-23,96.42
99,2022-01-22,96.42
100,2022-01-21,96.42
101,2022-01-20,96.42
102,2022-01-19,96.42
103,2022-01-18,96.42
104,2022-01-17,96.42
105,2022-01-16,96.42
106,2022-01-15,96.42
107,2022-01-14,96.42
108,2022-01-13,96.42
109,2022-01-12,96.42
110,2022-01-11,96.42
111,2022-01-10,96.42
112,2022-01-09,96.42
113,2022-01-08,96.42
114,2022-01-07,96.42
115,2022-01-06,96.42
116,2022-01-05,96.42
117,2022-01-04,96.42
118,2022-01-03,96.42
119,2022-01-02,96.42
120,2022-01-01,96.42
121,2021-12-31,96.42
122,2021-12-30,96.42
123,2021-12-29,96.42
124,2021-12-28,96.42
125,2021-12-27,96.42
126,2021-12-26,96.42
127,2021-12-25,96.42
128,2021-12-24,96.42
129,2021-12-23,96.42
130,2021-12-22,96.42
131,2021-12-21,96.42
