,date,price
0,2022-05-01,104.65
1,2022-04-30,104.65
2,2022-04-29,104.65
3,2022-04-28,104.65
4,2022-04-27,104.65
5,2022-04-26,104.65
6,2022-04-25,104.65
7,2022-04-24,104.65
8,2022-04-23,104.65
9,2022-04-22,104.65
10,2022-04-21,104.65
11,2022-04-20,104.65
12,2022-04-19,104.65
13,2022-04-18,104.65
14,2022-04-17,104.65
15,2022-04-16,104.65
16,2022-04-15,104.65
17,2022-04-14,104.65
18,2022-04-13,104.65
19,2022-04-12,104.65
20,2022-04-11,104.65
21,2022-04-10,104.65
22,2022-04-09,104.65
23,2022-04-08,104.65
24,2022-04-07,104.65
25,2022-04-06,104.65
26,2022-04-05,103.85
27,2022-04-04,103.05
28,2022-04-03,102.65
29,2022-04-02,101.86
30,2022-04-01,101.06
31,2022-03-31,101.06
32,2022-03-30,100.26
33,2022-03-29,99.46
34,2022-03-28,98.66
35,2022-03-27,98.36
36,2022-03-26,97.86
37,2022-03-25,97.07
38,2022-03-24,96.27
39,2022-03-23,96.27
40,2022-03-22,95.47
41,2022-03-21,94.72
42,2022-03-20,94.72
43,2022-03-19,94.72
44,2022-03-18,94.72
45,2022-03-17,94.72
46,2022-03-16,94.72
47,2022-03-15,94.72
48,2022-03-14,94.72
49,2022-03-13,94.72
50,2022-03-12,94.72
51,2022-03-11,94.72
52,2022-03-10,94.72
53,2022-03-09,94.72
54,2022-03-08,94.72
55,2022-03-07,94.72
56,2022-03-06,94.72
57,2022-03-05,94.72
58,2022-03-04,94.72
59,2022-03-03,94.72
60,2022-03-02,94.72
61,2022-03-01,94.72
62,2022-02-28,94.72
63,2022-02-27,94.72
64,2022-02-26,94.72
65,2022-02-25,94.72
66,2022-02-24,94.72
67,2022-02-23,94.72
68,2022-02-22,94.72
69,2022-02-21,94.72
70,2022-02-20,94.72
71,2022-02-19,94.72
72,2022-02-18,94.72
73,2022-02-17,94.72
74,2022-02-16,94.72
75,2022-02-15,94.72
76,2022-02-14,94.72
77,2022-02-13,94.72
78,2022-02-12,94.72
79,2022-02-11,94.72
80,2022-02-10,94.72
81,2022-02-09,94.72
82,2022-02-08,94.72
83,2022-02-07,94.72
84,2022-02-06,94.72
85,2022-02-05,94.72
86,2022-02-04,94.72
87,2022-02-03,94.72
88,2022-02-02,94.72
89,2022-02-01,94.72
90,2022-01-31,94.72
91,2022-01-30,94.72
92,2022-01-29,94.72
93,2022-01-28,94.72
94,2022-01-27,94.72
95,2022-01-26,94.72
96,2022-01-25,94.72
97,2022-01-24,94.72
98,2022-01-23,94.72
99,2022-01-22,94.72
100,2022-01-21,94.72
101,2022-01-20,94.72
102,2022-01-19,94.72
103,2022-01-18,94.72
104,2022-01-17,94.72
105,2022-01-16,94.72
106,2022-01-15,94.72
107,2022-01-14,94.72
108,2022-01-13,94.72
109,2022-01-12,94.72
110,2022-01-11,94.72
111,2022-01-10,94.72
112,2022-01-09,94.72
113,2022-01-08,94.72
114,2022-01-07,94.72
115,2022-01-06,94.72
116,2022-01-05,94.72
117,2022-01-04,94.72
118,2022-01-03,94.72
119,2022-01-02,94.72
120,2022-01-01,94.72
121,2021-12-31,94.72
122,2021-12-30,94.72
123,2021-12-29,94.72
124,2021-12-28,94.72
125,2021-12-27,94.72
126,2021-12-26,94.72
127,2021-12-25,94.72
128,2021-12-24,94.72
129,2021-12-23,94.72
130,2021-12-22,94.72
131,2021-12-21,94.72
132,2021-12-20,94.72
133,2021-12-19,94.72
134,2021-12-18,94.72
135,2021-12-17,94.72
136,2021-12-16,94.72
137,2021-12-15,94.72
