,date,price
0,2022-05-01,105.95
1,2022-04-30,105.95
2,2022-04-29,105.95
3,2022-04-28,105.95
4,2022-04-27,105.95
5,2022-04-26,105.95
6,2022-04-25,105.95
7,2022-04-24,105.95
8,2022-04-23,105.95
9,2022-04-22,105.95
10,2022-04-21,105.95
11,2022-04-20,105.95
12,2022-04-19,105.95
13,2022-04-18,105.95
14,2022-04-17,105.95
15,2022-04-16,105.95
16,2022-04-15,105.95
17,2022-04-14,105.95
18,2022-04-13,105.95
19,2022-04-12,105.95
20,2022-04-11,105.95
21,2022-04-10,105.95
22,2022-04-09,105.95
23,2022-04-08,105.95
24,2022-04-07,105.95
25,2022-04-06,105.95
26,2022-04-05,105.15
27,2022-04-04,104.35
28,2022-04-03,103.95
29,2022-04-02,103.15
30,2022-04-01,102.36
31,2022-03-31,102.36
32,2022-03-30,101.56
33,2022-03-29,100.76
34,2022-03-28,99.96
35,2022-03-27,99.66
36,2022-03-26,99.16
37,2022-03-25,98.39
38,2022-03-24,97.6
39,2022-03-23,97.6
40,2022-03-22,96.8
41,2022-03-21,96
42,2022-03-20,96
43,2022-03-19,96
44,2022-03-18,96
45,2022-03-17,96
46,2022-03-16,96
47,2022-03-15,96
48,2022-03-14,96
49,2022-03-13,96
50,2022-03-12,96
51,2022-03-11,96
52,2022-03-10,96
53,2022-03-09,96
54,2022-03-08,96
55,2022-03-07,96
56,2022-03-06,96
57,2022-03-05,96
58,2022-03-04,96
59,2022-03-03,96
60,2022-03-02,96
61,2022-03-01,96
62,2022-02-28,96
63,2022-02-27,96
64,2022-02-26,96
65,2022-02-25,96
66,2022-02-24,96
67,2022-02-23,96
68,2022-02-22,96
69,2022-02-21,96
70,2022-02-20,96
71,2022-02-19,96
72,2022-02-18,96
73,2022-02-17,96
74,2022-02-16,96
75,2022-02-15,96
76,2022-02-14,96
77,2022-02-13,96
78,2022-02-12,96
79,2022-02-11,96
80,2022-02-10,96
81,2022-02-09,96
82,2022-02-08,96
83,2022-02-07,96
84,2022-02-06,96
85,2022-02-05,96
86,2022-02-04,96
87,2022-02-03,96
88,2022-02-02,96
89,2022-02-01,96
90,2022-01-31,96
91,2022-01-30,96
92,2022-01-29,96
93,2022-01-28,96
94,2022-01-27,96
95,2022-01-26,96
96,2022-01-25,96
97,2022-01-24,96
98,2022-01-23,96
99,2022-01-22,96
100,2022-01-21,96
101,2022-01-20,96
102,2022-01-19,96
103,2022-01-18,96
104,2022-01-17,96
105,2022-01-16,96
106,2022-01-15,96
107,2022-01-14,96
108,2022-01-13,96
109,2022-01-12,96
110,2022-01-11,96
111,2022-01-10,96
112,2022-01-09,96
113,2022-01-08,96
114,2022-01-07,96
115,2022-01-06,96
116,2022-01-05,96
117,2022-01-04,96
118,2022-01-03,96
119,2022-01-02,96
120,2022-01-01,96
121,2021-12-31,96
122,2021-12-30,96
123,2021-12-29,96
124,2021-12-28,96
125,2021-12-27,96
126,2021-12-26,96
127,2021-12-25,96
128,2021-12-24,96
129,2021-12-23,96
130,2021-12-22,96
131,2021-12-21,96
132,2021-12-20,96
133,2021-12-19,96
134,2021-12-18,96
135,2021-12-17,96
136,2021-12-16,96
137,2021-12-15,96
138,2021-12-14,96
139,2021-12-13,96
140,2021-12-12,96
141,2021-12-11,96
142,2021-12-10,96
143,2021-12-09,96
144,2021-12-08,96
145,2021-12-07,96
146,2021-12-06,96
147,2021-12-05,96
148,2021-12-04,96
149,2021-12-03,96
150,2021-12-02,96
151,2021-11-30,96
152,2021-11-29,96
153,2021-11-28,96
154,2021-11-27,96
155,2021-11-26,96
156,2021-11-25,96
157,2021-11-24,96
158,2021-11-23,96
159,2021-11-22,96
160,2021-11-21,96
161,2021-11-20,96
162,2021-11-19,96
163,2021-11-18,96
164,2021-11-17,96
165,2021-11-16,96
166,2021-11-15,96
167,2021-11-14,96
168,2021-11-13,96
169,2021-11-12,96
170,2021-11-11,96
171,2021-11-10,96
172,2021-11-09,96
173,2021-11-08,96
174,2021-11-07,96
175,2021-11-06,96
176,2021-11-05,96
177,2021-11-04,101.82
178,2021-11-03,107.72
179,2021-11-02,107.72
180,2021-11-01,107.36
181,2021-10-31,106.94
182,2021-10-30,106.6
183,2021-10-29,106.26
184,2021-10-28,105.92
185,2021-10-27,105.58
186,2021-10-26,105.24
187,2021-10-25,105.24
188,2021-10-24,105.24
189,2021-10-23,104.9
190,2021-10-22,104.56
191,2021-10-21,104.22
192,2021-10-20,103.88
193,2021-10-19,103.54
194,2021-10-18,103.54
195,2021-10-15,102.86
196,2021-10-14,102.52
197,2021-10-13,102.18
198,2021-10-12,102.18
199,2021-10-11,102.18
200,2021-10-10,101.88
201,2021-10-09,101.59
202,2021-10-08,101.3
203,2021-10-07,101.01
204,2021-10-06,100.72
205,2021-10-05,100.42
206,2021-10-04,100.18
207,2021-10-03,100.18
208,2021-10-02,99.94
209,2021-10-01,99.69
210,2021-09-30,99.46
211,2021-09-29,99.23
212,2021-09-28,99.23
213,2021-09-27,99.05
214,2021-09-26,99.05
215,2021-09-25,99.05
216,2021-09-24,99.05
217,2021-09-23,99.05
218,2021-09-22,99.05
219,2021-09-21,99.05
220,2021-09-20,99.05
221,2021-09-19,99.05
222,2021-09-18,99.05
223,2021-09-17,99.05
224,2021-09-16,99.05
225,2021-09-15,99.05
226,2021-09-14,99.05
227,2021-09-13,99.05
228,2021-09-12,99.05
229,2021-09-11,99.05
230,2021-09-10,99.05
231,2021-09-09,99.05
232,2021-09-08,99.05
233,2021-09-07,99.05
234,2021-09-06,99.05
235,2021-09-05,99.05
236,2021-09-03,99.21
237,2021-09-02,99.21
238,2021-09-01,99.21
239,2021-08-31,99.36
240,2021-08-30,99.36
241,2021-08-29,99.36
242,2021-08-28,99.36
243,2021-08-27,99.36
244,2021-08-26,99.36
245,2021-08-25,99.36
246,2021-08-24,99.36
247,2021-08-23,99.5
248,2021-08-22,99.5
249,2021-08-21,99.58
250,2021-08-20,99.58
251,2021-08-19,99.58
252,2021-08-18,99.59
253,2021-08-17,99.59
254,2021-08-16,99.59
255,2021-08-15,99.59
256,2021-08-14,99.59
257,2021-08-13,99.59
258,2021-08-12,99.59
259,2021-08-11,99.59
260,2021-08-10,99.59
261,2021-08-09,99.59
262,2021-08-08,99.59
263,2021-08-07,99.59
264,2021-08-06,99.59
265,2021-08-05,99.59
266,2021-08-04,99.59
267,2021-08-03,99.59
268,2021-08-02,99.59
269,2021-08-01,99.59
270,2021-07-31,99.59
271,2021-07-30,99.59
272,2021-07-29,99.59
273,2021-07-28,99.59
274,2021-07-27,99.59
275,2021-07-26,99.59
276,2021-07-25,99.59
277,2021-07-24,99.59
278,2021-07-23,99.59
279,2021-07-22,99.59
280,2021-07-21,99.59
281,2021-07-20,99.59
282,2021-07-19,99.59
283,2021-07-18,99.59
284,2021-07-17,99.59
285,2021-07-16,99.3
286,2021-07-15,99.3
287,2021-07-14,98.96
288,2021-07-13,98.96
289,2021-07-12,98.96
290,2021-07-11,98.69
291,2021-07-10,98.69
292,2021-07-09,98.35
293,2021-07-08,98.35
294,2021-07-07,98.01
295,2021-07-06,97.67
296,2021-07-05,97.67
297,2021-07-04,97.33
298,2021-07-03,96.98
299,2021-07-02,96.98
300,2021-07-01,96.64
301,2021-06-30,96.64
302,2021-06-29,96.64
303,2021-06-28,96.3
304,2021-06-27,96.3
305,2021-06-26,95.96
306,2021-06-25,95.62
307,2021-06-24,95.62
308,2021-06-23,95.37
309,2021-06-22,95.37
310,2021-06-21,95.1
311,2021-06-20,95.1
312,2021-06-19,94.82
313,2021-06-18,94.82
314,2021-06-17,94.55
315,2021-06-16,94.55
316,2021-06-15,94.31
317,2021-06-14,94.31
318,2021-06-13,94.03
319,2021-06-12,94.03
320,2021-06-11,93.76
321,2021-06-10,93.48
322,2021-06-09,93.48
323,2021-06-08,93.24
324,2021-06-07,93.24
325,2021-06-06,92.97
326,2021-06-05,92.7
327,2021-06-04,92.7
328,2021-06-03,92.44
329,2021-06-02,92.44
330,2021-06-01,92.44
331,2021-05-31,92.19
332,2021-05-30,91.94
333,2021-05-29,91.94
334,2021-05-28,91.74
335,2021-05-27,91.74
336,2021-05-26,91.56
337,2021-05-25,91.56
338,2021-05-24,91.38
339,2021-05-23,91.38
340,2021-05-22,91.25
341,2021-05-21,91.25
342,2021-05-20,91.1
343,2021-05-19,91.1
344,2021-05-18,91.1
345,2021-05-17,90.9
346,2021-05-16,90.9
347,2021-05-15,90.71
348,2021-05-14,90.71
349,2021-05-13,90.49
350,2021-05-12,90.49
351,2021-05-11,90.3
352,2021-05-10,90.09
353,2021-05-09,89.89
354,2021-05-08,89.89
355,2021-05-07,89.89
356,2021-05-06,89.68
357,2021-05-05,89.49
358,2021-05-04,89.34
359,2021-05-03,89.15
360,2021-05-02,89.15
361,2021-05-01,89.15
362,2021-04-30,89.15
363,2021-04-29,89.15
364,2021-04-28,89.15
