,date,price
0,2022-05-01,105.68
1,2022-04-30,105.68
2,2022-04-29,105.68
3,2022-04-28,105.68
4,2022-04-27,105.68
5,2022-04-26,105.68
6,2022-04-25,105.68
7,2022-04-24,105.68
8,2022-04-23,105.68
9,2022-04-22,105.68
10,2022-04-21,105.68
11,2022-04-20,105.68
12,2022-04-19,105.68
13,2022-04-18,105.68
14,2022-04-17,105.68
15,2022-04-16,105.68
16,2022-04-15,105.68
17,2022-04-14,105.68
18,2022-04-13,105.68
19,2022-04-12,105.68
20,2022-04-11,105.68
21,2022-04-10,105.68
22,2022-04-09,105.68
23,2022-04-08,105.68
24,2022-04-07,105.68
25,2022-04-06,105.68
26,2022-04-05,104.88
27,2022-04-04,104.09
28,2022-04-03,103.69
29,2022-04-02,102.89
30,2022-04-01,102.09
31,2022-03-31,102.09
32,2022-03-30,101.29
33,2022-03-29,100.49
34,2022-03-28,99.69
35,2022-03-27,99.4
36,2022-03-26,98.9
37,2022-03-25,98.12
38,2022-03-24,97.32
39,2022-03-23,97.32
40,2022-03-22,96.52
41,2022-03-21,95.72
42,2022-03-20,95.72
43,2022-03-19,95.72
44,2022-03-18,95.72
45,2022-03-17,95.72
46,2022-03-16,95.72
47,2022-03-15,95.72
48,2022-03-14,95.72
49,2022-03-13,95.72
50,2022-03-12,95.72
51,2022-03-11,95.72
52,2022-03-10,95.72
53,2022-03-09,95.72
54,2022-03-08,95.72
55,2022-03-07,95.72
56,2022-03-06,95.72
57,2022-03-05,95.72
58,2022-03-04,95.72
59,2022-03-03,95.72
60,2022-03-02,95.72
61,2022-03-01,95.72
62,2022-02-28,95.72
63,2022-02-27,95.72
64,2022-02-26,95.72
65,2022-02-25,95.72
66,2022-02-24,95.72
67,2022-02-23,95.72
68,2022-02-22,95.72
69,2022-02-21,95.72
70,2022-02-20,95.72
71,2022-02-19,95.72
72,2022-02-18,95.72
73,2022-02-17,95.72
74,2022-02-16,95.72
75,2022-02-15,95.72
76,2022-02-14,95.72
77,2022-02-13,95.72
78,2022-02-12,95.72
79,2022-02-11,95.72
80,2022-02-10,95.72
81,2022-02-09,95.72
82,2022-02-08,95.72
83,2022-02-07,95.72
84,2022-02-06,95.72
85,2022-02-05,95.72
86,2022-02-04,95.72
87,2022-02-03,95.72
88,2022-02-02,95.72
89,2022-02-01,95.72
90,2022-01-31,95.72
91,2022-01-30,95.72
92,2022-01-29,95.72
93,2022-01-28,95.72
94,2022-01-27,95.72
95,2022-01-26,95.72
96,2022-01-25,95.72
97,2022-01-24,95.72
98,2022-01-23,95.72
99,2022-01-22,95.72
100,2022-01-21,95.72
101,2022-01-20,95.72
102,2022-01-19,95.72
103,2022-01-18,95.72
104,2022-01-17,95.72
105,2022-01-16,95.72
106,2022-01-15,95.72
107,2022-01-14,95.72
108,2022-01-13,95.72
109,2022-01-12,95.72
110,2022-01-11,95.72
111,2022-01-10,95.72
112,2022-01-09,95.72
113,2022-01-08,95.72
114,2022-01-07,95.72
115,2022-01-06,95.72
116,2022-01-05,95.72
117,2022-01-04,95.72
118,2022-01-03,95.72
119,2022-01-02,95.72
120,2022-01-01,95.72
121,2021-12-31,95.72
122,2021-12-30,95.72
123,2021-12-29,95.72
124,2021-12-28,95.72
125,2021-12-27,95.72
126,2021-12-26,95.72
127,2021-12-25,95.72
128,2021-12-24,95.72
129,2021-12-23,95.72
130,2021-12-22,95.72
131,2021-12-21,95.72
132,2021-12-20,95.72
133,2021-12-19,95.72
134,2021-12-18,95.72
135,2021-12-17,95.72
136,2021-12-16,95.72
137,2021-12-15,95.72
