,date,price
0,2022-05-01,105.45
1,2022-04-30,105.45
2,2022-04-29,105.45
3,2022-04-28,105.45
4,2022-04-27,105.45
5,2022-04-26,105.45
6,2022-04-25,105.45
7,2022-04-24,105.45
8,2022-04-23,105.45
9,2022-04-22,105.45
10,2022-04-21,105.45
11,2022-04-20,105.45
12,2022-04-19,105.45
13,2022-04-18,105.45
14,2022-04-17,105.45
15,2022-04-16,105.45
16,2022-04-15,105.45
17,2022-04-14,105.45
18,2022-04-13,105.45
19,2022-04-12,105.45
20,2022-04-11,105.45
21,2022-04-10,105.45
22,2022-04-09,105.45
23,2022-04-08,105.45
24,2022-04-07,105.45
25,2022-04-06,105.45
26,2022-04-05,104.65
27,2022-04-04,103.85
28,2022-04-03,103.45
29,2022-04-02,102.66
30,2022-04-01,101.86
31,2022-03-31,101.86
32,2022-03-30,101.06
33,2022-03-29,100.26
34,2022-03-28,99.46
35,2022-03-27,99.16
36,2022-03-26,98.66
37,2022-03-25,97.88
38,2022-03-24,97.09
39,2022-03-23,97.09
40,2022-03-22,96.29
41,2022-03-21,95.49
42,2022-03-20,95.49
43,2022-03-19,95.49
44,2022-03-18,95.49
45,2022-03-17,95.49
46,2022-03-16,95.49
47,2022-03-15,95.49
48,2022-03-14,95.49
49,2022-03-13,95.49
50,2022-03-12,95.49
51,2022-03-11,95.49
52,2022-03-10,95.49
53,2022-03-09,95.49
54,2022-03-08,95.49
55,2022-03-07,95.49
56,2022-03-06,95.49
57,2022-03-05,95.49
58,2022-03-04,95.49
59,2022-03-03,95.49
60,2022-03-02,95.49
61,2022-03-01,95.49
62,2022-02-28,95.49
63,2022-02-27,95.49
64,2022-02-26,95.49
65,2022-02-25,95.49
66,2022-02-24,95.49
67,2022-02-23,95.49
68,2022-02-22,95.49
69,2022-02-21,95.49
70,2022-02-20,95.49
71,2022-02-19,95.49
72,2022-02-18,95.49
73,2022-02-17,95.49
74,2022-02-16,95.49
75,2022-02-15,95.49
76,2022-02-14,95.49
77,2022-02-13,95.49
78,2022-02-12,95.49
79,2022-02-11,95.49
80,2022-02-10,95.49
81,2022-02-09,95.49
82,2022-02-08,95.49
83,2022-02-07,95.49
84,2022-02-06,95.49
85,2022-02-05,95.49
86,2022-02-04,95.49
87,2022-02-03,95.49
88,2022-02-02,95.49
89,2022-02-01,95.49
90,2022-01-31,95.49
91,2022-01-30,95.49
92,2022-01-29,95.49
93,2022-01-28,95.49
94,2022-01-27,95.49
95,2022-01-26,95.49
96,2022-01-25,95.49
97,2022-01-24,95.49
98,2022-01-23,95.49
99,2022-01-22,95.49
100,2022-01-21,95.49
101,2022-01-20,95.49
102,2022-01-19,95.49
103,2022-01-18,95.49
104,2022-01-17,95.49
105,2022-01-16,95.49
106,2022-01-15,95.49
107,2022-01-14,95.49
108,2022-01-13,95.49
109,2022-01-12,95.49
110,2022-01-11,95.49
111,2022-01-10,95.49
112,2022-01-09,95.49
113,2022-01-08,95.49
114,2022-01-07,95.49
115,2022-01-06,95.49
116,2022-01-05,95.49
117,2022-01-04,95.49
118,2022-01-03,95.49
119,2022-01-02,95.49
120,2022-01-01,95.49
121,2021-12-31,95.49
122,2021-12-30,95.49
123,2021-12-29,95.49
124,2021-12-28,95.49
125,2021-12-27,95.49
126,2021-12-26,95.49
127,2021-12-25,95.49
128,2021-12-24,95.49
129,2021-12-23,95.49
130,2021-12-22,95.49
131,2021-12-21,95.49
132,2021-12-20,95.49
133,2021-12-19,95.49
134,2021-12-18,95.49
135,2021-12-17,95.49
136,2021-12-16,95.49
137,2021-12-15,95.49
138,2021-12-14,95.49
139,2021-12-13,95.49
140,2021-12-12,95.49
141,2021-12-11,95.49
142,2021-12-10,95.49
143,2021-12-09,95.49
144,2021-12-08,95.49
145,2021-12-07,95.49
146,2021-12-06,95.49
147,2021-12-05,95.49
148,2021-12-04,95.49
149,2021-12-03,95.49
150,2021-12-02,95.49
151,2021-11-30,95.49
152,2021-11-29,95.49
153,2021-11-28,95.49
154,2021-11-27,95.49
155,2021-11-26,95.49
156,2021-11-25,95.49
157,2021-11-24,95.49
158,2021-11-23,95.49
159,2021-11-22,95.49
160,2021-11-21,95.49
161,2021-11-20,95.49
162,2021-11-19,95.49
163,2021-11-18,95.49
164,2021-11-17,95.49
165,2021-11-16,95.49
166,2021-11-15,95.49
167,2021-11-14,95.49
168,2021-11-13,95.49
169,2021-11-12,95.49
170,2021-11-11,95.49
171,2021-11-10,95.49
172,2021-11-09,95.49
173,2021-11-08,95.49
174,2021-11-07,95.49
175,2021-11-06,95.49
176,2021-11-05,95.49
177,2021-11-04,101.27
178,2021-11-03,107.18
179,2021-11-02,107.18
180,2021-11-01,106.82
181,2021-10-31,106.42
182,2021-10-30,106.08
183,2021-10-29,105.74
184,2021-10-28,105.4
185,2021-10-27,105.06
186,2021-10-26,104.72
187,2021-10-25,104.72
188,2021-10-24,104.72
189,2021-10-23,104.38
190,2021-10-22,104.04
191,2021-10-21,103.7
192,2021-10-20,103.36
193,2021-10-19,103.02
194,2021-10-18,103.02
195,2021-10-15,102.34
196,2021-10-14,102
197,2021-10-13,101.66
198,2021-10-12,101.66
199,2021-10-11,101.66
200,2021-10-10,101.36
201,2021-10-09,101.07
202,2021-10-08,100.78
203,2021-10-07,100.49
204,2021-10-06,100.2
205,2021-10-05,99.91
206,2021-10-04,99.66
207,2021-10-03,99.66
208,2021-10-02,99.42
209,2021-10-01,99.18
210,2021-09-30,98.95
211,2021-09-29,98.71
212,2021-09-28,98.71
213,2021-09-27,98.53
214,2021-09-26,98.53
215,2021-09-25,98.53
216,2021-09-24,98.53
217,2021-09-23,98.53
218,2021-09-22,98.53
219,2021-09-21,98.53
220,2021-09-20,98.53
221,2021-09-19,98.53
222,2021-09-18,98.53
223,2021-09-17,98.53
224,2021-09-16,98.53
225,2021-09-15,98.53
226,2021-09-14,98.53
227,2021-09-13,98.53
228,2021-09-12,98.53
229,2021-09-11,98.53
230,2021-09-10,98.53
231,2021-09-09,98.53
232,2021-09-08,98.53
233,2021-09-07,98.53
234,2021-09-06,98.53
235,2021-09-05,98.53
