,date,price
0,2022-05-01,107.47
1,2022-04-30,107.47
2,2022-04-29,107.47
3,2022-04-28,107.47
4,2022-04-27,107.47
5,2022-04-26,107.47
6,2022-04-25,107.47
7,2022-04-24,107.47
8,2022-04-23,107.47
9,2022-04-22,107.47
10,2022-04-21,107.47
11,2022-04-20,107.47
12,2022-04-19,107.47
13,2022-04-18,107.47
14,2022-04-17,107.47
15,2022-04-16,107.47
16,2022-04-15,107.47
17,2022-04-14,107.47
18,2022-04-13,107.47
19,2022-04-12,107.47
20,2022-04-11,107.47
21,2022-04-10,107.47
22,2022-04-09,107.47
23,2022-04-08,107.47
24,2022-04-07,107.47
25,2022-04-06,107.47
26,2022-04-05,106.64
27,2022-04-04,105.81
28,2022-04-03,105.4
29,2022-04-02,104.57
30,2022-04-01,103.74
31,2022-03-31,103.74
32,2022-03-30,102.91
33,2022-03-29,102.08
34,2022-03-28,101.25
35,2022-03-27,100.94
36,2022-03-26,100.42
37,2022-03-25,99.61
38,2022-03-24,98.78
39,2022-03-23,98.78
40,2022-03-22,97.95
41,2022-03-21,97.12
42,2022-03-20,97.12
43,2022-03-19,97.12
44,2022-03-18,97.12
45,2022-03-17,97.12
46,2022-03-16,97.12
47,2022-03-15,97.12
48,2022-03-14,97.12
49,2022-03-13,97.12
50,2022-03-12,97.12
51,2022-03-11,97.12
52,2022-03-10,97.12
53,2022-03-09,97.12
54,2022-03-08,97.12
55,2022-03-07,97.12
56,2022-03-06,97.12
57,2022-03-05,97.12
58,2022-03-04,97.12
59,2022-03-03,97.12
60,2022-03-02,97.12
61,2022-03-01,97.12
62,2022-02-28,97.12
63,2022-02-27,97.12
64,2022-02-26,97.12
65,2022-02-25,97.12
66,2022-02-24,97.12
67,2022-02-23,97.12
68,2022-02-22,97.12
69,2022-02-21,97.12
70,2022-02-20,97.12
71,2022-02-19,97.12
72,2022-02-18,97.12
73,2022-02-17,97.12
74,2022-02-16,97.12
75,2022-02-15,97.12
76,2022-02-14,97.12
77,2022-02-13,97.12
78,2022-02-12,97.12
79,2022-02-11,97.12
80,2022-02-10,97.12
81,2022-02-09,97.12
82,2022-02-08,97.12
83,2022-02-07,97.12
84,2022-02-06,97.12
85,2022-02-05,97.12
86,2022-02-04,97.12
87,2022-02-03,97.12
88,2022-02-02,97.12
89,2022-02-01,97.12
90,2022-01-31,97.12
91,2022-01-30,97.12
92,2022-01-29,97.12
93,2022-01-28,97.12
94,2022-01-27,97.12
95,2022-01-26,97.12
96,2022-01-25,97.12
97,2022-01-24,97.12
98,2022-01-23,97.12
99,2022-01-22,97.12
100,2022-01-21,97.12
101,2022-01-20,97.12
102,2022-01-19,97.12
103,2022-01-18,97.12
104,2022-01-17,97.12
105,2022-01-16,97.12
106,2022-01-15,97.12
107,2022-01-14,97.12
108,2022-01-13,97.12
109,2022-01-12,97.12
110,2022-01-11,97.12
111,2022-01-10,97.12
112,2022-01-09,97.12
113,2022-01-08,97.12
114,2022-01-07,97.12
115,2022-01-06,97.12
116,2022-01-05,97.12
117,2022-01-04,97.12
118,2022-01-03,97.12
119,2022-01-02,97.12
120,2022-01-01,97.12
121,2021-12-31,97.12
122,2021-12-30,97.12
123,2021-12-29,97.12
124,2021-12-28,97.12
125,2021-12-27,97.12
126,2021-12-26,97.12
127,2021-12-25,97.12
128,2021-12-24,97.12
129,2021-12-23,97.12
130,2021-12-22,97.12
131,2021-12-21,97.12
132,2021-12-20,97.12
133,2021-12-19,97.12
134,2021-12-18,97.12
135,2021-12-17,97.12
