,date,price
0,2022-05-01,105.05
1,2022-04-30,105.05
2,2022-04-29,105.05
3,2022-04-28,105.05
4,2022-04-27,105.05
5,2022-04-26,105.05
6,2022-04-25,105.05
7,2022-04-24,105.05
8,2022-04-23,105.05
9,2022-04-22,105.05
10,2022-04-21,105.05
11,2022-04-20,105.05
12,2022-04-19,105.05
13,2022-04-18,105.05
14,2022-04-17,105.05
15,2022-04-16,105.05
16,2022-04-15,105.05
17,2022-04-14,105.05
18,2022-04-13,105.05
19,2022-04-12,105.05
20,2022-04-11,105.05
21,2022-04-10,105.05
22,2022-04-09,105.05
23,2022-04-08,105.05
24,2022-04-07,105.05
25,2022-04-06,105.05
26,2022-04-05,104.25
27,2022-04-04,103.45
28,2022-04-03,103.05
29,2022-04-02,102.26
30,2022-04-01,101.46
31,2022-03-31,101.46
32,2022-03-30,100.66
33,2022-03-29,99.86
34,2022-03-28,99.06
35,2022-03-27,98.76
36,2022-03-26,98.26
37,2022-03-25,97.47
38,2022-03-24,96.67
39,2022-03-23,96.67
40,2022-03-22,95.87
41,2022-03-21,95.07
42,2022-03-20,95.07
43,2022-03-19,95.07
44,2022-03-18,95.07
45,2022-03-17,95.07
46,2022-03-16,95.07
47,2022-03-15,95.07
48,2022-03-14,95.07
49,2022-03-13,95.07
50,2022-03-12,95.07
51,2022-03-11,95.07
52,2022-03-10,95.07
53,2022-03-09,95.07
54,2022-03-08,95.07
55,2022-03-07,95.07
56,2022-03-06,95.07
57,2022-03-05,95.07
58,2022-03-04,95.07
59,2022-03-03,95.07
60,2022-03-02,95.07
61,2022-03-01,95.07
62,2022-02-28,95.07
63,2022-02-27,95.07
64,2022-02-26,95.07
65,2022-02-25,95.07
66,2022-02-24,95.07
67,2022-02-23,95.07
68,2022-02-22,95.07
69,2022-02-21,95.07
70,2022-02-20,95.07
71,2022-02-19,95.07
72,2022-02-18,95.07
73,2022-02-17,95.07
74,2022-02-16,95.07
75,2022-02-15,95.07
76,2022-02-14,95.07
77,2022-02-13,95.07
78,2022-02-12,95.07
79,2022-02-11,95.07
80,2022-02-10,95.07
81,2022-02-09,95.07
82,2022-02-08,95.07
83,2022-02-07,95.07
84,2022-02-06,95.07
85,2022-02-05,95.07
86,2022-02-04,95.07
87,2022-02-03,95.07
88,2022-02-02,95.07
89,2022-02-01,95.07
90,2022-01-31,95.07
91,2022-01-30,95.07
92,2022-01-29,95.07
93,2022-01-28,95.07
94,2022-01-27,95.07
95,2022-01-26,95.07
96,2022-01-25,95.07
97,2022-01-24,95.07
98,2022-01-23,95.07
99,2022-01-22,95.07
100,2022-01-21,95.07
101,2022-01-20,95.07
102,2022-01-19,95.07
103,2022-01-18,95.07
104,2022-01-17,95.07
105,2022-01-16,95.07
106,2022-01-15,95.07
107,2022-01-14,95.07
108,2022-01-13,95.07
109,2022-01-12,95.07
110,2022-01-11,95.07
111,2022-01-10,95.07
112,2022-01-09,95.07
113,2022-01-08,95.07
114,2022-01-07,95.07
115,2022-01-06,95.07
116,2022-01-05,95.07
117,2022-01-04,95.07
118,2022-01-03,95.07
119,2022-01-02,95.07
120,2022-01-01,95.07
121,2021-12-31,95.07
