,date,price
0,2022-05-01,103.71
1,2022-04-30,103.71
2,2022-04-29,103.71
3,2022-04-28,103.71
4,2022-04-27,103.71
5,2022-04-26,103.71
6,2022-04-25,103.71
7,2022-04-24,103.71
8,2022-04-23,103.71
9,2022-04-22,103.71
10,2022-04-21,103.71
11,2022-04-20,103.71
12,2022-04-19,103.71
13,2022-04-18,103.71
14,2022-04-17,103.71
15,2022-04-16,103.71
16,2022-04-15,103.71
17,2022-04-14,103.71
18,2022-04-13,103.71
19,2022-04-12,103.71
20,2022-04-11,103.71
21,2022-04-10,103.71
22,2022-04-09,103.71
23,2022-04-08,103.71
24,2022-04-07,103.71
25,2022-04-06,103.71
26,2022-04-05,102.93
27,2022-04-04,102.15
28,2022-04-03,101.75
29,2022-04-02,100.97
30,2022-04-01,100.19
31,2022-03-31,100.19
32,2022-03-30,99.41
33,2022-03-29,98.62
34,2022-03-28,97.84
35,2022-03-27,97.55
36,2022-03-26,97.06
37,2022-03-25,96.3
38,2022-03-24,95.52
39,2022-03-23,95.52
40,2022-03-22,94.73
41,2022-03-21,93.99
42,2022-03-20,93.99
43,2022-03-19,93.99
44,2022-03-18,93.99
45,2022-03-17,93.99
46,2022-03-16,93.99
47,2022-03-15,93.99
48,2022-03-14,93.99
49,2022-03-13,93.99
50,2022-03-12,93.99
51,2022-03-11,93.99
52,2022-03-10,93.99
53,2022-03-09,93.99
54,2022-03-08,93.99
55,2022-03-07,93.99
56,2022-03-06,93.99
57,2022-03-05,93.99
58,2022-03-04,93.99
59,2022-03-03,93.99
60,2022-03-02,93.99
61,2022-03-01,93.99
62,2022-02-28,93.99
63,2022-02-27,93.99
64,2022-02-26,93.99
65,2022-02-25,93.99
66,2022-02-24,93.99
67,2022-02-23,93.99
68,2022-02-22,93.99
69,2022-02-21,93.99
70,2022-02-20,93.99
71,2022-02-19,93.99
72,2022-02-18,93.99
73,2022-02-17,93.99
74,2022-02-16,93.99
75,2022-02-15,93.99
76,2022-02-14,93.99
77,2022-02-13,93.99
78,2022-02-12,93.99
79,2022-02-11,93.99
80,2022-02-10,93.99
81,2022-02-09,93.99
82,2022-02-08,93.99
83,2022-02-07,93.99
84,2022-02-06,93.99
85,2022-02-05,93.99
86,2022-02-04,93.99
87,2022-02-03,93.99
88,2022-02-02,93.99
89,2022-02-01,93.99
90,2022-01-31,93.99
91,2022-01-30,93.99
92,2022-01-29,93.99
93,2022-01-28,93.99
94,2022-01-27,93.99
95,2022-01-26,93.99
96,2022-01-25,93.99
97,2022-01-24,93.99
98,2022-01-23,93.99
99,2022-01-22,93.99
100,2022-01-21,93.99
101,2022-01-20,93.99
102,2022-01-19,93.99
103,2022-01-18,93.99
104,2022-01-17,93.99
105,2022-01-16,93.99
106,2022-01-15,93.99
107,2022-01-14,93.99
108,2022-01-13,93.99
109,2022-01-12,93.99
110,2022-01-11,93.99
111,2022-01-10,93.99
112,2022-01-09,93.99
113,2022-01-08,93.99
114,2022-01-07,93.99
115,2022-01-06,93.99
116,2022-01-05,93.99
117,2022-01-04,93.99
118,2022-01-03,93.99
119,2022-01-02,93.99
120,2022-01-01,93.99
121,2021-12-31,93.99
122,2021-12-30,93.99
123,2021-12-29,93.99
124,2021-12-28,93.99
125,2021-12-27,93.99
126,2021-12-26,93.99
127,2021-12-25,93.99
128,2021-12-24,93.99
129,2021-12-23,93.99
130,2021-12-22,93.99
131,2021-12-21,93.99
132,2021-12-20,93.99
133,2021-12-19,93.99
134,2021-12-18,93.99
135,2021-12-17,93.99
136,2021-12-16,93.99
137,2021-12-15,93.99
138,2021-12-14,93.99
139,2021-12-13,93.99
140,2021-12-12,93.99
141,2021-12-11,93.99
142,2021-12-10,93.99
143,2021-12-09,93.99
144,2021-12-08,93.99
145,2021-12-07,93.99
