,date,price
0,2022-05-01,70.24
1,2022-04-30,70.24
2,2022-04-29,70.24
3,2022-04-28,70.24
4,2022-04-27,70.24
5,2022-04-26,70.24
6,2022-04-25,70.24
7,2022-04-24,70.24
8,2022-04-23,70.24
9,2022-04-22,70.24
10,2022-04-21,70.24
11,2022-04-20,70.24
12,2022-04-19,70.24
13,2022-04-18,70.24
14,2022-04-17,70.24
15,2022-04-16,70.24
16,2022-04-15,70.24
17,2022-04-14,70.24
18,2022-04-13,70.24
19,2022-04-12,70.24
20,2022-04-11,70.24
21,2022-04-10,70.24
22,2022-04-09,70.24
23,2022-04-08,70.24
24,2022-04-07,70.24
25,2022-04-06,70.24
26,2022-04-05,70.24
27,2022-04-04,70.24
28,2022-04-03,70.24
29,2022-04-02,70.24
30,2022-04-01,70.24
31,2022-03-31,70.24
32,2022-03-30,70.24
33,2022-03-29,70.24
34,2022-03-28,70.24
35,2022-03-27,70.24
36,2022-03-26,70.24
37,2022-03-25,70.24
38,2022-03-24,70.24
39,2022-03-23,70.24
40,2022-03-22,70.24
41,2022-03-21,70.24
42,2022-03-20,70.24
43,2022-03-19,70.24
44,2022-03-18,70.24
45,2022-03-17,70.24
46,2022-03-16,70.24
47,2022-03-15,70.24
48,2022-03-14,70.24
49,2022-03-13,70.24
50,2022-03-12,70.24
51,2022-03-11,70.24
52,2022-03-10,70.24
53,2022-03-09,70.24
54,2022-03-08,70.24
55,2022-03-07,70.24
56,2022-03-06,70.24
57,2022-03-05,70.24
58,2022-03-04,70.24
59,2022-03-03,70.24
60,2022-03-02,70.24
61,2022-03-01,70.24
62,2022-02-28,70.24
63,2022-02-27,70.24
64,2022-02-26,70.24
65,2022-02-25,70.24
66,2022-02-24,70.24
67,2022-02-23,70.24
68,2022-02-22,70.24
69,2022-02-21,70.24
70,2022-02-20,70.24
71,2022-02-19,70.24
72,2022-02-18,70.24
73,2022-02-17,70.24
74,2022-02-16,70.24
75,2022-02-15,70.24
76,2022-02-14,70.24
77,2022-02-13,70.24
78,2022-02-12,70.24
79,2022-02-11,70.24
80,2022-02-10,70.24
81,2022-02-09,70.24
82,2022-02-08,70.24
