,date,price
0,2022-05-01,95.77
1,2022-04-30,95.77
2,2022-04-29,95.77
3,2022-04-28,95.77
4,2022-04-27,95.77
5,2022-04-26,95.77
6,2022-04-25,95.77
7,2022-04-24,95.77
8,2022-04-23,95.77
9,2022-04-22,95.77
10,2022-04-21,95.77
11,2022-04-20,95.77
12,2022-04-19,95.77
13,2022-04-18,95.77
14,2022-04-17,95.77
15,2022-04-16,95.77
16,2022-04-15,95.77
17,2022-04-14,95.77
18,2022-04-13,95.77
19,2022-04-12,95.77
20,2022-04-11,95.77
21,2022-04-10,95.77
22,2022-04-09,95.77
23,2022-04-08,95.77
24,2022-04-07,95.77
25,2022-04-06,95.77
26,2022-04-05,95.77
27,2022-04-04,95.77
28,2022-04-03,95.77
29,2022-04-02,95.77
30,2022-04-01,95.77
31,2022-03-31,95.77
32,2022-03-30,95.77
33,2022-03-29,95.77
34,2022-03-28,95.77
35,2022-03-27,95.77
36,2022-03-26,95.77
37,2022-03-25,95.77
38,2022-03-24,95.77
39,2022-03-23,95.77
40,2022-03-22,95.77
41,2022-03-21,95.77
42,2022-03-20,95.77
43,2022-03-19,95.77
44,2022-03-18,95.77
45,2022-03-17,95.77
46,2022-03-16,95.77
47,2022-03-15,95.77
48,2022-03-14,95.77
49,2022-03-13,95.77
50,2022-03-12,95.77
51,2022-03-11,95.77
52,2022-03-10,95.77
53,2022-03-09,95.77
54,2022-03-08,95.77
55,2022-03-07,95.77
56,2022-03-06,95.77
57,2022-03-05,95.77
58,2022-03-04,95.77
59,2022-03-03,95.77
60,2022-03-02,95.77
61,2022-03-01,95.77
62,2022-02-28,95.77
63,2022-02-27,95.77
64,2022-02-26,95.77
65,2022-02-25,95.77
66,2022-02-24,95.77
67,2022-02-23,95.77
68,2022-02-22,95.77
69,2022-02-21,95.77
70,2022-02-20,95.77
71,2022-02-19,95.77
72,2022-02-18,95.77
73,2022-02-17,95.77
74,2022-02-16,95.77
75,2022-02-15,95.77
76,2022-02-14,95.77
77,2022-02-13,95.77
78,2022-02-12,95.77
79,2022-02-11,95.77
80,2022-02-10,95.77
81,2022-02-09,95.77
82,2022-02-08,95.77
83,2022-02-07,95.77
84,2022-02-06,95.77
85,2022-02-05,95.77
86,2022-02-04,95.77
87,2022-02-03,95.77
88,2022-02-02,95.77
89,2022-02-01,95.77
90,2022-01-31,95.77
91,2022-01-30,95.77
92,2022-01-29,95.77
93,2022-01-28,95.77
94,2022-01-27,95.77
95,2022-01-26,95.77
96,2022-01-25,95.77
97,2022-01-24,95.77
98,2022-01-23,95.77
99,2022-01-22,95.77
100,2022-01-21,95.77
101,2022-01-20,95.77
102,2022-01-19,95.77
103,2022-01-18,95.77
104,2022-01-17,95.77
105,2022-01-16,95.77
106,2022-01-15,95.77
107,2022-01-14,95.77
108,2022-01-13,95.77
109,2022-01-12,95.77
110,2022-01-11,95.77
111,2022-01-10,95.77
112,2022-01-09,95.77
113,2022-01-08,95.77
114,2022-01-07,95.77
115,2022-01-06,95.77
116,2022-01-05,95.77
117,2022-01-04,95.77
118,2022-01-03,95.77
119,2022-01-02,95.77
120,2022-01-01,95.77
121,2021-12-31,95.77
122,2021-12-30,95.77
123,2021-12-29,95.77
124,2021-12-28,95.77
125,2021-12-27,95.77
126,2021-12-26,95.77
127,2021-12-25,95.77
128,2021-12-24,95.77
129,2021-12-23,95.77
130,2021-12-22,95.77
131,2021-12-21,95.77
132,2021-12-20,95.77
133,2021-12-19,95.77
134,2021-12-18,95.77
135,2021-12-17,95.77
136,2021-12-16,95.77
137,2021-12-15,95.77
138,2021-12-14,95.77
139,2021-12-13,95.77
140,2021-12-12,95.77
141,2021-12-11,95.77
142,2021-12-10,95.77
143,2021-12-09,95.77
144,2021-12-08,95.77
145,2021-12-07,95.77
146,2021-12-06,95.77
147,2021-12-05,95.77
148,2021-12-04,95.77
149,2021-12-03,95.77
150,2021-12-02,95.77
151,2021-11-30,95.77
152,2021-11-29,95.77
153,2021-11-28,95.77
154,2021-11-27,95.77
155,2021-11-26,95.77
156,2021-11-25,95.77
157,2021-11-24,95.77
158,2021-11-23,95.77
159,2021-11-22,95.77
160,2021-11-21,95.77
161,2021-11-20,95.77
162,2021-11-19,95.77
163,2021-11-18,95.77
164,2021-11-17,95.77
165,2021-11-16,95.77
166,2021-11-15,95.77
167,2021-11-14,95.77
168,2021-11-13,95.77
169,2021-11-12,95.77
170,2021-11-11,95.77
171,2021-11-10,95.77
172,2021-11-09,95.77
173,2021-11-08,95.77
174,2021-11-07,95.77
175,2021-11-06,95.77
176,2021-11-05,95.77
177,2021-11-04,95.77
178,2021-11-03,95.77
179,2021-11-02,95.77
180,2021-11-01,95.77
181,2021-10-31,95.77
182,2021-10-30,95.77
183,2021-10-29,95.77
184,2021-10-28,95.77
185,2021-10-27,95.77
186,2021-10-26,95.77
187,2021-10-25,95.77
188,2021-10-24,95.77
189,2021-10-23,95.77
190,2021-10-22,95.77
191,2021-10-21,95.77
192,2021-10-20,95.77
193,2021-10-19,95.77
194,2021-10-18,95.77
195,2021-10-15,95.77
196,2021-10-14,95.77
197,2021-10-13,95.77
198,2021-10-12,95.77
199,2021-10-11,95.77
200,2021-10-10,95.77
201,2021-10-09,95.77
202,2021-10-08,95.77
203,2021-10-07,95.77
204,2021-10-06,95.77
205,2021-10-05,95.77
206,2021-10-04,95.77
207,2021-10-03,95.77
208,2021-10-02,95.77
209,2021-10-01,95.77
210,2021-09-30,95.77
211,2021-09-29,95.77
212,2021-09-28,95.77
213,2021-09-27,95.77
214,2021-09-26,95.77
215,2021-09-25,95.77
216,2021-09-24,95.77
217,2021-09-23,95.77
218,2021-09-22,95.77
219,2021-09-21,95.77
220,2021-09-20,95.77
221,2021-09-19,95.77
222,2021-09-18,95.77
223,2021-09-17,95.77
224,2021-09-16,95.77
225,2021-09-15,95.77
226,2021-09-14,95.77
227,2021-09-13,95.77
228,2021-09-12,95.77
229,2021-09-11,95.77
230,2021-09-10,95.77
231,2021-09-09,95.77
232,2021-09-08,95.77
233,2021-09-07,95.77
234,2021-09-06,95.77
235,2021-09-05,95.77
236,2021-09-03,95.77
237,2021-09-02,95.77
238,2021-09-01,95.77
239,2021-08-31,95.77
240,2021-08-30,95.77
241,2021-08-29,95.77
242,2021-08-28,95.77
243,2021-08-27,95.77
244,2021-08-26,95.77
245,2021-08-25,95.77
246,2021-08-24,95.77
247,2021-08-23,95.77
248,2021-08-22,95.77
249,2021-08-21,95.77
250,2021-08-20,95.77
251,2021-08-19,95.77
252,2021-08-18,95.77
253,2021-08-17,95.77
254,2021-08-16,95.77
255,2021-08-15,95.77
256,2021-08-14,95.77
257,2021-08-13,95.77
258,2021-08-12,95.77
259,2021-08-11,95.77
260,2021-08-10,95.77
261,2021-08-09,95.77
262,2021-08-08,95.77
263,2021-08-07,95.77
264,2021-08-06,95.77
265,2021-08-05,95.77
266,2021-08-04,95.77
267,2021-08-03,95.77
268,2021-08-02,95.77
269,2021-08-01,95.77
270,2021-07-31,95.77
271,2021-07-30,95.77
272,2021-07-29,95.77
273,2021-07-28,95.77
274,2021-07-27,95.77
275,2021-07-26,95.77
276,2021-07-25,95.77
277,2021-07-24,95.77
278,2021-07-23,95.77
279,2021-07-22,95.77
280,2021-07-21,95.77
281,2021-07-20,95.77
282,2021-07-19,95.77
283,2021-07-18,95.77
284,2021-07-17,95.77
285,2021-07-16,95.77
286,2021-07-15,95.77
287,2021-07-14,95.77
288,2021-07-13,95.77
289,2021-07-12,95.77
290,2021-07-11,95.77
291,2021-07-10,95.77
292,2021-07-09,95.77
293,2021-07-08,95.77
294,2021-07-07,95.77
295,2021-07-06,95.77
296,2021-07-05,95.77
297,2021-07-04,95.77
298,2021-07-03,95.77
299,2021-07-02,95.77
300,2021-07-01,95.77
301,2021-06-30,95.77
302,2021-06-29,95.77
303,2021-06-28,95.5
304,2021-06-27,95.5
305,2021-06-26,95.23
306,2021-06-25,94.96
307,2021-06-24,94.96
308,2021-06-23,94.76
309,2021-06-22,94.76
310,2021-06-21,94.55
311,2021-06-20,94.55
312,2021-06-19,94.32
313,2021-06-18,94.32
314,2021-06-17,94.12
315,2021-06-16,94.12
316,2021-06-15,93.92
317,2021-06-14,93.92
318,2021-06-13,93.7
319,2021-06-12,93.7
320,2021-06-11,93.49
321,2021-06-10,93.27
322,2021-06-09,93.27
323,2021-06-08,93.08
324,2021-06-07,93.08
325,2021-06-06,92.87
326,2021-06-05,92.66
327,2021-06-04,92.66
328,2021-06-03,92.45
329,2021-06-02,92.45
330,2021-06-01,92.45
331,2021-05-31,92.25
332,2021-05-30,92.03
333,2021-05-29,92.03
334,2021-05-28,91.83
335,2021-05-27,91.83
336,2021-05-26,91.65
337,2021-05-25,91.65
338,2021-05-24,91.47
339,2021-05-23,91.47
340,2021-05-22,91.34
341,2021-05-21,91.34
342,2021-05-20,91.19
343,2021-05-19,91.19
344,2021-05-18,91.19
345,2021-05-17,90.99
346,2021-05-16,90.99
347,2021-05-15,90.8
348,2021-05-14,90.8
349,2021-05-13,90.58
350,2021-05-12,90.58
351,2021-05-11,90.39
352,2021-05-10,90.18
353,2021-05-09,89.98
354,2021-05-08,89.98
355,2021-05-07,89.98
356,2021-05-06,89.77
357,2021-05-05,89.57
358,2021-05-04,89.43
359,2021-05-03,89.29
360,2021-05-02,89.29
361,2021-05-01,89.29
362,2021-04-30,89.29
363,2021-04-29,89.29
364,2021-04-28,89.29
