,date,price
0,2022-05-01,103.13
1,2022-04-30,103.13
2,2022-04-29,103.13
3,2022-04-28,103.13
4,2022-04-27,103.13
5,2022-04-26,103.13
6,2022-04-25,103.13
7,2022-04-24,103.13
8,2022-04-23,103.13
9,2022-04-22,103.13
10,2022-04-21,103.13
11,2022-04-20,103.13
12,2022-04-19,103.13
13,2022-04-18,103.13
14,2022-04-17,103.13
15,2022-04-16,103.13
16,2022-04-15,103.13
17,2022-04-14,103.13
18,2022-04-13,103.13
19,2022-04-12,103.13
20,2022-04-11,103.13
21,2022-04-10,103.13
22,2022-04-09,103.13
23,2022-04-08,103.13
24,2022-04-07,103.13
25,2022-04-06,103.13
26,2022-04-05,102.35
27,2022-04-04,101.56
28,2022-04-03,101.17
29,2022-04-02,100.39
30,2022-04-01,99.61
31,2022-03-31,99.61
32,2022-03-30,98.82
33,2022-03-29,98.04
34,2022-03-28,97.26
35,2022-03-27,96.97
36,2022-03-26,96.48
37,2022-03-25,95.7
38,2022-03-24,94.92
39,2022-03-23,94.92
40,2022-03-22,94.14
41,2022-03-21,93.45
42,2022-03-20,93.45
43,2022-03-19,93.45
44,2022-03-18,93.45
45,2022-03-17,93.45
46,2022-03-16,93.45
47,2022-03-15,93.45
48,2022-03-14,93.45
49,2022-03-13,93.45
50,2022-03-12,93.45
51,2022-03-11,93.45
52,2022-03-10,93.45
53,2022-03-09,93.45
54,2022-03-08,93.45
55,2022-03-07,93.45
56,2022-03-06,93.45
57,2022-03-05,93.45
58,2022-03-04,93.45
59,2022-03-03,93.45
60,2022-03-02,93.45
61,2022-03-01,93.45
62,2022-02-28,93.45
63,2022-02-27,93.45
64,2022-02-26,93.45
65,2022-02-25,93.45
66,2022-02-24,93.45
67,2022-02-23,93.45
68,2022-02-22,93.45
69,2022-02-21,93.45
70,2022-02-20,93.45
71,2022-02-19,93.45
72,2022-02-18,93.45
73,2022-02-17,93.45
74,2022-02-16,93.45
75,2022-02-15,93.45
76,2022-02-14,93.45
77,2022-02-13,93.45
78,2022-02-12,93.45
79,2022-02-11,93.45
80,2022-02-10,93.45
81,2022-02-09,93.45
82,2022-02-08,93.45
83,2022-02-07,93.45
84,2022-02-06,93.45
85,2022-02-05,93.45
86,2022-02-04,93.45
87,2022-02-03,93.45
88,2022-02-02,93.45
89,2022-02-01,93.45
90,2022-01-31,93.45
91,2022-01-30,93.45
92,2022-01-29,93.45
93,2022-01-28,93.45
94,2022-01-27,93.45
95,2022-01-26,93.45
96,2022-01-25,93.45
97,2022-01-24,93.45
98,2022-01-23,93.45
99,2022-01-22,93.45
100,2022-01-21,93.45
101,2022-01-20,93.45
102,2022-01-19,93.45
103,2022-01-18,93.45
104,2022-01-17,93.45
105,2022-01-16,93.45
106,2022-01-15,93.45
107,2022-01-14,93.45
108,2022-01-13,93.45
109,2022-01-12,93.45
110,2022-01-11,93.45
111,2022-01-10,93.45
112,2022-01-09,93.45
113,2022-01-08,93.45
114,2022-01-07,93.45
115,2022-01-06,93.45
116,2022-01-05,93.45
117,2022-01-04,93.45
118,2022-01-03,93.45
119,2022-01-02,93.45
120,2022-01-01,93.45
121,2021-12-31,93.45
122,2021-12-30,93.45
123,2021-12-29,93.45
