,date,price
0,2022-05-01,121.56
1,2022-04-30,121.56
2,2022-04-29,121.56
3,2022-04-28,121.56
4,2022-04-27,121.56
5,2022-04-26,121.56
6,2022-04-25,121.56
7,2022-04-24,121.56
8,2022-04-23,121.56
9,2022-04-22,121.56
10,2022-04-21,121.56
11,2022-04-20,121.56
12,2022-04-19,121.56
13,2022-04-18,121.56
14,2022-04-17,121.56
15,2022-04-16,121.56
16,2022-04-15,121.56
17,2022-04-14,121.56
18,2022-04-13,121.56
19,2022-04-12,121.56
20,2022-04-11,121.56
21,2022-04-10,121.56
22,2022-04-09,121.56
23,2022-04-08,121.56
24,2022-04-07,121.56
25,2022-04-06,121.56
26,2022-04-05,120.69
27,2022-04-04,119.81
28,2022-04-03,119.37
29,2022-04-02,118.5
30,2022-04-01,117.62
31,2022-03-31,117.62
32,2022-03-30,116.74
33,2022-03-29,115.87
34,2022-03-28,114.99
35,2022-03-27,114.66
36,2022-03-26,114.11
37,2022-03-25,113.27
38,2022-03-24,112.4
39,2022-03-23,112.4
40,2022-03-22,111.52
41,2022-03-21,110.65
42,2022-03-20,110.65
43,2022-03-19,110.65
44,2022-03-18,110.65
45,2022-03-17,110.65
46,2022-03-16,110.65
47,2022-03-15,110.65
48,2022-03-14,110.65
49,2022-03-13,110.65
50,2022-03-12,110.65
51,2022-03-11,110.65
52,2022-03-10,110.65
53,2022-03-09,110.65
54,2022-03-08,110.65
55,2022-03-07,110.65
56,2022-03-06,110.65
57,2022-03-05,110.65
58,2022-03-04,110.65
59,2022-03-03,110.65
60,2022-03-02,110.65
61,2022-03-01,110.65
62,2022-02-28,110.65
63,2022-02-27,110.65
64,2022-02-26,110.65
65,2022-02-25,110.65
66,2022-02-24,110.65
67,2022-02-23,110.65
68,2022-02-22,110.65
69,2022-02-21,110.65
70,2022-02-20,110.65
71,2022-02-19,110.65
72,2022-02-18,110.65
73,2022-02-17,110.65
74,2022-02-16,110.65
75,2022-02-15,110.65
76,2022-02-14,110.65
77,2022-02-13,110.65
78,2022-02-12,110.65
79,2022-02-11,110.65
80,2022-02-10,110.65
81,2022-02-09,110.65
82,2022-02-08,110.65
83,2022-02-07,110.65
84,2022-02-06,110.65
85,2022-02-05,110.65
86,2022-02-04,110.65
87,2022-02-03,110.65
88,2022-02-02,110.65
89,2022-02-01,110.65
90,2022-01-31,110.65
91,2022-01-30,110.65
92,2022-01-29,110.65
93,2022-01-28,110.65
94,2022-01-27,110.65
95,2022-01-26,110.65
96,2022-01-25,110.65
97,2022-01-24,110.65
98,2022-01-23,110.65
99,2022-01-22,110.65
100,2022-01-21,110.65
101,2022-01-20,110.65
102,2022-01-19,110.65
103,2022-01-18,110.65
104,2022-01-17,110.65
105,2022-01-16,110.65
106,2022-01-15,110.65
107,2022-01-14,110.65
108,2022-01-13,110.65
109,2022-01-12,110.65
110,2022-01-11,110.65
111,2022-01-10,110.65
112,2022-01-09,110.65
113,2022-01-08,110.65
114,2022-01-07,110.65
115,2022-01-06,110.65
116,2022-01-05,110.65
117,2022-01-04,110.65
118,2022-01-03,110.65
119,2022-01-02,110.65
120,2022-01-01,110.65
121,2021-12-31,110.65
122,2021-12-30,110.65
123,2021-12-29,110.65
124,2021-12-28,110.65
125,2021-12-27,110.65
126,2021-12-26,110.65
127,2021-12-25,110.65
128,2021-12-24,110.65
129,2021-12-23,110.65
130,2021-12-22,110.65
131,2021-12-21,110.65
132,2021-12-20,110.65
133,2021-12-19,110.65
134,2021-12-18,110.65
135,2021-12-17,110.65
136,2021-12-16,110.65
137,2021-12-15,110.65
138,2021-12-14,110.65
139,2021-12-13,110.65
140,2021-12-12,110.65
141,2021-12-11,110.65
142,2021-12-10,110.65
143,2021-12-09,110.65
144,2021-12-08,110.65
145,2021-12-07,110.65
146,2021-12-06,110.65
147,2021-12-05,110.65
148,2021-12-04,110.65
149,2021-12-03,110.65
150,2021-12-02,110.65
151,2021-11-30,110.65
152,2021-11-29,110.65
153,2021-11-28,110.65
154,2021-11-27,110.65
155,2021-11-26,110.65
156,2021-11-25,110.65
157,2021-11-24,110.65
158,2021-11-23,110.65
159,2021-11-22,110.65
160,2021-11-21,110.65
161,2021-11-20,110.65
162,2021-11-19,110.65
163,2021-11-18,110.65
164,2021-11-17,110.65
165,2021-11-16,110.65
166,2021-11-15,110.65
167,2021-11-14,110.65
168,2021-11-13,110.65
169,2021-11-12,110.65
170,2021-11-11,110.65
171,2021-11-10,110.65
172,2021-11-09,110.65
173,2021-11-08,110.65
174,2021-11-07,110.65
175,2021-11-06,110.65
176,2021-11-05,110.65
177,2021-11-04,110.65
178,2021-11-03,116.75
179,2021-11-02,116.75
180,2021-11-01,116.37
181,2021-10-31,115.94
182,2021-10-30,115.58
183,2021-10-29,115.23
184,2021-10-28,114.88
185,2021-10-27,114.53
186,2021-10-26,114.18
187,2021-10-25,114.18
188,2021-10-24,114.18
189,2021-10-23,113.82
190,2021-10-22,113.47
191,2021-10-20,112.77
192,2021-10-19,112.42
193,2021-10-18,112.42
194,2021-10-15,111.71
195,2021-10-14,111.36
196,2021-10-13,111.01
197,2021-10-12,111.01
198,2021-10-11,111.01
199,2021-10-10,110.71
200,2021-10-09,110.41
201,2021-10-08,110.11
202,2021-10-07,109.8
203,2021-10-06,109.5
204,2021-10-05,109.2
205,2021-10-04,108.95
206,2021-10-03,108.95
207,2021-10-02,108.7
208,2021-10-01,108.45
209,2021-09-30,108.21
210,2021-09-29,107.97
211,2021-09-28,107.97
212,2021-09-27,107.78
213,2021-09-26,107.78
214,2021-09-25,107.78
215,2021-09-24,107.78
216,2021-09-23,107.78
217,2021-09-22,107.78
218,2021-09-21,107.78
219,2021-09-20,107.78
220,2021-09-19,107.78
221,2021-09-18,107.78
222,2021-09-17,107.78
223,2021-09-16,107.78
224,2021-09-15,107.78
225,2021-09-14,107.78
226,2021-09-13,107.78
227,2021-09-12,107.78
228,2021-09-11,107.78
229,2021-09-10,107.78
230,2021-09-09,107.78
231,2021-09-08,107.78
232,2021-09-07,107.78
233,2021-09-06,107.78
234,2021-09-05,107.78
235,2021-09-03,107.94
236,2021-09-02,107.94
237,2021-09-01,107.94
238,2021-08-31,108.1
239,2021-08-30,108.1
240,2021-08-29,108.1
241,2021-08-28,108.1
242,2021-08-27,108.1
243,2021-08-26,108.1
244,2021-08-25,108.1
245,2021-08-24,108.1
246,2021-08-23,108.25
247,2021-08-22,108.25
248,2021-08-21,108.32
249,2021-08-20,108.32
250,2021-08-19,108.32
251,2021-08-18,108.31
252,2021-08-17,108.31
253,2021-08-16,108.31
254,2021-08-15,108.31
255,2021-08-14,108.31
256,2021-08-13,108.31
257,2021-08-12,108.31
258,2021-08-11,108.31
259,2021-08-10,108.31
260,2021-08-09,108.31
261,2021-08-08,108.31
262,2021-08-07,108.31
263,2021-08-06,108.31
264,2021-08-05,108.31
265,2021-08-04,108.31
266,2021-08-03,108.31
267,2021-08-02,108.31
268,2021-08-01,108.31
269,2021-07-31,108.31
270,2021-07-30,108.31
271,2021-07-29,108.31
272,2021-07-28,108.31
273,2021-07-27,108.31
274,2021-07-26,108.31
275,2021-07-25,108.31
276,2021-07-24,108.31
277,2021-07-23,108.31
278,2021-07-22,108.31
279,2021-07-21,108.31
280,2021-07-20,108.31
281,2021-07-19,108.31
282,2021-07-18,108.31
283,2021-07-17,108.31
284,2021-07-16,108.01
285,2021-07-15,108.01
286,2021-07-14,107.66
287,2021-07-13,107.66
288,2021-07-12,107.66
289,2021-07-11,107.38
290,2021-07-10,107.38
291,2021-07-09,107.03
292,2021-07-08,107.03
293,2021-07-07,106.68
294,2021-07-06,106.32
295,2021-07-05,106.32
296,2021-07-04,105.97
297,2021-07-03,105.62
298,2021-07-02,105.62
299,2021-07-01,105.27
300,2021-06-30,105.27
301,2021-06-29,105.27
302,2021-06-28,104.92
303,2021-06-27,104.92
304,2021-06-26,104.57
305,2021-06-25,104.21
306,2021-06-24,104.21
307,2021-06-23,103.95
308,2021-06-22,103.95
309,2021-06-21,103.67
310,2021-06-20,103.67
311,2021-06-19,103.38
312,2021-06-18,103.38
313,2021-06-17,103.11
314,2021-06-16,103.11
315,2021-06-15,102.86
316,2021-06-14,102.86
317,2021-06-13,102.57
318,2021-06-12,102.57
319,2021-06-11,102.29
320,2021-06-10,102
321,2021-06-09,102
322,2021-06-08,101.75
323,2021-06-07,101.75
324,2021-06-06,101.47
325,2021-06-05,101.2
326,2021-06-04,101.2
327,2021-06-03,100.93
328,2021-06-02,100.93
329,2021-06-01,100.93
330,2021-05-31,100.67
331,2021-05-30,100.37
332,2021-05-29,100.37
333,2021-05-28,100.11
334,2021-05-27,100.11
335,2021-05-26,99.87
336,2021-05-25,99.87
337,2021-05-24,99.64
338,2021-05-23,99.64
339,2021-05-22,99.47
340,2021-05-21,99.47
341,2021-05-20,99.28
342,2021-05-19,99.28
