,date,price
0,2022-05-01,121.26
1,2022-04-30,121.26
2,2022-04-29,121.26
3,2022-04-28,121.26
4,2022-04-27,121.26
5,2022-04-26,121.26
6,2022-04-25,121.26
7,2022-04-24,121.26
8,2022-04-23,121.26
9,2022-04-22,121.26
10,2022-04-21,121.26
11,2022-04-20,121.26
12,2022-04-19,121.26
13,2022-04-18,121.26
14,2022-04-17,121.26
15,2022-04-16,121.26
16,2022-04-15,121.26
17,2022-04-14,121.26
18,2022-04-13,121.26
19,2022-04-12,121.26
20,2022-04-11,121.26
21,2022-04-10,121.26
22,2022-04-09,121.26
23,2022-04-08,121.26
24,2022-04-07,121.26
25,2022-04-06,121.26
26,2022-04-05,120.39
27,2022-04-04,119.51
28,2022-04-03,119.07
29,2022-04-02,118.2
30,2022-04-01,117.32
31,2022-03-31,117.32
32,2022-03-30,116.45
33,2022-03-29,115.57
34,2022-03-28,114.69
35,2022-03-27,114.36
36,2022-03-26,113.82
37,2022-03-25,112.96
38,2022-03-24,112.08
39,2022-03-23,112.08
40,2022-03-22,111.21
41,2022-03-21,110.33
42,2022-03-20,110.33
43,2022-03-19,110.33
44,2022-03-18,110.33
45,2022-03-17,110.33
46,2022-03-16,110.33
47,2022-03-15,110.33
48,2022-03-14,110.33
49,2022-03-13,110.33
50,2022-03-12,110.33
51,2022-03-11,110.33
52,2022-03-10,110.33
53,2022-03-09,110.33
54,2022-03-08,110.33
55,2022-03-07,110.33
56,2022-03-06,110.33
57,2022-03-05,110.33
58,2022-03-04,110.33
59,2022-03-03,110.33
60,2022-03-02,110.33
61,2022-03-01,110.33
62,2022-02-28,110.33
63,2022-02-27,110.33
64,2022-02-26,110.33
65,2022-02-25,110.33
66,2022-02-24,110.33
67,2022-02-23,110.33
68,2022-02-22,110.33
69,2022-02-21,110.33
70,2022-02-20,110.33
71,2022-02-19,110.33
72,2022-02-18,110.33
73,2022-02-17,110.33
74,2022-02-16,110.33
75,2022-02-15,110.33
76,2022-02-14,110.33
77,2022-02-13,110.33
78,2022-02-12,110.33
79,2022-02-11,110.33
80,2022-02-10,110.33
81,2022-02-09,110.33
82,2022-02-08,110.33
83,2022-02-07,110.33
84,2022-02-06,110.33
85,2022-02-05,110.33
86,2022-02-04,110.33
87,2022-02-03,110.33
88,2022-02-02,110.33
89,2022-02-01,110.33
90,2022-01-31,110.33
91,2022-01-30,110.33
92,2022-01-29,110.33
93,2022-01-28,110.33
94,2022-01-27,110.33
95,2022-01-26,110.33
96,2022-01-25,110.33
97,2022-01-24,110.33
98,2022-01-23,110.33
