,date,price
0,2022-05-01,119.47
1,2022-04-30,119.47
2,2022-04-29,119.47
3,2022-04-28,119.47
4,2022-04-27,119.47
5,2022-04-26,119.47
6,2022-04-25,119.47
7,2022-04-24,119.47
8,2022-04-23,119.47
9,2022-04-22,119.47
10,2022-04-21,119.47
11,2022-04-20,119.47
12,2022-04-19,119.47
13,2022-04-18,119.47
14,2022-04-17,119.47
15,2022-04-16,119.47
16,2022-04-15,119.47
17,2022-04-14,119.47
18,2022-04-13,119.47
19,2022-04-12,119.47
20,2022-04-11,119.47
21,2022-04-10,119.47
22,2022-04-09,119.47
23,2022-04-08,119.47
24,2022-04-07,119.47
25,2022-04-06,119.47
26,2022-04-05,118.57
27,2022-04-04,117.66
28,2022-04-03,117.21
29,2022-04-02,116.3
30,2022-04-01,115.4
31,2022-03-31,115.4
32,2022-03-30,114.5
33,2022-03-29,113.59
34,2022-03-28,112.69
35,2022-03-27,112.35
36,2022-03-26,111.78
37,2022-03-25,110.89
38,2022-03-24,109.99
39,2022-03-23,109.99
40,2022-03-22,109.08
41,2022-03-21,108.18
42,2022-03-20,108.18
43,2022-03-19,108.18
44,2022-03-18,108.18
45,2022-03-17,108.18
46,2022-03-16,108.18
47,2022-03-15,108.18
48,2022-03-14,108.18
49,2022-03-13,108.18
50,2022-03-12,108.18
51,2022-03-11,108.18
52,2022-03-10,108.18
53,2022-03-09,108.18
54,2022-03-08,108.18
55,2022-03-07,108.18
56,2022-03-06,108.18
57,2022-03-05,108.18
58,2022-03-04,108.18
59,2022-03-03,108.18
60,2022-03-02,108.18
61,2022-03-01,108.18
62,2022-02-28,108.18
63,2022-02-27,108.18
64,2022-02-26,108.18
65,2022-02-25,108.18
66,2022-02-24,108.18
67,2022-02-23,108.18
68,2022-02-22,108.18
69,2022-02-21,108.18
70,2022-02-20,108.18
71,2022-02-19,108.18
72,2022-02-18,108.18
73,2022-02-17,108.18
74,2022-02-16,108.18
75,2022-02-15,108.18
76,2022-02-14,108.18
77,2022-02-13,108.18
78,2022-02-12,108.18
79,2022-02-11,108.18
80,2022-02-10,108.18
81,2022-02-09,108.18
82,2022-02-08,108.18
83,2022-02-07,108.18
84,2022-02-06,108.18
85,2022-02-05,108.18
86,2022-02-04,108.18
87,2022-02-03,108.18
88,2022-02-02,108.18
89,2022-02-01,108.18
90,2022-01-31,108.18
91,2022-01-30,108.18
92,2022-01-29,108.18
93,2022-01-28,108.18
94,2022-01-27,108.18
95,2022-01-26,108.18
96,2022-01-25,108.18
97,2022-01-24,108.18
98,2022-01-23,108.18
99,2022-01-22,108.18
100,2022-01-21,108.18
101,2022-01-20,108.18
102,2022-01-19,108.18
103,2022-01-18,108.18
104,2022-01-17,108.18
105,2022-01-16,108.18
106,2022-01-15,108.18
107,2022-01-14,108.18
108,2022-01-13,108.18
109,2022-01-12,108.18
110,2022-01-11,108.18
111,2022-01-10,108.18
112,2022-01-09,108.18
113,2022-01-08,108.18
114,2022-01-07,108.18
115,2022-01-06,108.18
116,2022-01-05,108.18
117,2022-01-04,108.18
118,2022-01-03,108.18
119,2022-01-02,108.18
120,2022-01-01,108.18
121,2021-12-31,108.18
122,2021-12-30,108.18
123,2021-12-29,108.18
124,2021-12-28,108.18
125,2021-12-27,108.18
126,2021-12-26,108.18
127,2021-12-25,108.18
128,2021-12-24,108.18
129,2021-12-23,108.18
130,2021-12-22,108.18
131,2021-12-21,108.18
132,2021-12-20,108.18
133,2021-12-19,108.18
