,date,price
0,2022-05-01,120.2
1,2022-04-30,120.2
2,2022-04-29,120.2
3,2022-04-28,120.2
4,2022-04-27,120.2
5,2022-04-26,120.2
6,2022-04-25,120.2
7,2022-04-24,120.2
8,2022-04-23,120.2
9,2022-04-22,120.2
10,2022-04-21,120.2
11,2022-04-20,120.2
12,2022-04-19,120.2
13,2022-04-18,120.2
14,2022-04-17,120.2
15,2022-04-16,120.2
16,2022-04-15,120.2
17,2022-04-14,120.2
18,2022-04-13,120.2
19,2022-04-12,120.2
20,2022-04-11,120.2
21,2022-04-10,120.2
22,2022-04-09,120.2
23,2022-04-08,120.2
24,2022-04-07,120.2
25,2022-04-06,120.2
26,2022-04-05,119.33
27,2022-04-04,118.45
28,2022-04-03,118.01
29,2022-04-02,117.14
30,2022-04-01,116.26
31,2022-03-31,116.26
32,2022-03-30,115.38
33,2022-03-29,114.51
34,2022-03-28,113.63
35,2022-03-27,113.3
36,2022-03-26,112.75
37,2022-03-25,111.88
38,2022-03-24,111
39,2022-03-23,111
40,2022-03-22,110.12
41,2022-03-21,109.25
42,2022-03-20,109.25
43,2022-03-19,109.25
44,2022-03-18,109.25
45,2022-03-17,109.25
46,2022-03-16,109.25
47,2022-03-15,109.25
48,2022-03-14,109.25
49,2022-03-13,109.25
50,2022-03-12,109.25
51,2022-03-11,109.25
52,2022-03-10,109.25
53,2022-03-09,109.25
54,2022-03-08,109.25
55,2022-03-07,109.25
56,2022-03-06,109.25
57,2022-03-05,109.25
58,2022-03-04,109.25
59,2022-03-03,109.25
60,2022-03-02,109.25
61,2022-03-01,109.25
62,2022-02-28,109.25
63,2022-02-27,109.25
64,2022-02-26,109.25
65,2022-02-25,109.25
66,2022-02-24,109.25
67,2022-02-23,109.25
68,2022-02-22,109.25
69,2022-02-21,109.25
70,2022-02-20,109.25
71,2022-02-19,109.25
72,2022-02-18,109.25
73,2022-02-17,109.25
74,2022-02-16,109.25
75,2022-02-15,109.25
76,2022-02-14,109.25
77,2022-02-13,109.25
78,2022-02-12,109.25
79,2022-02-11,109.25
80,2022-02-10,109.25
81,2022-02-09,109.25
82,2022-02-08,109.25
83,2022-02-07,109.25
84,2022-02-06,109.25
85,2022-02-05,109.25
86,2022-02-04,109.25
87,2022-02-03,109.25
88,2022-02-02,109.25
89,2022-02-01,109.25
90,2022-01-31,109.25
91,2022-01-30,109.25
92,2022-01-29,109.25
93,2022-01-28,109.25
94,2022-01-27,109.25
95,2022-01-26,109.25
96,2022-01-25,109.25
97,2022-01-24,109.25
98,2022-01-23,109.25
99,2022-01-22,109.25
100,2022-01-21,109.25
101,2022-01-20,109.25
102,2022-01-19,109.25
103,2022-01-18,109.25
104,2022-01-17,109.25
105,2022-01-16,109.25
106,2022-01-15,109.25
107,2022-01-14,109.25
108,2022-01-13,109.25
109,2022-01-12,109.25
110,2022-01-11,109.25
111,2022-01-10,109.25
112,2022-01-09,109.25
113,2022-01-08,109.25
114,2022-01-07,109.25
115,2022-01-06,109.25
116,2022-01-05,109.25
117,2022-01-04,109.25
118,2022-01-03,109.25
119,2022-01-02,109.25
120,2022-01-01,109.25
121,2021-12-31,109.25
122,2021-12-30,109.25
123,2021-12-29,109.25
124,2021-12-28,109.25
125,2021-12-27,109.25
126,2021-12-26,109.25
127,2021-12-25,109.25
128,2021-12-24,109.25
129,2021-12-23,109.25
130,2021-12-22,109.25
131,2021-12-21,109.25
132,2021-12-20,109.25
133,2021-12-19,109.25
134,2021-12-18,109.25
135,2021-12-17,109.25
136,2021-12-16,109.25
137,2021-12-15,109.25
138,2021-12-14,109.25
139,2021-12-13,109.25
140,2021-12-12,109.25
141,2021-12-11,109.25
142,2021-12-10,109.25
143,2021-12-09,109.25
144,2021-12-08,109.25
145,2021-12-07,109.25
146,2021-12-06,109.25
147,2021-12-05,109.25
148,2021-12-04,109.25
149,2021-12-03,109.25
150,2021-12-02,109.25
151,2021-11-30,109.25
152,2021-11-29,109.25
153,2021-11-28,109.25
154,2021-11-27,109.25
155,2021-11-26,109.25
156,2021-11-25,109.25
157,2021-11-24,109.25
158,2021-11-23,109.25
159,2021-11-22,109.25
160,2021-11-21,109.25
161,2021-11-20,109.25
162,2021-11-19,109.25
163,2021-11-18,109.25
164,2021-11-17,109.25
165,2021-11-16,109.25
166,2021-11-15,109.25
167,2021-11-14,109.25
168,2021-11-13,109.25
169,2021-11-12,109.25
170,2021-11-11,109.25
171,2021-11-10,109.25
172,2021-11-09,109.25
173,2021-11-08,109.25
174,2021-11-07,109.25
175,2021-11-06,109.25
176,2021-11-05,109.25
177,2021-11-04,109.25
178,2021-11-03,115.35
179,2021-11-02,115.35
180,2021-11-01,114.98
181,2021-10-31,114.61
182,2021-10-30,114.25
183,2021-10-29,113.9
184,2021-10-28,113.55
185,2021-10-27,113.2
186,2021-10-26,112.85
187,2021-10-25,112.85
188,2021-10-24,112.85
189,2021-10-23,112.49
190,2021-10-22,112.14
191,2021-10-20,111.44
192,2021-10-19,111.09
193,2021-10-18,111.09
194,2021-10-15,110.38
195,2021-10-14,110.03
196,2021-10-13,109.68
197,2021-10-12,109.68
198,2021-10-11,109.68
199,2021-10-10,109.38
200,2021-10-09,109.08
201,2021-10-08,108.78
202,2021-10-07,108.47
203,2021-10-06,108.17
204,2021-10-05,107.87
205,2021-10-04,107.62
206,2021-10-03,107.62
207,2021-10-02,107.37
208,2021-10-01,107.12
209,2021-09-30,106.88
210,2021-09-29,106.64
211,2021-09-28,106.64
212,2021-09-27,106.45
213,2021-09-26,106.45
214,2021-09-25,106.45
215,2021-09-24,106.45
216,2021-09-23,106.45
217,2021-09-22,106.45
218,2021-09-21,106.45
219,2021-09-20,106.45
220,2021-09-19,106.45
221,2021-09-18,106.45
222,2021-09-17,106.45
223,2021-09-16,106.45
224,2021-09-15,106.45
225,2021-09-14,106.45
226,2021-09-13,106.45
227,2021-09-12,106.45
228,2021-09-11,106.45
229,2021-09-10,106.45
230,2021-09-09,106.45
231,2021-09-08,106.45
232,2021-09-07,106.45
233,2021-09-06,106.45
234,2021-09-05,106.45
235,2021-09-03,106.61
236,2021-09-02,106.61
237,2021-09-01,106.61
238,2021-08-31,106.77
239,2021-08-30,106.77
240,2021-08-29,106.77
241,2021-08-28,106.77
242,2021-08-27,106.77
243,2021-08-26,106.77
244,2021-08-25,106.77
245,2021-08-24,106.77
246,2021-08-23,106.92
247,2021-08-22,106.92
248,2021-08-21,107.09
249,2021-08-20,107.09
250,2021-08-19,107.09
251,2021-08-18,107.1
252,2021-08-17,107.1
253,2021-08-16,107.1
254,2021-08-15,107.1
255,2021-08-14,107.1
256,2021-08-13,107.1
257,2021-08-12,107.1
258,2021-08-11,107.1
259,2021-08-10,107.1
260,2021-08-09,107.1
261,2021-08-08,107.1
262,2021-08-07,107.1
263,2021-08-06,107.1
264,2021-08-05,107.1
265,2021-08-04,107.1
266,2021-08-03,107.1
267,2021-08-02,107.1
268,2021-08-01,107.1
269,2021-07-31,107.1
270,2021-07-30,107.1
271,2021-07-29,107.1
272,2021-07-28,107.1
273,2021-07-27,107.1
274,2021-07-26,107.1
275,2021-07-25,107.1
276,2021-07-24,107.1
277,2021-07-23,107.1
278,2021-07-22,107.1
279,2021-07-21,107.1
280,2021-07-20,107.1
281,2021-07-19,107.1
282,2021-07-18,107.1
283,2021-07-17,107.1
284,2021-07-16,106.8
285,2021-07-15,106.8
286,2021-07-14,106.45
287,2021-07-13,106.45
288,2021-07-12,106.45
289,2021-07-11,106.17
290,2021-07-10,106.17
291,2021-07-09,105.82
292,2021-07-08,105.82
293,2021-07-07,105.47
294,2021-07-06,105.11
295,2021-07-05,105.11
296,2021-07-04,104.76
297,2021-07-03,104.41
298,2021-07-02,104.41
299,2021-07-01,104.06
300,2021-06-30,104.06
301,2021-06-29,104.06
302,2021-06-28,103.71
303,2021-06-27,103.71
304,2021-06-26,103.36
305,2021-06-25,103
306,2021-06-24,103
307,2021-06-23,102.74
308,2021-06-22,102.74
309,2021-06-21,102.46
310,2021-06-20,102.46
311,2021-06-19,102.17
312,2021-06-18,102.17
313,2021-06-17,101.9
314,2021-06-16,101.9
315,2021-06-15,101.65
316,2021-06-14,101.65
317,2021-06-13,101.36
318,2021-06-12,101.36
319,2021-06-11,101.08
320,2021-06-10,100.79
321,2021-06-09,100.79
322,2021-06-08,100.54
323,2021-06-07,100.54
324,2021-06-06,100.26
325,2021-06-05,99.99
326,2021-06-04,99.99
327,2021-06-03,99.72
328,2021-06-02,99.72
329,2021-06-01,99.72
330,2021-05-31,99.46
331,2021-05-30,99.16
332,2021-05-29,99.16
333,2021-05-28,98.9
334,2021-05-27,98.9
335,2021-05-26,98.66
336,2021-05-25,98.66
337,2021-05-24,98.43
338,2021-05-23,98.43
339,2021-05-22,98.26
340,2021-05-21,98.26
341,2021-05-20,98.07
342,2021-05-19,98.07
343,2021-05-18,98.07
344,2021-05-17,97.8
345,2021-05-16,97.8
346,2021-05-15,97.56
347,2021-05-14,97.56
348,2021-05-13,97.26
349,2021-05-12,97.26
350,2021-05-11,97.01
351,2021-05-10,96.74
352,2021-05-09,96.48
353,2021-05-08,96.48
354,2021-05-07,96.48
355,2021-05-06,96.2
356,2021-05-05,95.95
357,2021-05-04,95.76
358,2021-05-03,95.59
359,2021-05-02,95.59
360,2021-05-01,95.59
361,2021-04-30,95.59
362,2021-04-29,95.59
363,2021-04-28,95.59
364,2021-04-27,95.59
