,date,price
0,2022-05-01,121.06
1,2022-04-30,121.06
2,2022-04-29,121.06
3,2022-04-28,121.06
4,2022-04-27,121.06
5,2022-04-26,121.06
6,2022-04-25,121.06
7,2022-04-24,121.06
8,2022-04-23,121.06
9,2022-04-22,121.06
10,2022-04-21,121.06
11,2022-04-20,121.06
12,2022-04-19,121.06
13,2022-04-18,121.06
14,2022-04-17,121.06
15,2022-04-16,121.06
16,2022-04-15,121.06
17,2022-04-14,121.06
18,2022-04-13,121.06
19,2022-04-12,121.06
20,2022-04-11,121.06
21,2022-04-10,121.06
22,2022-04-09,121.06
23,2022-04-08,121.06
24,2022-04-07,121.06
25,2022-04-06,121.06
26,2022-04-05,120.19
27,2022-04-04,119.31
28,2022-04-03,118.87
29,2022-04-02,117.99
30,2022-04-01,117.12
31,2022-03-31,117.12
32,2022-03-30,116.24
33,2022-03-29,115.37
34,2022-03-28,114.49
35,2022-03-27,114.16
36,2022-03-26,113.61
37,2022-03-25,112.77
38,2022-03-24,111.9
39,2022-03-23,111.9
40,2022-03-22,111.02
41,2022-03-21,110.14
42,2022-03-20,110.14
43,2022-03-19,110.14
44,2022-03-18,110.14
45,2022-03-17,110.14
46,2022-03-16,110.14
47,2022-03-15,110.14
48,2022-03-14,110.14
49,2022-03-13,110.14
50,2022-03-12,110.14
51,2022-03-11,110.14
52,2022-03-10,110.14
53,2022-03-09,110.14
54,2022-03-08,110.14
55,2022-03-07,110.14
56,2022-03-06,110.14
57,2022-03-05,110.14
58,2022-03-04,110.14
59,2022-03-03,110.14
60,2022-03-02,110.14
61,2022-03-01,110.14
62,2022-02-28,110.14
63,2022-02-27,110.14
64,2022-02-26,110.14
65,2022-02-25,110.14
66,2022-02-24,110.14
67,2022-02-23,110.14
68,2022-02-22,110.14
69,2022-02-21,110.14
70,2022-02-20,110.14
71,2022-02-19,110.14
72,2022-02-18,110.14
73,2022-02-17,110.14
74,2022-02-16,110.14
75,2022-02-15,110.14
76,2022-02-14,110.14
77,2022-02-13,110.14
78,2022-02-12,110.14
79,2022-02-11,110.14
80,2022-02-10,110.14
81,2022-02-09,110.14
82,2022-02-08,110.14
83,2022-02-07,110.14
84,2022-02-06,110.14
85,2022-02-05,110.14
86,2022-02-04,110.14
87,2022-02-03,110.14
88,2022-02-02,110.14
89,2022-02-01,110.14
90,2022-01-31,110.14
91,2022-01-30,110.14
92,2022-01-29,110.14
93,2022-01-28,110.14
94,2022-01-27,110.14
95,2022-01-26,110.14
96,2022-01-25,110.14
97,2022-01-24,110.14
98,2022-01-23,110.14
99,2022-01-22,110.14
100,2022-01-21,110.14
101,2022-01-20,110.14
102,2022-01-19,110.14
103,2022-01-18,110.14
104,2022-01-17,110.14
105,2022-01-16,110.14
106,2022-01-15,110.14
107,2022-01-14,110.14
108,2022-01-13,110.14
109,2022-01-12,110.14
110,2022-01-11,110.14
111,2022-01-10,110.14
112,2022-01-09,110.14
113,2022-01-08,110.14
114,2022-01-07,110.14
115,2022-01-06,110.14
116,2022-01-05,110.14
117,2022-01-04,110.14
118,2022-01-03,110.14
119,2022-01-02,110.14
120,2022-01-01,110.14
121,2021-12-31,110.14
122,2021-12-30,110.14
123,2021-12-29,110.14
124,2021-12-28,110.14
125,2021-12-27,110.14
126,2021-12-26,110.14
127,2021-12-25,110.14
128,2021-12-24,110.14
129,2021-12-23,110.14
130,2021-12-22,110.14
131,2021-12-21,110.14
132,2021-12-20,110.14
133,2021-12-19,110.14
134,2021-12-18,110.14
135,2021-12-17,110.14
136,2021-12-16,110.14
137,2021-12-15,110.14
138,2021-12-14,110.14
139,2021-12-13,110.14
140,2021-12-12,110.14
141,2021-12-11,110.14
142,2021-12-10,110.14
143,2021-12-09,110.14
144,2021-12-08,110.14
145,2021-12-07,110.14
146,2021-12-06,110.14
147,2021-12-05,110.14
148,2021-12-04,110.14
149,2021-12-03,110.14
150,2021-12-02,110.14
151,2021-11-30,110.14
152,2021-11-29,110.14
153,2021-11-28,110.14
154,2021-11-27,110.14
155,2021-11-26,110.14
156,2021-11-25,110.14
157,2021-11-24,110.14
158,2021-11-23,110.14
159,2021-11-22,110.14
160,2021-11-21,110.14
161,2021-11-20,110.14
162,2021-11-19,110.14
163,2021-11-18,110.14
164,2021-11-17,110.14
165,2021-11-16,110.14
166,2021-11-15,110.14
167,2021-11-14,110.14
168,2021-11-13,110.14
169,2021-11-12,110.14
170,2021-11-11,110.14
171,2021-11-10,110.14
172,2021-11-09,110.14
173,2021-11-08,110.14
174,2021-11-07,110.14
175,2021-11-06,110.14
176,2021-11-05,110.14
177,2021-11-04,110.14
178,2021-11-03,116.25
179,2021-11-02,116.25
180,2021-11-01,115.87
181,2021-10-31,115.43
182,2021-10-30,115.08
183,2021-10-29,114.73
184,2021-10-28,114.38
185,2021-10-27,114.03
186,2021-10-26,113.68
187,2021-10-25,113.68
188,2021-10-24,113.68
189,2021-10-23,113.32
190,2021-10-22,112.97
191,2021-10-20,112.27
192,2021-10-19,111.92
193,2021-10-18,111.92
194,2021-10-15,111.21
195,2021-10-14,110.86
196,2021-10-13,110.51
197,2021-10-12,110.51
198,2021-10-11,110.51
199,2021-10-10,110.21
200,2021-10-09,109.91
201,2021-10-08,109.6
202,2021-10-07,109.3
203,2021-10-06,109
204,2021-10-05,108.7
205,2021-10-04,108.45
206,2021-10-03,108.45
207,2021-10-02,108.2
208,2021-10-01,107.95
209,2021-09-30,107.71
210,2021-09-29,107.47
211,2021-09-28,107.47
212,2021-09-27,107.28
213,2021-09-26,107.28
214,2021-09-25,107.28
215,2021-09-24,107.28
216,2021-09-23,107.28
217,2021-09-22,107.28
218,2021-09-21,107.28
219,2021-09-20,107.28
220,2021-09-19,107.28
221,2021-09-18,107.28
222,2021-09-17,107.28
223,2021-09-16,107.28
224,2021-09-15,107.28
225,2021-09-14,107.28
226,2021-09-13,107.28
227,2021-09-12,107.28
228,2021-09-11,107.28
229,2021-09-10,107.28
230,2021-09-09,107.28
231,2021-09-08,107.28
232,2021-09-07,107.28
233,2021-09-06,107.28
234,2021-09-05,107.28
235,2021-09-03,107.44
236,2021-09-02,107.44
237,2021-09-01,107.44
238,2021-08-31,107.6
239,2021-08-30,107.6
240,2021-08-29,107.6
241,2021-08-28,107.6
242,2021-08-27,107.6
243,2021-08-26,107.6
244,2021-08-25,107.6
245,2021-08-24,107.6
246,2021-08-23,107.75
247,2021-08-22,107.75
248,2021-08-21,107.82
249,2021-08-20,107.82
250,2021-08-19,107.82
251,2021-08-18,107.82
252,2021-08-17,107.82
253,2021-08-16,107.82
254,2021-08-15,107.82
255,2021-08-14,107.82
256,2021-08-13,107.82
257,2021-08-12,107.82
258,2021-08-11,107.82
259,2021-08-10,107.82
260,2021-08-09,107.82
261,2021-08-08,107.82
262,2021-08-07,107.82
263,2021-08-06,107.82
264,2021-08-05,107.82
265,2021-08-04,107.82
266,2021-08-03,107.82
267,2021-08-02,107.82
268,2021-08-01,107.82
269,2021-07-31,107.82
270,2021-07-30,107.82
271,2021-07-29,107.82
272,2021-07-28,107.82
273,2021-07-27,107.82
274,2021-07-26,107.82
275,2021-07-25,107.82
276,2021-07-24,107.82
277,2021-07-23,107.82
278,2021-07-22,107.82
279,2021-07-21,107.82
280,2021-07-20,107.82
281,2021-07-19,107.82
282,2021-07-18,107.82
283,2021-07-17,107.82
284,2021-07-16,107.52
285,2021-07-15,107.52
286,2021-07-14,107.17
287,2021-07-13,107.17
288,2021-07-12,107.17
289,2021-07-11,106.88
290,2021-07-10,106.88
291,2021-07-09,106.53
292,2021-07-08,106.53
293,2021-07-07,106.18
294,2021-07-06,105.83
295,2021-07-05,105.83
296,2021-07-04,105.48
297,2021-07-03,105.13
298,2021-07-02,105.13
299,2021-07-01,104.77
300,2021-06-30,104.77
301,2021-06-29,104.77
302,2021-06-28,104.42
303,2021-06-27,104.42
304,2021-06-26,104.07
305,2021-06-25,103.72
306,2021-06-24,103.72
307,2021-06-23,103.46
308,2021-06-22,103.46
309,2021-06-21,103.18
310,2021-06-20,103.18
311,2021-06-19,102.88
312,2021-06-18,102.88
313,2021-06-17,102.61
314,2021-06-16,102.61
315,2021-06-15,102.36
316,2021-06-14,102.36
317,2021-06-13,102.07
318,2021-06-12,102.07
319,2021-06-11,101.8
320,2021-06-10,101.51
321,2021-06-09,101.51
322,2021-06-08,101.26
323,2021-06-07,101.26
324,2021-06-06,100.97
325,2021-06-05,100.7
326,2021-06-04,100.7
327,2021-06-03,100.43
328,2021-06-02,100.43
329,2021-06-01,100.43
330,2021-05-31,100.17
331,2021-05-30,99.88
332,2021-05-29,99.88
333,2021-05-28,99.62
334,2021-05-27,99.62
335,2021-05-26,99.38
336,2021-05-25,99.38
337,2021-05-24,99.15
338,2021-05-23,99.15
