,date,price
0,2022-05-01,68.75
1,2022-04-30,68.75
2,2022-04-29,68.75
3,2022-04-28,68.75
4,2022-04-27,68.75
5,2022-04-26,68.75
6,2022-04-25,68.75
7,2022-04-24,68.75
8,2022-04-23,68.75
9,2022-04-22,68.75
10,2022-04-21,68.75
11,2022-04-20,68.75
12,2022-04-19,68.75
13,2022-04-18,68.75
14,2022-04-17,68.75
15,2022-04-16,68.75
16,2022-04-15,68.75
17,2022-04-14,68.75
18,2022-04-13,68.75
19,2022-04-12,68.75
20,2022-04-11,68.75
21,2022-04-10,68.75
22,2022-04-09,68.75
23,2022-04-08,68.75
24,2022-04-07,68.75
25,2022-04-06,68.75
26,2022-04-05,68.75
27,2022-04-04,68.75
28,2022-04-03,68.75
29,2022-04-02,68.75
30,2022-04-01,68.75
31,2022-03-31,68.75
32,2022-03-30,68.75
33,2022-03-29,68.75
34,2022-03-28,68.75
35,2022-03-27,68.75
36,2022-03-26,68.75
37,2022-03-25,68.75
38,2022-03-24,68.75
39,2022-03-23,68.75
40,2022-03-22,68.75
41,2022-03-21,68.75
42,2022-03-20,68.75
43,2022-03-19,68.75
44,2022-03-18,68.75
45,2022-03-17,68.75
46,2022-03-16,68.75
47,2022-03-15,68.75
48,2022-03-14,68.75
49,2022-03-13,68.75
50,2022-03-12,68.75
51,2022-03-11,68.75
52,2022-03-10,68.75
53,2022-03-09,68.75
54,2022-03-08,68.75
55,2022-03-07,68.75
56,2022-03-06,68.75
57,2022-03-05,68.75
58,2022-03-04,68.75
59,2022-03-03,68.75
60,2022-03-02,68.75
61,2022-03-01,68.75
62,2022-02-28,68.75
63,2022-02-27,68.75
64,2022-02-26,68.75
65,2022-02-25,68.75
66,2022-02-24,68.75
67,2022-02-23,68.75
68,2022-02-22,68.75
69,2022-02-21,68.75
70,2022-02-20,68.75
71,2022-02-19,68.75
72,2022-02-18,68.75
73,2022-02-17,68.75
74,2022-02-16,68.75
75,2022-02-15,68.75
76,2022-02-14,68.75
77,2022-02-13,68.75
78,2022-02-12,68.75
79,2022-02-11,68.75
80,2022-02-10,68.75
81,2022-02-09,68.75
82,2022-02-08,68.75
83,2022-02-07,68.75
84,2022-02-06,68.75
85,2022-02-05,68.75
86,2022-02-04,68.75
87,2022-02-03,68.75
88,2022-02-02,68.75
89,2022-02-01,68.75
90,2022-01-31,68.75
91,2022-01-30,68.75
92,2022-01-29,68.75
93,2022-01-28,68.75
94,2022-01-27,68.75
95,2022-01-26,68.75
96,2022-01-25,68.75
97,2022-01-24,68.75
98,2022-01-23,68.75
99,2022-01-22,68.75
100,2022-01-21,68.75
101,2022-01-20,68.75
102,2022-01-19,68.75
103,2022-01-18,68.75
104,2022-01-17,68.75
105,2022-01-16,68.75
106,2022-01-15,68.75
107,2022-01-14,68.75
108,2022-01-13,68.75
109,2022-01-12,68.75
110,2022-01-11,68.75
111,2022-01-10,68.75
112,2022-01-09,68.75
113,2022-01-08,68.75
114,2022-01-07,68.75
115,2022-01-06,68.75
