,date,price
0,2022-05-01,117.64
1,2022-04-30,117.64
2,2022-04-29,117.64
3,2022-04-28,117.64
4,2022-04-27,117.64
5,2022-04-26,117.64
6,2022-04-25,117.64
7,2022-04-24,117.64
8,2022-04-23,117.64
9,2022-04-22,117.64
10,2022-04-21,117.64
11,2022-04-20,117.64
12,2022-04-19,117.64
13,2022-04-18,117.64
14,2022-04-17,117.64
15,2022-04-16,117.64
16,2022-04-15,117.64
17,2022-04-14,117.64
18,2022-04-13,117.64
19,2022-04-12,117.64
20,2022-04-11,117.64
21,2022-04-10,117.64
22,2022-04-09,117.64
23,2022-04-08,117.64
24,2022-04-07,117.64
25,2022-04-06,117.64
26,2022-04-05,116.81
27,2022-04-04,115.98
28,2022-04-03,115.57
29,2022-04-02,114.74
30,2022-04-01,113.92
31,2022-03-31,113.92
32,2022-03-30,113.09
33,2022-03-29,112.26
34,2022-03-28,111.44
35,2022-03-27,111.13
36,2022-03-26,110.61
37,2022-03-25,109.84
38,2022-03-24,109.01
39,2022-03-23,109.01
40,2022-03-22,108.19
41,2022-03-21,107.95
42,2022-03-20,107.95
43,2022-03-19,107.95
44,2022-03-18,107.95
45,2022-03-17,107.95
46,2022-03-16,107.95
47,2022-03-15,107.95
48,2022-03-14,107.95
49,2022-03-13,107.95
50,2022-03-12,107.95
51,2022-03-11,107.95
52,2022-03-10,107.95
53,2022-03-09,107.95
54,2022-03-08,107.95
55,2022-03-07,107.95
56,2022-03-06,107.95
57,2022-03-05,107.95
58,2022-03-04,107.95
59,2022-03-03,107.95
60,2022-03-02,107.95
61,2022-03-01,107.95
62,2022-02-28,107.95
63,2022-02-27,107.95
64,2022-02-26,107.95
65,2022-02-25,107.95
66,2022-02-24,107.95
67,2022-02-23,107.95
68,2022-02-22,107.95
69,2022-02-21,107.95
70,2022-02-20,107.95
71,2022-02-19,107.95
72,2022-02-18,107.95
73,2022-02-17,107.95
74,2022-02-16,107.95
75,2022-02-15,107.95
76,2022-02-14,107.95
77,2022-02-13,107.95
78,2022-02-12,107.95
79,2022-02-11,107.95
80,2022-02-10,107.95
81,2022-02-09,107.95
82,2022-02-08,107.95
83,2022-02-07,107.95
84,2022-02-06,107.95
85,2022-02-05,107.95
86,2022-02-04,107.95
87,2022-02-03,107.95
88,2022-02-02,107.95
89,2022-02-01,107.95
90,2022-01-31,107.95
91,2022-01-30,107.95
92,2022-01-29,107.95
93,2022-01-28,107.95
94,2022-01-27,107.95
95,2022-01-26,107.95
96,2022-01-25,107.95
97,2022-01-24,107.95
98,2022-01-23,107.95
99,2022-01-22,107.95
100,2022-01-21,107.95
101,2022-01-20,107.95
102,2022-01-19,107.95
103,2022-01-18,107.95
104,2022-01-17,107.95
105,2022-01-16,107.95
106,2022-01-15,107.95
107,2022-01-14,107.95
108,2022-01-13,107.95
109,2022-01-12,107.95
110,2022-01-11,107.95
111,2022-01-10,107.95
112,2022-01-09,107.95
113,2022-01-08,107.95
114,2022-01-07,107.95
115,2022-01-06,107.95
116,2022-01-05,107.95
117,2022-01-04,107.95
118,2022-01-03,107.95
119,2022-01-02,107.95
120,2022-01-01,107.95
121,2021-12-31,107.95
122,2021-12-30,107.95
123,2021-12-29,107.95
124,2021-12-28,107.95
125,2021-12-27,107.95
126,2021-12-26,107.95
127,2021-12-25,107.95
128,2021-12-24,107.95
129,2021-12-23,107.95
130,2021-12-22,107.95
131,2021-12-21,107.95
132,2021-12-20,107.95
133,2021-12-19,107.95
134,2021-12-18,107.95
135,2021-12-17,107.95
136,2021-12-16,107.95
137,2021-12-15,107.95
138,2021-12-14,107.95
139,2021-12-13,107.95
140,2021-12-12,107.95
141,2021-12-11,107.95
142,2021-12-10,107.95
143,2021-12-09,107.95
144,2021-12-08,107.95
145,2021-12-07,107.95
146,2021-12-06,107.95
147,2021-12-05,107.95
148,2021-12-04,107.95
149,2021-12-03,107.95
150,2021-12-02,107.95
151,2021-11-30,107.95
152,2021-11-29,107.95
153,2021-11-28,107.95
154,2021-11-27,107.95
155,2021-11-26,107.95
156,2021-11-25,107.95
157,2021-11-24,107.95
158,2021-11-23,107.95
159,2021-11-22,107.95
160,2021-11-21,107.95
161,2021-11-20,107.95
162,2021-11-19,107.95
163,2021-11-18,107.95
164,2021-11-17,107.95
165,2021-11-16,107.95
166,2021-11-15,107.95
167,2021-11-14,107.95
168,2021-11-13,107.95
169,2021-11-12,107.95
170,2021-11-11,107.95
171,2021-11-10,107.95
172,2021-11-09,107.95
173,2021-11-08,107.95
174,2021-11-07,107.95
175,2021-11-06,107.95
176,2021-11-05,107.95
177,2021-11-04,110.01
178,2021-11-03,115.88
179,2021-11-02,115.88
180,2021-11-01,115.52
181,2021-10-31,115.02
182,2021-10-30,114.68
183,2021-10-29,114.35
184,2021-10-28,113.97
185,2021-10-27,113.57
186,2021-10-26,113.17
187,2021-10-25,113.17
188,2021-10-24,113.17
189,2021-10-23,112.77
190,2021-10-22,112.37
191,2021-10-21,111.97
192,2021-10-20,111.57
193,2021-10-19,111.17
194,2021-10-18,111.17
195,2021-10-15,110.37
196,2021-10-14,109.97
197,2021-10-13,109.57
198,2021-10-12,109.57
199,2021-10-11,109.57
200,2021-10-10,109.22
201,2021-10-09,108.87
202,2021-10-07,108.18
203,2021-10-06,107.83
204,2021-10-05,107.48
205,2021-10-04,107.18
206,2021-10-03,107.18
