,date,price
0,2022-05-01,116.72
1,2022-04-30,116.72
2,2022-04-29,116.72
3,2022-04-28,116.72
4,2022-04-27,116.72
5,2022-04-26,116.72
6,2022-04-25,116.72
7,2022-04-24,116.72
8,2022-04-23,116.72
9,2022-04-22,116.72
10,2022-04-21,116.72
11,2022-04-20,116.72
12,2022-04-19,116.72
13,2022-04-18,116.72
14,2022-04-17,116.72
15,2022-04-16,116.72
16,2022-04-15,116.72
17,2022-04-14,116.72
18,2022-04-13,116.72
19,2022-04-12,116.72
20,2022-04-11,116.72
21,2022-04-10,116.72
22,2022-04-09,116.72
23,2022-04-08,116.72
24,2022-04-07,116.72
25,2022-04-06,116.72
26,2022-04-05,115.89
27,2022-04-04,115.07
28,2022-04-03,114.65
29,2022-04-02,113.83
30,2022-04-01,113
31,2022-03-31,113
32,2022-03-30,112.17
33,2022-03-29,111.35
34,2022-03-28,110.52
35,2022-03-27,110.21
36,2022-03-26,109.69
37,2022-03-25,108.88
38,2022-03-24,108.06
39,2022-03-23,108.06
40,2022-03-22,107.23
41,2022-03-21,106.4
42,2022-03-20,106.4
43,2022-03-19,106.4
44,2022-03-18,106.4
45,2022-03-17,106.4
46,2022-03-16,106.4
47,2022-03-15,106.4
48,2022-03-14,106.4
49,2022-03-13,106.4
50,2022-03-12,106.4
51,2022-03-11,106.4
52,2022-03-10,106.4
53,2022-03-09,106.4
54,2022-03-08,106.4
55,2022-03-07,106.4
56,2022-03-06,106.4
57,2022-03-05,106.4
58,2022-03-04,106.4
59,2022-03-03,106.4
60,2022-03-02,106.4
61,2022-03-01,106.4
62,2022-02-28,106.4
63,2022-02-27,106.4
64,2022-02-26,106.4
65,2022-02-25,106.4
66,2022-02-24,106.4
67,2022-02-23,106.4
68,2022-02-22,106.4
69,2022-02-21,106.4
70,2022-02-20,106.4
71,2022-02-19,106.4
72,2022-02-18,106.4
73,2022-02-17,106.4
74,2022-02-16,106.4
75,2022-02-15,106.4
76,2022-02-14,106.4
77,2022-02-13,106.4
78,2022-02-12,106.4
79,2022-02-11,106.4
80,2022-02-10,106.4
81,2022-02-09,106.4
82,2022-02-08,106.4
83,2022-02-07,106.4
84,2022-02-06,106.4
85,2022-02-05,106.4
86,2022-02-04,106.4
87,2022-02-03,106.4
88,2022-02-02,106.4
89,2022-02-01,106.4
90,2022-01-31,106.4
91,2022-01-30,106.4
92,2022-01-29,106.4
93,2022-01-28,106.4
94,2022-01-27,106.4
95,2022-01-26,106.4
96,2022-01-25,106.4
97,2022-01-24,106.4
98,2022-01-23,106.4
99,2022-01-22,106.4
100,2022-01-21,106.4
101,2022-01-20,106.4
102,2022-01-19,106.4
103,2022-01-18,106.4
104,2022-01-17,106.4
105,2022-01-16,106.4
106,2022-01-15,106.4
107,2022-01-14,106.4
108,2022-01-13,106.4
109,2022-01-12,106.4
110,2022-01-11,106.4
111,2022-01-10,106.4
112,2022-01-09,106.4
113,2022-01-08,106.4
114,2022-01-07,106.4
115,2022-01-06,106.4
116,2022-01-05,106.4
117,2022-01-04,106.4
118,2022-01-03,106.4
119,2022-01-02,106.4
120,2022-01-01,106.4
121,2021-12-31,106.4
122,2021-12-30,106.4
123,2021-12-29,106.4
124,2021-12-28,106.4
125,2021-12-27,106.4
126,2021-12-26,106.4
127,2021-12-25,106.4
128,2021-12-24,106.4
129,2021-12-23,106.4
130,2021-12-22,106.4
131,2021-12-21,106.4
132,2021-12-20,106.4
133,2021-12-19,106.4
134,2021-12-18,106.4
135,2021-12-17,106.4
136,2021-12-16,106.4
137,2021-12-15,106.4
138,2021-12-14,106.4
139,2021-12-13,106.4
140,2021-12-12,106.4
141,2021-12-11,106.4
