,date,price
0,2022-05-01,117.46
1,2022-04-30,117.46
2,2022-04-29,117.46
3,2022-04-28,117.46
4,2022-04-27,117.46
5,2022-04-26,117.46
6,2022-04-25,117.46
7,2022-04-24,117.46
8,2022-04-23,117.46
9,2022-04-22,117.46
10,2022-04-21,117.46
11,2022-04-20,117.46
12,2022-04-19,117.46
13,2022-04-18,117.46
14,2022-04-17,117.46
15,2022-04-16,117.46
16,2022-04-15,117.46
17,2022-04-14,117.46
18,2022-04-13,117.46
19,2022-04-12,117.46
20,2022-04-11,117.46
21,2022-04-10,117.46
22,2022-04-09,117.46
23,2022-04-08,117.46
24,2022-04-07,117.46
25,2022-04-06,117.46
26,2022-04-05,116.63
27,2022-04-04,115.8
28,2022-04-03,115.39
29,2022-04-02,114.56
30,2022-04-01,113.74
31,2022-03-31,113.74
32,2022-03-30,112.91
33,2022-03-29,112.08
34,2022-03-28,111.26
35,2022-03-27,110.95
36,2022-03-26,110.43
37,2022-03-25,109.65
38,2022-03-24,108.82
39,2022-03-23,108.82
40,2022-03-22,108
41,2022-03-21,107.17
42,2022-03-20,107.17
43,2022-03-19,107.17
44,2022-03-18,107.17
45,2022-03-17,107.17
46,2022-03-16,107.17
47,2022-03-15,107.17
48,2022-03-14,107.17
49,2022-03-13,107.17
50,2022-03-12,107.17
51,2022-03-11,107.17
52,2022-03-10,107.17
53,2022-03-09,107.17
54,2022-03-08,107.17
55,2022-03-07,107.17
56,2022-03-06,107.17
57,2022-03-05,107.17
58,2022-03-04,107.17
59,2022-03-03,107.17
60,2022-03-02,107.17
61,2022-03-01,107.17
62,2022-02-28,107.17
63,2022-02-27,107.17
64,2022-02-26,107.17
65,2022-02-25,107.17
66,2022-02-24,107.17
67,2022-02-23,107.17
68,2022-02-22,107.17
69,2022-02-21,107.17
70,2022-02-20,107.17
71,2022-02-19,107.17
72,2022-02-18,107.17
73,2022-02-17,107.17
74,2022-02-16,107.17
75,2022-02-15,107.17
76,2022-02-14,107.17
77,2022-02-13,107.17
78,2022-02-12,107.17
79,2022-02-11,107.17
80,2022-02-10,107.17
81,2022-02-09,107.17
82,2022-02-08,107.17
83,2022-02-07,107.17
84,2022-02-06,107.17
85,2022-02-05,107.17
86,2022-02-04,107.17
87,2022-02-03,107.17
88,2022-02-02,107.17
89,2022-02-01,107.17
90,2022-01-31,107.17
91,2022-01-30,107.17
92,2022-01-29,107.17
93,2022-01-28,107.17
94,2022-01-27,107.17
95,2022-01-26,107.17
96,2022-01-25,107.17
97,2022-01-24,107.17
98,2022-01-23,107.17
99,2022-01-22,107.17
100,2022-01-21,107.17
101,2022-01-20,107.17
102,2022-01-19,107.17
103,2022-01-18,107.17
104,2022-01-17,107.17
105,2022-01-16,107.17
106,2022-01-15,107.17
107,2022-01-14,107.17
108,2022-01-13,107.17
109,2022-01-12,107.17
110,2022-01-11,107.17
111,2022-01-10,107.17
112,2022-01-09,107.17
113,2022-01-08,107.17
114,2022-01-07,107.17
115,2022-01-06,107.17
116,2022-01-05,107.17
117,2022-01-04,107.17
118,2022-01-03,107.17
119,2022-01-02,107.17
120,2022-01-01,107.17
121,2021-12-31,107.17
122,2021-12-30,107.17
123,2021-12-29,107.17
124,2021-12-28,107.17
125,2021-12-27,107.17
126,2021-12-26,107.17
127,2021-12-25,107.17
128,2021-12-24,107.17
129,2021-12-23,107.17
130,2021-12-22,107.17
131,2021-12-21,107.17
132,2021-12-20,107.17
133,2021-12-19,107.17
134,2021-12-18,107.17
135,2021-12-17,107.17
136,2021-12-16,107.17
137,2021-12-15,107.17
138,2021-12-14,107.17
139,2021-12-13,107.17
140,2021-12-12,107.17
141,2021-12-11,107.17
142,2021-12-10,107.17
143,2021-12-09,107.17
144,2021-12-08,107.17
145,2021-12-07,107.17
146,2021-12-06,107.17
147,2021-12-05,107.17
148,2021-12-04,107.17
149,2021-12-03,107.17
150,2021-12-02,107.17
151,2021-11-30,107.17
152,2021-11-29,107.17
153,2021-11-28,107.17
154,2021-11-27,107.17
155,2021-11-26,107.17
156,2021-11-25,107.17
157,2021-11-24,107.17
158,2021-11-23,107.17
159,2021-11-22,107.17
160,2021-11-21,107.17
161,2021-11-20,107.17
162,2021-11-19,107.17
163,2021-11-18,107.17
164,2021-11-17,107.17
165,2021-11-16,107.17
166,2021-11-15,107.17
167,2021-11-14,107.17
168,2021-11-13,107.17
169,2021-11-12,107.17
170,2021-11-11,107.17
171,2021-11-10,107.17
172,2021-11-09,107.17
173,2021-11-08,107.17
174,2021-11-07,107.17
175,2021-11-06,107.17
176,2021-11-05,107.17
177,2021-11-04,109.22
178,2021-11-03,115.09
179,2021-11-02,115.09
