,date,price
0,2022-05-01,110.79
1,2022-04-30,110.79
2,2022-04-29,110.79
3,2022-04-28,110.79
4,2022-04-27,110.79
5,2022-04-26,110.79
6,2022-04-25,110.79
7,2022-04-24,110.79
8,2022-04-23,110.79
9,2022-04-22,110.79
10,2022-04-21,110.79
11,2022-04-20,110.79
12,2022-04-19,110.79
13,2022-04-18,110.79
14,2022-04-17,110.79
15,2022-04-16,110.79
16,2022-04-15,110.79
17,2022-04-14,110.79
18,2022-04-13,110.79
19,2022-04-12,110.79
20,2022-04-11,110.79
21,2022-04-10,110.79
22,2022-04-09,110.79
23,2022-04-08,110.79
24,2022-04-07,110.79
25,2022-04-06,110.79
26,2022-04-05,109.95
27,2022-04-04,109.1
28,2022-04-03,108.68
29,2022-04-02,107.84
30,2022-04-01,107
31,2022-03-31,107
32,2022-03-30,106.16
33,2022-03-29,105.31
34,2022-03-28,104.47
35,2022-03-27,104.16
36,2022-03-26,103.63
37,2022-03-25,102.79
38,2022-03-24,101.95
39,2022-03-23,101.95
40,2022-03-22,101.1
41,2022-03-21,100.26
42,2022-03-20,100.26
43,2022-03-19,100.26
44,2022-03-18,100.26
45,2022-03-17,100.26
46,2022-03-16,100.26
47,2022-03-15,100.26
48,2022-03-14,100.26
49,2022-03-13,100.26
50,2022-03-12,100.26
51,2022-03-11,100.26
52,2022-03-10,100.26
53,2022-03-09,100.26
54,2022-03-08,100.26
55,2022-03-07,100.26
56,2022-03-06,100.26
57,2022-03-05,100.26
58,2022-03-04,100.26
59,2022-03-03,100.26
60,2022-03-02,100.26
61,2022-03-01,100.26
62,2022-02-28,100.26
63,2022-02-27,100.26
64,2022-02-26,100.26
65,2022-02-25,100.26
66,2022-02-24,100.26
67,2022-02-23,100.26
68,2022-02-22,100.26
69,2022-02-21,100.26
70,2022-02-20,100.26
71,2022-02-19,100.26
72,2022-02-18,100.26
73,2022-02-17,100.26
74,2022-02-16,100.26
75,2022-02-15,100.26
76,2022-02-14,100.26
77,2022-02-13,100.26
78,2022-02-12,100.26
79,2022-02-11,100.26
80,2022-02-10,100.26
81,2022-02-09,100.26
82,2022-02-08,100.26
83,2022-02-07,100.26
84,2022-02-06,100.26
85,2022-02-05,100.26
86,2022-02-04,100.26
87,2022-02-03,100.26
88,2022-02-02,100.26
89,2022-02-01,100.26
90,2022-01-31,100.26
91,2022-01-30,100.26
92,2022-01-29,100.26
93,2022-01-28,100.26
94,2022-01-27,100.26
95,2022-01-26,100.26
96,2022-01-25,100.26
97,2022-01-24,100.26
98,2022-01-23,100.26
99,2022-01-22,100.26
100,2022-01-21,100.26
101,2022-01-20,100.26
102,2022-01-19,100.26
103,2022-01-18,100.26
104,2022-01-17,100.26
105,2022-01-16,100.26
106,2022-01-15,100.26
107,2022-01-14,100.26
108,2022-01-13,100.26
109,2022-01-12,100.26
110,2022-01-11,100.26
111,2022-01-10,100.26
112,2022-01-09,100.26
113,2022-01-08,100.26
114,2022-01-07,100.26
115,2022-01-06,100.26
116,2022-01-05,100.26
117,2022-01-04,100.26
118,2022-01-03,100.26
119,2022-01-02,100.26
120,2022-01-01,100.26
121,2021-12-31,100.26
122,2021-12-30,100.26
123,2021-12-29,100.26
124,2021-12-28,100.26
125,2021-12-27,100.26
126,2021-12-26,100.26
127,2021-12-25,100.26
128,2021-12-24,100.26
129,2021-12-23,100.26
130,2021-12-22,100.26
131,2021-12-21,100.26
132,2021-12-20,100.26
133,2021-12-19,100.26
134,2021-12-18,100.26
135,2021-12-17,100.26
136,2021-12-16,100.26
137,2021-12-15,100.26
138,2021-12-14,100.26
139,2021-12-13,100.26
140,2021-12-12,100.26
141,2021-12-11,100.26
142,2021-12-10,100.26
143,2021-12-09,100.26
144,2021-12-08,100.26
145,2021-12-07,100.26
146,2021-12-06,100.26
147,2021-12-05,100.26
148,2021-12-04,100.26
149,2021-12-03,100.26
150,2021-12-02,100.26
151,2021-11-30,100.26
152,2021-11-29,100.26
153,2021-11-28,100.26
154,2021-11-27,100.26
155,2021-11-26,100.26
156,2021-11-25,100.26
157,2021-11-24,100.26
158,2021-11-23,100.26
159,2021-11-22,100.26
160,2021-11-21,100.26
161,2021-11-20,100.26
162,2021-11-19,100.26
163,2021-11-18,100.26
164,2021-11-17,100.26
165,2021-11-16,100.26
166,2021-11-15,100.26
167,2021-11-14,100.26
168,2021-11-13,100.26
169,2021-11-12,100.26
170,2021-11-11,100.26
171,2021-11-10,100.26
172,2021-11-09,100.26
173,2021-11-08,100.26
174,2021-11-07,100.26
175,2021-11-06,100.26
176,2021-11-05,100.26
177,2021-11-04,107.3
178,2021-11-03,113.59
179,2021-11-02,113.59
180,2021-11-01,113.2
181,2021-10-31,112.82
182,2021-10-30,112.46
183,2021-10-29,112.1
184,2021-10-28,111.73
185,2021-10-27,111.37
186,2021-10-26,111.01
187,2021-10-25,111.01
188,2021-10-24,111.01
189,2021-10-23,110.65
190,2021-10-22,110.28
191,2021-10-21,109.92
192,2021-10-20,109.56
193,2021-10-15,108.47
194,2021-10-14,108.11
195,2021-10-13,107.74
196,2021-10-12,107.74
197,2021-10-11,107.74
198,2021-10-10,107.43
199,2021-10-09,107.12
200,2021-10-08,106.81
201,2021-10-07,106.5
202,2021-10-06,106.19
203,2021-10-05,105.88
204,2021-10-04,105.62
205,2021-10-03,105.62
206,2021-10-02,105.36
207,2021-10-01,105.1
208,2021-09-30,104.86
209,2021-09-29,104.61
210,2021-09-28,104.61
211,2021-09-27,104.42
212,2021-09-26,104.42
213,2021-09-25,104.42
214,2021-09-24,104.42
215,2021-09-23,104.42
216,2021-09-22,104.42
217,2021-09-21,104.42
218,2021-09-20,104.42
219,2021-09-19,104.42
220,2021-09-18,104.42
221,2021-09-17,104.42
222,2021-09-16,104.42
223,2021-09-15,104.42
224,2021-09-14,104.42
225,2021-09-13,104.42
226,2021-09-12,104.42
227,2021-09-11,104.42
228,2021-09-10,104.42
229,2021-09-09,104.42
230,2021-09-08,104.42
231,2021-09-07,104.42
232,2021-09-06,104.42
233,2021-09-05,104.42
234,2021-09-03,104.58
235,2021-09-02,104.58
236,2021-09-01,104.58
237,2021-08-31,104.75
238,2021-08-30,104.75
239,2021-08-29,104.75
240,2021-08-28,104.75
241,2021-08-27,104.75
242,2021-08-26,104.75
243,2021-08-25,104.75
244,2021-08-24,104.75
245,2021-08-23,104.9
246,2021-08-22,104.9
247,2021-08-21,105.08
248,2021-08-20,105.08
249,2021-08-19,105.08
250,2021-08-18,105.07
251,2021-08-17,105.07
252,2021-08-16,105.07
253,2021-08-15,105.07
254,2021-08-14,105.07
255,2021-08-13,105.07
256,2021-08-12,105.07
257,2021-08-11,105.07
258,2021-08-10,105.07
259,2021-08-09,105.07
260,2021-08-08,105.07
261,2021-08-07,105.07
262,2021-08-06,105.07
263,2021-08-05,105.07
264,2021-08-04,105.07
265,2021-08-03,105.07
266,2021-08-02,105.07
267,2021-08-01,105.07
268,2021-07-31,105.07
269,2021-07-30,105.07
270,2021-07-29,105.07
271,2021-07-28,105.07
272,2021-07-27,105.07
273,2021-07-26,105.07
274,2021-07-25,105.07
275,2021-07-24,105.07
276,2021-07-23,105.07
277,2021-07-22,105.07
278,2021-07-21,105.07
279,2021-07-20,105.07
280,2021-07-19,105.07
281,2021-07-18,105.07
282,2021-07-17,105.07
283,2021-07-16,104.76
284,2021-07-15,104.76
285,2021-07-14,104.4
286,2021-07-13,104.4
287,2021-07-12,104.4
288,2021-07-11,104.11
289,2021-07-10,104.11
290,2021-07-09,103.75
291,2021-07-08,103.75
292,2021-07-07,103.38
293,2021-07-06,103.02
294,2021-07-05,103.02
295,2021-07-04,102.66
296,2021-07-03,102.3
297,2021-07-02,102.3
298,2021-07-01,101.93
299,2021-06-30,101.93
300,2021-06-29,101.93
301,2021-06-28,101.57
302,2021-06-27,101.57
303,2021-06-26,101.21
304,2021-06-25,100.85
305,2021-06-24,100.85
306,2021-06-23,100.58
307,2021-06-22,100.58
308,2021-06-21,100.29
309,2021-06-20,100.29
310,2021-06-19,99.99
