,date,price
0,2022-05-01,115.09
1,2022-04-30,115.09
2,2022-04-29,115.09
3,2022-04-28,115.09
4,2022-04-27,115.09
5,2022-04-26,115.09
6,2022-04-25,115.09
7,2022-04-24,115.09
8,2022-04-23,115.09
9,2022-04-22,115.09
10,2022-04-21,115.09
11,2022-04-20,115.09
12,2022-04-19,115.09
13,2022-04-18,115.09
14,2022-04-17,115.09
15,2022-04-16,115.09
16,2022-04-15,115.09
17,2022-04-14,115.09
18,2022-04-13,115.09
19,2022-04-12,115.09
20,2022-04-11,115.09
21,2022-04-10,115.09
22,2022-04-09,115.09
23,2022-04-08,115.09
24,2022-04-07,115.09
25,2022-04-06,115.09
26,2022-04-05,114.26
27,2022-04-04,113.43
28,2022-04-03,113.02
29,2022-04-02,112.19
30,2022-04-01,111.36
31,2022-03-31,111.36
32,2022-03-30,110.53
33,2022-03-29,109.7
34,2022-03-28,108.87
35,2022-03-27,108.56
36,2022-03-26,108.04
37,2022-03-25,107.33
38,2022-03-24,106.5
39,2022-03-23,106.5
40,2022-03-22,105.67
41,2022-03-21,104.84
42,2022-03-20,104.84
43,2022-03-19,104.84
44,2022-03-18,104.84
45,2022-03-17,104.84
46,2022-03-16,104.84
47,2022-03-15,104.84
48,2022-03-14,104.84
49,2022-03-13,104.84
50,2022-03-12,104.84
51,2022-03-11,104.84
52,2022-03-10,104.84
53,2022-03-09,104.84
54,2022-03-08,104.84
55,2022-03-07,104.84
56,2022-03-06,104.84
57,2022-03-05,104.84
58,2022-03-04,104.84
59,2022-03-03,104.84
60,2022-03-02,104.84
61,2022-03-01,104.84
62,2022-02-28,104.84
63,2022-02-27,104.84
64,2022-02-26,104.84
65,2022-02-25,104.84
66,2022-02-24,104.84
67,2022-02-23,104.84
68,2022-02-22,104.84
69,2022-02-21,104.84
70,2022-02-20,104.84
71,2022-02-19,104.84
72,2022-02-18,104.84
73,2022-02-17,104.84
74,2022-02-16,104.84
75,2022-02-15,104.84
76,2022-02-14,104.84
77,2022-02-13,104.84
78,2022-02-12,104.84
79,2022-02-11,104.84
80,2022-02-10,104.84
81,2022-02-09,104.84
82,2022-02-08,104.84
83,2022-02-07,104.84
84,2022-02-06,104.84
85,2022-02-05,104.84
86,2022-02-04,104.84
87,2022-02-03,104.84
88,2022-02-02,104.84
89,2022-02-01,104.84
90,2022-01-31,104.84
91,2022-01-30,104.84
92,2022-01-29,104.84
93,2022-01-28,104.84
94,2022-01-27,104.84
95,2022-01-26,104.84
96,2022-01-25,104.84
97,2022-01-24,104.84
98,2022-01-23,104.84
99,2022-01-22,104.84
100,2022-01-21,104.84
101,2022-01-20,104.84
102,2022-01-19,104.84
103,2022-01-18,104.84
104,2022-01-17,104.84
105,2022-01-16,104.84
106,2022-01-15,104.84
107,2022-01-14,104.84
108,2022-01-13,104.84
