,date,price
0,2022-05-01,112.08
1,2022-04-30,112.08
2,2022-04-29,112.08
3,2022-04-28,112.08
4,2022-04-27,112.08
5,2022-04-26,112.08
6,2022-04-25,112.08
7,2022-04-24,112.08
8,2022-04-23,112.08
9,2022-04-22,112.08
10,2022-04-21,112.08
11,2022-04-20,112.08
12,2022-04-19,112.08
13,2022-04-18,112.08
14,2022-04-17,112.08
15,2022-04-16,112.08
16,2022-04-15,112.08
17,2022-04-14,112.08
18,2022-04-13,112.08
19,2022-04-12,112.08
20,2022-04-11,112.08
21,2022-04-10,112.08
22,2022-04-09,112.08
23,2022-04-08,112.08
24,2022-04-07,112.08
25,2022-04-06,112.08
26,2022-04-05,111.25
27,2022-04-04,110.42
28,2022-04-03,110
29,2022-04-02,109.17
30,2022-04-01,108.34
31,2022-03-31,108.34
32,2022-03-30,107.52
33,2022-03-29,106.69
34,2022-03-28,105.86
35,2022-03-27,105.55
36,2022-03-26,105.03
37,2022-03-25,104.22
38,2022-03-24,103.39
39,2022-03-23,103.39
40,2022-03-22,102.56
41,2022-03-21,101.73
42,2022-03-20,101.73
43,2022-03-19,101.73
44,2022-03-18,101.73
45,2022-03-17,101.73
46,2022-03-16,101.73
47,2022-03-15,101.73
48,2022-03-14,101.73
49,2022-03-13,101.73
50,2022-03-12,101.73
51,2022-03-11,101.73
52,2022-03-10,101.73
53,2022-03-09,101.73
54,2022-03-08,101.73
55,2022-03-07,101.73
56,2022-03-06,101.73
57,2022-03-05,101.73
58,2022-03-04,101.73
59,2022-03-03,101.73
60,2022-03-02,101.73
61,2022-03-01,101.73
62,2022-02-28,101.73
63,2022-02-27,101.73
64,2022-02-26,101.73
65,2022-02-25,101.73
66,2022-02-24,101.73
67,2022-02-23,101.73
68,2022-02-22,101.73
69,2022-02-21,101.73
70,2022-02-20,101.73
71,2022-02-19,101.73
72,2022-02-18,101.73
73,2022-02-17,101.73
74,2022-02-16,101.73
75,2022-02-15,101.73
76,2022-02-14,101.73
77,2022-02-13,101.73
78,2022-02-12,101.73
79,2022-02-11,101.73
80,2022-02-10,101.73
81,2022-02-09,101.73
82,2022-02-08,101.73
83,2022-02-07,101.73
84,2022-02-06,101.73
85,2022-02-05,101.73
86,2022-02-04,101.73
87,2022-02-03,101.73
88,2022-02-02,101.73
89,2022-02-01,101.73
90,2022-01-31,101.73
91,2022-01-30,101.73
92,2022-01-29,101.73
93,2022-01-28,101.73
94,2022-01-27,101.73
95,2022-01-26,101.73
96,2022-01-25,101.73
97,2022-01-24,101.73
98,2022-01-23,101.73
99,2022-01-22,101.73
100,2022-01-21,101.73
101,2022-01-20,101.73
102,2022-01-19,101.73
103,2022-01-18,101.73
104,2022-01-17,101.73
105,2022-01-16,101.73
106,2022-01-15,101.73
107,2022-01-14,101.73
108,2022-01-13,101.73
109,2022-01-12,101.73
110,2022-01-11,101.73
111,2022-01-10,101.73
112,2022-01-09,101.73
113,2022-01-08,101.73
114,2022-01-07,101.73
115,2022-01-06,101.73
116,2022-01-05,101.73
117,2022-01-04,101.73
118,2022-01-03,101.73
119,2022-01-02,101.73
120,2022-01-01,101.73
121,2021-12-31,101.73
122,2021-12-30,101.73
123,2021-12-29,101.73
124,2021-12-28,101.73
125,2021-12-27,101.73
126,2021-12-26,101.73
127,2021-12-25,101.73
128,2021-12-24,101.73
129,2021-12-23,101.73
130,2021-12-22,101.73
131,2021-12-21,101.73
132,2021-12-20,101.73
133,2021-12-19,101.73
134,2021-12-18,101.73
135,2021-12-17,101.73
136,2021-12-16,101.73
137,2021-12-15,101.73
138,2021-12-14,101.73
139,2021-12-13,101.73
140,2021-12-12,101.73
141,2021-12-11,101.73
142,2021-12-10,101.73
143,2021-12-09,101.73
144,2021-12-08,101.73
145,2021-12-07,101.73
146,2021-12-06,101.73
147,2021-12-05,101.73
148,2021-12-04,101.73
149,2021-12-03,101.73
150,2021-12-02,101.73
151,2021-11-30,102.52
152,2021-11-29,102.52
153,2021-11-28,102.52
154,2021-11-27,102.52
155,2021-11-26,102.52
156,2021-11-25,102.52
157,2021-11-24,102.52
158,2021-11-23,102.52
159,2021-11-22,102.52
160,2021-11-21,102.52
161,2021-11-20,102.52
162,2021-11-19,102.52
163,2021-11-18,102.52
164,2021-11-17,102.52
165,2021-11-16,102.52
166,2021-11-15,102.52
167,2021-11-14,102.52
168,2021-11-13,102.52
169,2021-11-12,102.52
170,2021-11-11,102.52
171,2021-11-10,102.52
172,2021-11-09,102.52
173,2021-11-08,102.52
174,2021-11-07,102.52
175,2021-11-06,102.52
176,2021-11-05,102.52
177,2021-11-04,102.52
178,2021-11-03,108.34
179,2021-11-02,108.34
180,2021-11-01,107.98
181,2021-10-31,107.58
182,2021-10-30,107.25
183,2021-10-29,106.91
