,date,price
0,2022-05-01,114.29
1,2022-04-30,114.29
2,2022-04-29,114.29
3,2022-04-28,114.29
4,2022-04-27,114.29
5,2022-04-26,114.29
6,2022-04-25,114.29
7,2022-04-24,114.29
8,2022-04-23,114.29
9,2022-04-22,114.29
10,2022-04-21,114.29
11,2022-04-20,114.29
12,2022-04-19,114.29
13,2022-04-18,114.29
14,2022-04-17,114.29
15,2022-04-16,114.29
16,2022-04-15,114.29
17,2022-04-14,114.29
18,2022-04-13,114.29
19,2022-04-12,114.29
20,2022-04-11,114.29
21,2022-04-10,114.29
22,2022-04-09,114.29
23,2022-04-08,114.29
24,2022-04-07,114.29
25,2022-04-06,114.29
26,2022-04-05,113.46
27,2022-04-04,112.63
28,2022-04-03,112.21
29,2022-04-02,111.38
30,2022-04-01,110.55
31,2022-03-31,110.55
32,2022-03-30,109.72
33,2022-03-29,108.9
34,2022-03-28,108.07
35,2022-03-27,107.75
36,2022-03-26,107.24
37,2022-03-25,106.5
38,2022-03-24,105.67
39,2022-03-23,105.67
40,2022-03-22,104.84
41,2022-03-21,104.01
42,2022-03-20,104.01
43,2022-03-19,104.01
44,2022-03-18,104.01
45,2022-03-17,104.01
46,2022-03-16,104.01
47,2022-03-15,104.01
48,2022-03-14,104.01
49,2022-03-13,104.01
50,2022-03-12,104.01
51,2022-03-11,104.01
52,2022-03-10,104.01
53,2022-03-09,104.01
54,2022-03-08,104.01
55,2022-03-07,104.01
56,2022-03-06,104.01
57,2022-03-05,104.01
58,2022-03-04,104.01
59,2022-03-03,104.01
60,2022-03-02,104.01
61,2022-03-01,104.01
62,2022-02-28,104.01
63,2022-02-27,104.01
64,2022-02-26,104.01
65,2022-02-25,104.01
66,2022-02-24,104.01
67,2022-02-23,104.01
68,2022-02-22,104.01
69,2022-02-21,104.01
70,2022-02-20,104.01
71,2022-02-19,104.01
72,2022-02-18,104.01
73,2022-02-17,104.01
74,2022-02-16,104.01
75,2022-02-15,104.01
76,2022-02-14,104.01
77,2022-02-13,104.01
78,2022-02-12,104.01
79,2022-02-11,104.01
80,2022-02-10,104.01
81,2022-02-09,104.01
82,2022-02-08,104.01
83,2022-02-07,104.01
84,2022-02-06,104.01
85,2022-02-05,104.01
86,2022-02-04,104.01
87,2022-02-03,104.01
88,2022-02-02,104.01
89,2022-02-01,104.01
90,2022-01-31,104.01
91,2022-01-30,104.01
92,2022-01-29,104.01
93,2022-01-28,104.01
94,2022-01-27,104.01
95,2022-01-26,104.01
96,2022-01-25,104.01
97,2022-01-24,104.01
98,2022-01-23,104.01
99,2022-01-22,104.01
100,2022-01-21,104.01
101,2022-01-20,104.01
102,2022-01-19,104.01
103,2022-01-18,104.01
104,2022-01-17,104.01
105,2022-01-16,104.01
106,2022-01-15,104.01
107,2022-01-14,104.01
108,2022-01-13,104.01
109,2022-01-12,104.01
110,2022-01-11,104.01
111,2022-01-10,104.01
112,2022-01-09,104.01
113,2022-01-08,104.01
114,2022-01-07,104.01
115,2022-01-06,104.01
116,2022-01-05,104.01
117,2022-01-04,104.01
118,2022-01-03,104.01
119,2022-01-02,104.01
120,2022-01-01,104.01
121,2021-12-31,104.01
122,2021-12-30,104.01
123,2021-12-29,104.01
124,2021-12-28,104.01
125,2021-12-27,104.01
126,2021-12-26,104.01
127,2021-12-25,104.01
128,2021-12-24,104.01
129,2021-12-23,104.01
130,2021-12-22,104.01
131,2021-12-21,104.01
132,2021-12-20,104.01
133,2021-12-19,104.01
134,2021-12-18,104.01
135,2021-12-17,104.01
136,2021-12-16,104.01
137,2021-12-15,104.01
138,2021-12-14,104.01
139,2021-12-13,104.01
140,2021-12-12,104.01
141,2021-12-11,104.01
142,2021-12-10,104.01
143,2021-12-09,104.01
144,2021-12-08,104.01
145,2021-12-07,104.01
146,2021-12-06,104.01
147,2021-12-05,104.01
148,2021-12-04,104.01
149,2021-12-03,104.01
150,2021-12-02,104.01
151,2021-11-30,104.81
152,2021-11-29,104.81
153,2021-11-28,104.81
154,2021-11-27,104.81
155,2021-11-26,104.81
156,2021-11-25,104.81
157,2021-11-24,104.81
158,2021-11-23,104.81
159,2021-11-22,104.81
160,2021-11-21,104.81
161,2021-11-20,104.81
162,2021-11-19,104.81
163,2021-11-18,104.81
164,2021-11-17,104.81
165,2021-11-16,104.81
166,2021-11-15,104.81
167,2021-11-14,104.81
168,2021-11-13,104.81
169,2021-11-12,104.81
170,2021-11-11,104.81
171,2021-11-10,104.81
172,2021-11-09,104.81
173,2021-11-08,104.81
174,2021-11-07,104.81
175,2021-11-06,104.81
176,2021-11-05,104.81
177,2021-11-04,104.81
178,2021-11-03,110.64
179,2021-11-02,110.64
180,2021-11-01,110.28
181,2021-10-31,109.75
182,2021-10-30,109.41
183,2021-10-29,109.08
184,2021-10-28,108.74
185,2021-10-27,108.41
186,2021-10-26,108.07
187,2021-10-25,108.07
188,2021-10-24,108.07
189,2021-10-23,107.74
190,2021-10-22,107.4
191,2021-10-20,106.73
192,2021-10-19,106.39
193,2021-10-18,106.39
194,2021-10-15,105.72
195,2021-10-14,105.39
196,2021-10-13,105.05
197,2021-10-12,105.05
198,2021-10-11,105.05
199,2021-10-10,104.76
200,2021-10-09,104.47
201,2021-10-08,104.19
202,2021-10-07,103.9
203,2021-10-06,103.61
204,2021-10-05,103.32
205,2021-10-04,103.08
206,2021-10-03,103.08
207,2021-10-02,102.84
208,2021-10-01,102.6
209,2021-09-30,102.38
210,2021-09-29,102.15
211,2021-09-28,102.15
212,2021-09-27,101.97
213,2021-09-26,101.97
214,2021-09-25,101.97
215,2021-09-24,101.97
216,2021-09-23,101.97
217,2021-09-22,101.97
218,2021-09-21,101.97
219,2021-09-20,101.97
220,2021-09-19,101.97
221,2021-09-18,101.97
222,2021-09-17,101.97
223,2021-09-16,101.97
224,2021-09-15,101.97
225,2021-09-14,101.97
226,2021-09-13,101.97
227,2021-09-12,101.97
228,2021-09-11,101.97
229,2021-09-10,101.97
230,2021-09-09,101.97
231,2021-09-08,101.97
232,2021-09-07,101.97
233,2021-09-06,101.97
234,2021-09-05,101.97
235,2021-09-03,102.12
236,2021-09-02,102.12
237,2021-09-01,102.12
238,2021-08-31,102.28
239,2021-08-30,102.28
240,2021-08-29,102.28
241,2021-08-28,102.28
242,2021-08-27,102.28
243,2021-08-26,102.28
244,2021-08-25,102.28
245,2021-08-24,102.28
246,2021-08-23,102.41
247,2021-08-22,102.41
248,2021-08-21,102.39
249,2021-08-20,102.39
250,2021-08-19,102.39
251,2021-08-18,102.39
252,2021-08-17,102.39
253,2021-08-16,102.39
254,2021-08-15,102.39
255,2021-08-14,102.39
256,2021-08-13,102.39
257,2021-08-12,102.39
258,2021-08-11,102.39
259,2021-08-10,102.39
260,2021-08-09,102.39
261,2021-08-08,102.39
262,2021-08-07,102.39
263,2021-08-06,102.39
264,2021-08-05,102.39
265,2021-08-04,102.39
266,2021-08-03,102.39
267,2021-08-02,102.39
268,2021-08-01,102.39
269,2021-07-31,102.39
270,2021-07-30,102.39
271,2021-07-29,102.39
272,2021-07-28,102.39
273,2021-07-27,102.39
274,2021-07-26,102.39
275,2021-07-25,102.39
276,2021-07-24,102.39
277,2021-07-23,102.39
278,2021-07-22,102.39
279,2021-07-21,102.39
280,2021-07-20,102.39
281,2021-07-19,102.39
282,2021-07-18,102.39
283,2021-07-17,102.39
284,2021-07-16,102.11
285,2021-07-15,102.11
286,2021-07-14,101.77
287,2021-07-13,101.77
288,2021-07-12,101.77
289,2021-07-11,101.5
290,2021-07-10,101.5
291,2021-07-09,101.17
292,2021-07-08,101.17
293,2021-07-07,100.83
294,2021-07-06,100.49
295,2021-07-05,100.49
296,2021-07-04,100.16
297,2021-07-03,99.82
298,2021-07-02,99.82
299,2021-07-01,99.49
300,2021-06-30,99.49
301,2021-06-29,99.49
302,2021-06-28,99.15
303,2021-06-27,99.15
304,2021-06-26,98.82
305,2021-06-25,98.48
306,2021-06-24,98.48
307,2021-06-23,98.23
308,2021-06-22,98.23
309,2021-06-21,97.96
310,2021-06-20,97.96
311,2021-06-19,97.68
312,2021-06-18,97.68
313,2021-06-17,97.42
314,2021-06-16,97.42
315,2021-06-15,97.19
316,2021-06-14,97.19
317,2021-06-13,96.91
318,2021-06-12,96.91
319,2021-06-11,96.65
320,2021-06-10,96.37
321,2021-06-09,96.37
322,2021-06-08,96.13
323,2021-06-07,96.13
324,2021-06-06,95.86
325,2021-06-05,95.6
326,2021-06-04,95.6
327,2021-06-03,95.34
328,2021-06-02,95.34
329,2021-06-01,95.34
330,2021-05-31,95.09
331,2021-05-30,94.82
332,2021-05-29,94.82
333,2021-05-28,94.57
334,2021-05-27,94.57
335,2021-05-26,94.34
336,2021-05-25,94.34
337,2021-05-24,94.12
338,2021-05-23,94.12
339,2021-05-22,93.95
340,2021-05-21,93.95
341,2021-05-20,93.77
342,2021-05-19,93.77
343,2021-05-18,93.77
344,2021-05-17,93.51
345,2021-05-16,93.51
346,2021-05-15,93.28
347,2021-05-14,93.28
348,2021-05-13,93
349,2021-05-12,93
350,2021-05-11,92.76
351,2021-05-10,92.5
352,2021-05-09,92.26
353,2021-05-08,92.26
354,2021-05-07,92.26
355,2021-05-06,91.99
356,2021-05-05,91.75
357,2021-05-04,91.56
358,2021-05-03,91.18
359,2021-05-02,91.18
360,2021-05-01,91.18
361,2021-04-30,91.18
362,2021-04-29,91.18
363,2021-04-28,91.18
364,2021-04-27,91.18
