,date,price
0,2022-05-01,111.67
1,2022-04-30,111.67
2,2022-04-29,111.67
3,2022-04-28,111.67
4,2022-04-27,111.67
5,2022-04-26,111.67
6,2022-04-25,111.67
7,2022-04-24,111.67
8,2022-04-23,111.67
9,2022-04-22,111.67
10,2022-04-21,111.67
11,2022-04-20,111.67
12,2022-04-19,111.67
13,2022-04-18,111.67
14,2022-04-17,111.67
15,2022-04-16,111.67
16,2022-04-15,111.67
17,2022-04-14,111.67
18,2022-04-13,111.67
19,2022-04-12,111.67
20,2022-04-11,111.67
21,2022-04-10,111.67
22,2022-04-09,111.67
23,2022-04-08,111.67
24,2022-04-07,111.67
25,2022-04-06,111.67
26,2022-04-05,110.84
27,2022-04-04,110.01
28,2022-04-03,109.59
29,2022-04-02,108.76
30,2022-04-01,107.93
31,2022-03-31,107.93
32,2022-03-30,107.1
33,2022-03-29,106.27
34,2022-03-28,105.44
35,2022-03-27,105.13
36,2022-03-26,104.62
37,2022-03-25,103.8
38,2022-03-24,102.97
39,2022-03-23,102.97
40,2022-03-22,102.14
41,2022-03-21,101.31
42,2022-03-20,101.31
43,2022-03-19,101.31
44,2022-03-18,101.31
45,2022-03-17,101.31
46,2022-03-16,101.31
47,2022-03-15,101.31
48,2022-03-14,101.31
49,2022-03-13,101.31
50,2022-03-12,101.31
51,2022-03-11,101.31
52,2022-03-10,101.31
53,2022-03-09,101.31
54,2022-03-08,101.31
55,2022-03-07,101.31
56,2022-03-06,101.31
57,2022-03-05,101.31
58,2022-03-04,101.31
59,2022-03-03,101.31
60,2022-03-02,101.31
61,2022-03-01,101.31
62,2022-02-28,101.31
63,2022-02-27,101.31
64,2022-02-26,101.31
65,2022-02-25,101.31
66,2022-02-24,101.31
67,2022-02-23,101.31
68,2022-02-22,101.31
69,2022-02-21,101.31
70,2022-02-20,101.31
71,2022-02-19,101.31
72,2022-02-18,101.31
73,2022-02-17,101.31
74,2022-02-16,101.31
75,2022-02-15,101.31
76,2022-02-14,101.31
77,2022-02-13,101.31
78,2022-02-12,101.31
79,2022-02-11,101.31
80,2022-02-10,101.31
81,2022-02-09,101.31
82,2022-02-08,101.31
83,2022-02-07,101.31
84,2022-02-06,101.31
85,2022-02-05,101.31
86,2022-02-04,101.31
87,2022-02-03,101.31
88,2022-02-02,101.31
89,2022-02-01,101.31
90,2022-01-31,101.31
91,2022-01-30,101.31
92,2022-01-29,101.31
93,2022-01-28,101.31
94,2022-01-27,101.31
95,2022-01-26,101.31
96,2022-01-25,101.31
97,2022-01-24,101.31
98,2022-01-23,101.31
99,2022-01-22,101.31
100,2022-01-21,101.31
101,2022-01-20,101.31
102,2022-01-19,101.31
103,2022-01-18,101.31
104,2022-01-17,101.31
105,2022-01-16,101.31
106,2022-01-15,101.31
107,2022-01-14,101.31
108,2022-01-13,101.31
109,2022-01-12,101.31
110,2022-01-11,101.31
111,2022-01-10,101.31
112,2022-01-09,101.31
113,2022-01-08,101.31
114,2022-01-07,101.31
115,2022-01-06,101.31
116,2022-01-05,101.31
117,2022-01-04,101.31
118,2022-01-03,101.31
119,2022-01-02,101.31
120,2022-01-01,101.31
121,2021-12-31,101.31
122,2021-12-30,101.31
123,2021-12-29,101.31
124,2021-12-28,101.31
125,2021-12-27,101.31
126,2021-12-26,101.31
127,2021-12-25,101.31
128,2021-12-24,101.31
129,2021-12-23,101.31
130,2021-12-22,101.31
131,2021-12-21,101.31
132,2021-12-20,101.31
133,2021-12-19,101.31
134,2021-12-18,101.31
135,2021-12-17,101.31
136,2021-12-16,101.31
137,2021-12-15,101.31
138,2021-12-14,101.31
139,2021-12-13,101.31
140,2021-12-12,101.31
141,2021-12-11,101.31
142,2021-12-10,101.31
143,2021-12-09,101.31
144,2021-12-08,101.31
145,2021-12-07,101.31
146,2021-12-06,101.31
147,2021-12-05,101.31
148,2021-12-04,101.31
149,2021-12-03,101.31
150,2021-12-02,101.31
151,2021-11-30,102.09
152,2021-11-29,102.09
153,2021-11-28,102.09
154,2021-11-27,102.09
155,2021-11-26,102.09
156,2021-11-25,102.09
157,2021-11-24,102.09
158,2021-11-23,102.09
159,2021-11-22,102.09
160,2021-11-21,102.09
161,2021-11-20,102.09
162,2021-11-19,102.09
163,2021-11-18,102.09
164,2021-11-17,102.09
165,2021-11-16,102.09
166,2021-11-15,102.09
167,2021-11-14,102.09
168,2021-11-13,102.09
169,2021-11-12,102.09
170,2021-11-11,102.09
171,2021-11-10,102.09
172,2021-11-09,102.09
173,2021-11-08,102.09
174,2021-11-07,102.09
175,2021-11-06,102.09
176,2021-11-05,102.09
177,2021-11-04,102.09
178,2021-11-03,107.92
179,2021-11-02,107.92
180,2021-11-01,107.56
181,2021-10-31,107.17
182,2021-10-30,106.84
183,2021-10-29,106.5
184,2021-10-28,106.17
185,2021-10-27,105.83
186,2021-10-26,105.5
187,2021-10-25,105.5
188,2021-10-24,105.5
189,2021-10-23,105.16
190,2021-10-22,104.82
191,2021-10-20,104.15
192,2021-10-19,103.82
193,2021-10-18,103.82
194,2021-10-15,103.15
195,2021-10-14,102.81
196,2021-10-13,102.47
197,2021-10-12,102.47
198,2021-10-11,102.47
199,2021-10-10,102.19
200,2021-10-09,101.9
201,2021-10-08,101.61
202,2021-10-07,101.32
203,2021-10-06,101.04
204,2021-10-05,100.75
205,2021-10-04,100.51
206,2021-10-03,100.51
207,2021-10-02,100.27
208,2021-10-01,100.03
209,2021-09-30,99.8
210,2021-09-29,99.57
211,2021-09-28,99.57
212,2021-09-27,99.4
213,2021-09-26,99.4
214,2021-09-25,99.4
215,2021-09-24,99.4
216,2021-09-23,99.4
217,2021-09-22,99.4
218,2021-09-21,99.4
219,2021-09-20,99.4
220,2021-09-19,99.4
221,2021-09-18,99.4
222,2021-09-17,99.4
223,2021-09-16,99.4
224,2021-09-15,99.4
225,2021-09-14,99.4
226,2021-09-13,99.4
227,2021-09-12,99.4
228,2021-09-11,99.4
229,2021-09-10,99.4
230,2021-09-09,99.4
231,2021-09-08,99.4
232,2021-09-07,99.4
233,2021-09-06,99.4
234,2021-09-05,99.4
235,2021-09-03,99.55
236,2021-09-02,99.55
237,2021-09-01,99.55
238,2021-08-31,99.7
239,2021-08-30,99.7
240,2021-08-29,99.7
241,2021-08-28,99.7
242,2021-08-27,99.7
243,2021-08-26,99.7
244,2021-08-25,99.7
245,2021-08-24,99.7
246,2021-08-23,99.84
247,2021-08-22,99.84
248,2021-08-21,99.96
249,2021-08-20,99.96
250,2021-08-19,99.96
251,2021-08-18,99.96
252,2021-08-17,99.96
253,2021-08-16,99.96
254,2021-08-15,99.96
255,2021-08-14,99.96
256,2021-08-13,99.96
257,2021-08-12,99.96
258,2021-08-11,99.96
259,2021-08-10,99.96
260,2021-08-09,99.96
261,2021-08-08,99.96
262,2021-08-07,99.96
263,2021-08-06,99.96
264,2021-08-05,99.96
265,2021-08-04,99.96
266,2021-08-03,99.96
267,2021-08-02,99.96
268,2021-08-01,99.96
269,2021-07-31,99.96
270,2021-07-30,99.96
271,2021-07-29,99.96
272,2021-07-28,99.96
273,2021-07-27,99.96
274,2021-07-26,99.96
275,2021-07-25,99.96
276,2021-07-24,99.96
277,2021-07-23,99.96
278,2021-07-22,99.96
279,2021-07-21,99.96
280,2021-07-20,99.96
281,2021-07-19,99.96
282,2021-07-18,99.96
283,2021-07-17,99.96
284,2021-07-16,99.67
285,2021-07-15,99.67
286,2021-07-14,99.33
287,2021-07-13,99.33
288,2021-07-12,99.33
289,2021-07-11,99.07
290,2021-07-10,99.07
291,2021-07-09,98.73
292,2021-07-08,98.73
293,2021-07-07,98.39
294,2021-07-06,98.06
295,2021-07-05,98.06
296,2021-07-04,97.72
297,2021-07-03,97.39
298,2021-07-02,97.39
299,2021-07-01,97.05
300,2021-06-30,97.05
301,2021-06-29,97.05
302,2021-06-28,96.72
303,2021-06-27,96.72
304,2021-06-26,96.38
305,2021-06-25,96.04
306,2021-06-24,96.04
307,2021-06-23,95.79
308,2021-06-22,95.79
309,2021-06-21,95.53
310,2021-06-20,95.53
311,2021-06-19,95.25
312,2021-06-18,95.25
313,2021-06-17,94.99
314,2021-06-16,94.99
315,2021-06-15,94.75
316,2021-06-14,94.75
317,2021-06-13,94.47
318,2021-06-12,94.47
319,2021-06-11,94.21
320,2021-06-10,93.93
321,2021-06-09,93.93
322,2021-06-08,93.69
323,2021-06-07,93.69
324,2021-06-06,93.43
325,2021-06-05,93.17
326,2021-06-04,93.17
327,2021-06-03,92.91
328,2021-06-02,92.91
329,2021-06-01,92.91
330,2021-05-31,92.66
331,2021-05-30,92.38
332,2021-05-29,92.38
333,2021-05-28,92.13
334,2021-05-27,92.13
335,2021-05-26,91.9
336,2021-05-25,91.9
337,2021-05-24,91.68
338,2021-05-23,91.68
339,2021-05-22,91.52
340,2021-05-21,91.52
341,2021-05-20,91.34
342,2021-05-19,91.34
343,2021-05-18,91.34
344,2021-05-17,91.08
345,2021-05-16,91.08
346,2021-05-15,90.85
347,2021-05-14,90.85
348,2021-05-13,90.57
349,2021-05-12,90.57
350,2021-05-11,90.33
351,2021-05-10,90.07
352,2021-05-09,89.82
353,2021-05-08,89.82
354,2021-05-07,89.82
355,2021-05-06,89.55
356,2021-05-05,89.31
357,2021-05-04,89.13
358,2021-05-03,88.93
359,2021-05-02,88.93
360,2021-05-01,88.93
361,2021-04-30,88.93
362,2021-04-29,88.93
363,2021-04-28,88.93
364,2021-04-27,88.93
