,date,price
0,2022-05-01,112.24
1,2022-04-30,112.24
2,2022-04-29,112.24
3,2022-04-28,112.24
4,2022-04-27,112.24
5,2022-04-26,112.24
6,2022-04-25,112.24
7,2022-04-24,112.24
8,2022-04-23,112.24
9,2022-04-22,112.24
10,2022-04-21,112.24
11,2022-04-20,112.24
12,2022-04-19,112.24
13,2022-04-18,112.24
14,2022-04-17,112.24
15,2022-04-16,112.24
16,2022-04-15,112.24
17,2022-04-14,112.24
18,2022-04-13,112.24
19,2022-04-12,112.24
20,2022-04-11,112.24
21,2022-04-10,112.24
22,2022-04-09,112.24
23,2022-04-08,112.24
24,2022-04-07,112.24
25,2022-04-06,112.24
26,2022-04-05,111.41
27,2022-04-04,110.58
28,2022-04-03,110.17
29,2022-04-02,109.34
30,2022-04-01,108.51
31,2022-03-31,108.51
32,2022-03-30,107.68
33,2022-03-29,106.85
34,2022-03-28,106.02
35,2022-03-27,105.71
36,2022-03-26,105.19
37,2022-03-25,104.39
38,2022-03-24,103.56
39,2022-03-23,103.56
40,2022-03-22,102.73
41,2022-03-21,101.9
42,2022-03-20,101.9
43,2022-03-19,101.9
44,2022-03-18,101.9
45,2022-03-17,101.9
46,2022-03-16,101.9
47,2022-03-15,101.9
48,2022-03-14,101.9
49,2022-03-13,101.9
50,2022-03-12,101.9
51,2022-03-11,101.9
52,2022-03-10,101.9
53,2022-03-09,101.9
54,2022-03-08,101.9
55,2022-03-07,101.9
56,2022-03-06,101.9
57,2022-03-05,101.9
58,2022-03-04,101.9
59,2022-03-03,101.9
60,2022-03-02,101.9
61,2022-03-01,101.9
62,2022-02-28,101.9
63,2022-02-27,101.9
64,2022-02-26,101.9
65,2022-02-25,101.9
66,2022-02-24,101.9
67,2022-02-23,101.9
68,2022-02-22,101.9
69,2022-02-21,101.9
70,2022-02-20,101.9
71,2022-02-19,101.9
72,2022-02-18,101.9
73,2022-02-17,101.9
74,2022-02-16,101.9
75,2022-02-15,101.9
76,2022-02-14,101.9
77,2022-02-13,101.9
78,2022-02-12,101.9
79,2022-02-11,101.9
80,2022-02-10,101.9
81,2022-02-09,101.9
82,2022-02-08,101.9
83,2022-02-07,101.9
84,2022-02-06,101.9
85,2022-02-05,101.9
86,2022-02-04,101.9
87,2022-02-03,101.9
88,2022-02-02,101.9
89,2022-02-01,101.9
90,2022-01-31,101.9
91,2022-01-30,101.9
92,2022-01-29,101.9
93,2022-01-28,101.9
94,2022-01-27,101.9
95,2022-01-26,101.9
96,2022-01-25,101.9
97,2022-01-24,101.9
98,2022-01-23,101.9
99,2022-01-22,101.9
100,2022-01-21,101.9
101,2022-01-20,101.9
102,2022-01-19,101.9
103,2022-01-18,101.9
104,2022-01-17,101.9
105,2022-01-16,101.9
106,2022-01-15,101.9
107,2022-01-14,101.9
108,2022-01-13,101.9
109,2022-01-12,101.9
110,2022-01-11,101.9
111,2022-01-10,101.9
112,2022-01-09,101.9
113,2022-01-08,101.9
114,2022-01-07,101.9
