,date,price
0,2022-05-01,102.77
1,2022-04-30,102.77
2,2022-04-29,102.77
3,2022-04-28,102.77
4,2022-04-27,102.77
5,2022-04-26,102.77
6,2022-04-25,102.77
7,2022-04-24,102.77
8,2022-04-23,102.77
9,2022-04-22,102.77
10,2022-04-21,102.77
11,2022-04-20,102.77
12,2022-04-19,102.77
13,2022-04-18,102.77
14,2022-04-17,102.77
15,2022-04-16,102.77
16,2022-04-15,102.77
17,2022-04-14,102.77
18,2022-04-13,102.77
19,2022-04-12,102.77
20,2022-04-11,102.77
21,2022-04-10,102.77
22,2022-04-09,102.77
23,2022-04-08,102.77
24,2022-04-07,102.77
25,2022-04-06,102.77
26,2022-04-05,102
27,2022-04-04,101.23
28,2022-04-03,100.85
29,2022-04-02,100.08
30,2022-04-01,99.31
31,2022-03-31,99.31
32,2022-03-30,98.54
33,2022-03-29,97.77
34,2022-03-28,97
35,2022-03-27,96.71
36,2022-03-26,96.23
37,2022-03-25,95.5
38,2022-03-24,94.74
39,2022-03-23,94.74
40,2022-03-22,93.97
41,2022-03-21,93.2
42,2022-03-20,93.2
43,2022-03-19,93.2
44,2022-03-18,93.2
45,2022-03-17,93.2
46,2022-03-16,93.2
47,2022-03-15,93.2
48,2022-03-14,93.2
49,2022-03-13,93.2
50,2022-03-12,93.2
51,2022-03-11,93.2
52,2022-03-10,93.2
53,2022-03-09,93.2
54,2022-03-08,93.2
55,2022-03-07,93.2
56,2022-03-06,93.2
57,2022-03-05,93.2
58,2022-03-04,93.2
59,2022-03-03,93.2
60,2022-03-02,93.2
61,2022-03-01,93.2
62,2022-02-28,93.2
63,2022-02-27,93.2
64,2022-02-26,93.2
65,2022-02-25,93.2
66,2022-02-24,93.2
67,2022-02-23,93.2
68,2022-02-22,93.2
69,2022-02-21,93.2
70,2022-02-20,93.2
71,2022-02-19,93.2
72,2022-02-18,93.2
73,2022-02-17,93.2
74,2022-02-16,93.2
75,2022-02-15,93.2
76,2022-02-14,93.2
77,2022-02-13,93.2
78,2022-02-12,93.2
79,2022-02-11,93.2
80,2022-02-10,93.2
81,2022-02-09,93.2
82,2022-02-08,93.2
83,2022-02-07,93.2
84,2022-02-06,93.2
85,2022-02-05,93.2
86,2022-02-04,93.2
87,2022-02-03,93.2
88,2022-02-02,93.2
89,2022-02-01,93.2
90,2022-01-31,93.2
91,2022-01-30,93.2
92,2022-01-29,93.2
93,2022-01-28,93.2
94,2022-01-27,93.2
95,2022-01-26,93.2
96,2022-01-25,93.2
97,2022-01-24,93.2
98,2022-01-23,93.2
99,2022-01-22,93.2
100,2022-01-21,93.2
101,2022-01-20,93.2
102,2022-01-19,93.2
103,2022-01-18,93.2
104,2022-01-17,93.2
105,2022-01-16,93.2
106,2022-01-15,93.2
107,2022-01-14,93.2
108,2022-01-13,93.2
109,2022-01-12,93.2
110,2022-01-11,93.2
111,2022-01-10,93.2
112,2022-01-09,93.2
113,2022-01-08,93.2
114,2022-01-07,93.2
115,2022-01-06,93.2
116,2022-01-05,93.2
117,2022-01-04,93.2
118,2022-01-03,93.2
119,2022-01-02,93.2
120,2022-01-01,93.2
121,2021-12-31,93.2
122,2021-12-30,93.2
123,2021-12-29,93.2
124,2021-12-28,93.2
125,2021-12-27,93.2
126,2021-12-26,93.2
127,2021-12-25,93.2
128,2021-12-24,93.2
129,2021-12-23,93.2
130,2021-12-22,93.2
131,2021-12-21,93.2
132,2021-12-20,93.2
133,2021-12-19,93.2
134,2021-12-18,93.2
135,2021-12-17,93.2
136,2021-12-16,93.2
137,2021-12-15,93.2
138,2021-12-14,93.2
139,2021-12-13,93.2
140,2021-12-12,93.2
141,2021-12-11,93.2
142,2021-12-10,93.2
143,2021-12-09,93.2
144,2021-12-08,93.2
145,2021-12-07,93.2
146,2021-12-06,93.2
147,2021-12-05,93.2
148,2021-12-04,93.2
149,2021-12-03,93.2
150,2021-12-02,93.2
151,2021-11-30,93.2
152,2021-11-29,93.2
153,2021-11-28,93.2
154,2021-11-27,93.2
155,2021-11-26,93.2
156,2021-11-25,93.2
157,2021-11-24,93.2
158,2021-11-23,93.2
159,2021-11-22,93.2
160,2021-11-21,93.2
161,2021-11-20,93.2
