,date,price
0,2022-05-01,105.06
1,2022-04-30,105.06
2,2022-04-29,105.06
3,2022-04-28,105.06
4,2022-04-27,105.06
5,2022-04-26,105.06
6,2022-04-25,105.06
7,2022-04-24,105.06
8,2022-04-23,105.06
9,2022-04-22,105.06
10,2022-04-21,105.06
11,2022-04-20,105.06
12,2022-04-19,105.06
13,2022-04-18,105.06
14,2022-04-17,105.06
15,2022-04-16,105.06
16,2022-04-15,105.06
17,2022-04-14,105.06
18,2022-04-13,105.06
19,2022-04-12,105.06
20,2022-04-11,105.06
21,2022-04-10,105.06
22,2022-04-09,105.06
23,2022-04-08,105.06
24,2022-04-07,105.06
25,2022-04-06,105.06
26,2022-04-05,104.26
27,2022-04-04,103.47
28,2022-04-03,103.07
29,2022-04-02,102.27
30,2022-04-01,101.48
31,2022-03-31,101.48
32,2022-03-30,100.68
33,2022-03-29,99.88
34,2022-03-28,99.09
35,2022-03-27,98.79
36,2022-03-26,98.29
37,2022-03-25,97.5
38,2022-03-24,96.71
39,2022-03-23,96.71
40,2022-03-22,95.91
41,2022-03-21,95.11
42,2022-03-20,95.11
43,2022-03-19,95.11
44,2022-03-18,95.11
45,2022-03-17,95.11
46,2022-03-16,95.11
47,2022-03-15,95.11
48,2022-03-14,95.11
49,2022-03-13,95.11
50,2022-03-12,95.11
51,2022-03-11,95.11
52,2022-03-10,95.11
53,2022-03-09,95.11
54,2022-03-08,95.11
55,2022-03-07,95.11
56,2022-03-06,95.11
57,2022-03-05,95.11
58,2022-03-04,95.11
59,2022-03-03,95.11
60,2022-03-02,95.11
61,2022-03-01,95.11
62,2022-02-28,95.11
63,2022-02-27,95.11
64,2022-02-26,95.11
65,2022-02-25,95.11
66,2022-02-24,95.11
67,2022-02-23,95.11
68,2022-02-22,95.11
69,2022-02-21,95.11
70,2022-02-20,95.11
71,2022-02-19,95.11
72,2022-02-18,95.11
73,2022-02-17,95.11
74,2022-02-16,95.11
75,2022-02-15,95.11
76,2022-02-14,95.11
77,2022-02-13,95.11
78,2022-02-12,95.11
79,2022-02-11,95.11
80,2022-02-10,95.11
81,2022-02-09,95.11
82,2022-02-08,95.11
83,2022-02-07,95.11
84,2022-02-06,95.11
85,2022-02-05,95.11
86,2022-02-04,95.11
87,2022-02-03,95.11
88,2022-02-02,95.11
89,2022-02-01,95.11
90,2022-01-31,95.11
91,2022-01-30,95.11
92,2022-01-29,95.11
93,2022-01-28,95.11
94,2022-01-27,95.11
95,2022-01-26,95.11
96,2022-01-25,95.11
97,2022-01-24,95.11
98,2022-01-23,95.11
99,2022-01-22,95.11
100,2022-01-21,95.11
101,2022-01-20,95.11
102,2022-01-19,95.11
103,2022-01-18,95.11
104,2022-01-17,95.11
105,2022-01-16,95.11
106,2022-01-15,95.11
107,2022-01-14,95.11
108,2022-01-13,95.11
109,2022-01-12,95.11
110,2022-01-11,95.11
111,2022-01-10,95.11
112,2022-01-09,95.11
113,2022-01-08,95.11
114,2022-01-07,95.11
115,2022-01-06,95.11
116,2022-01-05,95.11
117,2022-01-04,95.11
118,2022-01-03,95.11
119,2022-01-02,95.11
120,2022-01-01,95.11
121,2021-12-31,95.11
122,2021-12-30,95.11
123,2021-12-29,95.11
124,2021-12-28,95.11
125,2021-12-27,95.11
126,2021-12-26,95.11
127,2021-12-25,95.11
128,2021-12-24,95.11
129,2021-12-23,95.11
130,2021-12-22,95.11
131,2021-12-21,95.11
132,2021-12-20,95.11
133,2021-12-19,95.11
134,2021-12-18,95.11
135,2021-12-17,95.11
136,2021-12-16,95.11
137,2021-12-15,95.11
138,2021-12-14,95.11
139,2021-12-13,95.11
140,2021-12-12,95.11
141,2021-12-11,95.11
142,2021-12-10,95.11
143,2021-12-09,95.11
144,2021-12-08,95.11
145,2021-12-07,95.11
146,2021-12-06,95.11
147,2021-12-05,95.11
148,2021-12-04,95.11
149,2021-12-03,95.11
150,2021-12-02,95.11
151,2021-11-30,95.11
152,2021-11-29,95.11
153,2021-11-28,95.11
154,2021-11-27,95.11
155,2021-11-26,95.11
156,2021-11-25,95.11
157,2021-11-24,95.11
158,2021-11-23,95.11
159,2021-11-22,95.11
160,2021-11-21,95.11
161,2021-11-20,95.11
162,2021-11-19,95.11
163,2021-11-18,95.11
164,2021-11-17,95.11
165,2021-11-16,95.11
166,2021-11-15,95.11
167,2021-11-14,95.11
168,2021-11-13,95.11
169,2021-11-12,95.11
170,2021-11-11,95.11
171,2021-11-10,95.11
172,2021-11-09,95.11
173,2021-11-08,95.11
174,2021-11-07,95.11
175,2021-11-06,95.11
176,2021-11-05,95.11
177,2021-11-04,95.11
178,2021-11-03,106.63
179,2021-11-02,106.63
180,2021-11-01,106.27
181,2021-10-31,105.9
182,2021-10-30,105.56
183,2021-10-29,105.22
184,2021-10-28,104.88
185,2021-10-27,104.55
186,2021-10-26,104.21
187,2021-10-25,104.21
188,2021-10-24,104.21
189,2021-10-23,103.87
190,2021-10-22,103.53
191,2021-10-21,103.19
192,2021-10-20,102.85
193,2021-10-19,102.51
194,2021-10-18,102.51
195,2021-10-15,101.84
196,2021-10-14,101.5
197,2021-10-13,101.16
198,2021-10-12,101.16
199,2021-10-11,101.16
200,2021-10-10,100.87
201,2021-10-08,100.29
202,2021-10-07,100
203,2021-10-06,99.71
204,2021-10-05,99.42
205,2021-10-04,99.18
206,2021-10-03,99.18
207,2021-10-02,98.93
208,2021-10-01,98.69
209,2021-09-30,98.46
210,2021-09-29,98.23
211,2021-09-28,98.23
212,2021-09-27,98.05
213,2021-09-26,98.05
214,2021-09-25,98.05
215,2021-09-24,98.05
216,2021-09-23,98.05
217,2021-09-22,98.05
218,2021-09-21,98.05
219,2021-09-20,98.05
220,2021-09-19,98.05
221,2021-09-18,98.05
222,2021-09-17,98.05
223,2021-09-16,98.05
224,2021-09-15,98.05
225,2021-09-14,98.05
226,2021-09-13,98.05
227,2021-09-12,98.05
228,2021-09-11,98.05
229,2021-09-10,98.05
230,2021-09-09,98.05
231,2021-09-08,98.05
232,2021-09-07,98.05
233,2021-09-06,98.05
234,2021-09-05,98.05
235,2021-09-03,98.21
236,2021-09-02,98.21
237,2021-09-01,98.21
238,2021-08-31,98.36
239,2021-08-30,98.36
240,2021-08-29,98.36
241,2021-08-28,98.36
242,2021-08-27,98.36
243,2021-08-26,98.36
244,2021-08-25,98.36
245,2021-08-24,98.36
246,2021-08-23,98.5
247,2021-08-22,98.5
248,2021-08-21,98.65
249,2021-08-20,98.65
250,2021-08-19,98.65
251,2021-08-18,98.65
252,2021-08-17,98.65
253,2021-08-16,98.65
254,2021-08-15,98.65
255,2021-08-14,98.65
256,2021-08-13,98.65
257,2021-08-12,98.65
258,2021-08-11,98.65
259,2021-08-10,98.65
260,2021-08-09,98.65
261,2021-08-08,98.65
262,2021-08-07,98.65
263,2021-08-06,98.65
264,2021-08-05,98.65
265,2021-08-04,98.65
266,2021-08-03,98.65
267,2021-08-02,98.65
268,2021-08-01,98.65
269,2021-07-31,98.65
270,2021-07-30,98.65
271,2021-07-29,98.65
272,2021-07-28,98.65
273,2021-07-27,98.65
274,2021-07-26,98.65
275,2021-07-25,98.65
276,2021-07-24,98.65
277,2021-07-23,98.65
278,2021-07-22,98.65
279,2021-07-21,98.65
280,2021-07-20,98.65
281,2021-07-19,98.65
282,2021-07-18,98.65
283,2021-07-17,98.65
284,2021-07-16,98.36
285,2021-07-15,98.36
286,2021-07-14,98.02
287,2021-07-13,98.02
288,2021-07-12,98.02
289,2021-07-11,97.75
290,2021-07-10,97.75
291,2021-07-09,97.41
292,2021-07-08,97.41
293,2021-07-07,97.07
294,2021-07-06,96.73
295,2021-07-05,96.73
296,2021-07-04,96.4
297,2021-07-03,96.06
298,2021-07-02,96.06
299,2021-07-01,95.72
300,2021-06-30,95.72
301,2021-06-29,95.72
302,2021-06-28,95.38
303,2021-06-27,95.38
304,2021-06-26,95.04
305,2021-06-25,94.7
306,2021-06-24,94.7
307,2021-06-23,94.45
308,2021-06-22,94.45
309,2021-06-21,94.18
310,2021-06-20,94.18
311,2021-06-19,93.9
312,2021-06-18,93.9
313,2021-06-17,93.64
314,2021-06-16,93.64
315,2021-06-15,93.4
316,2021-06-14,93.4
317,2021-06-13,93.12
318,2021-06-12,93.12
319,2021-06-11,92.86
320,2021-06-10,92.57
321,2021-06-09,92.57
322,2021-06-08,92.33
323,2021-06-07,92.33
324,2021-06-06,92.06
325,2021-06-05,91.8
326,2021-06-04,91.8
327,2021-06-03,91.54
328,2021-06-02,91.54
329,2021-06-01,91.54
330,2021-05-31,91.29
331,2021-05-30,91.01
332,2021-05-29,91.01
333,2021-05-28,90.76
334,2021-05-27,90.76
