,date,price
0,2022-05-01,105.52
1,2022-04-30,105.52
2,2022-04-29,105.52
3,2022-04-28,105.52
4,2022-04-27,105.52
5,2022-04-26,105.52
6,2022-04-25,105.52
7,2022-04-24,105.52
8,2022-04-23,105.52
9,2022-04-22,105.52
10,2022-04-21,105.52
11,2022-04-20,105.52
12,2022-04-19,105.52
13,2022-04-18,105.52
14,2022-04-17,105.52
15,2022-04-16,105.52
16,2022-04-15,105.52
17,2022-04-14,105.52
18,2022-04-13,105.52
19,2022-04-12,105.52
20,2022-04-11,105.52
21,2022-04-10,105.52
22,2022-04-09,105.52
23,2022-04-08,105.52
24,2022-04-07,105.52
25,2022-04-06,105.52
26,2022-04-05,104.73
27,2022-04-04,103.93
28,2022-04-03,103.53
29,2022-04-02,102.74
30,2022-04-01,101.94
31,2022-03-31,101.94
32,2022-03-30,101.14
33,2022-03-29,100.35
34,2022-03-28,99.55
35,2022-03-27,99.25
36,2022-03-26,98.76
37,2022-03-25,97.99
38,2022-03-24,97.19
39,2022-03-23,97.19
40,2022-03-22,96.4
41,2022-03-21,95.6
42,2022-03-20,95.6
43,2022-03-19,95.6
44,2022-03-18,95.6
45,2022-03-17,95.6
46,2022-03-16,95.6
47,2022-03-15,95.6
48,2022-03-14,95.6
49,2022-03-13,95.6
50,2022-03-12,95.6
51,2022-03-11,95.6
52,2022-03-10,95.6
53,2022-03-09,95.6
54,2022-03-08,95.6
55,2022-03-07,95.6
56,2022-03-06,95.6
57,2022-03-05,95.6
58,2022-03-04,95.6
59,2022-03-03,95.6
60,2022-03-02,95.6
61,2022-03-01,95.6
62,2022-02-28,95.6
63,2022-02-27,95.6
64,2022-02-26,95.6
65,2022-02-25,95.6
66,2022-02-24,95.6
67,2022-02-23,95.6
68,2022-02-22,95.6
69,2022-02-21,95.6
70,2022-02-20,95.6
71,2022-02-19,95.6
72,2022-02-18,95.6
73,2022-02-17,95.6
74,2022-02-16,95.6
75,2022-02-15,95.6
76,2022-02-14,95.6
77,2022-02-13,95.6
78,2022-02-12,95.6
79,2022-02-11,95.6
80,2022-02-10,95.6
81,2022-02-09,95.6
82,2022-02-08,95.6
83,2022-02-07,95.6
84,2022-02-06,95.6
85,2022-02-05,95.6
86,2022-02-04,95.6
87,2022-02-03,95.6
88,2022-02-02,95.6
89,2022-02-01,95.6
90,2022-01-31,95.6
91,2022-01-30,95.6
92,2022-01-29,95.6
93,2022-01-28,95.6
94,2022-01-27,95.6
95,2022-01-26,95.6
96,2022-01-25,95.6
97,2022-01-24,95.6
98,2022-01-23,95.6
99,2022-01-22,95.6
100,2022-01-21,95.6
101,2022-01-20,95.6
102,2022-01-19,95.6
103,2022-01-18,95.6
104,2022-01-17,95.6
105,2022-01-16,95.6
106,2022-01-15,95.6
107,2022-01-14,95.6
108,2022-01-13,95.6
109,2022-01-12,95.6
110,2022-01-11,95.6
111,2022-01-10,95.6
112,2022-01-09,95.6
113,2022-01-08,95.6
114,2022-01-07,95.6
115,2022-01-06,95.6
116,2022-01-05,95.6
117,2022-01-04,95.6
118,2022-01-03,95.6
119,2022-01-02,95.6
120,2022-01-01,95.6
121,2021-12-31,95.6
122,2021-12-30,95.6
123,2021-12-29,95.6
124,2021-12-28,95.6
125,2021-12-27,95.6
126,2021-12-26,95.6
127,2021-12-25,95.6
128,2021-12-24,95.6
129,2021-12-23,95.6
130,2021-12-22,95.6
131,2021-12-21,95.6
132,2021-12-20,95.6
133,2021-12-19,95.6
134,2021-12-18,95.6
135,2021-12-17,95.6
