,date,price
0,2022-05-01,105.09
1,2022-04-30,105.09
2,2022-04-29,105.09
3,2022-04-28,105.09
4,2022-04-27,105.09
5,2022-04-26,105.09
6,2022-04-25,105.09
7,2022-04-24,105.09
8,2022-04-23,105.09
9,2022-04-22,105.09
10,2022-04-21,105.09
11,2022-04-20,105.09
12,2022-04-19,105.09
13,2022-04-18,105.09
14,2022-04-17,105.09
15,2022-04-16,105.09
16,2022-04-15,105.09
17,2022-04-14,105.09
18,2022-04-13,105.09
19,2022-04-12,105.09
20,2022-04-11,105.09
21,2022-04-10,105.09
22,2022-04-09,105.09
23,2022-04-08,105.09
24,2022-04-07,105.09
25,2022-04-06,105.09
26,2022-04-05,104.3
27,2022-04-04,103.5
28,2022-04-03,103.1
29,2022-04-02,102.31
30,2022-04-01,101.51
31,2022-03-31,101.51
32,2022-03-30,100.72
33,2022-03-29,99.92
34,2022-03-28,99.12
35,2022-03-27,98.83
36,2022-03-26,98.33
37,2022-03-25,97.54
38,2022-03-24,96.74
39,2022-03-23,96.74
40,2022-03-22,95.95
41,2022-03-21,95.15
42,2022-03-20,95.15
43,2022-03-19,95.15
44,2022-03-18,95.15
45,2022-03-17,95.15
46,2022-03-16,95.15
47,2022-03-15,95.15
48,2022-03-14,95.15
49,2022-03-13,95.15
50,2022-03-12,95.15
51,2022-03-11,95.15
52,2022-03-10,95.15
53,2022-03-09,95.15
54,2022-03-08,95.15
55,2022-03-07,95.15
56,2022-03-06,95.15
57,2022-03-05,95.15
58,2022-03-04,95.15
59,2022-03-03,95.15
60,2022-03-02,95.15
61,2022-03-01,95.15
62,2022-02-28,95.15
63,2022-02-27,95.15
64,2022-02-26,95.15
65,2022-02-25,95.15
66,2022-02-24,95.15
67,2022-02-23,95.15
68,2022-02-22,95.15
69,2022-02-21,95.15
70,2022-02-20,95.15
71,2022-02-19,95.15
72,2022-02-18,95.15
73,2022-02-17,95.15
74,2022-02-16,95.15
75,2022-02-15,95.15
76,2022-02-14,95.15
77,2022-02-13,95.15
78,2022-02-12,95.15
79,2022-02-11,95.15
80,2022-02-10,95.15
81,2022-02-09,95.15
82,2022-02-08,95.15
83,2022-02-07,95.15
84,2022-02-06,95.15
85,2022-02-05,95.15
86,2022-02-04,95.15
87,2022-02-03,95.15
88,2022-02-02,95.15
89,2022-02-01,95.15
90,2022-01-31,95.15
91,2022-01-30,95.15
92,2022-01-29,95.15
93,2022-01-28,95.15
94,2022-01-27,95.15
95,2022-01-26,95.15
96,2022-01-25,95.15
97,2022-01-24,95.15
98,2022-01-23,95.15
99,2022-01-22,95.15
100,2022-01-21,95.15
101,2022-01-20,95.15
102,2022-01-19,95.15
103,2022-01-18,95.15
104,2022-01-17,95.15
105,2022-01-16,95.15
106,2022-01-15,95.15
107,2022-01-14,95.15
108,2022-01-13,95.15
109,2022-01-12,95.15
110,2022-01-11,95.15
111,2022-01-10,95.15
112,2022-01-09,95.15
113,2022-01-08,95.15
114,2022-01-07,95.15
115,2022-01-06,95.15
116,2022-01-05,95.15
117,2022-01-04,95.15
118,2022-01-03,95.15
119,2022-01-02,95.15
120,2022-01-01,95.15
121,2021-12-31,95.15
122,2021-12-30,95.15
123,2021-12-29,95.15
124,2021-12-28,95.15
125,2021-12-27,95.15
126,2021-12-26,95.15
127,2021-12-25,95.15
128,2021-12-24,95.15
129,2021-12-23,95.15
130,2021-12-22,95.15
131,2021-12-21,95.15
132,2021-12-20,95.15
133,2021-12-19,95.15
134,2021-12-18,95.15
135,2021-12-17,95.15
136,2021-12-16,95.15
137,2021-12-15,95.15
138,2021-12-14,95.15
139,2021-12-13,95.15
140,2021-12-12,95.15
141,2021-12-11,95.15
142,2021-12-10,95.15
143,2021-12-09,95.15
144,2021-12-08,95.15
145,2021-12-07,95.15
146,2021-12-06,95.15
147,2021-12-05,95.15
148,2021-12-04,95.15
149,2021-12-03,95.15
150,2021-12-02,95.15
151,2021-11-30,95.15
152,2021-11-29,95.15
153,2021-11-28,95.15
154,2021-11-27,95.15
155,2021-11-26,95.15
156,2021-11-25,95.15
157,2021-11-24,95.15
158,2021-11-23,95.15
159,2021-11-22,95.15
160,2021-11-21,95.15
161,2021-11-20,95.15
162,2021-11-19,95.15
163,2021-11-18,95.15
164,2021-11-17,95.15
165,2021-11-16,95.15
166,2021-11-15,95.15
167,2021-11-14,95.15
168,2021-11-13,95.15
169,2021-11-12,95.15
170,2021-11-11,95.15
171,2021-11-10,95.15
172,2021-11-09,95.15
173,2021-11-08,95.15
174,2021-11-07,95.15
175,2021-11-06,95.15
176,2021-11-05,95.15
177,2021-11-04,95.15
178,2021-11-03,106.67
179,2021-11-02,106.67
180,2021-11-01,106.31
181,2021-10-31,105.94
182,2021-10-30,105.6
183,2021-10-29,105.26
184,2021-10-28,104.92
185,2021-10-27,104.58
186,2021-10-26,104.24
187,2021-10-25,104.24
188,2021-10-24,104.24
189,2021-10-23,103.9
190,2021-10-22,103.57
191,2021-10-21,103.23
192,2021-10-20,102.89
193,2021-10-19,102.55
194,2021-10-18,102.55
195,2021-10-15,101.87
196,2021-10-14,101.53
197,2021-10-13,101.2
198,2021-10-12,101.2
199,2021-10-11,101.2
200,2021-10-10,100.91
201,2021-10-08,100.33
202,2021-10-07,100.04
203,2021-10-06,99.75
204,2021-10-05,99.46
205,2021-10-04,99.21
206,2021-10-03,99.21
207,2021-10-02,98.97
208,2021-10-01,98.73
209,2021-09-30,98.5
210,2021-09-29,98.27
211,2021-09-28,98.27
212,2021-09-27,98.09
213,2021-09-26,98.09
214,2021-09-25,98.09
215,2021-09-24,98.09
216,2021-09-23,98.09
217,2021-09-22,98.09
218,2021-09-21,98.09
219,2021-09-20,98.09
220,2021-09-19,98.09
221,2021-09-18,98.09
222,2021-09-17,98.09
223,2021-09-16,98.09
224,2021-09-15,98.09
225,2021-09-14,98.09
226,2021-09-13,98.09
227,2021-09-12,98.09
228,2021-09-11,98.09
229,2021-09-10,98.09
230,2021-09-09,98.09
231,2021-09-08,98.09
232,2021-09-07,98.09
233,2021-09-06,98.09
234,2021-09-05,98.09
235,2021-09-03,98.24
236,2021-09-02,98.24
237,2021-09-01,98.24
238,2021-08-31,98.4
239,2021-08-30,98.4
240,2021-08-29,98.4
241,2021-08-28,98.4
242,2021-08-27,98.4
243,2021-08-26,98.4
244,2021-08-25,98.4
245,2021-08-24,98.4
246,2021-08-23,98.54
247,2021-08-22,98.54
248,2021-08-21,98.68
249,2021-08-20,98.68
250,2021-08-19,98.68
251,2021-08-18,98.69
252,2021-08-17,98.69
253,2021-08-16,98.69
254,2021-08-15,98.69
255,2021-08-14,98.69
256,2021-08-13,98.69
257,2021-08-12,98.69
258,2021-08-11,98.69
259,2021-08-10,98.69
260,2021-08-09,98.69
261,2021-08-08,98.69
262,2021-08-07,98.69
263,2021-08-06,98.69
264,2021-08-05,98.69
265,2021-08-04,98.69
266,2021-08-03,98.69
267,2021-08-02,98.69
268,2021-08-01,98.69
269,2021-07-31,98.69
270,2021-07-30,98.69
271,2021-07-29,98.69
272,2021-07-28,98.69
273,2021-07-27,98.69
274,2021-07-26,98.69
275,2021-07-25,98.69
276,2021-07-24,98.69
277,2021-07-23,98.69
278,2021-07-22,98.69
279,2021-07-21,98.69
280,2021-07-20,98.69
281,2021-07-19,98.69
282,2021-07-18,98.69
283,2021-07-17,98.69
284,2021-07-16,98.4
285,2021-07-15,98.4
286,2021-07-14,98.06
287,2021-07-13,98.06
288,2021-07-12,98.06
289,2021-07-11,97.79
290,2021-07-10,97.79
291,2021-07-09,97.45
292,2021-07-08,97.45
293,2021-07-07,97.11
294,2021-07-06,96.77
295,2021-07-05,96.77
296,2021-07-04,96.43
297,2021-07-03,96.09
298,2021-07-02,96.09
299,2021-07-01,95.76
300,2021-06-30,95.76
301,2021-06-29,95.76
302,2021-06-28,95.42
303,2021-06-27,95.42
304,2021-06-26,95.08
305,2021-06-25,94.74
306,2021-06-24,94.74
307,2021-06-23,94.49
308,2021-06-22,94.49
309,2021-06-21,94.22
310,2021-06-20,94.22
311,2021-06-19,93.94
312,2021-06-18,93.94
313,2021-06-17,93.68
314,2021-06-16,93.68
315,2021-06-15,93.43
316,2021-06-14,93.43
317,2021-06-13,93.15
318,2021-06-12,93.15
319,2021-06-11,92.89
320,2021-06-10,92.61
321,2021-06-09,92.61
322,2021-06-08,92.37
323,2021-06-07,92.37
324,2021-06-06,92.1
325,2021-06-05,91.84
326,2021-06-04,91.84
327,2021-06-03,91.58
328,2021-06-02,91.58
329,2021-06-01,91.58
330,2021-05-31,91.33
331,2021-05-30,91.04
332,2021-05-29,91.04
333,2021-05-28,90.79
334,2021-05-27,90.79
335,2021-05-26,90.56
336,2021-05-25,90.56
337,2021-05-24,90.34
338,2021-05-23,90.34
339,2021-05-22,90.17
340,2021-05-21,90.17
341,2021-05-20,89.99
342,2021-05-19,89.99
343,2021-05-18,89.99
344,2021-05-17,89.73
345,2021-05-16,89.73
346,2021-05-15,89.5
347,2021-05-14,89.5
348,2021-05-13,89.22
349,2021-05-12,89.22
350,2021-05-11,88.97
351,2021-05-10,88.71
352,2021-05-09,88.46
353,2021-05-08,88.46
354,2021-05-07,88.46
355,2021-05-06,88.19
356,2021-05-05,87.95
357,2021-05-04,87.77
358,2021-05-03,87.58
359,2021-05-02,87.58
360,2021-05-01,87.58
361,2021-04-30,87.58
362,2021-04-29,87.58
363,2021-04-28,87.58
364,2021-04-27,87.58
