,date,price
0,2022-05-01,106.32
1,2022-04-30,106.32
2,2022-04-29,106.32
3,2022-04-28,106.32
4,2022-04-27,106.32
5,2022-04-26,106.32
6,2022-04-25,106.32
7,2022-04-24,106.32
8,2022-04-23,106.32
9,2022-04-22,106.32
10,2022-04-21,106.32
11,2022-04-20,106.32
12,2022-04-19,106.32
13,2022-04-18,106.32
14,2022-04-17,106.32
15,2022-04-16,106.32
16,2022-04-15,106.32
17,2022-04-14,106.32
18,2022-04-13,106.32
19,2022-04-12,106.32
20,2022-04-11,106.32
21,2022-04-10,106.32
22,2022-04-09,106.32
23,2022-04-08,106.32
24,2022-04-07,106.32
25,2022-04-06,106.32
26,2022-04-05,105.52
27,2022-04-04,104.72
28,2022-04-03,104.32
29,2022-04-02,103.52
30,2022-04-01,102.73
31,2022-03-31,102.73
32,2022-03-30,101.93
33,2022-03-29,101.13
34,2022-03-28,100.33
35,2022-03-27,100.03
36,2022-03-26,99.53
37,2022-03-25,98.78
38,2022-03-24,97.98
39,2022-03-23,97.98
40,2022-03-22,97.18
41,2022-03-21,96.38
42,2022-03-20,96.38
43,2022-03-19,96.38
44,2022-03-18,96.38
45,2022-03-17,96.38
46,2022-03-16,96.38
47,2022-03-15,96.38
48,2022-03-14,96.38
49,2022-03-13,96.38
50,2022-03-12,96.38
51,2022-03-11,96.38
52,2022-03-10,96.38
53,2022-03-09,96.38
54,2022-03-08,96.38
55,2022-03-07,96.38
56,2022-03-06,96.38
57,2022-03-05,96.38
58,2022-03-04,96.38
59,2022-03-03,96.38
60,2022-03-02,96.38
61,2022-03-01,96.38
62,2022-02-28,96.38
63,2022-02-27,96.38
64,2022-02-26,96.38
65,2022-02-25,96.38
66,2022-02-24,96.38
67,2022-02-23,96.38
68,2022-02-22,96.38
69,2022-02-21,96.38
70,2022-02-20,96.38
71,2022-02-19,96.38
72,2022-02-18,96.38
73,2022-02-17,96.38
74,2022-02-16,96.38
75,2022-02-15,96.38
76,2022-02-14,96.38
77,2022-02-13,96.38
78,2022-02-12,96.38
79,2022-02-11,96.38
80,2022-02-10,96.38
81,2022-02-09,96.38
82,2022-02-08,96.38
83,2022-02-07,96.38
84,2022-02-06,96.38
85,2022-02-05,96.38
86,2022-02-04,96.38
87,2022-02-03,96.38
88,2022-02-02,96.38
89,2022-02-01,96.38
90,2022-01-31,96.38
91,2022-01-30,96.38
92,2022-01-29,96.38
93,2022-01-28,96.38
94,2022-01-27,96.38
95,2022-01-26,96.38
96,2022-01-25,96.38
97,2022-01-24,96.38
98,2022-01-23,96.38
99,2022-01-22,96.38
100,2022-01-21,96.38
101,2022-01-20,96.38
102,2022-01-19,96.38
103,2022-01-18,96.38
104,2022-01-17,96.38
105,2022-01-16,96.38
106,2022-01-15,96.38
107,2022-01-14,96.38
108,2022-01-13,96.38
109,2022-01-12,96.38
110,2022-01-11,96.38
111,2022-01-10,96.38
112,2022-01-09,96.38
113,2022-01-08,96.38
114,2022-01-07,96.38
115,2022-01-06,96.38
116,2022-01-05,96.38
117,2022-01-04,96.38
118,2022-01-03,96.38
119,2022-01-02,96.38
120,2022-01-01,96.38
121,2021-12-31,96.38
122,2021-12-30,96.38
123,2021-12-29,96.38
124,2021-12-28,96.38
125,2021-12-27,96.38
126,2021-12-26,96.38
127,2021-12-25,96.38
128,2021-12-24,96.38
129,2021-12-23,96.38
130,2021-12-22,96.38
131,2021-12-21,96.38
132,2021-12-20,96.38
133,2021-12-19,96.38
134,2021-12-18,96.38
135,2021-12-17,96.38
136,2021-12-16,96.38
137,2021-12-15,96.38
138,2021-12-14,96.38
139,2021-12-13,96.38
140,2021-12-12,96.38
141,2021-12-11,96.38
142,2021-12-10,96.38
143,2021-12-09,96.38
144,2021-12-08,96.38
145,2021-12-07,96.38
146,2021-12-06,96.38
147,2021-12-05,96.38
148,2021-12-04,96.38
149,2021-12-03,96.38
150,2021-12-02,96.38
151,2021-11-30,96.38
152,2021-11-29,96.38
153,2021-11-28,96.38
154,2021-11-27,96.38
155,2021-11-26,96.38
156,2021-11-25,96.38
157,2021-11-24,96.38
158,2021-11-23,96.38
159,2021-11-22,96.38
160,2021-11-21,96.38
161,2021-11-20,96.38
162,2021-11-19,96.38
163,2021-11-18,96.38
164,2021-11-17,96.38
165,2021-11-16,96.38
166,2021-11-15,96.38
167,2021-11-14,96.38
168,2021-11-13,96.38
169,2021-11-12,96.38
170,2021-11-11,96.38
171,2021-11-10,96.38
172,2021-11-09,96.38
173,2021-11-08,96.38
174,2021-11-07,96.38
175,2021-11-06,96.38
176,2021-11-05,96.38
177,2021-11-04,102.22
178,2021-11-03,108.11
179,2021-11-02,108.11
180,2021-11-01,107.76
181,2021-10-31,107.32
182,2021-10-30,106.98
183,2021-10-29,106.64
184,2021-10-28,106.3
185,2021-10-27,105.96
186,2021-10-26,105.62
187,2021-10-25,105.62
188,2021-10-24,105.62
189,2021-10-23,105.28
190,2021-10-22,104.94
191,2021-10-21,104.6
192,2021-10-20,104.26
193,2021-10-19,103.92
194,2021-10-18,103.92
195,2021-10-15,103.24
196,2021-10-14,102.9
197,2021-10-13,102.56
198,2021-10-12,102.56
199,2021-10-11,102.56
200,2021-10-10,102.27
201,2021-10-09,101.98
202,2021-10-08,101.69
203,2021-10-07,101.4
204,2021-10-06,101.11
205,2021-10-05,100.81
206,2021-10-04,100.57
207,2021-10-03,100.57
208,2021-10-02,100.33
209,2021-10-01,100.09
210,2021-09-30,99.86
211,2021-09-29,99.63
212,2021-09-28,99.63
213,2021-09-27,99.44
214,2021-09-26,99.44
215,2021-09-25,99.44
216,2021-09-24,99.44
217,2021-09-23,99.44
218,2021-09-22,99.44
219,2021-09-21,99.44
220,2021-09-20,99.44
221,2021-09-19,99.44
222,2021-09-18,99.44
223,2021-09-17,99.44
224,2021-09-16,99.44
225,2021-09-15,99.44
226,2021-09-14,99.44
227,2021-09-13,99.44
228,2021-09-12,99.44
229,2021-09-11,99.44
230,2021-09-10,99.44
231,2021-09-09,99.44
232,2021-09-08,99.44
233,2021-09-07,99.44
234,2021-09-06,99.44
235,2021-09-05,99.44
236,2021-09-03,99.6
237,2021-09-02,99.6
238,2021-09-01,99.6
239,2021-08-31,99.76
240,2021-08-30,99.76
241,2021-08-29,99.76
242,2021-08-28,99.76
243,2021-08-27,99.76
244,2021-08-26,99.76
245,2021-08-25,99.76
246,2021-08-24,99.76
247,2021-08-23,99.89
248,2021-08-22,99.89
249,2021-08-21,99.95
250,2021-08-20,99.95
251,2021-08-19,99.95
252,2021-08-18,99.95
253,2021-08-17,99.95
254,2021-08-16,99.95
255,2021-08-15,99.95
256,2021-08-14,99.95
257,2021-08-13,99.95
258,2021-08-12,99.95
259,2021-08-11,99.95
260,2021-08-10,99.95
261,2021-08-09,99.95
262,2021-08-08,99.95
263,2021-08-07,99.95
264,2021-08-06,99.95
265,2021-08-05,99.95
266,2021-08-04,99.95
267,2021-08-03,99.95
268,2021-08-02,99.95
269,2021-08-01,99.95
270,2021-07-31,99.95
271,2021-07-30,99.95
272,2021-07-29,99.95
273,2021-07-28,99.95
274,2021-07-27,99.95
275,2021-07-26,99.95
276,2021-07-25,99.95
277,2021-07-24,99.95
278,2021-07-23,99.95
279,2021-07-22,99.95
280,2021-07-21,99.95
281,2021-07-20,99.95
282,2021-07-19,99.95
283,2021-07-18,99.95
284,2021-07-17,99.95
285,2021-07-16,99.65
286,2021-07-15,99.65
287,2021-07-14,99.31
288,2021-07-13,99.31
289,2021-07-12,99.31
290,2021-07-11,99.04
291,2021-07-10,99.04
292,2021-07-09,98.7
293,2021-07-08,98.7
294,2021-07-07,98.36
295,2021-07-06,98.02
296,2021-07-05,98.02
297,2021-07-04,97.68
298,2021-07-03,97.34
299,2021-07-02,97.34
300,2021-07-01,97
301,2021-06-30,97
302,2021-06-29,97
303,2021-06-28,96.66
304,2021-06-27,96.66
305,2021-06-26,96.32
306,2021-06-25,95.98
307,2021-06-24,95.98
308,2021-06-23,95.73
309,2021-06-22,95.73
310,2021-06-21,95.46
311,2021-06-20,95.46
312,2021-06-19,95.18
313,2021-06-18,95.18
314,2021-06-17,94.92
315,2021-06-16,94.92
316,2021-06-15,94.67
317,2021-06-14,94.67
318,2021-06-13,94.39
319,2021-06-12,94.39
320,2021-06-11,94.13
321,2021-06-10,93.85
322,2021-06-09,93.85
323,2021-06-08,93.61
324,2021-06-07,93.61
325,2021-06-06,93.33
326,2021-06-05,93.07
327,2021-06-04,93.07
328,2021-06-03,92.81
329,2021-06-02,92.81
330,2021-06-01,92.81
331,2021-05-31,92.56
332,2021-05-30,92.28
333,2021-05-29,92.28
334,2021-05-28,92.02
335,2021-05-27,92.02
336,2021-05-26,91.79
337,2021-05-25,91.79
338,2021-05-24,91.57
339,2021-05-23,91.57
340,2021-05-22,91.4
341,2021-05-21,91.4
342,2021-05-20,91.22
343,2021-05-19,91.22
344,2021-05-18,91.22
345,2021-05-17,90.96
346,2021-05-16,90.96
347,2021-05-15,90.72
348,2021-05-14,90.72
349,2021-05-13,90.44
350,2021-05-12,90.44
351,2021-05-11,90.2
352,2021-05-10,89.94
353,2021-05-09,89.68
354,2021-05-08,89.68
355,2021-05-07,89.68
356,2021-05-06,89.41
357,2021-05-05,89.17
358,2021-05-04,88.98
359,2021-05-03,88.72
360,2021-05-02,88.72
361,2021-05-01,88.72
362,2021-04-30,88.72
363,2021-04-29,88.72
364,2021-04-28,88.72
