,date,price
0,2022-05-01,106.9
1,2022-04-30,106.9
2,2022-04-29,106.9
3,2022-04-28,106.9
4,2022-04-27,106.9
5,2022-04-26,106.9
6,2022-04-25,106.9
7,2022-04-24,106.9
8,2022-04-23,106.9
9,2022-04-22,106.9
10,2022-04-21,106.9
11,2022-04-20,106.9
12,2022-04-19,106.9
13,2022-04-18,106.9
14,2022-04-17,106.9
15,2022-04-16,106.9
16,2022-04-15,106.9
17,2022-04-14,106.9
18,2022-04-13,106.9
19,2022-04-12,106.9
20,2022-04-11,106.9
21,2022-04-10,106.9
22,2022-04-09,106.9
23,2022-04-08,106.9
24,2022-04-07,106.9
25,2022-04-06,106.9
26,2022-04-05,106.1
27,2022-04-04,105.3
28,2022-04-03,104.91
29,2022-04-02,104.11
30,2022-04-01,103.31
31,2022-03-31,103.31
32,2022-03-30,102.51
33,2022-03-29,101.71
34,2022-03-28,100.92
35,2022-03-27,100.62
36,2022-03-26,100.12
37,2022-03-25,99.38
38,2022-03-24,98.58
39,2022-03-23,98.58
40,2022-03-22,97.78
41,2022-03-21,96.98
42,2022-03-20,96.98
43,2022-03-19,96.98
44,2022-03-18,96.98
45,2022-03-17,96.98
46,2022-03-16,96.98
47,2022-03-15,96.98
48,2022-03-14,96.98
49,2022-03-13,96.98
50,2022-03-12,96.98
51,2022-03-11,96.98
52,2022-03-10,96.98
53,2022-03-09,96.98
54,2022-03-08,96.98
55,2022-03-07,96.98
56,2022-03-06,96.98
57,2022-03-05,96.98
58,2022-03-04,96.98
59,2022-03-03,96.98
60,2022-03-02,96.98
61,2022-03-01,96.98
62,2022-02-28,96.98
63,2022-02-27,96.98
64,2022-02-26,96.98
65,2022-02-25,96.98
66,2022-02-24,96.98
67,2022-02-23,96.98
68,2022-02-22,96.98
69,2022-02-21,96.98
70,2022-02-20,96.98
71,2022-02-19,96.98
72,2022-02-18,96.98
73,2022-02-17,96.98
74,2022-02-16,96.98
75,2022-02-15,96.98
76,2022-02-14,96.98
77,2022-02-13,96.98
78,2022-02-12,96.98
79,2022-02-11,96.98
80,2022-02-10,96.98
81,2022-02-09,96.98
82,2022-02-08,96.98
83,2022-02-07,96.98
84,2022-02-06,96.98
85,2022-02-05,96.98
86,2022-02-04,96.98
87,2022-02-03,96.98
88,2022-02-02,96.98
89,2022-02-01,96.98
90,2022-01-31,96.98
91,2022-01-30,96.98
92,2022-01-29,96.98
93,2022-01-28,96.98
94,2022-01-27,96.98
95,2022-01-26,96.98
96,2022-01-25,96.98
97,2022-01-24,96.98
98,2022-01-23,96.98
99,2022-01-22,96.98
100,2022-01-21,96.98
101,2022-01-20,96.98
102,2022-01-19,96.98
103,2022-01-18,96.98
104,2022-01-17,96.98
105,2022-01-16,96.98
106,2022-01-15,96.98
107,2022-01-14,96.98
108,2022-01-13,96.98
109,2022-01-12,96.98
110,2022-01-11,96.98
111,2022-01-10,96.98
112,2022-01-09,96.98
113,2022-01-08,96.98
114,2022-01-07,96.98
115,2022-01-06,96.98
116,2022-01-05,96.98
117,2022-01-04,96.98
118,2022-01-03,96.98
119,2022-01-02,96.98
120,2022-01-01,96.98
121,2021-12-31,96.98
122,2021-12-30,96.98
123,2021-12-29,96.98
124,2021-12-28,96.98
125,2021-12-27,96.98
126,2021-12-26,96.98
127,2021-12-25,96.98
128,2021-12-24,96.98
129,2021-12-23,96.98
130,2021-12-22,96.98
131,2021-12-21,96.98
132,2021-12-20,96.98
133,2021-12-19,96.98
134,2021-12-18,96.98
135,2021-12-17,96.98
136,2021-12-16,96.98
137,2021-12-15,96.98
138,2021-12-14,96.98
139,2021-12-13,96.98
140,2021-12-12,96.98
141,2021-12-11,96.98
142,2021-12-10,96.98
143,2021-12-09,96.98
144,2021-12-08,96.98
145,2021-12-07,96.98
146,2021-12-06,96.98
147,2021-12-05,96.98
148,2021-12-04,96.98
149,2021-12-03,96.98
150,2021-12-02,96.98
151,2021-11-30,96.98
152,2021-11-29,96.98
153,2021-11-28,96.98
154,2021-11-27,96.98
155,2021-11-26,96.98
156,2021-11-25,96.98
157,2021-11-24,96.98
158,2021-11-23,96.98
159,2021-11-22,96.98
160,2021-11-21,96.98
161,2021-11-20,96.98
162,2021-11-19,96.98
163,2021-11-18,96.98
164,2021-11-17,96.98
165,2021-11-16,96.98
166,2021-11-15,96.98
167,2021-11-14,96.98
168,2021-11-13,96.98
169,2021-11-12,96.98
170,2021-11-11,96.98
171,2021-11-10,96.98
172,2021-11-09,96.98
173,2021-11-08,96.98
174,2021-11-07,96.98
175,2021-11-06,96.98
176,2021-11-05,96.98
177,2021-11-04,102.86
178,2021-11-03,108.75
179,2021-11-02,108.75
180,2021-11-01,108.39
181,2021-10-31,107.92
182,2021-10-30,107.58
183,2021-10-29,107.24
184,2021-10-28,106.9
185,2021-10-27,106.56
186,2021-10-26,106.22
187,2021-10-25,106.22
188,2021-10-24,106.22
189,2021-10-23,105.88
190,2021-10-22,105.54
191,2021-10-21,105.2
192,2021-10-20,104.86
193,2021-10-19,104.52
194,2021-10-18,104.52
195,2021-10-15,103.84
196,2021-10-14,103.5
197,2021-10-13,103.16
198,2021-10-12,103.16
199,2021-10-11,103.16
200,2021-10-10,102.87
201,2021-10-09,102.58
202,2021-10-08,102.29
203,2021-10-07,102
204,2021-10-06,101.71
205,2021-10-05,101.42
206,2021-10-04,101.17
207,2021-10-03,101.17
208,2021-10-02,100.93
209,2021-10-01,100.69
210,2021-09-30,100.46
211,2021-09-29,100.23
212,2021-09-28,100.23
213,2021-09-27,100.05
214,2021-09-26,100.05
215,2021-09-25,100.05
216,2021-09-24,100.05
217,2021-09-23,100.05
218,2021-09-22,100.05
219,2021-09-21,100.05
220,2021-09-20,100.05
221,2021-09-19,100.05
222,2021-09-18,100.05
223,2021-09-17,100.05
224,2021-09-16,100.05
225,2021-09-15,100.05
226,2021-09-14,100.05
227,2021-09-13,100.05
228,2021-09-12,100.05
229,2021-09-11,100.05
230,2021-09-10,100.05
231,2021-09-09,100.05
232,2021-09-08,100.05
233,2021-09-07,100.05
234,2021-09-06,100.05
235,2021-09-05,100.05
236,2021-09-03,100.2
237,2021-09-02,100.2
238,2021-09-01,100.2
239,2021-08-31,100.36
240,2021-08-30,100.36
241,2021-08-29,100.36
242,2021-08-28,100.36
243,2021-08-27,100.36
244,2021-08-26,100.36
245,2021-08-25,100.36
246,2021-08-24,100.36
247,2021-08-23,100.49
248,2021-08-22,100.49
249,2021-08-21,100.49
250,2021-08-20,100.49
251,2021-08-19,100.49
252,2021-08-18,100.49
253,2021-08-17,100.49
254,2021-08-16,100.49
255,2021-08-15,100.49
256,2021-08-14,100.49
257,2021-08-13,100.49
258,2021-08-12,100.49
259,2021-08-11,100.49
260,2021-08-10,100.49
261,2021-08-09,100.49
262,2021-08-08,100.49
263,2021-08-07,100.49
264,2021-08-06,100.49
265,2021-08-05,100.49
266,2021-08-04,100.49
267,2021-08-03,100.49
268,2021-08-02,100.49
269,2021-08-01,100.49
270,2021-07-31,100.49
271,2021-07-30,100.49
272,2021-07-29,100.49
273,2021-07-28,100.49
274,2021-07-27,100.49
275,2021-07-26,100.49
276,2021-07-25,100.49
277,2021-07-24,100.49
278,2021-07-23,100.49
279,2021-07-22,100.49
280,2021-07-21,100.49
281,2021-07-20,100.49
282,2021-07-19,100.49
283,2021-07-18,100.49
284,2021-07-17,100.49
285,2021-07-16,100.2
286,2021-07-15,100.2
287,2021-07-14,99.86
288,2021-07-13,99.86
289,2021-07-12,99.86
290,2021-07-11,99.59
291,2021-07-10,99.59
292,2021-07-09,99.25
293,2021-07-08,99.25
294,2021-07-07,98.91
295,2021-07-06,98.57
296,2021-07-05,98.57
297,2021-07-04,98.23
298,2021-07-03,97.89
299,2021-07-02,97.89
300,2021-07-01,97.55
301,2021-06-30,97.55
302,2021-06-29,97.55
303,2021-06-28,97.21
304,2021-06-27,97.21
305,2021-06-26,96.87
306,2021-06-25,96.53
307,2021-06-24,96.53
308,2021-06-23,96.28
309,2021-06-22,96.28
310,2021-06-21,96.01
311,2021-06-20,96.01
312,2021-06-19,95.73
313,2021-06-18,95.73
314,2021-06-17,95.46
315,2021-06-16,95.46
316,2021-06-15,95.22
317,2021-06-14,95.22
318,2021-06-13,94.94
319,2021-06-12,94.94
320,2021-06-11,94.68
321,2021-06-10,94.4
322,2021-06-09,94.4
323,2021-06-08,94.15
324,2021-06-07,94.15
325,2021-06-06,93.88
326,2021-06-05,93.62
327,2021-06-04,93.62
328,2021-06-03,93.36
