,date,price
0,2022-05-01,104.72
1,2022-04-30,104.72
2,2022-04-29,104.72
3,2022-04-28,104.72
4,2022-04-27,104.72
5,2022-04-26,104.72
6,2022-04-25,104.72
7,2022-04-24,104.72
8,2022-04-23,104.72
9,2022-04-22,104.72
10,2022-04-21,104.72
11,2022-04-20,104.72
12,2022-04-19,104.72
13,2022-04-18,104.72
14,2022-04-17,104.72
15,2022-04-16,104.72
16,2022-04-15,104.72
17,2022-04-14,104.72
18,2022-04-13,104.72
19,2022-04-12,104.72
20,2022-04-11,104.72
21,2022-04-10,104.72
22,2022-04-09,104.72
23,2022-04-08,104.72
24,2022-04-07,104.72
25,2022-04-06,104.72
26,2022-04-05,103.93
27,2022-04-04,103.14
28,2022-04-03,102.75
29,2022-04-02,101.96
30,2022-04-01,101.18
31,2022-03-31,101.18
32,2022-03-30,100.39
33,2022-03-29,99.61
34,2022-03-28,98.82
35,2022-03-27,98.53
36,2022-03-26,98.03
37,2022-03-25,97.29
38,2022-03-24,96.5
39,2022-03-23,96.5
40,2022-03-22,95.72
41,2022-03-21,94.93
42,2022-03-20,94.93
43,2022-03-19,94.93
44,2022-03-18,94.93
45,2022-03-17,94.93
46,2022-03-16,94.93
47,2022-03-15,94.93
48,2022-03-14,94.93
49,2022-03-13,94.93
50,2022-03-12,94.93
51,2022-03-11,94.93
52,2022-03-10,94.93
53,2022-03-09,94.93
54,2022-03-08,94.93
55,2022-03-07,94.93
56,2022-03-06,94.93
57,2022-03-05,94.93
58,2022-03-04,94.93
59,2022-03-03,94.93
60,2022-03-02,94.93
61,2022-03-01,94.93
62,2022-02-28,94.93
63,2022-02-27,94.93
64,2022-02-26,94.93
65,2022-02-25,94.93
66,2022-02-24,94.93
67,2022-02-23,94.93
68,2022-02-22,94.93
69,2022-02-21,94.93
70,2022-02-20,94.93
71,2022-02-19,94.93
72,2022-02-18,94.93
73,2022-02-17,94.93
74,2022-02-16,94.93
75,2022-02-15,94.93
76,2022-02-14,94.93
77,2022-02-13,94.93
78,2022-02-12,94.93
79,2022-02-11,94.93
80,2022-02-10,94.93
81,2022-02-09,94.93
82,2022-02-08,94.93
83,2022-02-07,94.93
84,2022-02-06,94.93
85,2022-02-05,94.93
86,2022-02-04,94.93
87,2022-02-03,94.93
88,2022-02-02,94.93
89,2022-02-01,94.93
90,2022-01-31,94.93
91,2022-01-30,94.93
92,2022-01-29,94.93
93,2022-01-28,94.93
94,2022-01-27,94.93
95,2022-01-26,94.93
96,2022-01-25,94.93
97,2022-01-24,94.93
98,2022-01-23,94.93
99,2022-01-22,94.93
100,2022-01-21,94.93
101,2022-01-20,94.93
102,2022-01-19,94.93
103,2022-01-18,94.93
104,2022-01-17,94.93
105,2022-01-16,94.93
106,2022-01-15,94.93
107,2022-01-14,94.93
108,2022-01-13,94.93
109,2022-01-12,94.93
110,2022-01-11,94.93
111,2022-01-10,94.93
112,2022-01-09,94.93
113,2022-01-08,94.93
114,2022-01-07,94.93
115,2022-01-06,94.93
116,2022-01-05,94.93
117,2022-01-04,94.93
118,2022-01-03,94.93
119,2022-01-02,94.93
120,2022-01-01,94.93
121,2021-12-31,94.93
122,2021-12-30,94.93
123,2021-12-29,94.93
124,2021-12-28,94.93
125,2021-12-27,94.93
126,2021-12-26,94.93
127,2021-12-25,94.93
128,2021-12-24,94.93
129,2021-12-23,94.93
130,2021-12-22,94.93
131,2021-12-21,94.93
132,2021-12-20,94.93
133,2021-12-19,94.93
134,2021-12-18,94.93
135,2021-12-17,94.93
136,2021-12-16,94.93
137,2021-12-15,94.93
138,2021-12-14,94.93
139,2021-12-13,94.93
140,2021-12-12,94.93
141,2021-12-11,94.93
142,2021-12-10,94.93
143,2021-12-09,94.93
144,2021-12-08,94.93
145,2021-12-07,94.93
146,2021-12-06,94.93
147,2021-12-05,94.93
148,2021-12-04,94.93
149,2021-12-03,94.93
150,2021-12-02,94.93
151,2021-11-30,94.93
152,2021-11-29,94.93
153,2021-11-28,94.93
154,2021-11-27,94.93
155,2021-11-26,94.93
156,2021-11-25,94.93
157,2021-11-24,94.93
158,2021-11-23,94.93
159,2021-11-22,94.93
160,2021-11-21,94.93
161,2021-11-20,94.93
162,2021-11-19,94.93
163,2021-11-18,94.93
164,2021-11-17,94.93
165,2021-11-16,94.93
166,2021-11-15,94.93
167,2021-11-14,94.93
168,2021-11-13,94.93
169,2021-11-12,94.93
170,2021-11-11,94.93
171,2021-11-10,94.93
172,2021-11-09,94.93
173,2021-11-08,94.93
174,2021-11-07,94.93
175,2021-11-06,94.93
176,2021-11-05,94.93
177,2021-11-04,100.81
178,2021-11-03,106.64
179,2021-11-02,106.64
180,2021-11-01,106.28
181,2021-10-31,105.82
182,2021-10-30,105.49
183,2021-10-29,105.15
184,2021-10-28,104.81
185,2021-10-27,104.48
186,2021-10-26,104.14
187,2021-10-25,104.14
188,2021-10-24,104.14
189,2021-10-23,103.81
190,2021-10-22,103.47
191,2021-10-21,103.14
192,2021-10-20,102.8
193,2021-10-19,102.46
194,2021-10-18,102.46
195,2021-10-15,101.79
196,2021-10-14,101.46
197,2021-10-13,101.12
198,2021-10-12,101.12
199,2021-10-11,101.12
200,2021-10-10,100.83
201,2021-10-09,100.55
202,2021-10-08,100.26
203,2021-10-07,99.97
204,2021-10-06,99.68
205,2021-10-05,99.4
206,2021-10-04,99.16
207,2021-10-03,99.16
208,2021-10-02,98.92
209,2021-10-01,98.68
210,2021-09-30,98.45
211,2021-09-29,98.22
212,2021-09-28,98.22
213,2021-09-27,98.04
214,2021-09-26,98.04
215,2021-09-25,98.04
216,2021-09-24,98.04
217,2021-09-23,98.04
218,2021-09-22,98.04
219,2021-09-21,98.04
220,2021-09-20,98.04
221,2021-09-19,98.04
222,2021-09-18,98.04
223,2021-09-17,98.04
224,2021-09-16,98.04
225,2021-09-15,98.04
226,2021-09-14,98.04
227,2021-09-13,98.04
228,2021-09-12,98.04
229,2021-09-11,98.04
230,2021-09-10,98.04
231,2021-09-09,98.04
232,2021-09-08,98.04
233,2021-09-07,98.04
234,2021-09-06,98.04
235,2021-09-05,98.04
236,2021-09-03,98.19
237,2021-09-02,98.19
238,2021-09-01,98.19
239,2021-08-31,98.35
240,2021-08-30,98.35
241,2021-08-29,98.35
242,2021-08-28,98.35
