,date,price
0,2022-05-01,103.55
1,2022-04-30,103.55
2,2022-04-29,103.55
3,2022-04-28,103.55
4,2022-04-27,103.55
5,2022-04-26,103.55
6,2022-04-25,103.55
7,2022-04-24,103.55
8,2022-04-23,103.55
9,2022-04-22,103.55
10,2022-04-21,103.55
11,2022-04-20,103.55
12,2022-04-19,103.55
13,2022-04-18,103.55
14,2022-04-17,103.55
15,2022-04-16,103.55
16,2022-04-15,103.55
17,2022-04-14,103.55
18,2022-04-13,103.55
19,2022-04-12,103.55
20,2022-04-11,103.55
21,2022-04-10,103.55
22,2022-04-09,103.55
23,2022-04-08,103.55
24,2022-04-07,103.55
25,2022-04-06,103.55
26,2022-04-05,102.76
27,2022-04-04,101.98
28,2022-04-03,101.59
29,2022-04-02,100.8
30,2022-04-01,100.01
31,2022-03-31,100.01
32,2022-03-30,99.23
33,2022-03-29,98.44
34,2022-03-28,97.66
35,2022-03-27,97.36
36,2022-03-26,96.87
37,2022-03-25,96.09
38,2022-03-24,95.3
39,2022-03-23,95.3
40,2022-03-22,94.52
41,2022-03-21,93.79
42,2022-03-20,93.79
43,2022-03-19,93.79
44,2022-03-18,93.79
45,2022-03-17,93.79
46,2022-03-16,93.79
47,2022-03-15,93.79
48,2022-03-14,93.79
49,2022-03-13,93.79
50,2022-03-12,93.79
51,2022-03-11,93.79
52,2022-03-10,93.79
53,2022-03-09,93.79
54,2022-03-08,93.79
55,2022-03-07,93.79
56,2022-03-06,93.79
57,2022-03-05,93.79
58,2022-03-04,93.79
59,2022-03-03,93.79
60,2022-03-02,93.79
61,2022-03-01,93.79
62,2022-02-28,93.79
63,2022-02-27,93.79
64,2022-02-26,93.79
65,2022-02-25,93.79
66,2022-02-24,93.79
67,2022-02-23,93.79
68,2022-02-22,93.79
69,2022-02-21,93.79
70,2022-02-20,93.79
71,2022-02-19,93.79
72,2022-02-18,93.79
73,2022-02-17,93.79
74,2022-02-16,93.79
75,2022-02-15,93.79
76,2022-02-14,93.79
77,2022-02-13,93.79
78,2022-02-12,93.79
79,2022-02-11,93.79
80,2022-02-10,93.79
81,2022-02-09,93.79
82,2022-02-08,93.79
83,2022-02-07,93.79
84,2022-02-06,93.79
85,2022-02-05,93.79
86,2022-02-04,93.79
87,2022-02-03,93.79
88,2022-02-02,93.79
89,2022-02-01,93.79
90,2022-01-31,93.79
91,2022-01-30,93.79
92,2022-01-29,93.79
93,2022-01-28,93.79
94,2022-01-27,93.79
95,2022-01-26,93.79
96,2022-01-25,93.79
97,2022-01-24,93.79
98,2022-01-23,93.79
99,2022-01-22,93.79
100,2022-01-21,93.79
101,2022-01-20,93.79
102,2022-01-19,93.79
103,2022-01-18,93.79
104,2022-01-17,93.79
105,2022-01-16,93.79
106,2022-01-15,93.79
107,2022-01-14,93.79
108,2022-01-13,93.79
109,2022-01-12,93.79
110,2022-01-11,93.79
111,2022-01-10,93.79
112,2022-01-09,93.79
113,2022-01-08,93.79
114,2022-01-07,93.79
115,2022-01-06,93.79
116,2022-01-05,93.79
117,2022-01-04,93.79
118,2022-01-03,93.79
119,2022-01-02,93.79
120,2022-01-01,93.79
121,2021-12-31,93.79
122,2021-12-30,93.79
123,2021-12-29,93.79
124,2021-12-28,93.79
125,2021-12-27,93.79
126,2021-12-26,93.79
127,2021-12-25,93.79
128,2021-12-24,93.79
129,2021-12-23,93.79
130,2021-12-22,93.79
131,2021-12-21,93.79
132,2021-12-20,93.79
133,2021-12-19,93.79
134,2021-12-18,93.79
135,2021-12-17,93.79
136,2021-12-16,93.79
137,2021-12-15,93.79
138,2021-12-14,93.79
139,2021-12-13,93.79
140,2021-12-12,93.79
141,2021-12-11,93.79
142,2021-12-10,93.79
143,2021-12-09,93.79
144,2021-12-08,93.79
145,2021-12-07,93.79
146,2021-12-06,93.79
147,2021-12-05,93.79
148,2021-12-04,93.79
149,2021-12-03,93.79
150,2021-12-02,93.79
151,2021-11-30,93.79
152,2021-11-29,93.79
153,2021-11-28,93.79
154,2021-11-27,93.79
155,2021-11-26,93.79
156,2021-11-25,93.79
157,2021-11-24,93.79
158,2021-11-23,93.79
159,2021-11-22,93.79
160,2021-11-21,93.79
161,2021-11-20,93.79
162,2021-11-19,93.79
163,2021-11-18,93.79
164,2021-11-17,93.79
165,2021-11-16,93.79
166,2021-11-15,93.79
167,2021-11-14,93.79
168,2021-11-13,93.79
169,2021-11-12,93.79
170,2021-11-11,93.79
171,2021-11-10,93.79
