,date,price
0,2022-05-01,109.73
1,2022-04-30,109.73
2,2022-04-29,109.73
3,2022-04-28,109.73
4,2022-04-27,109.73
5,2022-04-26,109.73
6,2022-04-25,109.73
7,2022-04-24,109.73
8,2022-04-23,109.73
9,2022-04-22,109.73
10,2022-04-21,109.73
11,2022-04-20,109.73
12,2022-04-19,109.73
13,2022-04-18,109.73
14,2022-04-17,109.73
15,2022-04-16,109.73
16,2022-04-15,109.73
17,2022-04-14,109.73
18,2022-04-13,109.73
19,2022-04-12,109.73
20,2022-04-11,109.73
21,2022-04-10,109.73
22,2022-04-09,109.73
23,2022-04-08,109.73
24,2022-04-07,109.73
25,2022-04-06,109.73
26,2022-04-05,108.9
27,2022-04-04,108.07
28,2022-04-03,107.65
29,2022-04-02,106.82
30,2022-04-01,105.99
31,2022-03-31,105.99
32,2022-03-30,105.16
33,2022-03-29,104.33
34,2022-03-28,103.51
35,2022-03-27,103.19
36,2022-03-26,102.68
37,2022-03-25,101.92
38,2022-03-24,101.09
39,2022-03-23,101.09
40,2022-03-22,100.26
41,2022-03-21,99.43
42,2022-03-20,99.43
43,2022-03-19,99.43
44,2022-03-18,99.43
45,2022-03-17,99.43
46,2022-03-16,99.43
47,2022-03-15,99.43
48,2022-03-14,99.43
49,2022-03-13,99.43
50,2022-03-12,99.43
51,2022-03-11,99.43
52,2022-03-10,99.43
53,2022-03-09,99.43
54,2022-03-08,99.43
55,2022-03-07,99.43
56,2022-03-06,99.43
57,2022-03-05,99.43
58,2022-03-04,99.43
59,2022-03-03,99.43
60,2022-03-02,99.43
61,2022-03-01,99.43
62,2022-02-28,99.43
63,2022-02-27,99.43
64,2022-02-26,99.43
65,2022-02-25,99.43
66,2022-02-24,99.43
67,2022-02-23,99.43
68,2022-02-22,99.43
69,2022-02-21,99.43
70,2022-02-20,99.43
71,2022-02-19,99.43
72,2022-02-18,99.43
73,2022-02-17,99.43
74,2022-02-16,99.43
75,2022-02-15,99.43
76,2022-02-14,99.43
77,2022-02-13,99.43
78,2022-02-12,99.43
79,2022-02-11,99.43
80,2022-02-10,99.43
81,2022-02-09,99.43
82,2022-02-08,99.43
83,2022-02-07,99.43
84,2022-02-06,99.43
85,2022-02-05,99.43
86,2022-02-04,99.43
87,2022-02-03,99.43
88,2022-02-02,99.43
89,2022-02-01,99.43
90,2022-01-31,99.43
91,2022-01-30,99.43
92,2022-01-29,99.43
93,2022-01-28,99.43
94,2022-01-27,99.43
95,2022-01-26,99.43
96,2022-01-25,99.43
97,2022-01-24,99.43
98,2022-01-23,99.43
99,2022-01-22,99.43
100,2022-01-21,99.43
101,2022-01-20,99.43
102,2022-01-19,99.43
103,2022-01-18,99.43
104,2022-01-17,99.43
105,2022-01-16,99.43
106,2022-01-15,99.43
107,2022-01-14,99.43
108,2022-01-13,99.43
109,2022-01-12,99.43
110,2022-01-11,99.43
111,2022-01-10,99.43
112,2022-01-09,99.43
113,2022-01-08,99.43
114,2022-01-07,99.43
115,2022-01-06,99.43
116,2022-01-05,99.43
117,2022-01-04,99.43
118,2022-01-03,99.43
119,2022-01-02,99.43
120,2022-01-01,99.43
121,2021-12-31,99.43
122,2021-12-30,99.43
123,2021-12-29,99.43
124,2021-12-28,99.43
125,2021-12-27,99.43
126,2021-12-26,99.43
127,2021-12-25,99.43
128,2021-12-24,99.43
