,date,price
0,2022-05-01,104.64
1,2022-04-30,104.64
2,2022-04-29,104.64
3,2022-04-28,104.64
4,2022-04-27,104.64
5,2022-04-26,104.64
6,2022-04-25,104.64
7,2022-04-24,104.64
8,2022-04-23,104.64
9,2022-04-22,104.64
10,2022-04-21,104.64
11,2022-04-20,104.64
12,2022-04-19,104.64
13,2022-04-18,104.64
14,2022-04-17,104.64
15,2022-04-16,104.64
16,2022-04-15,104.64
17,2022-04-14,104.64
18,2022-04-13,104.64
19,2022-04-12,104.64
20,2022-04-11,104.64
21,2022-04-10,104.64
22,2022-04-09,104.64
23,2022-04-08,104.64
24,2022-04-07,104.64
25,2022-04-06,104.64
26,2022-04-05,103.87
27,2022-04-04,103.1
28,2022-04-03,102.71
29,2022-04-02,101.94
30,2022-04-01,101.17
31,2022-03-31,101.17
32,2022-03-30,100.4
33,2022-03-29,99.63
34,2022-03-28,98.86
35,2022-03-27,98.57
36,2022-03-26,98.09
37,2022-03-25,97.32
38,2022-03-24,96.55
39,2022-03-23,96.55
40,2022-03-22,95.78
41,2022-03-21,95.01
42,2022-03-20,95.01
43,2022-03-19,95.01
44,2022-03-18,95.01
45,2022-03-17,95.01
46,2022-03-16,95.01
47,2022-03-15,95.01
48,2022-03-14,95.01
49,2022-03-13,95.01
50,2022-03-12,95.01
51,2022-03-11,95.01
52,2022-03-10,95.01
53,2022-03-09,95.01
54,2022-03-08,95.01
55,2022-03-07,95.01
56,2022-03-06,95.01
57,2022-03-05,95.01
58,2022-03-04,95.01
59,2022-03-03,95.01
60,2022-03-02,95.01
61,2022-03-01,95.01
62,2022-02-28,95.01
63,2022-02-27,95.01
64,2022-02-26,95.01
65,2022-02-25,95.01
66,2022-02-24,95.01
67,2022-02-23,95.01
68,2022-02-22,95.01
69,2022-02-21,95.01
70,2022-02-20,95.01
71,2022-02-19,95.01
72,2022-02-18,95.01
73,2022-02-17,95.01
74,2022-02-16,95.01
75,2022-02-15,95.01
76,2022-02-14,95.01
77,2022-02-13,95.01
78,2022-02-12,95.01
79,2022-02-11,95.01
80,2022-02-10,95.01
81,2022-02-09,95.01
82,2022-02-08,95.01
83,2022-02-07,95.01
84,2022-02-06,95.01
85,2022-02-05,95.01
86,2022-02-04,95.01
87,2022-02-03,95.01
88,2022-02-02,95.01
89,2022-02-01,95.01
90,2022-01-31,95.01
91,2022-01-30,95.01
92,2022-01-29,95.01
93,2022-01-28,95.01
94,2022-01-27,95.01
95,2022-01-26,95.01
96,2022-01-25,95.01
97,2022-01-24,95.01
98,2022-01-23,95.01
99,2022-01-22,95.01
100,2022-01-21,95.01
101,2022-01-20,95.01
102,2022-01-19,95.01
103,2022-01-18,95.01
104,2022-01-17,95.01
105,2022-01-16,95.01
106,2022-01-15,95.01
107,2022-01-14,95.01
108,2022-01-13,95.01
109,2022-01-12,95.01
110,2022-01-11,95.01
111,2022-01-10,95.01
112,2022-01-09,95.01
113,2022-01-08,95.01
114,2022-01-07,95.01
115,2022-01-06,95.01
116,2022-01-05,95.01
117,2022-01-04,95.01
118,2022-01-03,95.01
119,2022-01-02,95.01
120,2022-01-01,95.01
121,2021-12-31,95.01
122,2021-12-30,95.01
123,2021-12-29,95.01
124,2021-12-28,95.01
125,2021-12-27,95.01
126,2021-12-26,95.01
127,2021-12-25,95.01
128,2021-12-24,95.01
129,2021-12-23,95.01
130,2021-12-22,95.01
131,2021-12-21,95.01
132,2021-12-20,95.01
133,2021-12-19,95.01
134,2021-12-18,95.01
135,2021-12-17,95.01
136,2021-12-16,95.01
137,2021-12-15,95.01
138,2021-12-14,95.01
139,2021-12-13,95.01
140,2021-12-12,95.01
141,2021-12-11,95.01
142,2021-12-10,95.01
143,2021-12-09,95.01
144,2021-12-08,95.01
145,2021-12-07,95.01
146,2021-12-06,95.01
147,2021-12-05,95.01
148,2021-12-04,95.01
149,2021-12-03,95.01
150,2021-12-02,95.01
151,2021-11-30,95.01
152,2021-11-29,95.01
153,2021-11-28,95.01
154,2021-11-27,95.01
155,2021-11-26,95.01
156,2021-11-25,95.01
157,2021-11-24,95.01
158,2021-11-23,95.01
159,2021-11-22,95.01
160,2021-11-21,95.01
161,2021-11-20,95.01
162,2021-11-19,95.01
163,2021-11-18,95.01
164,2021-11-17,95.01
165,2021-11-16,95.01
166,2021-11-15,95.01
167,2021-11-14,95.01
168,2021-11-13,95.01
169,2021-11-12,95.01
170,2021-11-11,95.01
171,2021-11-10,95.01
172,2021-11-09,95.01
173,2021-11-08,105.12
174,2021-11-07,105.12
175,2021-11-06,105.12
176,2021-11-05,105.12
177,2021-11-04,105.12
178,2021-11-03,111.06
179,2021-11-02,111.06
180,2021-11-01,110.7
181,2021-10-31,110.32
182,2021-10-30,109.98
183,2021-10-29,109.63
184,2021-10-28,109.29
185,2021-10-27,108.95
186,2021-10-26,108.61
187,2021-10-25,108.61
188,2021-10-24,108.61
189,2021-10-23,108.26
190,2021-10-22,107.92
191,2021-10-21,107.58
192,2021-10-20,107.24
193,2021-10-19,106.89
194,2021-10-18,106.89
195,2021-10-15,106.21
196,2021-10-14,105.87
197,2021-10-13,105.52
198,2021-10-12,105.52
199,2021-10-11,105.52
200,2021-10-10,105.23
201,2021-10-09,104.94
202,2021-10-08,104.64
203,2021-10-07,104.35
204,2021-10-06,104.06
205,2021-10-05,103.76
206,2021-10-04,103.52
207,2021-10-03,103.52
208,2021-10-02,103.27
209,2021-10-01,103.03
210,2021-09-30,102.8
211,2021-09-29,102.56
212,2021-09-28,102.56
213,2021-09-27,102.38
214,2021-09-26,102.38
215,2021-09-25,102.38
216,2021-09-24,102.38
217,2021-09-23,102.38
218,2021-09-22,102.38
219,2021-09-21,102.38
220,2021-09-20,102.38
221,2021-09-19,102.38
222,2021-09-18,102.38
223,2021-09-17,102.38
224,2021-09-16,102.38
225,2021-09-15,102.38
226,2021-09-14,102.38
227,2021-09-13,102.38
228,2021-09-12,102.38
229,2021-09-11,102.38
230,2021-09-10,102.38
231,2021-09-09,102.38
232,2021-09-08,102.38
233,2021-09-07,102.38
234,2021-09-06,102.38
235,2021-09-05,102.38
236,2021-09-03,102.54
237,2021-09-02,102.54
238,2021-09-01,102.54
239,2021-08-31,102.69
240,2021-08-30,102.69
241,2021-08-29,102.69
242,2021-08-28,102.69
243,2021-08-27,102.69
244,2021-08-26,102.69
245,2021-08-25,102.69
246,2021-08-24,102.69
247,2021-08-23,102.83
248,2021-08-22,102.83
249,2021-08-21,102.97
250,2021-08-20,102.97
251,2021-08-19,102.97
252,2021-08-18,102.98
253,2021-08-17,102.98
254,2021-08-16,102.98
255,2021-08-15,102.98
256,2021-08-14,102.98
257,2021-08-13,102.98
258,2021-08-12,102.98
259,2021-08-11,102.98
260,2021-08-10,102.98
261,2021-08-09,102.98
262,2021-08-08,102.98
263,2021-08-07,102.98
264,2021-08-06,102.98
265,2021-08-05,102.98
266,2021-08-04,102.98
267,2021-08-03,102.98
268,2021-08-02,102.98
269,2021-08-01,102.98
270,2021-07-31,102.98
271,2021-07-30,102.98
272,2021-07-29,102.98
273,2021-07-28,102.98
274,2021-07-27,102.98
275,2021-07-26,102.98
276,2021-07-25,102.98
277,2021-07-24,102.98
278,2021-07-23,102.98
279,2021-07-22,102.98
280,2021-07-21,102.98
281,2021-07-20,102.98
282,2021-07-19,102.98
283,2021-07-18,102.98
284,2021-07-17,102.98
285,2021-07-16,102.68
286,2021-07-15,102.68
287,2021-07-14,102.34
288,2021-07-13,102.34
289,2021-07-12,102.34
290,2021-07-11,102.07
291,2021-07-10,102.07
292,2021-07-09,101.72
293,2021-07-08,101.72
294,2021-07-07,101.38
295,2021-07-06,101.04
296,2021-07-05,101.04
297,2021-07-04,100.7
298,2021-07-03,100.35
299,2021-07-02,100.35
300,2021-07-01,100.01
301,2021-06-30,100.01
302,2021-06-29,100.01
303,2021-06-28,99.67
304,2021-06-27,99.67
305,2021-06-26,99.33
306,2021-06-25,98.98
307,2021-06-24,98.98
308,2021-06-23,98.73
309,2021-06-22,98.73
310,2021-06-21,98.45
311,2021-06-20,98.45
312,2021-06-19,98.17
313,2021-06-18,98.17
314,2021-06-17,97.91
315,2021-06-16,97.91
316,2021-06-15,97.66
317,2021-06-14,97.66
318,2021-06-13,97.38
319,2021-06-12,97.38
320,2021-06-11,97.11
321,2021-06-10,96.83
322,2021-06-09,96.83
323,2021-06-08,96.58
324,2021-06-07,96.58
325,2021-06-06,96.31
326,2021-06-05,96.05
327,2021-06-04,96.05
328,2021-06-03,95.78
329,2021-06-02,95.78
330,2021-06-01,95.78
331,2021-05-31,95.53
332,2021-05-30,95.24
333,2021-05-29,95.24
334,2021-05-28,94.99
335,2021-05-27,94.99
336,2021-05-26,94.75
337,2021-05-25,94.75
338,2021-05-24,94.53
339,2021-05-23,94.53
340,2021-05-22,94.36
341,2021-05-21,94.36
342,2021-05-20,94.18
343,2021-05-19,94.18
344,2021-05-18,94.18
345,2021-05-17,93.91
346,2021-05-16,93.91
347,2021-05-15,93.68
348,2021-05-14,93.68
349,2021-05-13,93.39
350,2021-05-12,93.39
351,2021-05-11,93.15
352,2021-05-10,92.88
353,2021-05-09,92.63
354,2021-05-08,92.63
355,2021-05-07,92.63
356,2021-05-06,92.36
357,2021-05-05,92.11
358,2021-05-04,91.93
359,2021-05-03,91.73
360,2021-05-02,91.73
361,2021-05-01,91.73
362,2021-04-30,91.73
363,2021-04-29,91.73
364,2021-04-28,91.73
