,date,price
0,2022-05-01,106.5
1,2022-04-30,106.5
2,2022-04-29,106.5
3,2022-04-28,106.5
4,2022-04-27,106.5
5,2022-04-26,106.5
6,2022-04-25,106.5
7,2022-04-24,106.5
8,2022-04-23,106.5
9,2022-04-22,106.5
10,2022-04-21,106.5
11,2022-04-20,106.5
12,2022-04-19,106.5
13,2022-04-18,106.5
14,2022-04-17,106.5
15,2022-04-16,106.5
16,2022-04-15,106.5
17,2022-04-14,106.5
18,2022-04-13,106.5
19,2022-04-12,106.5
20,2022-04-11,106.5
21,2022-04-10,106.5
22,2022-04-09,106.5
23,2022-04-08,106.5
24,2022-04-07,106.5
25,2022-04-06,106.5
26,2022-04-05,105.67
27,2022-04-04,104.84
28,2022-04-03,104.42
29,2022-04-02,103.59
30,2022-04-01,102.76
31,2022-03-31,102.76
32,2022-03-30,101.93
33,2022-03-29,101.11
34,2022-03-28,100.28
35,2022-03-27,99.96
36,2022-03-26,99.45
37,2022-03-25,98.62
38,2022-03-24,97.79
39,2022-03-23,97.79
40,2022-03-22,96.96
41,2022-03-21,96.13
42,2022-03-20,96.13
43,2022-03-19,96.13
44,2022-03-18,96.13
45,2022-03-17,96.13
46,2022-03-16,96.13
47,2022-03-15,96.13
48,2022-03-14,96.13
49,2022-03-13,96.13
50,2022-03-12,96.13
51,2022-03-11,96.13
52,2022-03-10,96.13
53,2022-03-09,96.13
54,2022-03-08,96.13
55,2022-03-07,96.13
56,2022-03-06,96.13
57,2022-03-05,96.13
58,2022-03-04,96.13
59,2022-03-03,96.13
60,2022-03-02,96.13
61,2022-03-01,96.13
62,2022-02-28,96.13
63,2022-02-27,96.13
64,2022-02-26,96.13
65,2022-02-25,96.13
66,2022-02-24,96.13
67,2022-02-23,96.13
68,2022-02-22,96.13
69,2022-02-21,96.13
70,2022-02-20,96.13
71,2022-02-19,96.13
72,2022-02-18,96.13
73,2022-02-17,96.13
74,2022-02-16,96.13
75,2022-02-15,96.13
76,2022-02-14,96.13
77,2022-02-13,96.13
78,2022-02-12,96.13
79,2022-02-11,96.13
80,2022-02-10,96.13
81,2022-02-09,96.13
82,2022-02-08,96.13
83,2022-02-07,96.13
84,2022-02-06,96.13
85,2022-02-05,96.13
86,2022-02-04,96.13
87,2022-02-03,96.13
88,2022-02-02,96.13
89,2022-02-01,96.13
90,2022-01-31,96.13
91,2022-01-30,96.13
92,2022-01-29,96.13
93,2022-01-28,96.13
94,2022-01-27,96.13
95,2022-01-26,96.13
96,2022-01-25,96.13
97,2022-01-24,96.13
98,2022-01-23,96.13
99,2022-01-22,96.13
100,2022-01-21,96.13
101,2022-01-20,96.13
102,2022-01-19,96.13
103,2022-01-18,96.13
104,2022-01-17,96.13
105,2022-01-16,96.13
106,2022-01-15,96.13
107,2022-01-14,96.13
108,2022-01-13,96.13
109,2022-01-12,96.13
110,2022-01-11,96.13
111,2022-01-10,96.13
112,2022-01-09,96.13
113,2022-01-08,96.13
114,2022-01-07,96.13
115,2022-01-06,96.13
116,2022-01-05,96.13
117,2022-01-04,96.13
118,2022-01-03,96.13
119,2022-01-02,96.13
120,2022-01-01,96.13
121,2021-12-31,96.13
122,2021-12-30,96.13
123,2021-12-29,96.13
124,2021-12-28,96.13
125,2021-12-27,96.13
126,2021-12-26,96.13
127,2021-12-25,96.13
128,2021-12-24,96.13
129,2021-12-23,96.13
130,2021-12-22,96.13
131,2021-12-21,96.13
132,2021-12-20,96.13
133,2021-12-19,96.13
134,2021-12-18,96.13
135,2021-12-17,96.13
136,2021-12-16,96.13
137,2021-12-15,96.13
138,2021-12-14,96.13
139,2021-12-13,96.13
140,2021-12-12,96.13
141,2021-12-11,96.13
142,2021-12-10,96.13
143,2021-12-09,96.13
144,2021-12-08,96.13
145,2021-12-07,96.13
146,2021-12-06,96.13
147,2021-12-05,96.13
148,2021-12-04,96.13
149,2021-12-03,96.13
150,2021-12-02,96.13
151,2021-11-30,96.13
152,2021-11-29,96.13
153,2021-11-28,96.13
154,2021-11-27,96.13
155,2021-11-26,96.13
156,2021-11-25,96.13
157,2021-11-24,96.13
158,2021-11-23,96.13
159,2021-11-22,96.13
160,2021-11-21,96.13
161,2021-11-20,96.13
162,2021-11-19,96.13
163,2021-11-18,96.13
164,2021-11-17,96.13
165,2021-11-16,96.13
166,2021-11-15,96.13
167,2021-11-14,96.13
168,2021-11-13,96.13
169,2021-11-12,96.13
170,2021-11-11,96.13
171,2021-11-10,96.13
172,2021-11-09,96.13
173,2021-11-08,96.13
174,2021-11-07,96.13
175,2021-11-06,96.13
176,2021-11-05,96.13
177,2021-11-04,103.19
178,2021-11-03,108.96
179,2021-11-02,108.96
180,2021-11-01,108.61
181,2021-10-31,108.26
182,2021-10-30,107.93
183,2021-10-29,107.59
184,2021-10-28,107.26
185,2021-10-27,106.93
186,2021-10-26,106.59
187,2021-10-25,106.59
188,2021-10-24,106.59
189,2021-10-23,106.26
190,2021-10-22,105.93
191,2021-10-21,105.6
192,2021-10-20,105.26
193,2021-10-19,104.93
194,2021-10-18,104.93
195,2021-10-15,104.26
196,2021-10-14,103.93
197,2021-10-13,103.6
198,2021-10-12,103.6
199,2021-10-11,103.6
200,2021-10-10,103.31
201,2021-10-09,103.03
202,2021-10-08,102.74
203,2021-10-07,102.46
204,2021-10-06,102.17
205,2021-10-05,101.88
206,2021-10-04,101.65
207,2021-10-03,101.65
208,2021-10-02,101.41
209,2021-10-01,101.17
210,2021-09-30,100.95
211,2021-09-29,100.72
212,2021-09-28,100.72
213,2021-09-27,100.54
214,2021-09-26,100.54
215,2021-09-25,100.54
216,2021-09-24,100.54
217,2021-09-23,100.54
218,2021-09-22,100.54
219,2021-09-21,100.54
220,2021-09-20,100.54
221,2021-09-19,100.54
222,2021-09-18,100.54
223,2021-09-17,100.54
224,2021-09-16,100.54
225,2021-09-15,100.54
226,2021-09-14,100.54
227,2021-09-13,100.54
228,2021-09-12,100.54
229,2021-09-11,100.54
230,2021-09-10,100.54
231,2021-09-09,100.54
232,2021-09-08,100.54
233,2021-09-07,100.54
234,2021-09-06,100.54
235,2021-09-05,100.54
236,2021-09-03,100.69
237,2021-09-02,100.69
238,2021-09-01,100.69
239,2021-08-31,100.85
240,2021-08-30,100.85
241,2021-08-29,100.85
242,2021-08-28,100.85
243,2021-08-27,100.85
244,2021-08-26,100.85
245,2021-08-25,100.85
246,2021-08-24,100.85
247,2021-08-23,100.98
248,2021-08-22,100.98
249,2021-08-21,101.15
250,2021-08-20,101.15
251,2021-08-19,101.15
252,2021-08-18,101.15
253,2021-08-17,101.15
254,2021-08-16,101.15
255,2021-08-15,101.15
256,2021-08-14,101.15
257,2021-08-13,101.15
258,2021-08-12,101.15
259,2021-08-11,101.15
260,2021-08-10,101.15
261,2021-08-09,101.15
262,2021-08-08,101.15
263,2021-08-07,101.15
264,2021-08-06,101.15
265,2021-08-05,101.15
266,2021-08-04,101.15
267,2021-08-03,101.15
268,2021-08-02,101.15
269,2021-08-01,101.15
270,2021-07-31,101.15
271,2021-07-30,101.15
272,2021-07-29,101.15
273,2021-07-28,101.15
274,2021-07-27,101.15
275,2021-07-26,101.15
276,2021-07-25,101.15
277,2021-07-24,101.15
278,2021-07-23,101.15
279,2021-07-22,101.15
280,2021-07-21,101.15
281,2021-07-20,101.15
282,2021-07-19,101.15
283,2021-07-18,101.15
284,2021-07-17,101.15
285,2021-07-16,100.86
286,2021-07-15,100.86
287,2021-07-14,100.53
288,2021-07-13,100.53
289,2021-07-12,100.53
290,2021-07-11,100.26
291,2021-07-10,100.26
292,2021-07-09,99.93
293,2021-07-08,99.93
294,2021-07-07,99.6
295,2021-07-06,99.26
296,2021-07-05,99.26
297,2021-07-04,98.93
298,2021-07-03,98.6
299,2021-07-02,98.6
300,2021-07-01,98.26
301,2021-06-30,98.26
302,2021-06-29,98.26
303,2021-06-28,97.93
304,2021-06-27,97.93
305,2021-06-26,97.6
306,2021-06-25,97.27
307,2021-06-24,97.27
308,2021-06-23,97.02
309,2021-06-22,97.02
310,2021-06-21,96.75
311,2021-06-20,96.75
312,2021-06-19,96.48
313,2021-06-18,96.48
314,2021-06-17,96.22
315,2021-06-16,96.22
316,2021-06-15,95.98
317,2021-06-14,95.98
318,2021-06-13,95.7
319,2021-06-12,95.7
320,2021-06-11,95.45
321,2021-06-10,95.17
322,2021-06-09,95.17
323,2021-06-08,94.93
324,2021-06-07,94.93
325,2021-06-06,94.67
326,2021-06-05,94.41
327,2021-06-04,94.41
328,2021-06-03,94.15
329,2021-06-02,94.15
330,2021-06-01,94.15
331,2021-05-31,93.91
332,2021-05-30,93.63
333,2021-05-29,93.63
334,2021-05-28,93.38
335,2021-05-27,93.38
336,2021-05-26,93.16
337,2021-05-25,93.16
338,2021-05-24,92.94
339,2021-05-23,92.94
340,2021-05-22,92.77
341,2021-05-21,92.77
342,2021-05-20,92.59
343,2021-05-19,92.59
344,2021-05-18,92.59
345,2021-05-17,92.34
346,2021-05-16,92.34
347,2021-05-15,92.11
348,2021-05-14,92.11
349,2021-05-13,91.83
350,2021-05-12,91.83
351,2021-05-11,91.59
352,2021-05-10,91.34
353,2021-05-09,91.09
354,2021-05-08,91.09
355,2021-05-07,91.09
356,2021-05-06,90.82
357,2021-05-05,90.59
358,2021-05-04,90.41
359,2021-05-03,90.24
360,2021-05-02,90.24
361,2021-05-01,90.24
362,2021-04-30,90.24
363,2021-04-29,90.24
364,2021-04-28,90.24
