,date,price
0,2022-05-01,107.22
1,2022-04-30,107.22
2,2022-04-29,107.22
3,2022-04-28,107.22
4,2022-04-27,107.22
5,2022-04-26,107.22
6,2022-04-25,107.22
7,2022-04-24,107.22
8,2022-04-23,107.22
9,2022-04-22,107.22
10,2022-04-21,107.22
11,2022-04-20,107.22
12,2022-04-19,107.22
13,2022-04-18,107.22
14,2022-04-17,107.22
15,2022-04-16,107.22
16,2022-04-15,107.22
17,2022-04-14,107.22
18,2022-04-13,107.22
19,2022-04-12,107.22
20,2022-04-11,107.22
21,2022-04-10,107.22
22,2022-04-09,107.22
23,2022-04-08,107.22
24,2022-04-07,107.22
25,2022-04-06,107.22
26,2022-04-05,106.39
27,2022-04-04,105.57
28,2022-04-03,105.15
29,2022-04-02,104.32
30,2022-04-01,103.49
31,2022-03-31,103.49
32,2022-03-30,102.66
33,2022-03-29,101.83
34,2022-03-28,101
35,2022-03-27,100.69
36,2022-03-26,100.17
37,2022-03-25,99.37
38,2022-03-24,98.52
39,2022-03-23,98.52
40,2022-03-22,97.69
41,2022-03-21,96.86
42,2022-03-20,96.86
43,2022-03-19,96.86
44,2022-03-18,96.86
45,2022-03-17,96.86
46,2022-03-16,96.86
47,2022-03-15,96.86
48,2022-03-14,96.86
49,2022-03-13,96.86
50,2022-03-12,96.86
51,2022-03-11,96.86
52,2022-03-10,96.86
53,2022-03-09,96.86
54,2022-03-08,96.86
55,2022-03-07,96.86
56,2022-03-06,96.86
57,2022-03-05,96.86
58,2022-03-04,96.86
59,2022-03-03,96.86
60,2022-03-02,96.86
61,2022-03-01,96.86
62,2022-02-28,96.86
63,2022-02-27,96.86
64,2022-02-26,96.86
65,2022-02-25,96.86
66,2022-02-24,96.86
67,2022-02-23,96.86
68,2022-02-22,96.86
69,2022-02-21,96.86
70,2022-02-20,96.86
71,2022-02-19,96.86
72,2022-02-18,96.86
73,2022-02-17,96.86
74,2022-02-16,96.86
75,2022-02-15,96.86
76,2022-02-14,96.86
77,2022-02-13,96.86
78,2022-02-12,96.86
79,2022-02-11,96.86
80,2022-02-10,96.86
81,2022-02-09,96.86
82,2022-02-08,96.86
83,2022-02-07,96.86
84,2022-02-06,96.86
85,2022-02-05,96.86
86,2022-02-04,96.86
87,2022-02-03,96.86
88,2022-02-02,96.86
89,2022-02-01,96.86
90,2022-01-31,96.86
91,2022-01-30,96.86
92,2022-01-29,96.86
93,2022-01-28,96.86
94,2022-01-27,96.86
95,2022-01-26,96.86
96,2022-01-25,96.86
97,2022-01-24,96.86
98,2022-01-23,96.86
99,2022-01-22,96.86
100,2022-01-21,96.86
101,2022-01-20,96.86
102,2022-01-19,96.86
103,2022-01-18,96.86
104,2022-01-17,96.86
105,2022-01-16,96.86
106,2022-01-15,96.86
107,2022-01-14,96.86
108,2022-01-13,96.86
109,2022-01-12,96.86
110,2022-01-11,96.86
111,2022-01-10,96.86
112,2022-01-09,96.86
113,2022-01-08,96.86
114,2022-01-07,96.86
115,2022-01-06,96.86
116,2022-01-05,96.86
117,2022-01-04,96.86
118,2022-01-03,96.86
119,2022-01-02,96.86
120,2022-01-01,96.86
121,2021-12-31,96.86
122,2021-12-30,96.86
123,2021-12-29,96.86
124,2021-12-28,96.86
125,2021-12-27,96.86
126,2021-12-26,96.86
127,2021-12-25,96.86
128,2021-12-24,96.86
129,2021-12-23,96.86
130,2021-12-22,96.86
131,2021-12-21,96.86
132,2021-12-20,96.86
133,2021-12-19,96.86
134,2021-12-18,96.86
135,2021-12-17,96.86
136,2021-12-16,96.86
137,2021-12-15,96.86
138,2021-12-14,96.86
139,2021-12-13,96.86
140,2021-12-12,96.86
141,2021-12-11,96.86
142,2021-12-10,96.86
143,2021-12-09,96.86
144,2021-12-08,96.86
145,2021-12-07,96.86
146,2021-12-06,96.86
147,2021-12-05,96.86
