,date,price
0,2022-05-01,112.37
1,2022-04-30,112.37
2,2022-04-29,112.37
3,2022-04-28,112.37
4,2022-04-27,112.37
5,2022-04-26,112.37
6,2022-04-25,112.37
7,2022-04-24,112.37
8,2022-04-23,112.37
9,2022-04-22,112.37
10,2022-04-21,112.37
11,2022-04-20,112.37
12,2022-04-19,112.37
13,2022-04-18,112.37
14,2022-04-17,112.37
15,2022-04-16,112.37
16,2022-04-15,112.37
17,2022-04-14,112.37
18,2022-04-13,112.37
19,2022-04-12,112.37
20,2022-04-11,112.37
21,2022-04-10,112.37
22,2022-04-09,112.37
23,2022-04-08,112.37
24,2022-04-07,112.37
25,2022-04-06,112.37
26,2022-04-05,111.6
27,2022-04-04,110.83
28,2022-04-03,110.44
29,2022-04-02,109.67
30,2022-04-01,108.91
31,2022-03-31,108.91
32,2022-03-30,108.14
33,2022-03-29,107.37
34,2022-03-28,106.6
35,2022-03-27,106.31
36,2022-03-26,105.83
37,2022-03-25,105.28
38,2022-03-24,104.51
39,2022-03-23,104.51
40,2022-03-22,103.74
41,2022-03-21,102.97
42,2022-03-20,102.97
43,2022-03-19,102.97
44,2022-03-18,102.97
45,2022-03-17,102.97
46,2022-03-16,102.97
47,2022-03-15,102.97
48,2022-03-14,102.97
49,2022-03-13,102.97
50,2022-03-12,102.97
51,2022-03-11,102.97
52,2022-03-10,102.97
53,2022-03-09,102.97
54,2022-03-08,102.97
55,2022-03-07,102.97
56,2022-03-06,102.97
57,2022-03-05,102.97
58,2022-03-04,102.97
59,2022-03-03,102.97
60,2022-03-02,102.97
61,2022-03-01,102.97
62,2022-02-28,102.97
63,2022-02-27,102.97
64,2022-02-26,102.97
65,2022-02-25,102.97
66,2022-02-24,102.97
67,2022-02-23,102.97
68,2022-02-22,102.97
69,2022-02-21,102.97
70,2022-02-20,102.97
71,2022-02-19,102.97
72,2022-02-18,102.97
73,2022-02-17,102.97
74,2022-02-16,102.97
75,2022-02-15,102.97
76,2022-02-14,102.97
77,2022-02-13,102.97
78,2022-02-12,102.97
79,2022-02-11,102.97
80,2022-02-10,102.97
81,2022-02-09,102.97
82,2022-02-08,102.97
83,2022-02-07,102.97
84,2022-02-06,102.97
85,2022-02-05,102.97
86,2022-02-04,102.97
87,2022-02-03,102.97
88,2022-02-02,102.97
89,2022-02-01,102.97
90,2022-01-31,102.97
91,2022-01-30,102.97
92,2022-01-29,102.97
93,2022-01-28,102.97
94,2022-01-27,102.97
95,2022-01-26,102.97
96,2022-01-25,102.97
97,2022-01-24,102.97
98,2022-01-23,102.97
99,2022-01-22,102.97
100,2022-01-21,102.97
101,2022-01-20,102.97
102,2022-01-19,102.97
103,2022-01-18,102.97
104,2022-01-17,102.97
105,2022-01-16,102.97
106,2022-01-15,102.97
107,2022-01-14,102.97
108,2022-01-13,102.97
109,2022-01-12,102.97
110,2022-01-11,102.97
111,2022-01-10,102.97
112,2022-01-09,102.97
113,2022-01-08,102.97
114,2022-01-07,102.97
115,2022-01-06,102.97
116,2022-01-05,102.97
117,2022-01-04,102.97
118,2022-01-03,102.97
119,2022-01-02,102.97
120,2022-01-01,102.97
121,2021-12-31,102.97
122,2021-12-30,102.97
123,2021-12-29,102.97
124,2021-12-28,102.97
125,2021-12-27,102.97
126,2021-12-26,102.97
127,2021-12-25,102.97
128,2021-12-24,102.97
129,2021-12-23,102.97
130,2021-12-22,102.97
131,2021-12-21,102.97
132,2021-12-20,102.97
133,2021-12-19,102.97
134,2021-12-18,102.97
135,2021-12-17,102.97
136,2021-12-16,102.97
137,2021-12-15,102.97
138,2021-12-14,102.97
139,2021-12-13,102.97
140,2021-12-12,102.97
141,2021-12-11,102.97
142,2021-12-10,102.97
143,2021-12-09,102.97
144,2021-12-08,102.97
145,2021-12-07,102.97
146,2021-12-06,102.97
147,2021-12-05,102.97
148,2021-12-04,102.97
149,2021-12-03,102.97
150,2021-12-02,102.97
151,2021-11-30,102.97
152,2021-11-29,102.97
153,2021-11-28,102.97
154,2021-11-27,102.97
155,2021-11-26,102.97
156,2021-11-25,102.97
157,2021-11-24,102.97
158,2021-11-23,102.97
159,2021-11-22,102.97
160,2021-11-21,102.97
161,2021-11-20,102.97
162,2021-11-19,102.97
163,2021-11-18,102.97
164,2021-11-17,102.97
165,2021-11-16,102.97
166,2021-11-15,102.97
167,2021-11-14,102.97
168,2021-11-13,102.97
169,2021-11-12,102.97
170,2021-11-11,102.97
171,2021-11-10,102.97
172,2021-11-09,102.97
173,2021-11-08,102.97
174,2021-11-07,102.97
175,2021-11-06,102.97
176,2021-11-05,102.97
177,2021-11-04,110.63
178,2021-11-03,116.4
179,2021-11-02,116.4
180,2021-11-01,116.05
181,2021-10-31,114.95
182,2021-10-30,114.61
183,2021-10-29,114.28
184,2021-10-28,113.95
185,2021-10-27,113.61
186,2021-10-26,113.28
187,2021-10-25,113.28
188,2021-10-24,113.28
189,2021-10-23,112.95
190,2021-10-22,112.61
191,2021-10-21,112.28
192,2021-10-20,111.95
193,2021-10-19,111.62
194,2021-10-18,111.62
195,2021-10-15,110.95
196,2021-10-14,110.62
197,2021-10-13,110.28
198,2021-10-12,110.28
199,2021-10-11,110.28
200,2021-10-10,110
201,2021-10-08,109.43
