,date,price
0,2022-05-01,110.36
1,2022-04-30,110.36
2,2022-04-29,110.36
3,2022-04-28,110.36
4,2022-04-27,110.36
5,2022-04-26,110.36
6,2022-04-25,110.36
7,2022-04-24,110.36
8,2022-04-23,110.36
9,2022-04-22,110.36
10,2022-04-21,110.36
11,2022-04-20,110.36
12,2022-04-19,110.36
13,2022-04-18,110.36
14,2022-04-17,110.36
15,2022-04-16,110.36
16,2022-04-15,110.36
17,2022-04-14,110.36
18,2022-04-13,110.36
19,2022-04-12,110.36
20,2022-04-11,110.36
21,2022-04-10,110.36
22,2022-04-09,110.36
23,2022-04-08,110.36
24,2022-04-07,110.36
25,2022-04-06,110.36
26,2022-04-05,109.53
27,2022-04-04,108.7
28,2022-04-03,108.29
29,2022-04-02,107.46
30,2022-04-01,106.63
31,2022-03-31,106.63
32,2022-03-30,105.8
33,2022-03-29,104.97
34,2022-03-28,104.14
35,2022-03-27,103.83
36,2022-03-26,103.31
37,2022-03-25,102.57
38,2022-03-24,101.74
39,2022-03-23,101.74
40,2022-03-22,100.91
41,2022-03-21,100.08
42,2022-03-20,100.08
43,2022-03-19,100.08
44,2022-03-18,100.08
45,2022-03-17,100.08
46,2022-03-16,100.08
47,2022-03-15,100.08
48,2022-03-14,100.08
49,2022-03-13,100.08
50,2022-03-12,100.08
51,2022-03-11,100.08
52,2022-03-10,100.08
53,2022-03-09,100.08
54,2022-03-08,100.08
55,2022-03-07,100.08
56,2022-03-06,100.08
57,2022-03-05,100.08
58,2022-03-04,100.08
59,2022-03-03,100.08
60,2022-03-02,100.08
61,2022-03-01,100.08
62,2022-02-28,100.08
63,2022-02-27,100.08
64,2022-02-26,100.08
65,2022-02-25,100.08
66,2022-02-24,100.08
67,2022-02-23,100.08
68,2022-02-22,100.08
69,2022-02-21,100.08
70,2022-02-20,100.08
71,2022-02-19,100.08
72,2022-02-18,100.08
73,2022-02-17,100.08
74,2022-02-16,100.08
75,2022-02-15,100.08
76,2022-02-14,100.08
77,2022-02-13,100.08
78,2022-02-12,100.08
79,2022-02-11,100.08
80,2022-02-10,100.08
81,2022-02-09,100.08
82,2022-02-08,100.08
83,2022-02-07,100.08
84,2022-02-06,100.08
85,2022-02-05,100.08
86,2022-02-04,100.08
87,2022-02-03,100.08
88,2022-02-02,100.08
89,2022-02-01,100.08
90,2022-01-31,100.08
91,2022-01-30,100.08
92,2022-01-29,100.08
93,2022-01-28,100.08
94,2022-01-27,100.08
95,2022-01-26,100.08
96,2022-01-25,100.08
97,2022-01-24,100.08
98,2022-01-23,100.08
99,2022-01-22,100.08
100,2022-01-21,100.08
101,2022-01-20,100.08
102,2022-01-19,100.08
103,2022-01-18,100.08
104,2022-01-17,100.08
105,2022-01-16,100.08
106,2022-01-15,100.08
107,2022-01-14,100.08
108,2022-01-13,100.08
109,2022-01-12,100.08
110,2022-01-11,100.08
111,2022-01-10,100.08
112,2022-01-09,100.08
113,2022-01-08,100.08
114,2022-01-07,100.08
115,2022-01-06,100.08
116,2022-01-05,100.08
117,2022-01-04,100.08
118,2022-01-03,100.08
119,2022-01-02,100.08
120,2022-01-01,100.08
121,2021-12-31,100.08
122,2021-12-30,100.08
123,2021-12-29,100.08
124,2021-12-28,100.08
125,2021-12-27,100.08
126,2021-12-26,100.08
127,2021-12-25,100.08
128,2021-12-24,100.08
129,2021-12-23,100.08
130,2021-12-22,100.08
131,2021-12-21,100.08
132,2021-12-20,100.08
133,2021-12-19,100.08
134,2021-12-18,100.08
135,2021-12-17,100.08
136,2021-12-16,100.08
137,2021-12-15,100.08
138,2021-12-14,100.08
139,2021-12-13,100.08
140,2021-12-12,100.08
141,2021-12-11,100.08
142,2021-12-10,100.08
143,2021-12-09,100.08
144,2021-12-08,100.08
145,2021-12-07,100.08
146,2021-12-06,100.08
147,2021-12-05,100.08
148,2021-12-04,100.08
149,2021-12-03,100.08
150,2021-12-02,100.08
151,2021-11-30,100.08
152,2021-11-29,100.08
153,2021-11-28,100.08
154,2021-11-27,100.08
155,2021-11-26,100.08
156,2021-11-25,100.08
157,2021-11-24,100.08
158,2021-11-23,100.08
159,2021-11-22,100.08
160,2021-11-21,100.08
161,2021-11-20,100.08
162,2021-11-19,100.08
163,2021-11-18,100.08
164,2021-11-17,100.08
165,2021-11-16,100.08
166,2021-11-15,100.08
167,2021-11-14,100.08
168,2021-11-13,100.08
169,2021-11-12,100.08
170,2021-11-11,100.08
171,2021-11-10,100.08
172,2021-11-09,100.08
173,2021-11-08,100.08
174,2021-11-07,100.08
175,2021-11-06,100.08
176,2021-11-05,100.08
177,2021-11-04,107.14
178,2021-11-03,112.92
179,2021-11-02,112.92
180,2021-11-01,112.57
181,2021-10-31,111.86
182,2021-10-30,111.52
183,2021-10-29,111.19
184,2021-10-28,110.86
185,2021-10-27,110.53
186,2021-10-26,110.19
187,2021-10-25,110.19
188,2021-10-24,110.19
189,2021-10-23,109.86
190,2021-10-22,109.53
191,2021-10-21,109.19
192,2021-10-20,108.86
193,2021-10-19,108.53
194,2021-10-18,108.53
195,2021-10-15,107.86
196,2021-10-14,107.53
197,2021-10-13,107.2
198,2021-10-12,107.2
199,2021-10-11,107.2
200,2021-10-10,106.91
201,2021-10-09,106.63
202,2021-10-08,106.34
203,2021-10-07,106.05
204,2021-10-06,105.77
205,2021-10-05,105.48
206,2021-10-04,105.25
207,2021-10-03,105.25
208,2021-10-02,105.01
209,2021-10-01,104.77
210,2021-09-30,104.54
211,2021-09-29,104.32
212,2021-09-28,104.32
213,2021-09-27,104.14
214,2021-09-26,104.14
215,2021-09-25,104.14
216,2021-09-24,104.14
